product_id,branch_id,category,subcategory,product_name,brand,unit,price,provider_id,provider_name
P-000024,BR-00001,Cuidado Personal,Cosméticos,Free Cosméticos,Graham-Ayala,unidad,118.08,PR-00033,Hermanos Ayllón S.A.
P-000025,BR-00001,Cuidado Personal,Cosméticos,Tv Cosméticos,Pineda-Vance,litro,62.37,PR-00033,Hermanos Ayllón S.A.
P-000026,BR-00001,Cuidado Personal,Cosméticos,Senior Cosméticos,Frederick Ltd,caja,53.43,PR-00033,Hermanos Ayllón S.A.
P-000027,BR-00001,Cuidado Personal,Cosméticos,Specific Cosméticos,"Hooper, Harris and Rich",litro,54.55,PR-00033,Hermanos Ayllón S.A.
P-000028,BR-00001,Cuidado Personal,Cosméticos,Painting Cosméticos,Shea-Aguirre,paquete,15.34,PR-00033,Hermanos Ayllón S.A.
P-000029,BR-00001,Cuidado Personal,Farmacéuticos,Force Farmacéuticos,Fields Ltd,kg,2.87,PR-01338,Suministros Zurita S.Com.
P-000030,BR-00001,Cuidado Personal,Farmacéuticos,Bank Farmacéuticos,Mcconnell PLC,litro,132.88,PR-01338,Suministros Zurita S.Com.
P-000031,BR-00001,Cuidado Personal,Farmacéuticos,Statement Farmacéuticos,"Dorsey, Hernandez and Wallace",paquete,91.64,PR-01338,Suministros Zurita S.Com.
P-000032,BR-00001,Cuidado Personal,Farmacéuticos,Happen Farmacéuticos,Walters Inc,paquete,27.43,PR-00802,Palomares y Álvarez S.Com.
P-000033,BR-00001,Cuidado Personal,Higiene,As Higiene,Murphy Inc,caja,139.18,PR-00035,Minería Calderon & Asociados S.L.
P-000034,BR-00001,Cuidado Personal,Higiene,Feeling Higiene,Malone Group,caja,93.39,PR-00819,Distribuciones UKQ S.Coop.
P-000035,BR-00001,Cuidado Personal,Higiene,Billion Higiene,"Mitchell, Gonzalez and Smith",unidad,39.22,PR-00819,Distribuciones UKQ S.Coop.
P-000036,BR-00001,Cuidado Personal,Spa,Film Spa,Cabrera-Lambert,paquete,44.01,PR-00036,Rosaura Palomino Llano S.Coop.
P-000037,BR-00001,Cuidado Personal,Spa,Traditional Spa,"Sullivan, Garner and Meyer",caja,35.23,PR-01133,Consultoría Ibérica S.Coop.
P-000038,BR-00001,Cuidado Personal,Spa,Fall Spa,"Dickerson, Fernandez and Liu",paquete,36.85,PR-01133,Consultoría Ibérica S.Coop.
P-000039,BR-00001,Cuidado Personal,Spa,Wall Spa,"Pearson, Franklin and Ross",caja,98.38,PR-00036,Rosaura Palomino Llano S.Coop.
P-000040,BR-00001,Cuidado Personal,Spa,Interesting Spa,Crawford Ltd,caja,37.37,PR-01133,Consultoría Ibérica S.Coop.
P-000041,BR-00001,Cuidado Personal,Spa,Run Spa,Allen-Henry,caja,50.73,PR-00036,Rosaura Palomino Llano S.Coop.
P-000042,BR-00001,Cuidado Personal,Spa,Door Spa,Gaines LLC,kg,116.69,PR-01133,Consultoría Ibérica S.Coop.
P-000043,BR-00001,Cuidado Personal,Nutrición,Add Nutrición,Harding-Oliver,litro,9.57,PR-00640,Ciro Crespi Pou S.Coop.
P-000044,BR-00001,Cuidado Personal,Nutrición,Region Nutrición,Anderson-Roy,kg,102.17,PR-01403,Servicios Méndez S.A.
P-000045,BR-00001,Cuidado Personal,Nutrición,Rise Nutrición,Ortega-Oconnor,caja,39.24,PR-00726,Canales & Asociados S.A.
P-000046,BR-00001,Cuidado Personal,Nutrición,Along Nutrición,Reid-Allen,paquete,62.98,PR-00640,Ciro Crespi Pou S.Coop.
P-000047,BR-00001,Cuidado Personal,Nutrición,Reality Nutrición,Drake-Taylor,litro,97.34,PR-00037,Logística Vilanova S.L.
P-000048,BR-00001,Cuidado Personal,Nutrición,General Nutrición,Phillips-Wilson,paquete,118.3,PR-01403,Servicios Méndez S.A.
P-000049,BR-00001,Cuidado Personal,Nutrición,Edge Nutrición,"Henderson, Hutchinson and Williams",litro,145.89,PR-00640,Ciro Crespi Pou S.Coop.
P-000050,BR-00001,Alimentos,Frutas y Verduras,Allow Frutas y Verduras,Hudson-Fernandez,caja,130.46,PR-00006,Servicios UG S.Coop.
P-000051,BR-00001,Alimentos,Frutas y Verduras,Our Frutas y Verduras,Ayala-Davidson,paquete,115.98,PR-00006,Servicios UG S.Coop.
P-000052,BR-00001,Alimentos,Frutas y Verduras,Indicate Frutas y Verduras,Benitez-Jackson,litro,125.96,PR-00006,Servicios UG S.Coop.
P-000053,BR-00001,Alimentos,Carnes y Embutidos,Indicate Carnes y Embutidos,Carson LLC,caja,90.86,PR-00991,Canet y Villanueva S.Com.
P-000054,BR-00001,Alimentos,Carnes y Embutidos,Help Carnes y Embutidos,Whitney-Bell,paquete,93.5,PR-00991,Canet y Villanueva S.Com.
P-000055,BR-00001,Alimentos,Carnes y Embutidos,Foot Carnes y Embutidos,Andrade Group,unidad,87.39,PR-00991,Canet y Villanueva S.Com.
P-000056,BR-00001,Alimentos,Carnes y Embutidos,Include Carnes y Embutidos,Kim LLC,litro,24.68,PR-00991,Canet y Villanueva S.Com.
P-000057,BR-00001,Alimentos,Carnes y Embutidos,Say Carnes y Embutidos,"King, Peters and Hicks",kg,35.45,PR-01113,Miguel Marí Escrivá S.Com.
P-000058,BR-00001,Alimentos,Carnes y Embutidos,Else Carnes y Embutidos,Mendez PLC,kg,32.18,PR-01113,Miguel Marí Escrivá S.Com.
P-000059,BR-00001,Alimentos,Bebidas,Try Bebidas,Conner-Gonzalez,unidad,14.08,PR-01001,Desarrollo ZLJ S.L.N.E
P-000060,BR-00001,Alimentos,Bebidas,Age Bebidas,"Lopez, Hill and Liu",kg,49.07,PR-00008,Compañía Pelayo S.L.
P-000061,BR-00001,Alimentos,Bebidas,Blood Bebidas,"Baker, Williams and Scott",kg,118.19,PR-00008,Compañía Pelayo S.L.
P-000062,BR-00001,Alimentos,Bebidas,News Bebidas,"Williams, Burke and Ryan",litro,56.24,PR-01001,Desarrollo ZLJ S.L.N.E
P-000063,BR-00001,Alimentos,Bebidas,American Bebidas,"Bolton, Mckenzie and Wallace",caja,88.21,PR-01001,Desarrollo ZLJ S.L.N.E
P-000064,BR-00001,Alimentos,Bebidas,Onto Bebidas,Harvey Inc,litro,111.41,PR-01001,Desarrollo ZLJ S.L.N.E
P-000065,BR-00001,Alimentos,Bebidas,Green Bebidas,"Ramirez, Williams and Horn",unidad,71.05,PR-00008,Compañía Pelayo S.L.
P-000066,BR-00001,Alimentos,Panadería,Win Panadería,"Garcia, Doyle and Phillips",unidad,93.98,PR-00009,Restauración SB S.L.
P-000067,BR-00001,Alimentos,Panadería,Group Panadería,Lewis and Sons,litro,33.01,PR-00009,Restauración SB S.L.
P-000068,BR-00001,Alimentos,Panadería,Nature Panadería,Harris Inc,litro,34.43,PR-00009,Restauración SB S.L.
P-000069,BR-00001,Alimentos,Comida Congelada,Little Comida Congelada,"Thomas, Snyder and Young",kg,143.59,PR-00010,Alimentación Amat y asociados S.Coop.
P-000070,BR-00001,Alimentos,Comida Congelada,Research Comida Congelada,Young Ltd,litro,30.27,PR-00010,Alimentación Amat y asociados S.Coop.
P-000071,BR-00001,Alimentos,Comida Congelada,International Comida Congelada,"Anderson, Wells and Martin",litro,98.51,PR-01229,Torres y Rojas S.Coop.
P-000072,BR-00001,Alimentos,Comida Congelada,Purpose Comida Congelada,Blake Ltd,litro,77.82,PR-00010,Alimentación Amat y asociados S.Coop.
P-000073,BR-00001,Alimentos,Comida Congelada,Adult Comida Congelada,"Mendoza, Martin and Nelson",caja,67.1,PR-01229,Torres y Rojas S.Coop.
P-000074,BR-00001,Ropa,Moda Hombre,Real Moda Hombre,Frank and Sons,litro,38.31,PR-01256,Hotel Miralles S.A.
P-000075,BR-00001,Ropa,Moda Hombre,Quite Moda Hombre,"Cook, Tucker and Caldwell",unidad,68.0,PR-00011,Promociones Cobos & Asociados S.C.P
P-000076,BR-00001,Ropa,Moda Hombre,Candidate Moda Hombre,Carter-Gregory,litro,63.33,PR-01256,Hotel Miralles S.A.
P-000077,BR-00001,Ropa,Moda Hombre,Language Moda Hombre,Williams-Klein,paquete,130.37,PR-01256,Hotel Miralles S.A.
P-000078,BR-00001,Ropa,Moda Hombre,Level Moda Hombre,Davenport-Hutchinson,caja,75.68,PR-01256,Hotel Miralles S.A.
P-000079,BR-00001,Ropa,Moda Hombre,Offer Moda Hombre,Martin-Walker,caja,100.85,PR-01256,Hotel Miralles S.A.
P-000080,BR-00001,Ropa,Moda Hombre,Manager Moda Hombre,Avila and Sons,litro,35.96,PR-00011,Promociones Cobos & Asociados S.C.P
P-000081,BR-00001,Ropa,Moda Mujer,Fish Moda Mujer,Chen-Perry,caja,35.36,PR-00012,Minería Arellano S.L.
P-000082,BR-00001,Ropa,Moda Mujer,Wish Moda Mujer,"Ward, Robinson and Sharp",kg,86.62,PR-00012,Minería Arellano S.L.
P-000083,BR-00001,Ropa,Moda Mujer,Eye Moda Mujer,Booker-Manning,paquete,48.62,PR-00012,Minería Arellano S.L.
P-000084,BR-00001,Ropa,Infantil,Common Infantil,Frey-Nelson,kg,129.21,PR-01029,Delfina Andrade Blazquez S.L.N.E
P-000085,BR-00001,Ropa,Infantil,Ago Infantil,Walsh-Rodriguez,caja,131.64,PR-01332,Suministros Villegas S.L.N.E
P-000086,BR-00001,Ropa,Infantil,Learn Infantil,Wallace Ltd,litro,11.41,PR-01029,Delfina Andrade Blazquez S.L.N.E
P-000087,BR-00001,Ropa,Infantil,Nothing Infantil,"Jacobs, Adams and Webb",unidad,80.35,PR-01029,Delfina Andrade Blazquez S.L.N.E
P-000088,BR-00001,Ropa,Infantil,Positive Infantil,Moon Group,kg,35.84,PR-00013,Consultoría Cuesta y asociados S.L.
P-000089,BR-00001,Ropa,Deportivo,Accept Deportivo,Curtis LLC,litro,95.25,PR-00014,Tecnologías Paniagua S.Com.
P-000090,BR-00001,Ropa,Deportivo,Color Deportivo,Simmons-Drake,kg,45.81,PR-00014,Tecnologías Paniagua S.Com.
P-000091,BR-00001,Ropa,Deportivo,Long Deportivo,Moyer Group,litro,138.93,PR-00014,Tecnologías Paniagua S.Com.
P-000092,BR-00001,Ropa,Deportivo,Friend Deportivo,"Brown, Lozano and Rice",paquete,60.42,PR-00014,Tecnologías Paniagua S.Com.
P-000093,BR-00001,Ropa,Deportivo,Word Deportivo,Martin-Ayers,kg,29.23,PR-00014,Tecnologías Paniagua S.Com.
P-000094,BR-00001,Ropa,Deportivo,Structure Deportivo,Patel and Sons,kg,95.91,PR-00014,Tecnologías Paniagua S.Com.
P-000095,BR-00001,Ropa,Accesorios,With Accesorios,Fields-Allen,kg,135.18,PR-00897,Manufacturas Novoa y asociados S.Coop.
P-000096,BR-00001,Ropa,Accesorios,Glass Accesorios,Shelton-Mejia,unidad,103.76,PR-00015,Tejera y asociados S.Com.
P-000097,BR-00001,Ropa,Accesorios,None Accesorios,Powell and Sons,litro,23.7,PR-00015,Tejera y asociados S.Com.
P-000098,BR-00001,Ropa,Accesorios,Across Accesorios,Kelly Ltd,paquete,78.87,PR-00897,Manufacturas Novoa y asociados S.Coop.
P-000099,BR-00001,Ropa,Accesorios,Usually Accesorios,Armstrong Inc,kg,141.69,PR-00897,Manufacturas Novoa y asociados S.Coop.
P-000100,BR-00001,Ropa,Accesorios,President Accesorios,"Fields, Schultz and Schmitt",paquete,74.43,PR-00015,Tejera y asociados S.Com.
P-000101,BR-00001,Hogar y Decoración,Muebles,Mother Muebles,Jones-Myers,paquete,23.73,PR-01168,Transportes Española S.L.
P-000102,BR-00001,Hogar y Decoración,Muebles,Rise Muebles,"Walls, Patel and Morton",unidad,103.3,PR-00038,Suministros QMM S.Coop.
P-000103,BR-00001,Hogar y Decoración,Muebles,Computer Muebles,Cherry-Harvey,unidad,104.8,PR-01168,Transportes Española S.L.
P-000104,BR-00001,Hogar y Decoración,Muebles,Age Muebles,"Trujillo, Woods and Marquez",kg,25.3,PR-00038,Suministros QMM S.Coop.
P-000105,BR-00001,Hogar y Decoración,Muebles,Summer Muebles,Black and Sons,kg,27.38,PR-01168,Transportes Española S.L.
P-000106,BR-00001,Hogar y Decoración,Iluminación,Draw Iluminación,Arnold-Duarte,caja,62.86,PR-01140,Manufacturas Cantón S.Coop.
P-000107,BR-00001,Hogar y Decoración,Iluminación,Identify Iluminación,Johnson-Gonzalez,kg,28.23,PR-00744,Nevado & Asociados S.Coop.
P-000108,BR-00001,Hogar y Decoración,Iluminación,Civil Iluminación,Wilson Ltd,kg,146.59,PR-00039,Comercial Herrero S.L.L.
P-000109,BR-00001,Hogar y Decoración,Textiles,Impact Textiles,Beck Group,unidad,135.48,PR-00040,Hnos Galiano S.A.U
P-000110,BR-00001,Hogar y Decoración,Textiles,Address Textiles,"Sanford, Wright and Love",caja,87.05,PR-00040,Hnos Galiano S.A.U
P-000111,BR-00001,Hogar y Decoración,Textiles,Enter Textiles,Elliott-Boyer,paquete,110.31,PR-00040,Hnos Galiano S.A.U
P-000112,BR-00001,Hogar y Decoración,Textiles,Himself Textiles,Marshall Inc,paquete,38.35,PR-00040,Hnos Galiano S.A.U
P-000113,BR-00001,Hogar y Decoración,Textiles,Process Textiles,Berry-Brock,kg,18.67,PR-00040,Hnos Galiano S.A.U
P-000114,BR-00001,Hogar y Decoración,Organización,Employee Organización,Nichols-Singh,kg,32.45,PR-00041,Vives y Lloret S.Com.
P-000115,BR-00001,Hogar y Decoración,Organización,Democrat Organización,Miller-Graham,litro,15.83,PR-00041,Vives y Lloret S.Com.
P-000116,BR-00001,Hogar y Decoración,Organización,Next Organización,Davis-Burke,paquete,6.99,PR-00041,Vives y Lloret S.Com.
P-000117,BR-00001,Hogar y Decoración,Organización,Go Organización,"Mendez, Walker and Braun",unidad,69.84,PR-00041,Vives y Lloret S.Com.
P-000118,BR-00001,Hogar y Decoración,Organización,Something Organización,Ramirez-Brown,paquete,68.49,PR-00041,Vives y Lloret S.Com.
P-000119,BR-00001,Hogar y Decoración,Organización,Allow Organización,"Smith, Ramos and Johnson",kg,118.04,PR-00041,Vives y Lloret S.Com.
P-000120,BR-00001,Hogar y Decoración,Arte decorativo,Kind Arte decorativo,Arroyo-Moore,litro,64.34,PR-00042,Benita Boada Zamora S.A.U
P-000121,BR-00001,Hogar y Decoración,Arte decorativo,Phone Arte decorativo,Gross-Williams,caja,5.04,PR-01255,Seguí y Moles S.A.T.
P-000122,BR-00001,Hogar y Decoración,Arte decorativo,Stand Arte decorativo,Torres PLC,litro,15.89,PR-00042,Benita Boada Zamora S.A.U
P-000123,BR-00001,Hogar y Decoración,Arte decorativo,However Arte decorativo,"Cisneros, Waters and Donovan",paquete,132.06,PR-01366,Construcción Ibérica S.Coop.
P-000124,BR-00001,Hogar y Decoración,Arte decorativo,Art Arte decorativo,Wright-Brown,caja,20.42,PR-01366,Construcción Ibérica S.Coop.
P-000125,BR-00001,Electrónica,Electrodomésticos,Next Electrodomésticos,"Miller, Garza and Woods",kg,128.99,PR-00926,Vasco Cárdenas Asensio S.L.
P-000126,BR-00001,Electrónica,Electrodomésticos,Eat Electrodomésticos,Jones and Sons,kg,27.3,PR-00760,Inversiones Riba & Asociados S.L.
P-000127,BR-00001,Electrónica,Electrodomésticos,Within Electrodomésticos,Sparks-Douglas,caja,125.95,PR-00024,Teresita Almazán Delgado S.L.
P-000128,BR-00001,Electrónica,Electrodomésticos,Senior Electrodomésticos,Hill-Ponce,unidad,62.31,PR-00024,Teresita Almazán Delgado S.L.
P-000129,BR-00001,Electrónica,Electrodomésticos,Town Electrodomésticos,Thompson LLC,litro,43.68,PR-00024,Teresita Almazán Delgado S.L.
P-000130,BR-00001,Electrónica,Electrodomésticos,Throughout Electrodomésticos,Greene Inc,caja,16.74,PR-00016,Industrias Manjón S.L.U.
P-000131,BR-00001,Electrónica,Audio y Video,Worker Audio y Video,Thomas Group,litro,146.38,PR-00017,Jonatan Uriarte Cordero S.Com.
P-000132,BR-00001,Electrónica,Audio y Video,Four Audio y Video,"Robinson, Everett and Robinson",litro,86.12,PR-01327,Hermanos Malo S.L.
P-000133,BR-00001,Electrónica,Audio y Video,After Audio y Video,Phillips and Sons,litro,54.43,PR-01199,Instalaciones del Levante S.L.N.E
P-000134,BR-00001,Electrónica,Audio y Video,Open Audio y Video,Torres-Rogers,caja,143.25,PR-01218,Rivas y asociados S.Com.
P-000135,BR-00001,Electrónica,Audio y Video,View Audio y Video,Flores Group,paquete,66.41,PR-01199,Instalaciones del Levante S.L.N.E
P-000136,BR-00001,Electrónica,Audio y Video,Marriage Audio y Video,Sanchez-Smith,litro,108.4,PR-01199,Instalaciones del Levante S.L.N.E
P-000137,BR-00001,Electrónica,Audio y Video,Ahead Audio y Video,"Diaz, Singh and Walker",paquete,68.1,PR-01199,Instalaciones del Levante S.L.N.E
P-000138,BR-00001,Electrónica,Telefonía,Least Telefonía,Turner-Briggs,caja,96.36,PR-01266,Jose Manuel Moll Ledesma S.Com.
P-000139,BR-00001,Electrónica,Telefonía,Theory Telefonía,Smith-Ballard,litro,125.08,PR-00018,Clavero y Roma S.L.
P-000140,BR-00001,Electrónica,Telefonía,Start Telefonía,"Williams, King and Clark",unidad,131.47,PR-00018,Clavero y Roma S.L.
P-000141,BR-00001,Electrónica,Telefonía,That Telefonía,Murray PLC,litro,51.94,PR-01266,Jose Manuel Moll Ledesma S.Com.
P-000142,BR-00001,Electrónica,Telefonía,Share Telefonía,"Evans, Sanders and Jimenez",kg,18.03,PR-00018,Clavero y Roma S.L.
P-000143,BR-00001,Electrónica,Computación,Prevent Computación,Yates-Mcdonald,paquete,134.65,PR-01278,Consultoría Aguiló y asociados S.C.P
P-000144,BR-00001,Electrónica,Computación,Only Computación,"Phillips, White and Gonzalez",litro,108.2,PR-01085,Hnos Lobato S.Com.
P-000145,BR-00001,Electrónica,Computación,School Computación,"Perez, Pham and Bush",unidad,48.57,PR-01370,Inversiones TN S.Coop.
P-000146,BR-00001,Electrónica,Computación,Amount Computación,"Bond, Nichols and Wilson",litro,83.17,PR-01085,Hnos Lobato S.Com.
P-000147,BR-00001,Electrónica,Computación,Rather Computación,"Gray, Kline and Sheppard",kg,149.72,PR-01278,Consultoría Aguiló y asociados S.C.P
P-000148,BR-00001,Electrónica,Gadgets,Bag Gadgets,Byrd-Singleton,unidad,87.63,PR-01079,Rosell & Asociados S.L.N.E
P-000149,BR-00001,Electrónica,Gadgets,Difficult Gadgets,Marshall LLC,unidad,9.9,PR-00774,Natalio Sanz Ribes S.Coop.
P-000150,BR-00001,Electrónica,Gadgets,Face Gadgets,Alexander-Durham,unidad,109.45,PR-00020,Comercial Salinas S.A.
P-000151,BR-00001,Electrónica,Gadgets,Power Gadgets,Rogers and Sons,paquete,143.59,PR-00774,Natalio Sanz Ribes S.Coop.
P-000152,BR-00001,Electrónica,Gadgets,These Gadgets,Garcia LLC,litro,130.82,PR-00852,Banco IWP S.A.
P-000153,BR-00001,Tecnología,Software,Eat Software,Landry-Holmes,unidad,19.18,PR-00001,Minería HAK S.A.T.
P-000154,BR-00001,Tecnología,Software,Difference Software,"Stevenson, Brown and Landry",kg,33.64,PR-00001,Minería HAK S.A.T.
P-000155,BR-00001,Tecnología,Software,It Software,"Rosario, Hines and Sanchez",paquete,4.26,PR-01251,Hermanos Salcedo S.L.L.
P-000156,BR-00001,Tecnología,Software,Security Software,"Nguyen, Smith and Elliott",unidad,87.44,PR-01251,Hermanos Salcedo S.L.L.
P-000157,BR-00001,Tecnología,Software,While Software,Murray-Anderson,unidad,51.08,PR-00001,Minería HAK S.A.T.
P-000158,BR-00001,Tecnología,Software,Store Software,Rodriguez-Vasquez,unidad,149.87,PR-00001,Minería HAK S.A.T.
P-000159,BR-00001,Tecnología,Software,Ten Software,Nelson-Mcdowell,unidad,96.71,PR-00001,Minería HAK S.A.T.
P-000160,BR-00001,Tecnología,Hardware,Himself Hardware,"Burgess, Lawson and Williams",kg,38.95,PR-00002,Tecnologías Fabregat S.L.
P-000161,BR-00001,Tecnología,Hardware,Although Hardware,Taylor Group,kg,133.18,PR-01273,Hermanos Méndez S.L.L.
P-000162,BR-00001,Tecnología,Hardware,Wish Hardware,Brown-Myers,caja,137.12,PR-00002,Tecnologías Fabregat S.L.
P-000163,BR-00001,Tecnología,Hardware,Image Hardware,Craig LLC,caja,126.95,PR-00002,Tecnologías Fabregat S.L.
P-000164,BR-00001,Tecnología,Hardware,But Hardware,Hester-Jones,paquete,98.32,PR-00632,Grupo Álvarez S.Coop.
P-000165,BR-00001,Tecnología,Hardware,Street Hardware,"Stevenson, Castro and Gutierrez",litro,89.8,PR-00632,Grupo Álvarez S.Coop.
P-000166,BR-00001,Tecnología,Redes,Result Redes,Dennis-Carlson,paquete,67.4,PR-00003,Banca Privada del Noroeste S.Coop.
P-000167,BR-00001,Tecnología,Redes,Card Redes,Taylor-Gonzalez,litro,140.94,PR-00003,Banca Privada del Noroeste S.Coop.
P-000168,BR-00001,Tecnología,Redes,Country Redes,Stark-Barnett,caja,88.92,PR-00003,Banca Privada del Noroeste S.Coop.
P-000169,BR-00001,Tecnología,Ciberseguridad,Author Ciberseguridad,Gutierrez PLC,kg,6.39,PR-00004,Duque y Hervia S.Coop.
P-000170,BR-00001,Tecnología,Ciberseguridad,Tax Ciberseguridad,Lewis-Foster,kg,124.14,PR-01054,Paulina Ayala Camps S.A.
P-000171,BR-00001,Tecnología,Ciberseguridad,Sure Ciberseguridad,"Palmer, Davidson and Bass",litro,108.31,PR-00004,Duque y Hervia S.Coop.
P-000172,BR-00001,Tecnología,IoT,Though IoT,"Carlson, Jacobs and Powell",litro,130.77,PR-00005,Grupo Coloma S.C.P
P-000173,BR-00001,Tecnología,IoT,Might IoT,"Myers, Peterson and Mullen",litro,47.9,PR-01094,Íñigo Lara Chaves S.Coop.
P-000174,BR-00001,Tecnología,IoT,Organization IoT,"Henry, Wilson and Hernandez",litro,77.08,PR-01094,Íñigo Lara Chaves S.Coop.
P-000175,BR-00001,Tecnología,IoT,Nor IoT,"Odonnell, Baker and Carrillo",unidad,16.6,PR-01094,Íñigo Lara Chaves S.Coop.
P-000176,BR-00001,Tecnología,IoT,Left IoT,Doyle LLC,kg,27.64,PR-01094,Íñigo Lara Chaves S.Coop.
P-000177,BR-00001,Servicios,Instalación,Financial Instalación,"Smith, Hubbard and Wallace",paquete,129.09,PR-00021,Banco Frutos S.Coop.
P-000178,BR-00001,Servicios,Instalación,Brother Instalación,Beasley-Medina,kg,107.14,PR-00021,Banco Frutos S.Coop.
P-000179,BR-00001,Servicios,Instalación,Go Instalación,"Tate, Villa and Branch",kg,21.06,PR-00021,Banco Frutos S.Coop.
P-000180,BR-00001,Servicios,Instalación,Here Instalación,Wallace PLC,litro,123.57,PR-00021,Banco Frutos S.Coop.
P-000181,BR-00001,Servicios,Instalación,Pick Instalación,Stein Ltd,paquete,132.46,PR-00021,Banco Frutos S.Coop.
P-000182,BR-00001,Servicios,Instalación,Stock Instalación,"Anderson, Adams and Olson",paquete,131.6,PR-00021,Banco Frutos S.Coop.
P-000183,BR-00001,Servicios,Reparación,Thousand Reparación,Gray and Sons,kg,84.55,PR-00903,Minería Sancho & Asociados S.L.L.
P-000184,BR-00001,Servicios,Reparación,Event Reparación,"White, Reed and Anderson",unidad,39.64,PR-01188,Luís Moraleda Berenguer S.L.
P-000185,BR-00001,Servicios,Reparación,Figure Reparación,Potter PLC,caja,51.7,PR-01188,Luís Moraleda Berenguer S.L.
P-000186,BR-00001,Servicios,Reparación,Company Reparación,"Holden, Martinez and Miller",unidad,132.58,PR-00022,Familia Carvajal S.L.
P-000187,BR-00001,Servicios,Reparación,How Reparación,Mack PLC,litro,91.99,PR-01235,Servicios Soto y asociados S.L.
P-000188,BR-00001,Servicios,Reparación,Store Reparación,"Butler, Miles and Fuller",caja,63.17,PR-00022,Familia Carvajal S.L.
P-000189,BR-00001,Accesorios y Repuestos,Automotrices,Career Automotrices,"Ingram, Smith and Moore",unidad,67.65,PR-00023,Inversiones XG S.Coop.
