purchase_id,product_id,cantidad,precio_unitario,subtotal
C-000108,P-025314,2,62.75,125.5
C-000108,P-036730,4,113.79,455.16
C-000109,P-000900,2,72.49,144.98
C-000109,P-050194,1,101.5,101.5
C-000110,P-010623,5,42.13,210.65
C-000111,P-027154,5,108.99,544.95
C-000111,P-026182,5,87.22,436.1
C-000111,P-027262,1,123.16,123.16
C-000111,P-003438,1,48.65,48.65
C-000112,P-033710,5,134.29,671.45
C-000113,P-043602,1,59.85,59.85
C-000114,P-052180,4,149.69,598.76
C-000115,P-053802,5,85.92,429.6
C-000115,P-030486,5,117.5,587.5
C-000115,P-053189,4,130.51,522.04
C-000115,P-000212,4,33.67,134.68
C-000116,P-029909,2,24.83,49.66
C-000116,P-025479,5,103.07,515.35
C-000117,P-027901,1,7.44,7.44
C-000117,P-040375,3,28.63,85.89
C-000117,P-048264,2,41.11,82.22
C-000118,P-012357,2,32.82,65.64
C-000118,P-047659,5,20.87,104.35
C-000118,P-046453,5,115.46,577.3
C-000118,P-008324,2,87.45,174.9
C-000118,P-013670,4,114.31,457.24
C-000119,P-014157,1,116.04,116.04
C-000120,P-033550,2,45.74,91.48
C-000121,P-053351,3,80.49,241.47
C-000121,P-031638,1,112.18,112.18
C-000121,P-037632,4,33.74,134.96
C-000122,P-051964,2,43.21,86.42
C-000122,P-025162,4,59.04,236.16
C-000122,P-018454,3,120.12,360.36
C-000123,P-002993,4,108.28,433.12
C-000123,P-015024,5,75.86,379.3
C-000123,P-027283,2,108.54,217.08
C-000124,P-006027,5,71.36,356.8
C-000124,P-021272,2,16.62,33.24
C-000124,P-038616,5,5.04,25.2
C-000124,P-003813,1,39.69,39.69
C-000124,P-040966,3,59.54,178.62
C-000125,P-040387,3,115.9,347.7
C-000126,P-001382,5,86.31,431.55
C-000127,P-048479,4,72.22,288.88
C-000127,P-047735,1,34.11,34.11
C-000128,P-039851,1,71.8,71.8
C-000128,P-015318,2,56.23,112.46
C-000128,P-012729,5,125.32,626.6
C-000129,P-043018,2,118.96,237.92
C-000129,P-010209,4,99.4,397.6
C-000129,P-037740,3,124.81,374.43
C-000130,P-018524,1,85.94,85.94
C-000130,P-021511,3,27.7,83.1
C-000130,P-026783,4,28.57,114.28
C-000131,P-002190,3,28.62,85.86
C-000132,P-008136,3,46.87,140.61
C-000133,P-032131,5,77.71,388.55
C-000133,P-012308,4,116.08,464.32
C-000133,P-039875,1,64.12,64.12
C-000133,P-021426,5,80.83,404.15
C-000133,P-049187,2,60.79,121.58
C-000134,P-002028,1,139.37,139.37
C-000134,P-044171,4,11.98,47.92
C-000134,P-051922,2,132.73,265.46
C-000134,P-016440,4,125.91,503.64
C-000134,P-029214,4,26.51,106.04
C-000135,P-040498,3,62.32,186.96
C-000135,P-032034,4,107.64,430.56
C-000135,P-027119,4,44.74,178.96
C-000135,P-020022,3,106.83,320.49
C-000136,P-007253,4,102.25,409.0
C-000136,P-018022,5,47.92,239.6
C-000136,P-025246,3,19.95,59.85
C-000136,P-014969,2,64.75,129.5
C-000137,P-003240,5,84.69,423.45
C-000137,P-027995,3,66.58,199.74
C-000137,P-007448,2,82.38,164.76
C-000137,P-040856,3,4.59,13.77
C-000138,P-039197,5,128.95,644.75
C-000139,P-005114,2,128.89,257.78
C-000139,P-002555,1,54.11,54.11
C-000139,P-015765,2,49.16,98.32
C-000139,P-021571,5,25.66,128.3
C-000140,P-018270,3,69.29,207.87
C-000141,P-001821,5,100.14,500.7
C-000141,P-019584,3,53.61,160.83
C-000141,P-050550,5,79.49,397.45
C-000142,P-030633,1,103.68,103.68
C-000142,P-043299,2,27.0,54.0
C-000143,P-022691,3,130.46,391.38
C-000143,P-040329,2,76.17,152.34
C-000143,P-004692,2,56.7,113.4
C-000144,P-019997,2,124.13,248.26
C-000145,P-002739,2,97.33,194.66
C-000146,P-027884,2,56.23,112.46
C-000147,P-028678,4,103.6,414.4
C-000147,P-003727,2,54.34,108.68
C-000148,P-029745,5,73.96,369.8
C-000148,P-034559,1,75.65,75.65
C-000148,P-011591,3,52.93,158.79
C-000148,P-048668,3,140.25,420.75
C-000148,P-052457,2,143.95,287.9
C-000149,P-037445,2,35.25,70.5
C-000149,P-008660,3,82.82,248.46
C-000149,P-011813,5,79.43,397.15
C-000149,P-009794,3,24.13,72.39
C-000150,P-047733,5,48.06,240.3
C-000150,P-018079,4,15.3,61.2
C-000151,P-006104,3,73.76,221.28
C-000152,P-000747,5,67.53,337.65
C-000152,P-025947,2,120.87,241.74
C-000152,P-009163,3,57.53,172.59
C-000152,P-033974,3,61.19,183.57
C-000153,P-017130,1,137.41,137.41
C-000153,P-049940,5,87.48,437.4
C-000153,P-008886,5,33.36,166.8
C-000153,P-040286,5,100.42,502.1
C-000153,P-035887,5,157.71,788.55
C-000154,P-031262,4,34.71,138.84
C-000154,P-018936,1,98.95,98.95
C-000154,P-047569,2,103.86,207.72
C-000154,P-029102,4,57.08,228.32
C-000155,P-030065,1,148.43,148.43
C-000155,P-050328,2,85.22,170.44
C-000155,P-052023,5,134.5,672.5
C-000155,P-002347,1,134.72,134.72
C-000155,P-044819,5,78.27,391.35
C-000156,P-045768,2,132.34,264.68
C-000156,P-034815,3,37.41,112.23
C-000156,P-034690,2,23.32,46.64
C-000156,P-035605,3,106.11,318.33
C-000157,P-033733,3,35.08,105.24
C-000158,P-053229,2,87.26,174.52
C-000158,P-030097,2,101.75,203.5
C-000158,P-037829,2,30.14,60.28
C-000159,P-017722,5,93.01,465.05
C-000160,P-003587,1,11.17,11.17
C-000160,P-006939,3,95.94,287.82
C-000160,P-007895,1,137.89,137.89
C-000160,P-001324,3,91.55,274.65
C-000160,P-017001,5,106.89,534.45
C-000161,P-015363,1,116.45,116.45
C-000161,P-029255,5,23.84,119.2
C-000161,P-008220,4,80.53,322.12
C-000162,P-045931,2,88.3,176.6
C-000162,P-022684,2,109.06,218.12
C-000162,P-013601,1,3.39,3.39
C-000163,P-017139,1,144.12,144.12
C-000163,P-053607,1,80.54,80.54
C-000164,P-021792,4,82.28,329.12
C-000165,P-046530,2,79.29,158.58
C-000165,P-009868,5,114.33,571.65
C-000165,P-006993,3,16.18,48.54
C-000166,P-000216,4,128.31,513.24
C-000166,P-015002,4,130.72,522.88
C-000167,P-049527,5,57.79,288.95
C-000167,P-009909,5,12.61,63.05
C-000168,P-047641,4,44.74,178.96
C-000168,P-032477,5,41.46,207.3
C-000168,P-042028,3,101.74,305.22
C-000168,P-007759,4,12.94,51.76
C-000169,P-018950,1,24.16,24.16
C-000169,P-050356,1,124.01,124.01
C-000169,P-006789,2,139.14,278.28
C-000170,P-031379,2,55.27,110.54
C-000170,P-044781,4,22.91,91.64
C-000171,P-032784,2,131.93,263.86
C-000171,P-045862,4,158.08,632.32
C-000171,P-042834,4,20.71,82.84
C-000172,P-042654,4,81.53,326.12
C-000172,P-031463,5,52.64,263.2
C-000173,P-029956,1,67.75,67.75
C-000174,P-030855,2,51.09,102.18
C-000174,P-028131,3,23.04,69.12
C-000174,P-048990,1,123.44,123.44
C-000175,P-042873,1,97.41,97.41
C-000175,P-028019,3,39.81,119.43
C-000175,P-021668,4,118.33,473.32
C-000175,P-044193,1,105.76,105.76
C-000175,P-046002,2,103.05,206.1
C-000176,P-047686,3,74.42,223.26
C-000176,P-049955,5,124.41,622.05
C-000176,P-000603,1,124.78,124.78
C-000176,P-027741,4,52.88,211.52
C-000176,P-049451,4,70.58,282.32
C-000177,P-039240,1,88.68,88.68
C-000177,P-048979,3,122.63,367.89
C-000177,P-053819,4,15.35,61.4
C-000177,P-016011,1,9.78,9.78
C-000178,P-014414,2,6.56,13.12
C-000178,P-005495,2,14.81,29.62
C-000179,P-010524,2,128.76,257.52
C-000179,P-013226,1,50.58,50.58
C-000179,P-006507,5,78.13,390.65
C-000179,P-052413,2,85.09,170.18
C-000179,P-026197,3,28.1,84.3
C-000180,P-039484,1,25.7,25.7
C-000180,P-033970,1,130.17,130.17
C-000180,P-000584,2,54.43,108.86
C-000180,P-040561,1,29.07,29.07
C-000180,P-013569,3,103.31,309.93
C-000181,P-021173,1,126.86,126.86
C-000181,P-044107,2,86.38,172.76
C-000181,P-013104,4,25.56,102.24
C-000181,P-049217,1,46.68,46.68
C-000182,P-030839,2,40.76,81.52
C-000182,P-025378,5,69.65,348.25
C-000182,P-048730,1,50.21,50.21
C-000182,P-007062,4,16.25,65.0
C-000182,P-041603,5,14.67,73.35
C-000183,P-044599,4,49.84,199.36
C-000183,P-027782,4,42.38,169.52
C-000183,P-001451,5,70.02,350.1
C-000184,P-008409,5,127.33,636.65
C-000184,P-026804,4,131.1,524.4
C-000185,P-002973,1,50.52,50.52
C-000185,P-007257,1,45.49,45.49
C-000185,P-053408,4,112.74,450.96
C-000185,P-005157,5,19.3,96.5
C-000186,P-027483,2,104.15,208.3
C-000186,P-020558,4,121.41,485.64
C-000186,P-033395,3,34.25,102.75
C-000187,P-001318,3,76.98,230.94
C-000188,P-014935,5,76.92,384.6
C-000188,P-053452,2,68.71,137.42
C-000188,P-023006,4,138.59,554.36
C-000188,P-030423,4,60.84,243.36
C-000189,P-047384,3,71.19,213.57
C-000190,P-028324,4,63.53,254.12
C-000190,P-023666,4,15.97,63.88
C-000190,P-001254,3,118.88,356.64
C-000190,P-039224,1,68.94,68.94
C-000190,P-032169,1,5.9,5.9
C-000191,P-026722,5,122.57,612.85
C-000191,P-052736,4,78.25,313.0
C-000191,P-044545,2,84.26,168.52
C-000192,P-020892,3,87.49,262.47
C-000193,P-027704,2,116.8,233.6
C-000193,P-016467,3,43.53,130.59
C-000193,P-022501,5,23.35,116.75
C-000193,P-021020,5,68.8,344.0
C-000193,P-001988,2,14.79,29.58
C-000194,P-007056,1,96.95,96.95
C-000194,P-036135,2,53.93,107.86
C-000194,P-022900,5,25.41,127.05
C-000194,P-014451,4,122.29,489.16
C-000194,P-018967,3,93.25,279.75
C-000195,P-042623,2,86.1,172.2
C-000195,P-020027,2,56.66,113.32
C-000195,P-015390,1,130.13,130.13
C-000196,P-001558,1,94.11,94.11
C-000196,P-002499,1,63.97,63.97
C-000196,P-026000,2,7.97,15.94
C-000197,P-045108,1,65.29,65.29
C-000197,P-018459,3,108.27,324.81
C-000197,P-041083,4,113.45,453.8
C-000197,P-046315,2,144.09,288.18
C-000197,P-016018,2,127.95,255.9
C-000198,P-001139,4,12.8,51.2
C-000198,P-044900,4,94.36,377.44
C-000198,P-050964,2,105.4,210.8
C-000198,P-018560,1,28.88,28.88
C-000199,P-025261,3,77.76,233.28
C-000199,P-010250,3,128.1,384.3
C-000199,P-038553,3,40.1,120.3
C-000199,P-035122,5,131.1,655.5
C-000199,P-030789,4,104.59,418.36
C-000200,P-008270,5,48.95,244.75
C-000201,P-039697,5,87.58,437.9
C-000202,P-021804,1,80.73,80.73
C-000202,P-005927,2,131.88,263.76
C-000202,P-005643,1,41.79,41.79
C-000202,P-037042,1,81.83,81.83
C-000202,P-048991,3,49.14,147.42
C-000203,P-010183,4,40.81,163.24
C-000203,P-038199,2,113.38,226.76
C-000203,P-046997,2,123.15,246.3
C-000203,P-045885,1,86.19,86.19
C-000204,P-008078,1,117.33,117.33
C-000204,P-025529,1,29.55,29.55
C-000204,P-009485,5,103.1,515.5
C-000204,P-007431,1,106.32,106.32
C-000205,P-044991,4,80.94,323.76
C-000205,P-052497,4,122.64,490.56
C-000206,P-021875,3,45.5,136.5
C-000206,P-007328,2,3.54,7.08
C-000206,P-041976,4,77.06,308.24
C-000206,P-014514,2,22.25,44.5
C-000206,P-042296,3,98.01,294.03
C-000207,P-008764,5,11.06,55.3
C-000207,P-048763,5,106.04,530.2
C-000207,P-033918,5,83.82,419.1
C-000208,P-028688,2,99.05,198.1
C-000208,P-011269,4,24.34,97.36
C-000208,P-033922,4,127.59,510.36
C-000209,P-009472,1,62.02,62.02
C-000210,P-001682,1,59.49,59.49
C-000210,P-001385,2,162.81,325.62
C-000210,P-009954,1,77.04,77.04
C-000210,P-042068,1,149.39,149.39
C-000210,P-026001,2,22.32,44.64
C-000211,P-031175,5,35.07,175.35
C-000212,P-026389,4,115.02,460.08
C-000212,P-011371,2,50.56,101.12
C-000212,P-010772,1,88.43,88.43
C-000212,P-045210,3,63.05,189.15
C-000212,P-034312,2,97.95,195.9
C-000213,P-014236,5,77.37,386.85
C-000213,P-028162,1,11.66,11.66
C-000213,P-028568,3,100.06,300.18
C-000214,P-047696,2,34.17,68.34
C-000214,P-043859,4,138.8,555.2
C-000215,P-034778,5,34.16,170.8
C-000215,P-018855,5,114.55,572.75
C-000216,P-024685,3,146.31,438.93
C-000216,P-038366,1,6.51,6.51
C-000217,P-046434,1,98.82,98.82
C-000217,P-009255,1,158.82,158.82
C-000217,P-004667,3,88.7,266.1
C-000217,P-047714,4,119.26,477.04
C-000217,P-004365,3,75.16,225.48
C-000218,P-033943,2,60.47,120.94
C-000219,P-021141,1,73.4,73.4
C-000219,P-047080,4,18.84,75.36
C-000219,P-009623,4,88.61,354.44
C-000220,P-008057,4,115.63,462.52
C-000221,P-011393,1,85.14,85.14
C-000222,P-039718,2,111.15,222.3
C-000222,P-006522,1,83.38,83.38
C-000223,P-033027,2,105.42,210.84
C-000223,P-011166,2,56.79,113.58
C-000223,P-037659,1,76.01,76.01
C-000223,P-003252,1,65.8,65.8
C-000224,P-002366,1,55.56,55.56
C-000224,P-009446,2,115.81,231.62
C-000225,P-013895,1,53.74,53.74
C-000225,P-035177,4,3.48,13.92
C-000225,P-020840,5,80.58,402.9
C-000226,P-052544,3,69.89,209.67
C-000227,P-051309,4,135.77,543.08
C-000227,P-003234,1,83.9,83.9
C-000228,P-030276,2,123.24,246.48
C-000228,P-006467,1,48.31,48.31
C-000228,P-034942,1,121.77,121.77
C-000228,P-019248,2,133.42,266.84
C-000228,P-031838,3,106.87,320.61
C-000229,P-019024,5,137.01,685.05
C-000229,P-044274,3,80.64,241.92
C-000230,P-000338,3,111.91,335.73
C-000230,P-011016,3,14.21,42.63
C-000230,P-016348,4,104.08,416.32
C-000231,P-040791,2,117.58,235.16
C-000232,P-047662,3,52.55,157.65
C-000232,P-045754,3,120.47,361.41
C-000232,P-023503,2,66.66,133.32
C-000232,P-010786,5,97.62,488.1
C-000232,P-005304,1,86.7,86.7
C-000233,P-043671,4,76.33,305.32
C-000233,P-012472,2,42.29,84.58
C-000233,P-038249,2,96.05,192.1
C-000233,P-010673,5,49.36,246.8
C-000234,P-016261,1,103.88,103.88
C-000234,P-036817,1,127.54,127.54
C-000234,P-030189,4,87.04,348.16
C-000234,P-014442,3,135.19,405.57
C-000235,P-001209,4,35.56,142.24
C-000235,P-039474,5,141.09,705.45
C-000235,P-039651,5,37.04,185.2
C-000235,P-046872,1,9.26,9.26
C-000236,P-002887,5,38.18,190.9
C-000237,P-044620,3,83.14,249.42
C-000238,P-036935,2,158.96,317.92
C-000238,P-027233,4,57.59,230.36
C-000238,P-048229,5,100.78,503.9
C-000238,P-037601,5,101.27,506.35
C-000238,P-031017,2,4.52,9.04
C-000239,P-025247,2,133.23,266.46
C-000239,P-032939,1,22.62,22.62
C-000239,P-044420,1,85.87,85.87
C-000240,P-049377,3,41.99,125.97
C-000240,P-006064,4,24.05,96.2
C-000240,P-000740,1,126.92,126.92
C-000240,P-040345,3,14.15,42.45
C-000240,P-012073,4,17.4,69.6
C-000241,P-039917,2,24.14,48.28
C-000241,P-029542,3,90.21,270.63
C-000242,P-046601,2,31.08,62.16
C-000242,P-001080,2,43.44,86.88
C-000242,P-045719,1,38.18,38.18
C-000242,P-005655,1,15.83,15.83
C-000242,P-040843,3,134.69,404.07
C-000243,P-007595,2,48.29,96.58
C-000244,P-032477,5,46.34,231.7
C-000244,P-048955,3,120.8,362.4
C-000244,P-040773,2,36.73,73.46
C-000244,P-028293,1,62.72,62.72
C-000244,P-003157,1,85.29,85.29
C-000245,P-014932,2,47.5,95.0
C-000245,P-030265,5,148.4,742.0
C-000246,P-025744,1,20.25,20.25
C-000246,P-036375,2,149.76,299.52
C-000247,P-006373,5,76.97,384.85
C-000247,P-015202,1,101.51,101.51
C-000247,P-049097,2,68.46,136.92
