pago_id,order_proveedor_id,provider_id,provider_name,fecha_orden,condicion_pago,fecha_vencimiento,fecha_pago,monto_total,estado_pago
PP-000058,O-000058,PR-00021,Supermercados LKIL S.A.,2025-08-02,90 días,2025-10-31,,637.65,Pendiente
PP-000059,O-000059,PR-01401,Fábrica CY S.L.N.E,2025-08-20,90 días,2025-11-18,,10448.9,Pendiente
PP-000060,O-000060,PR-00945,Bustamante y asociados S.L.L.,2025-08-08,60 días,2025-10-07,,4749.46,Pendiente
PP-000061,O-000061,PR-00833,Ayala & Asociados S.L.,2025-08-07,Contado,2025-08-07,2025-08-07,1761.06,Pagado
PP-000062,O-000062,PR-00023,Banca Privada TM S.A.,2025-07-11,90 días,2025-10-09,,374.66,Pendiente
PP-000063,O-000063,PR-01405,Familia Duque S.Com.,2025-07-08,60 días,2025-09-06,,3826.12,Pendiente
PP-000064,O-000064,PR-01446,Comercializadora FB S.L.N.E,2025-08-21,60 días,2025-10-20,,1708.1,Pendiente
PP-000065,O-000065,PR-00027,Grupo Araujo S.L.,2025-06-28,90 días,2025-09-26,2025-09-12,4776.14,Pagado
PP-000066,O-000066,PR-00027,Grupo Araujo S.L.,2025-07-10,90 días,2025-10-08,,9941.04,Pendiente
PP-000067,O-000067,PR-00028,Tecnologías del Norte S.L.L.,2025-08-21,Contado,2025-08-21,,6456.24,Retrasado
PP-000068,O-000068,PR-00030,Hernando y asociados S.A.,2025-07-27,30 días,2025-08-26,2025-08-10,320.6,Pagado
PP-000069,O-000069,PR-00031,Gras y Segura S.L.N.E,2025-08-03,60 días,2025-10-02,2025-09-12,4685.1,Pagado
PP-000070,O-000070,PR-01055,Mateu & Asociados S.L.N.E,2025-07-26,60 días,2025-09-24,,1589.72,Pendiente
PP-000071,O-000071,PR-00032,Minería Gomez y asociados S.Coop.,2025-08-15,90 días,2025-11-13,,4951.44,Pendiente
PP-000072,O-000072,PR-00032,Minería Gomez y asociados S.Coop.,2025-08-24,90 días,2025-11-22,2025-10-16,749.28,Pagado
PP-000073,O-000073,PR-01078,Manuel y asociados S.A.,2025-08-19,90 días,2025-11-17,,5100.36,Pendiente
PP-000074,O-000074,PR-00044,Romeu y Barros S.L.,2025-08-17,60 días,2025-10-16,,4911.92,Pendiente
PP-000075,O-000075,PR-00045,Logística Españolas S.L.,2025-07-23,90 días,2025-10-21,,3762.0,Pendiente
PP-000076,O-000076,PR-00787,Salmerón y Aranda S.A.,2025-08-14,90 días,2025-11-12,,7468.66,Pendiente
PP-000077,O-000077,PR-00034,Soluciones Arrieta y asociados S.A.,2025-08-01,30 días,2025-08-31,2025-08-08,6741.68,Pagado
PP-000078,O-000078,PR-01019,Farmaceútica Calvet S.A.,2025-08-03,Contado,2025-08-03,,3661.15,Retrasado
PP-000079,O-000079,PR-00037,Inmobiliaria ZO S.L.,2025-07-05,60 días,2025-09-03,,4318.08,Pendiente
PP-000080,O-000080,PR-00910,Moll & Asociados S.L.,2025-08-12,30 días,2025-09-11,,5939.16,Pendiente
PP-000081,O-000081,PR-00008,Consultoría FYAO S.L.,2025-07-05,30 días,2025-08-04,2025-07-27,11417.81,Pagado
PP-000082,O-000082,PR-00010,Hermanos Casal S.A.,2025-08-04,90 días,2025-11-02,2025-09-22,3493.05,Pagado
PP-000083,O-000083,PR-01329,Grupo Niño S.Com.,2025-07-28,90 días,2025-10-26,2025-08-21,746.55,Pagado
PP-000084,O-000084,PR-00011,Calderon y asociados S.A.,2025-07-10,60 días,2025-09-08,2025-07-18,7571.52,Pagado
PP-000085,O-000085,PR-01172,Borja Puerta Pedraza S.A.,2025-07-11,30 días,2025-08-10,2025-08-07,4563.02,Pagado
PP-000086,O-000086,PR-00015,Gallo y Barbero S.Com.,2025-07-28,60 días,2025-09-26,,4383.06,Pendiente
PP-000087,O-000087,PR-01438,Hermanos Aragonés S.L.N.E,2025-07-13,90 días,2025-10-11,,2077.65,Pendiente
PP-000088,O-000088,PR-00041,Quevedo y Farré S.L.L.,2025-08-23,90 días,2025-11-21,2025-10-22,1817.79,Pagado
PP-000089,O-000089,PR-00664,Transportes Castellana S.L.,2025-07-22,30 días,2025-08-21,,2285.22,Retrasado
PP-000090,O-000090,PR-00017,Téllez y Diez S.A.,2025-08-22,90 días,2025-11-20,,6087.84,Pendiente
PP-000091,O-000091,PR-01330,Inmobiliaria Menéndez S.L.,2025-07-24,90 días,2025-10-22,2025-08-03,9627.6,Pagado
PP-000092,O-000092,PR-00020,Grupo Ibarra S.Com.,2025-06-26,90 días,2025-09-24,,2063.95,Pendiente
PP-000093,O-000093,PR-01361,Inmobiliaria Castellana S.L.,2025-07-08,60 días,2025-09-06,2025-07-17,297.92,Pagado
PP-000094,O-000094,PR-00044,Romeu y Barros S.L.,2025-07-12,60 días,2025-09-10,,1923.56,Pendiente
PP-000095,O-000095,PR-01049,Servicios CEHA S.A.T.,2025-07-06,60 días,2025-09-04,2025-07-16,2402.4,Pagado
PP-000096,O-000096,PR-00036,Instalaciones Lladó S.L.,2025-07-01,90 días,2025-09-29,,2155.44,Pendiente
PP-000097,O-000097,PR-01019,Farmaceútica Calvet S.A.,2025-07-15,Contado,2025-07-15,2025-07-15,9775.46,Pagado
PP-000098,O-000098,PR-00910,Moll & Asociados S.L.,2025-07-21,30 días,2025-08-20,,2501.41,Retrasado
PP-000099,O-000099,PR-01357,Servicios Inteligentes S.Coop.,2025-08-23,30 días,2025-09-22,,2453.88,Pendiente
PP-000100,O-000100,PR-00012,Construcción Planas S.Coop.,2025-07-20,90 días,2025-10-18,2025-08-10,1615.5,Pagado
PP-000101,O-000101,PR-00013,Manzano y Pedro S.L.,2025-08-09,30 días,2025-09-08,,1239.67,Pendiente
PP-000102,O-000102,PR-01097,Alimentación PXD S.L.N.E,2025-08-23,60 días,2025-10-22,2025-09-13,9691.92,Pagado
PP-000103,O-000103,PR-01097,Alimentación PXD S.L.N.E,2025-07-23,60 días,2025-09-21,2025-08-28,9513.68,Pagado
PP-000104,O-000104,PR-00038,Logística Globales S.Com.,2025-06-29,60 días,2025-08-28,2025-07-24,4617.42,Pagado
PP-000105,O-000105,PR-00726,Farmaceútica Sobrino & Asociados S.L.N.E,2025-08-14,30 días,2025-09-13,2025-08-14,11918.7,Pagado
PP-000106,O-000106,PR-01382,Comercial JYU S.Coop.,2025-07-07,30 días,2025-08-06,2025-07-25,6027.0,Pagado
PP-000107,O-000107,PR-00785,Tadeo Vergara Suárez S.A.,2025-07-16,90 días,2025-10-14,,3006.15,Pendiente
PP-000108,O-000108,PR-00016,Hnos Ropero S.Com.,2025-07-11,90 días,2025-10-09,,2432.08,Pendiente
PP-000109,O-000109,PR-00664,Transportes Castellana S.L.,2025-08-13,30 días,2025-09-12,,3521.7,Pendiente
PP-000110,O-000110,PR-01405,Familia Duque S.Com.,2025-07-31,60 días,2025-09-29,,140.28,Pendiente
PP-000111,O-000111,PR-00017,Téllez y Diez S.A.,2025-07-29,90 días,2025-10-27,,11022.4,Pendiente
PP-000112,O-000112,PR-00017,Téllez y Diez S.A.,2025-08-07,90 días,2025-11-05,2025-08-19,1189.1,Pagado
PP-000113,O-000113,PR-00044,Romeu y Barros S.L.,2025-08-12,60 días,2025-10-11,2025-08-14,447.12,Pagado
PP-000114,O-000114,PR-00045,Logística Españolas S.L.,2025-07-23,90 días,2025-10-21,,6552.0,Pendiente
PP-000115,O-000115,PR-00826,Arenas & Asociados S.A.,2025-07-30,60 días,2025-09-28,,2153.36,Pendiente
PP-000116,O-000116,PR-00749,Hnos Sola S.Com.,2025-07-24,90 días,2025-10-22,,10121.95,Pendiente
PP-000117,O-000117,PR-00033,Desarrollo QS S.A.U,2025-07-18,30 días,2025-08-17,2025-07-22,2648.02,Pagado
PP-000118,O-000118,PR-00790,Hermanos Bonilla S.L.N.E,2025-08-15,60 días,2025-10-14,2025-09-24,346.08,Pagado
PP-000119,O-000119,PR-00703,Suministros VPK S.Com.,2025-08-24,90 días,2025-11-22,,2847.9,Pendiente
PP-000120,O-000120,PR-00037,Inmobiliaria ZO S.L.,2025-07-08,60 días,2025-09-06,,5500.88,Pendiente
PP-000121,O-000121,PR-00633,Ballesteros & Asociados S.L.N.E,2025-08-14,60 días,2025-10-13,,166.2,Pendiente
PP-000122,O-000122,PR-00910,Moll & Asociados S.L.,2025-07-10,30 días,2025-08-09,2025-07-30,8142.42,Pagado
PP-000123,O-000123,PR-01357,Servicios Inteligentes S.Coop.,2025-07-17,30 días,2025-08-16,2025-08-15,6460.0,Pagado
PP-000124,O-000124,PR-00011,Calderon y asociados S.A.,2025-07-31,60 días,2025-09-29,,7640.4,Pendiente
PP-000125,O-000125,PR-00011,Calderon y asociados S.A.,2025-08-16,60 días,2025-10-15,,11248.0,Pendiente
PP-000126,O-000126,PR-01172,Borja Puerta Pedraza S.A.,2025-07-04,30 días,2025-08-03,2025-07-15,12563.74,Pagado
PP-000127,O-000127,PR-01172,Borja Puerta Pedraza S.A.,2025-08-19,30 días,2025-09-18,,3578.02,Pendiente
PP-000128,O-000128,PR-00015,Gallo y Barbero S.Com.,2025-08-21,60 días,2025-10-20,,3082.05,Pendiente
PP-000129,O-000129,PR-00038,Logística Globales S.Com.,2025-07-03,60 días,2025-09-01,2025-08-19,11644.85,Pagado
PP-000130,O-000130,PR-00039,Minería GBP S.L.N.E,2025-08-10,30 días,2025-09-09,2025-09-06,4606.98,Pagado
PP-000131,O-000131,PR-00041,Quevedo y Farré S.L.L.,2025-08-22,90 días,2025-11-20,,1444.56,Pendiente
PP-000132,O-000132,PR-00042,Consultoría Manzanares & Asociados S.A.,2025-08-05,90 días,2025-11-03,2025-09-01,5357.46,Pagado
PP-000133,O-000133,PR-01278,Giralt & Asociados S.L.N.E,2025-07-17,90 días,2025-10-15,,3250.08,Pendiente
PP-000134,O-000134,PR-00018,Inmobiliaria Borja S.A.,2025-07-05,30 días,2025-08-04,2025-07-12,3200.16,Pagado
PP-000135,O-000135,PR-00756,Silvio Pallarès Cañas S.Com.,2025-07-31,90 días,2025-10-29,,749.58,Pendiente
PP-000136,O-000136,PR-00045,Logística Españolas S.L.,2025-07-17,90 días,2025-10-15,2025-08-13,1128.4,Pagado
PP-000137,O-000137,PR-00046,Téllez y Gómez S.L.L.,2025-07-22,30 días,2025-08-21,2025-08-06,3651.2,Pagado
PP-000138,O-000138,PR-01179,Desarrollo RPZG S.A.D,2025-07-27,90 días,2025-10-25,2025-09-20,2016.38,Pagado
PP-000139,O-000139,PR-00034,Soluciones Arrieta y asociados S.A.,2025-07-18,30 días,2025-08-17,2025-07-25,3872.68,Pagado
PP-000140,O-000140,PR-00703,Suministros VPK S.Com.,2025-07-18,90 días,2025-10-16,,3942.18,Pendiente
PP-000141,O-000141,PR-00889,Viana y Cañizares S.A.,2025-08-18,60 días,2025-10-17,2025-09-24,3506.76,Pagado
PP-000142,O-000142,PR-01334,Familia Villaverde S.Com.,2025-07-27,30 días,2025-08-26,2025-08-23,4818.24,Pagado
PP-000143,O-000143,PR-00889,Viana y Cañizares S.A.,2025-08-05,60 días,2025-10-04,,4576.11,Pendiente
PP-000144,O-000144,PR-00036,Instalaciones Lladó S.L.,2025-07-06,90 días,2025-10-04,2025-08-23,677.75,Pagado
PP-000145,O-000145,PR-00633,Ballesteros & Asociados S.L.N.E,2025-07-14,60 días,2025-09-12,2025-07-31,11493.46,Pagado
PP-000146,O-000146,PR-00009,Fabiola Rodriguez Roig S.A.,2025-07-30,Contado,2025-07-30,2025-07-30,2281.37,Pagado
PP-000147,O-000147,PR-00009,Fabiola Rodriguez Roig S.A.,2025-08-04,Contado,2025-08-04,,1323.3,Retrasado
PP-000148,O-000148,PR-00986,Servicios Barrera S.Coop.,2025-07-13,60 días,2025-09-11,2025-07-26,4896.08,Pagado
PP-000149,O-000149,PR-00013,Manzano y Pedro S.L.,2025-07-10,30 días,2025-08-09,,10945.48,Pendiente
PP-000150,O-000150,PR-00014,Grupo Giménez S.A.T.,2025-07-30,30 días,2025-08-29,2025-08-18,2046.2,Pagado
PP-000151,O-000151,PR-00014,Grupo Giménez S.A.T.,2025-08-19,30 días,2025-09-18,2025-08-31,2521.26,Pagado
PP-000152,O-000152,PR-01097,Alimentación PXD S.L.N.E,2025-07-02,60 días,2025-08-31,2025-08-06,7174.52,Pagado
PP-000153,O-000153,PR-00038,Logística Globales S.Com.,2025-08-14,60 días,2025-10-13,,1108.65,Pendiente
PP-000154,O-000154,PR-00039,Minería GBP S.L.N.E,2025-08-24,30 días,2025-09-23,,314.76,Pendiente
PP-000155,O-000155,PR-01382,Comercial JYU S.Coop.,2025-08-15,30 días,2025-09-14,2025-08-15,2606.61,Pagado
PP-000156,O-000156,PR-00024,Suministros Medina y asociados S.A.,2025-08-22,60 días,2025-10-21,,2134.8,Pendiente
PP-000157,O-000157,PR-00024,Suministros Medina y asociados S.A.,2025-07-12,60 días,2025-09-10,2025-08-01,3871.12,Pagado
PP-000158,O-000158,PR-01361,Inmobiliaria Castellana S.L.,2025-08-16,60 días,2025-10-15,,9836.64,Pendiente
PP-000159,O-000159,PR-01361,Inmobiliaria Castellana S.L.,2025-08-20,60 días,2025-10-19,,3736.75,Pendiente
PP-000160,O-000160,PR-00756,Silvio Pallarès Cañas S.Com.,2025-07-14,90 días,2025-10-12,,7377.37,Pendiente
PP-000161,O-000161,PR-00047,Familia Vera S.Coop.,2025-07-09,60 días,2025-09-07,2025-08-16,2373.36,Pagado
PP-000162,O-000162,PR-00033,Desarrollo QS S.A.U,2025-08-01,30 días,2025-08-31,2025-08-04,1896.9,Pagado
PP-000163,O-000163,PR-00790,Hermanos Bonilla S.L.N.E,2025-07-08,60 días,2025-09-06,,3138.24,Pendiente
PP-000164,O-000164,PR-00035,Farmaceútica Nadal S.A.,2025-07-21,60 días,2025-09-19,2025-08-13,12942.86,Pagado
PP-000165,O-000165,PR-00037,Inmobiliaria ZO S.L.,2025-07-09,60 días,2025-09-07,2025-08-18,1612.8,Pagado
PP-000166,O-000166,PR-01019,Farmaceútica Calvet S.A.,2025-08-12,Contado,2025-08-12,,881.79,Retrasado
PP-000167,O-000167,PR-00008,Consultoría FYAO S.L.,2025-07-15,30 días,2025-08-14,2025-07-20,5187.4,Pagado
PP-000168,O-000168,PR-00009,Fabiola Rodriguez Roig S.A.,2025-08-24,Contado,2025-08-24,,10635.28,Retrasado
PP-000169,O-000169,PR-01329,Grupo Niño S.Com.,2025-07-10,90 días,2025-10-08,2025-09-30,10765.31,Pagado
PP-000170,O-000170,PR-00038,Logística Globales S.Com.,2025-07-26,60 días,2025-09-24,2025-08-26,915.09,Pagado
PP-000171,O-000171,PR-01438,Hermanos Aragonés S.L.N.E,2025-08-03,90 días,2025-11-01,,2629.0,Pendiente
PP-000172,O-000172,PR-00041,Quevedo y Farré S.L.L.,2025-07-07,90 días,2025-10-05,2025-08-15,4564.48,Pagado
PP-000173,O-000173,PR-01405,Familia Duque S.Com.,2025-07-16,60 días,2025-09-14,2025-08-30,7394.61,Pagado
PP-000174,O-000174,PR-01405,Familia Duque S.Com.,2025-08-07,60 días,2025-10-06,2025-09-10,2412.08,Pagado
PP-000175,O-000175,PR-00017,Téllez y Diez S.A.,2025-07-31,90 días,2025-10-29,2025-07-31,2371.5,Pagado
PP-000176,O-000176,PR-01472,Simón Barrios Nogueira S.Coop.,2025-08-13,90 días,2025-11-11,,5157.12,Pendiente
PP-000177,O-000177,PR-00043,Fábrica Iberia S.Coop.,2025-07-02,60 días,2025-08-31,2025-07-15,1879.15,Pagado
PP-000178,O-000178,PR-00045,Logística Españolas S.L.,2025-08-23,90 días,2025-11-21,2025-09-21,4689.72,Pagado
PP-000179,O-000179,PR-00047,Familia Vera S.Coop.,2025-08-23,60 días,2025-10-22,2025-09-23,3906.87,Pagado
PP-000180,O-000180,PR-00703,Suministros VPK S.Com.,2025-07-21,90 días,2025-10-19,2025-09-21,1558.04,Pagado
PP-000181,O-000181,PR-00037,Inmobiliaria ZO S.L.,2025-08-19,60 días,2025-10-18,,7921.2,Pendiente
PP-000182,O-000182,PR-00006,Fábrica Globales S.L.N.E,2025-07-30,30 días,2025-08-29,2025-08-13,2925.78,Pagado
PP-000183,O-000183,PR-00633,Ballesteros & Asociados S.L.N.E,2025-07-12,60 días,2025-09-10,,10985.27,Pendiente
PP-000184,O-000184,PR-00008,Consultoría FYAO S.L.,2025-08-10,30 días,2025-09-09,2025-08-21,4460.04,Pagado
PP-000185,O-000185,PR-01357,Servicios Inteligentes S.Coop.,2025-07-13,30 días,2025-08-12,2025-07-29,2098.65,Pagado
PP-000186,O-000186,PR-00009,Fabiola Rodriguez Roig S.A.,2025-08-05,Contado,2025-08-05,,5902.23,Retrasado
PP-000187,O-000187,PR-00986,Servicios Barrera S.Coop.,2025-07-17,60 días,2025-09-15,,10930.98,Pendiente
PP-000188,O-000188,PR-00986,Servicios Barrera S.Coop.,2025-07-29,60 días,2025-09-27,,6916.56,Pendiente
PP-000189,O-000189,PR-00038,Logística Globales S.Com.,2025-08-15,60 días,2025-10-14,2025-08-26,1691.36,Pagado
PP-000190,O-000190,PR-00726,Farmaceútica Sobrino & Asociados S.L.N.E,2025-06-30,30 días,2025-07-30,2025-07-20,6789.6,Pagado
PP-000191,O-000191,PR-00018,Inmobiliaria Borja S.A.,2025-06-30,30 días,2025-07-30,2025-07-19,10081.21,Pagado
PP-000192,O-000192,PR-00019,Rosell y Abellán S.A.U,2025-07-18,30 días,2025-08-17,2025-08-06,3439.5,Pagado
PP-000193,O-000193,PR-00020,Grupo Ibarra S.Com.,2025-07-26,90 días,2025-10-24,,263.25,Pendiente
PP-000194,O-000194,PR-01179,Desarrollo RPZG S.A.D,2025-08-16,90 días,2025-11-14,,5627.88,Pendiente
PP-000195,O-000195,PR-00889,Viana y Cañizares S.A.,2025-08-08,60 días,2025-10-07,,913.5,Pendiente
PP-000196,O-000196,PR-01334,Familia Villaverde S.Com.,2025-07-05,30 días,2025-08-04,2025-07-22,690.36,Pagado
PP-000197,O-000197,PR-00910,Moll & Asociados S.L.,2025-06-28,30 días,2025-07-28,,1704.3,Retrasado
PP-000198,O-000198,PR-00009,Fabiola Rodriguez Roig S.A.,2025-08-09,Contado,2025-08-09,2025-08-09,696.62,Pagado
PP-000199,O-000199,PR-00009,Fabiola Rodriguez Roig S.A.,2025-08-02,Contado,2025-08-02,,10696.32,Retrasado
PP-000200,O-000200,PR-00012,Construcción Planas S.Coop.,2025-08-23,90 días,2025-11-21,2025-11-08,5957.72,Pagado
PP-000201,O-000201,PR-00014,Grupo Giménez S.A.T.,2025-07-01,30 días,2025-07-31,2025-07-21,2458.04,Pagado
PP-000202,O-000202,PR-01375,Grupo Pazos S.A.,2025-07-22,60 días,2025-09-20,,2023.68,Pendiente
PP-000203,O-000203,PR-01220,Transportes Asenjo S.A.,2025-08-19,60 días,2025-10-18,2025-09-13,7923.96,Pagado
PP-000204,O-000204,PR-00726,Farmaceútica Sobrino & Asociados S.L.N.E,2025-07-08,30 días,2025-08-07,2025-07-21,6259.84,Pagado
PP-000205,O-000205,PR-00016,Hnos Ropero S.Com.,2025-07-13,90 días,2025-10-11,2025-10-07,7417.31,Pagado
PP-000206,O-000206,PR-00019,Rosell y Abellán S.A.U,2025-07-08,30 días,2025-08-07,,817.44,Retrasado
PP-000207,O-000207,PR-00020,Grupo Ibarra S.Com.,2025-07-06,90 días,2025-10-04,,1069.44,Pendiente
PP-000208,O-000208,PR-00020,Grupo Ibarra S.Com.,2025-08-24,90 días,2025-11-22,,2968.2,Pendiente
PP-000209,O-000209,PR-00045,Logística Españolas S.L.,2025-08-19,90 días,2025-11-17,,8221.95,Pendiente
PP-000210,O-000210,PR-00826,Arenas & Asociados S.A.,2025-07-24,60 días,2025-09-22,2025-08-22,3054.66,Pagado
PP-000211,O-000211,PR-00047,Familia Vera S.Coop.,2025-08-10,60 días,2025-10-09,2025-09-07,1833.0,Pagado
PP-000212,O-000212,PR-01049,Servicios CEHA S.A.T.,2025-08-02,60 días,2025-10-01,,11456.83,Pendiente
PP-000213,O-000213,PR-00034,Soluciones Arrieta y asociados S.A.,2025-07-20,30 días,2025-08-19,2025-08-14,3654.72,Pagado
