cobro_id,venta_id,fecha_cobro,monto_total,metodo_pago,estado_pago
PG-00035,C-000035,2025-08-24,742.51,Bizum,Completado
PG-00036,C-000036,2025-08-05,615.2,Tarjeta,Pendiente
PG-00037,C-000037,2025-08-25,95.29,PayPal,Completado
PG-00038,C-000038,2025-06-04,943.04,Transferencia,Completado
PG-00039,C-000039,2025-08-02,127.28,Transferencia,Completado
PG-00040,C-000040,2025-07-29,582.7,Amazon Pay,Completado
PG-00041,C-000041,2025-07-23,37.07,Transferencia,Completado
PG-00042,C-000042,2025-08-18,258.81,Transferencia,Pendiente
PG-00043,C-000043,2025-07-17,610.65,Transferencia,Completado
PG-00044,C-000044,2025-08-13,151.93,Amazon Pay,Completado
PG-00045,C-000045,2025-08-19,242.2,Tarjeta,Completado
PG-00046,C-000046,2025-07-11,1105.06,Transferencia,Fallido
PG-00047,C-000047,2025-06-22,364.23,Tarjeta,Completado
PG-00048,C-000048,2025-07-30,832.81,Efectivo,Completado
PG-00049,C-000049,2025-06-21,598.35,Amazon Pay,Completado
PG-00050,C-000050,2025-07-29,358.92,Amazon Pay,Fallido
PG-00051,C-000051,2025-07-31,209.36,Tarjeta,Completado
PG-00052,C-000052,2025-07-26,42.07,Efectivo,Completado
PG-00053,C-000053,2025-06-01,566.8,Tarjeta,Completado
PG-00054,C-000054,2025-08-27,459.31,Tarjeta,Completado
PG-00055,C-000055,2025-06-08,581.07,Amazon Pay,Completado
PG-00056,C-000056,2025-06-03,354.78,Transferencia,Completado
PG-00057,C-000057,2025-06-16,17.58,Tarjeta,Completado
PG-00058,C-000058,2025-08-05,520.51,Transferencia,Completado
PG-00059,C-000059,2025-07-16,815.86,Tarjeta,Completado
PG-00060,C-000060,2025-08-11,369.69,Transferencia,Pendiente
PG-00061,C-000061,2025-07-11,431.4,Tarjeta,Completado
PG-00062,C-000062,2025-07-22,494.65,Efectivo,Completado
PG-00063,C-000063,2025-07-26,111.46,Bizum,Completado
PG-00064,C-000064,2025-08-16,450.26,Tarjeta,Completado
PG-00065,C-000065,2025-06-17,794.06,Tarjeta,Completado
PG-00066,C-000066,2025-07-19,6.64,Bizum,Completado
PG-00067,C-000067,2025-06-18,573.9,Tarjeta,Completado
PG-00068,C-000068,2025-08-11,737.67,Tarjeta,Completado
PG-00069,C-000069,2025-07-15,1337.99,Tarjeta,Completado
PG-00070,C-000070,2025-08-05,1089.96,Amazon Pay,Completado
PG-00071,C-000071,2025-07-11,1060.08,Transferencia,Pendiente
PG-00072,C-000072,2025-07-18,1097.43,Efectivo,Completado
PG-00073,C-000073,2025-07-14,574.05,Tarjeta,Completado
PG-00074,C-000074,2025-07-18,811.44,PayPal,Completado
PG-00075,C-000075,2025-07-25,172.25,Amazon Pay,Completado
PG-00076,C-000076,2025-06-22,480.4,Transferencia,Completado
PG-00077,C-000077,2025-06-18,943.14,Transferencia,Completado
PG-00078,C-000078,2025-07-01,310.68,Amazon Pay,Completado
PG-00079,C-000079,2025-07-09,407.86,PayPal,Completado
PG-00080,C-000080,2025-06-28,581.88,Bizum,Completado
PG-00081,C-000081,2025-07-09,226.88,Efectivo,Completado
PG-00082,C-000082,2025-06-26,1062.57,Transferencia,Pendiente
PG-00083,C-000083,2025-06-03,595.35,Transferencia,Completado
PG-00084,C-000084,2025-08-13,868.44,Transferencia,Completado
PG-00085,C-000085,2025-07-20,1076.28,Tarjeta,Completado
PG-00086,C-000086,2025-07-28,320.58,Tarjeta,Completado
PG-00087,C-000087,2025-07-30,839.11,Transferencia,Completado
PG-00088,C-000088,2025-07-28,52.84,Tarjeta,Completado
PG-00089,C-000089,2025-07-04,1387.21,Tarjeta,Completado
PG-00090,C-000090,2025-06-15,567.15,Amazon Pay,Completado
PG-00091,C-000091,2025-07-27,466.21,Transferencia,Completado
PG-00092,C-000092,2025-08-23,795.68,Amazon Pay,Completado
PG-00093,C-000093,2025-06-20,76.31,Transferencia,Completado
PG-00094,C-000094,2025-07-23,594.64,Transferencia,Completado
PG-00095,C-000095,2025-06-17,1442.2,Tarjeta,Completado
PG-00096,C-000096,2025-07-02,255.78,Efectivo,Completado
PG-00097,C-000097,2025-08-12,429.81,Transferencia,Completado
PG-00098,C-000098,2025-06-01,1152.65,Bizum,Completado
PG-00099,C-000099,2025-07-11,2007.09,Bizum,Completado
PG-00100,C-000100,2025-08-26,160.8,Transferencia,Completado
PG-00101,C-000101,2025-06-29,100.32,Transferencia,Completado
PG-00102,C-000102,2025-06-10,74.35,Tarjeta,Completado
PG-00103,C-000103,2025-08-06,108.13,Tarjeta,Completado
PG-00104,C-000104,2025-06-11,953.35,Bizum,Completado
PG-00105,C-000105,2025-06-22,1158.49,PayPal,Completado
PG-00106,C-000106,2025-08-29,592.41,Transferencia,Completado
PG-00107,C-000107,2025-06-02,663.38,Transferencia,Completado
PG-00108,C-000108,2025-08-01,63.98,Amazon Pay,Pendiente
PG-00109,C-000109,2025-06-19,1003.47,Transferencia,Completado
PG-00110,C-000110,2025-08-12,924.96,PayPal,Completado
PG-00111,C-000111,2025-08-28,265.24,Tarjeta,Completado
PG-00112,C-000112,2025-06-15,248.16,Amazon Pay,Completado
PG-00113,C-000113,2025-06-06,672.12,Transferencia,Fallido
PG-00114,C-000114,2025-07-18,1304.82,Transferencia,Completado
PG-00115,C-000115,2025-07-08,20.26,Transferencia,Completado
PG-00116,C-000116,2025-06-03,1754.02,Transferencia,Pendiente
PG-00117,C-000117,2025-08-23,588.77,Transferencia,Completado
PG-00118,C-000118,2025-08-20,518.14,Amazon Pay,Pendiente
PG-00119,C-000119,2025-08-06,475.75,Amazon Pay,Pendiente
PG-00120,C-000120,2025-07-14,466.74,Transferencia,Completado
PG-00121,C-000121,2025-06-20,868.49,Transferencia,Completado
PG-00122,C-000122,2025-08-07,416.36,Tarjeta,Pendiente
PG-00123,C-000123,2025-08-19,975.05,Efectivo,Completado
PG-00124,C-000124,2025-07-09,871.24,Bizum,Completado
PG-00125,C-000125,2025-06-23,594.73,Tarjeta,Completado
PG-00126,C-000126,2025-08-23,125.02,Bizum,Completado
PG-00127,C-000127,2025-07-14,1201.97,Tarjeta,Completado
PG-00128,C-000128,2025-05-31,184.62,Transferencia,Completado
PG-00129,C-000129,2025-07-11,971.47,Efectivo,Completado
PG-00130,C-000130,2025-08-05,761.92,Transferencia,Completado
PG-00131,C-000131,2025-08-09,585.89,Transferencia,Completado
PG-00132,C-000132,2025-07-30,191.71,Transferencia,Pendiente
PG-00133,C-000133,2025-08-01,1328.86,Tarjeta,Completado
PG-00134,C-000134,2025-08-18,1284.37,Efectivo,Completado
PG-00135,C-000135,2025-06-27,921.27,Transferencia,Pendiente
PG-00136,C-000136,2025-06-30,142.32,Transferencia,Completado
PG-00137,C-000137,2025-07-03,209.36,Transferencia,Completado
PG-00138,C-000138,2025-06-10,397.67,Efectivo,Completado
PG-00139,C-000139,2025-06-02,627.2,Tarjeta,Completado
PG-00140,C-000140,2025-07-18,24.42,Amazon Pay,Completado
PG-00141,C-000141,2025-08-06,1388.8,Efectivo,Completado
PG-00142,C-000142,2025-07-22,53.56,Efectivo,Completado
PG-00143,C-000143,2025-06-11,613.11,Transferencia,Completado
PG-00144,C-000144,2025-08-24,588.1,Efectivo,Completado
PG-00145,C-000145,2025-08-17,1118.17,Tarjeta,Completado
PG-00146,C-000146,2025-07-02,544.29,Tarjeta,Completado
PG-00147,C-000147,2025-07-23,164.19,PayPal,Completado
PG-00148,C-000148,2025-07-10,439.04,Transferencia,Completado
PG-00149,C-000149,2025-06-28,960.42,Tarjeta,Completado
PG-00150,C-000150,2025-08-03,720.51,Transferencia,Completado
PG-00151,C-000151,2025-06-13,2059.14,Efectivo,Completado
PG-00152,C-000152,2025-08-28,156.31,Transferencia,Completado
PG-00153,C-000153,2025-07-31,674.9,PayPal,Completado
PG-00154,C-000154,2025-08-20,692.61,Amazon Pay,Completado
PG-00155,C-000155,2025-06-02,1147.43,Amazon Pay,Completado
PG-00156,C-000156,2025-06-19,302.1,Amazon Pay,Completado
PG-00157,C-000157,2025-06-04,475.19,PayPal,Completado
PG-00158,C-000158,2025-06-22,920.23,Transferencia,Completado
PG-00159,C-000159,2025-07-03,1120.69,Tarjeta,Completado
PG-00160,C-000160,2025-08-04,1393.39,Transferencia,Fallido
PG-00161,C-000161,2025-07-22,597.41,PayPal,Completado
PG-00162,C-000162,2025-06-08,553.32,PayPal,Completado
PG-00163,C-000163,2025-06-16,1107.62,Tarjeta,Completado
PG-00164,C-000164,2025-07-14,1024.31,Efectivo,Pendiente
PG-00165,C-000165,2025-06-06,28.22,Amazon Pay,Completado
PG-00166,C-000166,2025-07-26,498.54,Transferencia,Completado
PG-00167,C-000167,2025-06-24,661.93,PayPal,Completado
PG-00168,C-000168,2025-06-22,232.59,Bizum,Completado
PG-00169,C-000169,2025-07-18,245.44,Tarjeta,Completado
PG-00170,C-000170,2025-06-06,860.6,Transferencia,Completado
PG-00171,C-000171,2025-07-04,502.03,Efectivo,Completado
PG-00172,C-000172,2025-06-23,1000.31,Efectivo,Completado
PG-00173,C-000173,2025-06-16,1302.59,Bizum,Pendiente
PG-00174,C-000174,2025-07-23,1365.32,Tarjeta,Pendiente
PG-00175,C-000175,2025-08-19,1147.42,Tarjeta,Completado
PG-00176,C-000176,2025-07-15,942.74,Transferencia,Completado
PG-00177,C-000177,2025-08-20,544.51,Tarjeta,Completado
PG-00178,C-000178,2025-08-10,1465.76,Bizum,Completado
PG-00179,C-000179,2025-07-22,1841.12,Transferencia,Fallido
PG-00180,C-000180,2025-07-22,542.07,Tarjeta,Completado
PG-00181,C-000181,2025-07-04,738.6,Amazon Pay,Completado
PG-00182,C-000182,2025-07-27,993.65,Transferencia,Completado
PG-00183,C-000183,2025-08-25,543.62,Tarjeta,Completado
PG-00184,C-000184,2025-06-28,214.32,Transferencia,Completado
PG-00185,C-000185,2025-06-30,627.75,Tarjeta,Completado
PG-00186,C-000186,2025-08-04,442.37,Efectivo,Completado
PG-00187,C-000187,2025-06-12,793.83,Efectivo,Completado
PG-00188,C-000188,2025-06-02,339.93,Efectivo,Completado
PG-00189,C-000189,2025-07-11,392.76,Transferencia,Completado
PG-00190,C-000190,2025-06-09,686.25,Transferencia,Completado
PG-00191,C-000191,2025-06-27,295.72,Tarjeta,Completado
PG-00192,C-000192,2025-08-28,220.95,Amazon Pay,Completado
PG-00193,C-000193,2025-07-28,108.51,Tarjeta,Completado
PG-00194,C-000194,2025-07-25,733.68,PayPal,Completado
PG-00195,C-000195,2025-07-07,213.6,Transferencia,Pendiente
PG-00196,C-000196,2025-06-20,384.96,PayPal,Completado
PG-00197,C-000197,2025-06-26,684.27,Tarjeta,Completado
PG-00198,C-000198,2025-06-08,430.4,Amazon Pay,Completado
PG-00199,C-000199,2025-06-25,82.02,Bizum,Completado
PG-00200,C-000200,2025-07-11,153.12,Transferencia,Fallido
PG-00201,C-000201,2025-08-13,313.74,Efectivo,Pendiente
PG-00202,C-000202,2025-08-21,418.59,Efectivo,Completado
PG-00203,C-000203,2025-07-05,696.89,Bizum,Completado
PG-00204,C-000204,2025-06-12,1612.28,Tarjeta,Completado
PG-00205,C-000205,2025-06-15,531.8,Transferencia,Completado
PG-00206,C-000206,2025-08-16,456.88,Tarjeta,Completado
PG-00207,C-000207,2025-07-28,464.77,Transferencia,Pendiente
PG-00208,C-000208,2025-06-08,802.43,Bizum,Completado
PG-00209,C-000209,2025-08-29,748.08,Tarjeta,Completado
PG-00210,C-000210,2025-06-09,777.92,Bizum,Completado
PG-00211,C-000211,2025-07-10,846.1,Transferencia,Completado
PG-00212,C-000212,2025-06-03,210.63,Bizum,Completado
PG-00213,C-000213,2025-07-26,677.29,Transferencia,Completado
PG-00214,C-000214,2025-06-12,453.63,Efectivo,Completado
PG-00215,C-000215,2025-06-15,382.0,Transferencia,Completado
PG-00216,C-000216,2025-06-03,746.81,Transferencia,Completado
PG-00217,C-000217,2025-08-20,803.04,Amazon Pay,Completado
PG-00218,C-000218,2025-07-03,1061.42,Transferencia,Completado
PG-00219,C-000219,2025-08-19,1137.63,Bizum,Completado
PG-00220,C-000220,2025-06-21,877.87,Transferencia,Completado
PG-00221,C-000221,2025-08-16,1181.26,Tarjeta,Completado
PG-00222,C-000222,2025-07-05,638.86,Tarjeta,Completado
PG-00223,C-000223,2025-06-23,158.04,Tarjeta,Completado
PG-00224,C-000224,2025-07-29,1043.69,Transferencia,Completado
PG-00225,C-000225,2025-07-11,1520.43,Transferencia,Completado
PG-00226,C-000226,2025-07-21,390.31,Bizum,Completado
PG-00227,C-000227,2025-08-07,392.29,Transferencia,Completado
PG-00228,C-000228,2025-06-14,646.36,Bizum,Completado
PG-00229,C-000229,2025-08-01,621.76,Transferencia,Completado
PG-00230,C-000230,2025-08-13,645.88,Transferencia,Completado
PG-00231,C-000231,2025-07-22,150.56,Amazon Pay,Completado
PG-00232,C-000232,2025-07-06,306.01,Tarjeta,Completado
PG-00233,C-000233,2025-07-08,363.39,Tarjeta,Pendiente
PG-00234,C-000234,2025-08-13,520.13,Transferencia,Completado
PG-00235,C-000235,2025-08-08,371.27,Bizum,Pendiente
PG-00236,C-000236,2025-07-04,1846.17,Tarjeta,Completado
PG-00237,C-000237,2025-06-27,929.32,Transferencia,Completado
PG-00238,C-000238,2025-06-08,66.67,Tarjeta,Completado
PG-00239,C-000239,2025-08-10,919.5,Tarjeta,Completado
PG-00240,C-000240,2025-08-15,27.47,Amazon Pay,Completado
PG-00241,C-000241,2025-08-03,109.8,Transferencia,Completado
PG-00242,C-000242,2025-08-22,897.72,Efectivo,Completado
PG-00243,C-000243,2025-06-10,1222.14,Tarjeta,Completado
PG-00244,C-000244,2025-08-15,46.29,Tarjeta,Completado
PG-00245,C-000245,2025-08-14,619.74,Tarjeta,Completado
PG-00246,C-000246,2025-08-29,547.23,Tarjeta,Completado
PG-00247,C-000247,2025-06-14,355.66,Transferencia,Completado
PG-00248,C-000248,2025-08-09,1213.51,Bizum,Completado
PG-00249,C-000249,2025-07-20,945.54,Bizum,Completado
PG-00250,C-000250,2025-08-11,198.86,Bizum,Completado
PG-00251,C-000251,2025-08-29,1422.61,Efectivo,Completado
PG-00252,C-000252,2025-07-13,711.07,Amazon Pay,Completado
PG-00253,C-000253,2025-07-13,231.9,PayPal,Completado
PG-00254,C-000254,2025-08-09,616.48,PayPal,Completado
PG-00255,C-000255,2025-06-15,556.24,Transferencia,Completado
PG-00256,C-000256,2025-06-19,689.96,Amazon Pay,Completado
PG-00257,C-000257,2025-08-09,845.27,Efectivo,Pendiente
PG-00258,C-000258,2025-07-01,724.8,Tarjeta,Completado
PG-00259,C-000259,2025-07-08,314.85,Transferencia,Completado
PG-00260,C-000260,2025-06-04,1220.4,Tarjeta,Completado
PG-00261,C-000261,2025-07-15,791.78,Bizum,Completado
PG-00262,C-000262,2025-08-20,821.3,Tarjeta,Completado
PG-00263,C-000263,2025-06-07,698.35,PayPal,Fallido
PG-00264,C-000264,2025-08-12,783.04,Transferencia,Completado
PG-00265,C-000265,2025-06-03,1061.01,Amazon Pay,Completado
PG-00266,C-000266,2025-07-06,134.57,Tarjeta,Completado
PG-00267,C-000267,2025-07-20,1164.72,Transferencia,Completado
PG-00268,C-000268,2025-08-23,982.22,Amazon Pay,Completado
PG-00269,C-000269,2025-08-11,46.27,Transferencia,Completado
PG-00270,C-000270,2025-08-06,78.48,PayPal,Completado
PG-00271,C-000271,2025-06-18,402.5,Transferencia,Completado
PG-00272,C-000272,2025-07-04,1041.48,Tarjeta,Completado
PG-00273,C-000273,2025-06-15,253.15,Transferencia,Completado
PG-00274,C-000274,2025-06-05,330.66,Tarjeta,Completado
PG-00275,C-000275,2025-08-23,38.24,Tarjeta,Completado
PG-00276,C-000276,2025-06-07,513.88,PayPal,Fallido
PG-00277,C-000277,2025-08-04,963.79,Efectivo,Completado
PG-00278,C-000278,2025-07-02,541.96,PayPal,Completado
PG-00279,C-000279,2025-06-18,951.7,Efectivo,Completado
PG-00280,C-000280,2025-07-04,225.35,Tarjeta,Completado
PG-00281,C-000281,2025-06-10,525.4,Tarjeta,Pendiente
PG-00282,C-000282,2025-08-26,1233.03,Transferencia,Completado
PG-00283,C-000283,2025-08-24,350.17,Tarjeta,Completado
PG-00284,C-000284,2025-06-13,663.03,Tarjeta,Completado
PG-00285,C-000285,2025-06-02,953.36,PayPal,Pendiente
PG-00286,C-000286,2025-06-11,553.23,Tarjeta,Completado
PG-00287,C-000287,2025-07-31,209.76,PayPal,Completado
PG-00288,C-000288,2025-07-27,788.26,Tarjeta,Completado
PG-00289,C-000289,2025-06-22,1186.0,Tarjeta,Completado
PG-00290,C-000290,2025-08-12,1150.43,Transferencia,Completado
PG-00291,C-000291,2025-06-07,675.46,Tarjeta,Completado
PG-00292,C-000292,2025-07-27,443.55,Transferencia,Completado
PG-00293,C-000293,2025-08-09,415.02,PayPal,Completado
PG-00294,C-000294,2025-07-16,290.52,Transferencia,Pendiente
PG-00295,C-000295,2025-08-27,961.53,PayPal,Completado
PG-00296,C-000296,2025-08-14,805.02,Transferencia,Completado
PG-00297,C-000297,2025-08-28,147.62,Transferencia,Completado
PG-00298,C-000298,2025-08-05,1499.69,Amazon Pay,Completado
PG-00299,C-000299,2025-06-01,360.14,Amazon Pay,Completado
PG-00300,C-000300,2025-08-23,218.26,Tarjeta,Completado
PG-00301,C-000301,2025-07-30,539.48,Tarjeta,Completado
PG-00302,C-000302,2025-07-22,597.41,Transferencia,Completado
PG-00303,C-000303,2025-07-07,171.3,Amazon Pay,Completado
PG-00304,C-000304,2025-06-28,1164.79,Transferencia,Completado
PG-00305,C-000305,2025-08-17,760.66,Tarjeta,Completado
PG-00306,C-000306,2025-07-09,1431.54,Tarjeta,Completado
PG-00307,C-000307,2025-06-21,63.87,Tarjeta,Completado
PG-00308,C-000308,2025-08-17,517.59,Efectivo,Completado
PG-00309,C-000309,2025-07-23,548.8,Tarjeta,Completado
PG-00310,C-000310,2025-08-07,685.17,PayPal,Completado
PG-00311,C-000311,2025-07-14,603.92,Tarjeta,Completado
PG-00312,C-000312,2025-08-17,241.56,Amazon Pay,Completado
PG-00313,C-000313,2025-08-15,472.85,Bizum,Completado
PG-00314,C-000314,2025-06-11,1077.7,PayPal,Completado
PG-00315,C-000315,2025-08-18,478.95,Tarjeta,Pendiente
PG-00316,C-000316,2025-08-21,290.12,Tarjeta,Fallido
PG-00317,C-000317,2025-08-27,1564.36,Tarjeta,Completado
PG-00318,C-000318,2025-06-11,289.86,Tarjeta,Completado
PG-00319,C-000319,2025-08-18,698.66,Efectivo,Completado
PG-00320,C-000320,2025-06-13,562.52,Tarjeta,Completado
PG-00321,C-000321,2025-08-25,443.91,Transferencia,Completado
PG-00322,C-000322,2025-08-06,247.96,Bizum,Completado
PG-00323,C-000323,2025-06-18,301.8,Amazon Pay,Completado
PG-00324,C-000324,2025-06-21,337.29,Efectivo,Completado
PG-00325,C-000325,2025-08-06,396.63,Bizum,Completado
PG-00326,C-000326,2025-07-18,1504.92,Amazon Pay,Completado
PG-00327,C-000327,2025-07-21,55.48,Tarjeta,Completado
PG-00328,C-000328,2025-08-14,1104.01,Tarjeta,Completado
PG-00329,C-000329,2025-08-08,484.89,Amazon Pay,Completado
PG-00330,C-000330,2025-08-24,1394.71,Bizum,Completado
PG-00331,C-000331,2025-08-09,1006.32,Tarjeta,Completado
PG-00332,C-000332,2025-08-21,724.26,Bizum,Completado
PG-00333,C-000333,2025-06-22,470.04,Tarjeta,Completado
PG-00334,C-000334,2025-08-11,637.93,PayPal,Completado
PG-00335,C-000335,2025-07-08,497.7,Tarjeta,Completado
PG-00336,C-000336,2025-07-11,406.07,Efectivo,Fallido
PG-00337,C-000337,2025-06-08,52.36,Bizum,Completado
PG-00338,C-000338,2025-07-02,1000.95,Bizum,Completado
PG-00339,C-000339,2025-08-14,1227.94,Tarjeta,Completado
PG-00340,C-000340,2025-07-03,548.54,Transferencia,Completado
PG-00341,C-000341,2025-08-04,1426.9,Tarjeta,Completado
PG-00342,C-000342,2025-08-07,650.08,Transferencia,Completado
PG-00343,C-000343,2025-08-20,494.9,Tarjeta,Completado
PG-00344,C-000344,2025-08-16,959.9,PayPal,Completado
PG-00345,C-000345,2025-08-07,370.98,Amazon Pay,Completado
PG-00346,C-000346,2025-08-06,2.82,PayPal,Completado
PG-00347,C-000347,2025-07-29,1131.69,Transferencia,Completado
PG-00348,C-000348,2025-06-06,616.91,PayPal,Completado
PG-00349,C-000349,2025-07-15,578.75,Efectivo,Completado
PG-00350,C-000350,2025-06-20,841.06,Tarjeta,Completado
PG-00351,C-000351,2025-07-24,703.12,PayPal,Completado
PG-00352,C-000352,2025-08-15,622.98,Transferencia,Completado
PG-00353,C-000353,2025-06-21,235.42,Transferencia,Completado
PG-00354,C-000354,2025-08-10,1440.04,Tarjeta,Completado
PG-00355,C-000355,2025-06-06,397.45,Transferencia,Completado
PG-00356,C-000356,2025-07-09,264.27,Tarjeta,Completado
PG-00357,C-000357,2025-07-26,641.34,Transferencia,Completado
PG-00358,C-000358,2025-07-01,139.74,Amazon Pay,Completado
PG-00359,C-000359,2025-07-11,319.93,Transferencia,Completado
PG-00360,C-000360,2025-06-10,1039.85,Tarjeta,Completado
PG-00361,C-000361,2025-06-16,92.15,Tarjeta,Pendiente
PG-00362,C-000362,2025-06-07,334.19,PayPal,Completado
PG-00363,C-000363,2025-06-12,668.9,Bizum,Completado
PG-00364,C-000364,2025-07-03,564.89,Efectivo,Completado
PG-00365,C-000365,2025-08-28,166.48,PayPal,Completado
PG-00366,C-000366,2025-07-21,189.95,Bizum,Completado
PG-00367,C-000367,2025-06-23,35.9,Efectivo,Completado
PG-00368,C-000368,2025-07-21,326.46,Bizum,Completado
PG-00369,C-000369,2025-06-19,268.28,Tarjeta,Completado
PG-00370,C-000370,2025-08-26,119.39,Tarjeta,Pendiente
PG-00371,C-000371,2025-07-04,503.89,Tarjeta,Completado
PG-00372,C-000372,2025-07-03,883.51,Tarjeta,Pendiente
PG-00373,C-000373,2025-07-17,507.45,Transferencia,Completado
PG-00374,C-000374,2025-08-29,312.64,Transferencia,Completado
PG-00375,C-000375,2025-06-22,1127.14,Efectivo,Completado
PG-00376,C-000376,2025-08-27,667.85,Efectivo,Completado
PG-00377,C-000377,2025-08-14,1300.81,Tarjeta,Completado
PG-00378,C-000378,2025-06-20,35.66,Transferencia,Completado
PG-00379,C-000379,2025-06-04,216.25,PayPal,Completado
PG-00380,C-000380,2025-08-25,1346.45,Efectivo,Completado
PG-00381,C-000381,2025-07-20,1121.16,PayPal,Completado
PG-00382,C-000382,2025-07-05,288.2,Tarjeta,Pendiente
PG-00383,C-000383,2025-06-13,369.42,Tarjeta,Completado
PG-00384,C-000384,2025-08-10,157.02,Efectivo,Completado
PG-00385,C-000385,2025-07-12,433.58,Tarjeta,Fallido
PG-00386,C-000386,2025-08-21,510.68,Tarjeta,Completado
PG-00387,C-000387,2025-07-24,101.36,Amazon Pay,Completado
PG-00388,C-000388,2025-06-02,459.94,PayPal,Completado
PG-00389,C-000389,2025-07-31,350.4,Bizum,Completado
PG-00390,C-000390,2025-07-22,205.54,PayPal,Completado
PG-00391,C-000391,2025-06-02,1639.59,Amazon Pay,Completado
PG-00392,C-000392,2025-08-24,153.86,Tarjeta,Completado
PG-00393,C-000393,2025-08-27,889.54,PayPal,Completado
PG-00394,C-000394,2025-08-27,88.96,Transferencia,Completado
PG-00395,C-000395,2025-07-10,625.55,Tarjeta,Fallido
PG-00396,C-000396,2025-08-27,745.81,Bizum,Pendiente
PG-00397,C-000397,2025-08-08,791.54,Efectivo,Completado
PG-00398,C-000398,2025-08-03,840.94,Transferencia,Completado
PG-00399,C-000399,2025-07-14,143.6,Tarjeta,Completado
PG-00400,C-000400,2025-07-03,182.22,Tarjeta,Completado
PG-00401,C-000401,2025-06-15,172.74,Transferencia,Pendiente
PG-00402,C-000402,2025-07-30,284.36,PayPal,Completado
PG-00403,C-000403,2025-06-07,1080.18,Efectivo,Completado
PG-00404,C-000404,2025-06-21,488.85,Tarjeta,Pendiente
PG-00405,C-000405,2025-08-13,867.18,Tarjeta,Completado
PG-00406,C-000406,2025-07-13,293.87,PayPal,Completado
PG-00407,C-000407,2025-06-26,482.72,Tarjeta,Completado
PG-00408,C-000408,2025-08-04,492.04,Bizum,Completado
PG-00409,C-000409,2025-07-23,284.54,Bizum,Pendiente
PG-00410,C-000410,2025-06-14,353.4,Bizum,Completado
PG-00411,C-000411,2025-08-16,110.05,Tarjeta,Completado
PG-00412,C-000412,2025-07-04,1924.13,Bizum,Completado
PG-00413,C-000413,2025-06-25,434.5,Amazon Pay,Completado
PG-00414,C-000414,2025-08-12,15.56,Tarjeta,Completado
PG-00415,C-000415,2025-08-19,80.58,Amazon Pay,Completado
PG-00416,C-000416,2025-08-10,1080.1,Transferencia,Completado
PG-00417,C-000417,2025-07-31,800.43,Bizum,Pendiente
PG-00418,C-000418,2025-08-15,1060.6,Transferencia,Completado
PG-00419,C-000419,2025-07-09,492.29,Amazon Pay,Completado
PG-00420,C-000420,2025-06-10,262.16,Transferencia,Completado
PG-00421,C-000421,2025-07-08,602.92,Tarjeta,Completado
PG-00422,C-000422,2025-07-12,836.82,Efectivo,Completado
PG-00423,C-000423,2025-07-11,1054.8,Tarjeta,Pendiente
PG-00424,C-000424,2025-06-19,937.53,Tarjeta,Pendiente
PG-00425,C-000425,2025-08-22,537.47,PayPal,Completado
