order_proveedor_id,branch_id,product_id,provider_id,provider_name,fecha_orden,cantidad,precio_unitario,total,estado
O-000039,BR-00002,P-000284,PR-01456,Comercial RN S.A.,2025-08-25,32,61.29,1961.28,Recibido
O-000040,BR-00002,P-000296,PR-00956,Desarrollo Integrales S.L.,2025-07-04,74,139.54,10325.96,En tránsito
O-000041,BR-00002,P-000306,PR-00943,Grupo Fernández S.L.,2025-07-28,70,117.86,8250.2,Recibido
O-000042,BR-00002,P-000309,PR-01119,Familia Roldan S.L.,2025-07-17,92,89.92,8272.64,Pendiente
O-000043,BR-00002,P-000313,PR-01156,Despacho Españolas S.Com.,2025-07-09,42,56.28,2363.76,Recibido
O-000044,BR-00002,P-000319,PR-00012,Grupo Mascaró S.Coop.,2025-08-28,43,122.21,5255.03,En tránsito
O-000045,BR-00002,P-000321,PR-00012,Grupo Mascaró S.Coop.,2025-07-25,22,73.37,1614.14,En tránsito
O-000046,BR-00002,P-000329,PR-00013,Industrias del Noroeste S.L.N.E,2025-08-06,54,125.9,6798.6,Pendiente
O-000047,BR-00002,P-000332,PR-01459,Construcción Pallarès S.Com.,2025-08-10,46,130.51,6003.46,Pendiente
O-000048,BR-00002,P-000333,PR-00014,Linares y Macías S.L.L.,2025-07-25,53,148.66,7878.98,En tránsito
O-000049,BR-00002,P-000337,PR-00683,Comercializadora DOH S.A.,2025-08-20,71,107.76,7650.96,Recibido
O-000050,BR-00002,P-000338,PR-00015,Plinio Paniagua Folch S.L.,2025-07-10,34,111.91,3804.94,Recibido
O-000051,BR-00002,P-000347,PR-00627,Infraestructuras WXJ S.L.,2025-08-21,75,37.04,2778.0,Recibido
O-000052,BR-00002,P-000353,PR-01432,Familia Garzón S.L.,2025-08-05,39,110.05,4291.95,En tránsito
O-000053,BR-00002,P-000363,PR-00041,Familia Vaquero S.Coop.,2025-07-26,39,49.74,1939.86,Recibido
O-000054,BR-00002,P-000371,PR-00042,Compañía Moya y asociados S.Coop.,2025-08-22,59,118.95,7018.05,Recibido
O-000055,BR-00002,P-000373,PR-00016,Manufacturas Palacios S.L.,2025-07-25,41,73.29,3004.89,En tránsito
O-000056,BR-00002,P-000377,PR-01350,Luciana Álvarez Belmonte S.A.,2025-08-07,28,39.58,1108.24,Recibido
O-000057,BR-00002,P-000380,PR-01261,Virgilio Prieto Marti S.L.N.E,2025-07-14,55,46.16,2538.8,Recibido
O-000058,BR-00002,P-000382,PR-00018,Servicios Flor & Asociados S.L.U.,2025-07-18,43,25.03,1076.29,Recibido
O-000059,BR-00002,P-000386,PR-00648,Josefa Rodriguez Machado S.A.T.,2025-08-10,31,138.41,4290.71,Recibido
O-000060,BR-00002,P-000394,PR-01101,Corominas & Asociados S.L.,2025-08-12,80,133.22,10657.6,En tránsito
O-000061,BR-00002,P-000395,PR-01024,Hotel Pablo y asociados S.A.,2025-07-20,34,149.56,5085.04,Pendiente
O-000062,BR-00002,P-000403,PR-00002,Construcción Inteligentes S.C.P,2025-08-09,45,18.14,816.3,Recibido
O-000063,BR-00002,P-000412,PR-00004,Logística Pazos S.A.,2025-08-23,37,89.76,3321.12,Pendiente
O-000064,BR-00002,P-000413,PR-01236,Promociones Cepeda S.L.U.,2025-07-03,22,9.84,216.48,Recibido
O-000065,BR-00002,P-000416,PR-00005,Soluciones Torre S.Coop.,2025-07-28,79,49.25,3890.75,Pendiente
O-000066,BR-00002,P-000418,PR-00005,Soluciones Torre S.Coop.,2025-07-26,63,85.26,5371.38,Recibido
O-000067,BR-00002,P-000430,PR-00776,Nieves Hurtado Fiol S.Com.,2025-07-25,43,38.75,1666.25,En tránsito
O-000068,BR-00002,P-000432,PR-00776,Nieves Hurtado Fiol S.Com.,2025-07-10,32,80.65,2580.8,Recibido
O-000069,BR-00002,P-000434,PR-00023,Distribuciones Inteligentes S.Com.,2025-07-03,21,36.04,756.84,Recibido
O-000070,BR-00002,P-000443,PR-01239,Roura y asociados S.Coop.,2025-07-18,31,112.12,3475.72,En tránsito
O-000071,BR-00002,P-000458,PR-00628,Sanmiguel y Escrivá S.Coop.,2025-07-06,21,138.07,2899.47,En tránsito
O-000072,BR-00002,P-000465,PR-00028,Alimentación Internacionales S.A.,2025-07-17,64,112.98,7230.72,Pendiente
O-000073,BR-00002,P-000469,PR-01197,Zaragoza & Asociados S.Coop.,2025-08-01,24,135.61,3254.64,Pendiente
O-000074,BR-00002,P-000470,PR-01197,Zaragoza & Asociados S.Coop.,2025-08-27,60,133.16,7989.6,En tránsito
O-000075,BR-00002,P-000477,PR-01425,Talleres del Mediterráneo S.L.,2025-08-08,53,134.1,7107.3,En tránsito
O-000076,BR-00002,P-000484,PR-00904,Soluciones SS S.A.,2025-08-03,93,3.67,341.31,Pendiente
O-000077,BR-00002,P-000487,PR-00904,Soluciones SS S.A.,2025-08-05,79,68.77,5432.83,Pendiente
O-000078,BR-00003,P-000491,PR-00043,Perelló y Lorenzo S.L.,2025-07-13,63,63.12,3976.56,En tránsito
O-000079,BR-00003,P-000505,PR-00045,Desarrollo Pedrero & Asociados S.L.U.,2025-08-10,67,101.34,6789.78,Pendiente
O-000080,BR-00003,P-000511,PR-01342,Soluciones Ibéricos S.L.L.,2025-08-26,60,147.06,8823.6,Pendiente
O-000081,BR-00003,P-000519,PR-00033,Despacho LDRM S.A.,2025-07-24,30,5.62,168.6,Recibido
O-000082,BR-00003,P-000520,PR-00708,Tecnologías Ibéricos S.Coop.,2025-08-13,54,51.19,2764.26,En tránsito
O-000083,BR-00003,P-000523,PR-00034,Blanes y Cañizares S.A.,2025-08-07,79,80.54,6362.66,En tránsito
O-000084,BR-00003,P-000526,PR-00035,Banca Privada Salvador S.Com.,2025-07-03,33,69.19,2283.27,En tránsito
O-000085,BR-00003,P-000527,PR-00035,Banca Privada Salvador S.Com.,2025-08-06,86,94.33,8112.38,En tránsito
O-000086,BR-00003,P-000537,PR-00037,María José Bellido Serna S.A.,2025-08-06,34,98.95,3364.3,Pendiente
O-000087,BR-00003,P-000542,PR-00006,Consultoría Teruel y asociados S.A.,2025-07-22,31,19.82,614.42,En tránsito
O-000088,BR-00003,P-000549,PR-00007,Hermanos Corbacho S.A.,2025-06-30,69,115.42,7963.98,En tránsito
O-000089,BR-00003,P-000557,PR-00738,Suministros Heredia S.L.,2025-08-14,74,113.35,8387.9,Pendiente
O-000090,BR-00003,P-000565,PR-01156,Despacho Españolas S.Com.,2025-08-25,62,119.19,7389.78,Recibido
O-000091,BR-00003,P-000572,PR-01245,Suministros Arenas S.L.,2025-07-07,23,37.31,858.13,En tránsito
O-000092,BR-00003,P-000582,PR-00013,Industrias del Noroeste S.L.N.E,2025-07-22,33,13.5,445.5,Pendiente
O-000093,BR-00003,P-000601,PR-01432,Familia Garzón S.L.,2025-08-19,51,124.01,6324.51,En tránsito
O-000094,BR-00003,P-000612,PR-01383,Familia Falcón S.L.L.,2025-07-04,90,136.18,12256.2,En tránsito
O-000095,BR-00003,P-000624,PR-00645,Hnos Barriga S.L.L.,2025-07-24,54,108.82,5876.28,Pendiente
O-000096,BR-00003,P-000631,PR-00017,Samper y Cabanillas S.Coop.,2025-07-19,96,20.37,1955.52,En tránsito
O-000097,BR-00004,P-000660,PR-00044,Hnos Nebot S.L.N.E,2025-07-09,23,6.64,152.72,Pendiente
O-000098,BR-00004,P-000662,PR-00868,Hermanos Fernández S.Com.,2025-08-25,69,129.6,8942.4,Recibido
O-000099,BR-00004,P-000663,PR-00045,Desarrollo Pedrero & Asociados S.L.U.,2025-07-01,61,138.85,8469.85,En tránsito
O-000100,BR-00004,P-000669,PR-00047,Logística Bermudez S.L.,2025-08-27,75,59.34,4450.5,Recibido
O-000101,BR-00004,P-000674,PR-00708,Tecnologías Ibéricos S.Coop.,2025-07-20,69,26.6,1835.4,Pendiente
O-000102,BR-00004,P-000680,PR-01064,Distribuciones Saura S.A.,2025-07-06,44,114.11,5020.84,Recibido
O-000103,BR-00004,P-000685,PR-00035,Banca Privada Salvador S.Com.,2025-07-25,69,11.53,795.57,Recibido
O-000104,BR-00004,P-000687,PR-00036,Infraestructuras Niño S.Coop.,2025-07-22,97,31.68,3072.96,En tránsito
O-000105,BR-00004,P-000691,PR-00036,Infraestructuras Niño S.Coop.,2025-07-06,59,25.66,1513.94,Pendiente
O-000106,BR-00004,P-000704,PR-00699,Cano y asociados S.L.,2025-07-08,69,52.0,3588.0,En tránsito
O-000107,BR-00004,P-000706,PR-00943,Grupo Fernández S.L.,2025-07-09,29,35.9,1041.1,Pendiente
O-000108,BR-00004,P-000721,PR-01156,Despacho Españolas S.Com.,2025-07-12,86,70.74,6083.64,Pendiente
O-000109,BR-00004,P-000745,PR-00794,Construcción NZMQ S.L.N.E,2025-07-24,83,108.11,8973.13,Recibido
O-000110,BR-00004,P-000755,PR-01437,Construcción Montes y asociados S.Com.,2025-08-20,89,30.19,2686.91,En tránsito
O-000111,BR-00004,P-000756,PR-01383,Familia Falcón S.L.L.,2025-07-02,78,71.38,5567.64,Recibido
O-000112,BR-00004,P-000759,PR-01437,Construcción Montes y asociados S.Com.,2025-07-06,20,143.15,2863.0,Pendiente
O-000113,BR-00004,P-000761,PR-01383,Familia Falcón S.L.L.,2025-06-30,57,40.56,2311.92,En tránsito
O-000114,BR-00004,P-000769,PR-00042,Compañía Moya y asociados S.Coop.,2025-08-28,48,9.81,470.88,Recibido
O-000115,BR-00004,P-000776,PR-00645,Hnos Barriga S.L.L.,2025-07-21,61,22.53,1374.33,Pendiente
O-000116,BR-00004,P-000786,PR-00018,Servicios Flor & Asociados S.L.U.,2025-07-13,91,84.64,7702.24,En tránsito
O-000117,BR-00004,P-000792,PR-01101,Corominas & Asociados S.L.,2025-08-16,84,63.56,5339.04,Pendiente
O-000118,BR-00004,P-000793,PR-01101,Corominas & Asociados S.L.,2025-08-15,48,103.46,4966.08,En tránsito
O-000119,BR-00005,P-000799,PR-00043,Perelló y Lorenzo S.L.,2025-08-18,51,76.92,3922.92,En tránsito
O-000120,BR-00005,P-000805,PR-00868,Hermanos Fernández S.Com.,2025-07-04,97,54.36,5272.92,Pendiente
O-000121,BR-00005,P-000815,PR-01116,Grupo Morán S.A.,2025-07-26,47,24.47,1150.09,En tránsito
O-000122,BR-00005,P-000825,PR-00033,Despacho LDRM S.A.,2025-07-22,85,144.55,12286.75,Pendiente
O-000123,BR-00005,P-000830,PR-01042,Hnos Moll S.Coop.,2025-08-25,86,64.12,5514.32,Pendiente
O-000124,BR-00005,P-000859,PR-00738,Suministros Heredia S.L.,2025-08-02,92,68.0,6256.0,En tránsito
O-000125,BR-00005,P-000868,PR-01156,Despacho Españolas S.Com.,2025-08-01,58,14.27,827.66,Pendiente
O-000126,BR-00005,P-000872,PR-00011,Buendía y Oller S.L.,2025-08-19,58,127.34,7385.72,Pendiente
O-000127,BR-00005,P-000876,PR-00012,Grupo Mascaró S.Coop.,2025-08-07,45,50.02,2250.9,Recibido
O-000128,BR-00005,P-000879,PR-00012,Grupo Mascaró S.Coop.,2025-07-16,76,84.69,6436.44,Pendiente
O-000129,BR-00005,P-000882,PR-00761,Finanzas TH S.A.,2025-07-02,99,53.44,5290.56,Pendiente
O-000130,BR-00005,P-000899,PR-00627,Infraestructuras WXJ S.L.,2025-07-31,89,92.2,8205.8,En tránsito
O-000131,BR-00005,P-000905,PR-01432,Familia Garzón S.L.,2025-07-10,42,90.54,3802.68,En tránsito
O-000132,BR-00005,P-000908,PR-01432,Familia Garzón S.L.,2025-07-30,70,70.97,4967.9,Pendiente
O-000133,BR-00005,P-000929,PR-01394,Transportes HKAN S.Com.,2025-07-15,74,63.49,4698.26,Recibido
O-000134,BR-00005,P-000933,PR-01350,Luciana Álvarez Belmonte S.A.,2025-07-20,79,60.74,4798.46,En tránsito
O-000135,BR-00005,P-000935,PR-00017,Samper y Cabanillas S.Coop.,2025-08-25,54,62.67,3384.18,Recibido
O-000136,BR-00005,P-000937,PR-01487,Minería Pagès y asociados S.L.,2025-07-30,47,100.11,4705.17,Recibido
O-000137,BR-00005,P-000938,PR-00018,Servicios Flor & Asociados S.L.U.,2025-08-24,91,54.24,4935.84,En tránsito
O-000138,BR-00005,P-000940,PR-01487,Minería Pagès y asociados S.L.,2025-08-01,97,116.18,11269.46,Recibido
O-000139,BR-00005,P-000944,PR-00648,Josefa Rodriguez Machado S.A.T.,2025-07-07,70,87.36,6115.2,En tránsito
O-000140,BR-00005,P-000947,PR-00020,Goñi & Asociados S.L.L.,2025-07-08,58,57.0,3306.0,Recibido
O-000141,BR-00006,P-000977,PR-00047,Logística Bermudez S.L.,2025-08-20,95,17.96,1706.2,En tránsito
O-000142,BR-00006,P-000981,PR-00047,Logística Bermudez S.L.,2025-07-25,59,89.6,5286.4,Pendiente
O-000143,BR-00006,P-000985,PR-00708,Tecnologías Ibéricos S.Coop.,2025-08-07,30,115.59,3467.7,Recibido
O-000144,BR-00006,P-000987,PR-00033,Despacho LDRM S.A.,2025-08-13,68,131.01,8908.68,Recibido
O-000145,BR-00006,P-000990,PR-01042,Hnos Moll S.Coop.,2025-08-18,26,119.46,3105.96,En tránsito
O-000146,BR-00006,P-001002,PR-01456,Comercial RN S.A.,2025-07-24,34,114.72,3900.48,En tránsito
O-000147,BR-00006,P-001003,PR-00036,Infraestructuras Niño S.Coop.,2025-07-13,69,13.9,959.1,En tránsito
O-000148,BR-00006,P-001010,PR-00037,María José Bellido Serna S.A.,2025-08-28,49,107.28,5256.72,Pendiente
O-000149,BR-00006,P-001013,PR-01097,Albano Cervantes Palacio S.L.,2025-07-03,80,138.4,11072.0,En tránsito
O-000150,BR-00006,P-001014,PR-00006,Consultoría Teruel y asociados S.A.,2025-08-25,57,68.03,3877.71,Recibido
O-000151,BR-00006,P-001019,PR-00007,Hermanos Corbacho S.A.,2025-08-11,57,139.5,7951.5,En tránsito
O-000152,BR-00006,P-001024,PR-00943,Grupo Fernández S.L.,2025-07-10,24,112.64,2703.36,En tránsito
O-000153,BR-00006,P-001025,PR-00773,Ángel Merino Escribano S.Coop.,2025-07-19,56,148.89,8337.84,En tránsito
O-000154,BR-00006,P-001031,PR-00009,Sotelo y asociados S.A.T.,2025-08-26,76,20.05,1523.8,Pendiente
O-000155,BR-00006,P-001044,PR-00012,Grupo Mascaró S.Coop.,2025-07-27,73,53.79,3926.67,En tránsito
O-000156,BR-00006,P-001060,PR-00968,Pascual Lladó Soria S.Coop.,2025-08-16,99,54.81,5426.19,Recibido
O-000157,BR-00006,P-001070,PR-00038,Talleres QPJJ S.A.,2025-08-23,74,19.45,1439.3,En tránsito
O-000158,BR-00006,P-001079,PR-01383,Familia Falcón S.L.L.,2025-07-10,86,148.31,12754.66,En tránsito
O-000159,BR-00006,P-001085,PR-01437,Construcción Montes y asociados S.Com.,2025-07-16,59,14.67,865.53,Pendiente
O-000160,BR-00006,P-001089,PR-00041,Familia Vaquero S.Coop.,2025-07-31,81,30.02,2431.62,En tránsito
O-000161,BR-00006,P-001094,PR-00676,Minería Sacristán y asociados S.Com.,2025-08-13,70,146.22,10235.4,En tránsito
O-000162,BR-00006,P-001097,PR-00016,Manufacturas Palacios S.L.,2025-07-26,46,136.83,6294.18,En tránsito
O-000163,BR-00006,P-001101,PR-00017,Samper y Cabanillas S.Coop.,2025-08-01,54,79.25,4279.5,Pendiente
O-000164,BR-00006,P-001110,PR-00648,Josefa Rodriguez Machado S.A.T.,2025-07-02,32,109.42,3501.44,Recibido
O-000165,BR-00006,P-001120,PR-00020,Goñi & Asociados S.L.L.,2025-07-24,34,34.6,1176.4,En tránsito
O-000166,BR-00007,P-001123,PR-01096,Banca Privada Salamanca y asociados S.L.,2025-07-13,95,102.35,9723.25,Pendiente
O-000167,BR-00007,P-001129,PR-01418,Hnos Gaya S.A.,2025-08-16,45,142.52,6413.4,En tránsito
O-000168,BR-00007,P-001134,PR-00868,Hermanos Fernández S.Com.,2025-07-07,21,107.0,2247.0,Recibido
O-000169,BR-00007,P-001140,PR-00047,Logística Bermudez S.L.,2025-07-21,90,53.94,4854.6,En tránsito
O-000170,BR-00007,P-001155,PR-00034,Blanes y Cañizares S.A.,2025-07-01,58,25.5,1479.0,Recibido
O-000171,BR-00007,P-001156,PR-01042,Hnos Moll S.Coop.,2025-07-01,48,73.4,3523.2,Recibido
O-000172,BR-00007,P-001157,PR-01064,Distribuciones Saura S.A.,2025-07-21,46,19.56,899.76,Pendiente
O-000173,BR-00007,P-001164,PR-00035,Banca Privada Salvador S.Com.,2025-07-17,93,41.1,3822.3,En tránsito
O-000174,BR-00007,P-001178,PR-00006,Consultoría Teruel y asociados S.A.,2025-08-24,88,13.15,1157.2,En tránsito
O-000175,BR-00007,P-001180,PR-00006,Consultoría Teruel y asociados S.A.,2025-07-13,83,31.04,2576.32,Pendiente
O-000176,BR-00007,P-001182,PR-00007,Hermanos Corbacho S.A.,2025-07-12,56,132.23,7404.88,Pendiente
O-000177,BR-00007,P-001184,PR-00008,Industrias Jaume y asociados S.L.,2025-07-29,27,142.97,3860.19,Pendiente
O-000178,BR-00007,P-001187,PR-01178,Iniesta & Asociados S.A.T.,2025-08-14,86,147.65,12697.9,En tránsito
O-000179,BR-00007,P-001219,PR-00015,Plinio Paniagua Folch S.L.,2025-08-11,92,54.17,4983.64,Pendiente
O-000180,BR-00007,P-001236,PR-00041,Familia Vaquero S.Coop.,2025-08-22,80,44.77,3581.6,Recibido
O-000181,BR-00007,P-001244,PR-00042,Compañía Moya y asociados S.Coop.,2025-08-04,91,98.74,8985.34,En tránsito
O-000182,BR-00007,P-001245,PR-00042,Compañía Moya y asociados S.Coop.,2025-08-02,36,23.47,844.92,En tránsito
O-000183,BR-00007,P-001250,PR-00016,Manufacturas Palacios S.L.,2025-07-28,90,67.78,6100.2,En tránsito
O-000184,BR-00007,P-001263,PR-01487,Minería Pagès y asociados S.L.,2025-07-20,62,4.87,301.94,Pendiente
O-000185,BR-00007,P-001267,PR-00020,Goñi & Asociados S.L.L.,2025-08-09,61,100.39,6123.79,Pendiente
O-000186,BR-00008,P-001284,PR-00868,Hermanos Fernández S.Com.,2025-08-02,46,141.86,6525.56,Recibido
O-000187,BR-00008,P-001307,PR-00035,Banca Privada Salvador S.Com.,2025-07-13,96,23.1,2217.6,Pendiente
O-000188,BR-00008,P-001321,PR-01097,Albano Cervantes Palacio S.L.,2025-08-16,68,66.53,4524.04,Pendiente
O-000189,BR-00008,P-001322,PR-00037,María José Bellido Serna S.A.,2025-07-14,79,122.99,9716.21,Recibido
O-000190,BR-00008,P-001331,PR-00956,Desarrollo Integrales S.L.,2025-08-24,98,37.33,3658.34,Recibido
O-000191,BR-00008,P-001342,PR-01062,Suministros Montes S.Com.,2025-07-13,96,137.83,13231.68,En tránsito
O-000192,BR-00008,P-001360,PR-00994,Supermercados Yuste S.Coop.,2025-08-22,87,44.42,3864.54,En tránsito
O-000193,BR-00008,P-001361,PR-00014,Linares y Macías S.L.L.,2025-07-20,75,95.93,7194.75,En tránsito
O-000194,BR-00008,P-001371,PR-00039,Manu Chico Beltrán S.A.U,2025-07-25,47,6.31,296.57,Pendiente
O-000195,BR-00008,P-001374,PR-00039,Manu Chico Beltrán S.A.U,2025-08-13,62,134.91,8364.42,Recibido
O-000196,BR-00008,P-001384,PR-00041,Familia Vaquero S.Coop.,2025-07-30,54,135.01,7290.54,Recibido
O-000197,BR-00008,P-001407,PR-01101,Corominas & Asociados S.L.,2025-07-24,41,133.82,5486.62,Recibido
O-000198,BR-00008,P-001410,PR-00020,Goñi & Asociados S.L.L.,2025-08-27,23,91.8,2111.4,En tránsito
O-000199,BR-00009,P-001413,PR-00043,Perelló y Lorenzo S.L.,2025-08-28,45,63.72,2867.4,En tránsito
O-000200,BR-00009,P-001417,PR-01418,Hnos Gaya S.A.,2025-07-09,62,27.31,1693.22,Recibido
O-000201,BR-00009,P-001422,PR-00045,Desarrollo Pedrero & Asociados S.L.U.,2025-07-08,43,16.17,695.31,Pendiente
O-000202,BR-00009,P-001425,PR-01342,Soluciones Ibéricos S.L.L.,2025-08-14,21,125.07,2626.47,Recibido
O-000203,BR-00009,P-001426,PR-00046,Priscila Pujadas Navarrete S.A.T.,2025-07-03,45,130.18,5858.1,Pendiente
O-000204,BR-00009,P-001446,PR-01456,Comercial RN S.A.,2025-08-26,24,10.02,240.48,En tránsito
O-000205,BR-00009,P-001448,PR-01456,Comercial RN S.A.,2025-07-26,80,86.53,6922.4,Recibido
O-000206,BR-00009,P-001449,PR-00036,Infraestructuras Niño S.Coop.,2025-08-19,46,14.5,667.0,Pendiente
O-000207,BR-00009,P-001454,PR-01097,Albano Cervantes Palacio S.L.,2025-07-27,51,27.67,1411.17,Pendiente
O-000208,BR-00009,P-001458,PR-00006,Consultoría Teruel y asociados S.A.,2025-07-21,38,97.35,3699.3,Pendiente
O-000209,BR-00009,P-001473,PR-00009,Sotelo y asociados S.A.T.,2025-07-21,69,148.87,10272.03,Recibido
O-000210,BR-00009,P-001474,PR-01119,Familia Roldan S.L.,2025-07-28,27,103.95,2806.65,Pendiente
O-000211,BR-00009,P-001477,PR-01156,Despacho Españolas S.Com.,2025-07-08,57,23.2,1322.4,En tránsito
O-000212,BR-00009,P-001487,PR-00013,Industrias del Noroeste S.L.N.E,2025-08-02,94,5.53,519.82,Recibido
O-000213,BR-00009,P-001502,PR-00794,Construcción NZMQ S.L.N.E,2025-08-20,82,83.9,6879.8,Pendiente
O-000214,BR-00009,P-001509,PR-00038,Talleres QPJJ S.A.,2025-07-12,85,18.03,1532.55,En tránsito
O-000215,BR-00009,P-001517,PR-01437,Construcción Montes y asociados S.Com.,2025-07-12,33,78.81,2600.73,Pendiente
O-000216,BR-00009,P-001518,PR-00040,Promociones Española S.Coop.,2025-08-24,35,79.89,2796.15,Recibido
O-000217,BR-00009,P-001519,PR-00041,Familia Vaquero S.Coop.,2025-07-07,66,109.58,7232.28,Recibido
O-000218,BR-00009,P-001526,PR-00042,Compañía Moya y asociados S.Coop.,2025-08-10,37,132.64,4907.68,Pendiente
O-000219,BR-00009,P-001533,PR-00024,Manufacturas DVS S.A.,2025-07-08,28,102.63,2873.64,Pendiente
O-000220,BR-00009,P-001535,PR-01261,Virgilio Prieto Marti S.L.N.E,2025-07-18,59,145.61,8590.99,Recibido
O-000221,BR-00009,P-001539,PR-00735,Infraestructuras CZIU S.Coop.,2025-08-27,51,11.83,603.33,Pendiente
O-000222,BR-00009,P-001547,PR-00019,Valencia y asociados S.L.,2025-07-01,39,85.11,3319.29,Recibido
O-000223,BR-00010,P-001559,PR-00043,Perelló y Lorenzo S.L.,2025-07-02,29,9.72,281.88,Pendiente
O-000224,BR-00010,P-001560,PR-00919,Mesa y Izaguirre S.Coop.,2025-08-16,93,28.98,2695.14,En tránsito
O-000225,BR-00010,P-001564,PR-00045,Desarrollo Pedrero & Asociados S.L.U.,2025-07-05,30,70.47,2114.1,Pendiente
O-000226,BR-00010,P-001566,PR-00868,Hermanos Fernández S.Com.,2025-07-10,55,132.45,7284.75,Recibido
O-000227,BR-00010,P-001569,PR-01116,Grupo Morán S.A.,2025-08-01,69,120.81,8335.89,Pendiente
