entrega_id,venta_id,fecha_envio,fecha_entrega,estado,tipo_entrega,empresa_logistica,cumplimiento_72h
ET-00046,C-000046,,,Pendiente,Logística,Correos Express,
ET-00049,C-000049,2025-06-08,2025-06-10,Entregado,Logística,UPS,Entregado a tiempo
ET-00051,C-000051,2025-07-03,2025-07-05,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00055,C-000055,2025-08-28,,Enviado,Propia,,
ET-00057,C-000057,2025-07-01,2025-07-01,Entregado,Propia,,Entregado a tiempo
ET-00059,C-000059,2025-06-23,2025-06-24,Entregado,Propia,,Entregado a tiempo
ET-00062,C-000062,2025-06-26,,Enviado,Propia,,
ET-00064,C-000064,2025-06-11,2025-06-11,Entregado,Propia,,Entregado a tiempo
ET-00066,C-000066,2025-08-31,,Enviado,Logística,SEUR,
ET-00069,C-000069,2025-07-01,2025-07-04,Entregado,Propia,,Entregado a tiempo
ET-00071,C-000071,2025-06-15,2025-06-19,Entregado,Propia,,Retrasado
ET-00072,C-000072,2025-06-21,2025-06-23,Entregado,Logística,FedEx,Entregado a tiempo
ET-00073,C-000073,2025-08-11,,Enviado,Logística,DHL,
ET-00074,C-000074,2025-08-12,2025-08-15,Entregado,Logística,SEUR,Entregado a tiempo
ET-00077,C-000077,,,Pendiente,Logística,FedEx,
ET-00078,C-000078,,,Pendiente,Logística,FedEx,
ET-00079,C-000079,2025-07-26,,Enviado,Propia,,
ET-00080,C-000080,2025-08-05,,Cancelado,Propia,,
ET-00081,C-000081,2025-06-29,2025-07-02,Entregado,Logística,DHL,Entregado a tiempo
ET-00082,C-000082,2025-06-03,,Enviado,Propia,,
ET-00084,C-000084,,,Pendiente,Propia,,
ET-00086,C-000086,2025-07-01,2025-07-03,Entregado,Propia,,Entregado a tiempo
ET-00089,C-000089,2025-08-19,2025-08-21,Entregado,Logística,FedEx,Entregado a tiempo
ET-00090,C-000090,2025-06-13,,Enviado,Logística,FedEx,
ET-00091,C-000091,2025-08-23,,Enviado,Logística,DHL,
ET-00092,C-000092,2025-06-21,2025-06-23,Entregado,Propia,,Entregado a tiempo
ET-00093,C-000093,2025-07-03,2025-07-05,Entregado,Propia,,Entregado a tiempo
ET-00096,C-000096,2025-08-08,,Cancelado,Logística,DHL,
ET-00098,C-000098,2025-06-15,,Cancelado,Propia,,
ET-00099,C-000099,2025-07-12,,Cancelado,Propia,,
ET-00100,C-000100,2025-07-18,,Cancelado,Logística,FedEx,
ET-00102,C-000102,2025-06-22,,Enviado,Propia,,
ET-00103,C-000103,2025-08-16,,Cancelado,Logística,FedEx,
ET-00104,C-000104,2025-07-28,2025-07-31,Entregado,Logística,DHL,Entregado a tiempo
ET-00105,C-000105,2025-08-08,2025-08-11,Entregado,Logística,SEUR,Entregado a tiempo
ET-00106,C-000106,2025-08-16,,Enviado,Logística,UPS,
ET-00107,C-000107,2025-08-02,,Cancelado,Propia,,
ET-00109,C-000109,2025-08-24,,Enviado,Propia,,
ET-00111,C-000111,2025-07-23,,Enviado,Propia,,
ET-00113,C-000113,2025-08-03,,Cancelado,Logística,MRW,
ET-00114,C-000114,2025-06-04,2025-06-05,Entregado,Propia,,Entregado a tiempo
ET-00115,C-000115,2025-08-21,,Enviado,Logística,DHL,
ET-00118,C-000118,2025-08-15,,Enviado,Logística,FedEx,
ET-00119,C-000119,2025-07-12,,Cancelado,Propia,,
ET-00122,C-000122,2025-07-17,2025-07-21,Entregado,Logística,FedEx,Retrasado
ET-00125,C-000125,2025-08-25,2025-08-29,Entregado,Logística,MRW,Retrasado
ET-00127,C-000127,2025-08-04,2025-08-08,Entregado,Propia,,Retrasado
ET-00129,C-000129,2025-07-30,2025-08-01,Entregado,Logística,DHL,Entregado a tiempo
ET-00130,C-000130,2025-06-06,2025-06-09,Entregado,Propia,,Entregado a tiempo
ET-00131,C-000131,2025-07-21,2025-07-23,Entregado,Propia,,Entregado a tiempo
ET-00133,C-000133,2025-06-10,2025-06-13,Entregado,Logística,UPS,Entregado a tiempo
ET-00134,C-000134,2025-06-13,2025-06-16,Entregado,Logística,UPS,Entregado a tiempo
ET-00136,C-000136,2025-07-09,2025-07-09,Entregado,Propia,,Entregado a tiempo
ET-00137,C-000137,2025-06-04,2025-06-04,Entregado,Logística,SEUR,Entregado a tiempo
ET-00138,C-000138,2025-07-09,2025-07-13,Entregado,Logística,Amazon Logistics,Retrasado
ET-00139,C-000139,2025-06-01,,Enviado,Logística,FedEx,
ET-00141,C-000141,2025-06-14,2025-06-14,Entregado,Logística,FedEx,Entregado a tiempo
ET-00142,C-000142,2025-08-28,2025-08-28,Entregado,Propia,,Entregado a tiempo
ET-00143,C-000143,2025-08-14,,Enviado,Logística,FedEx,
ET-00144,C-000144,2025-08-15,,Cancelado,Logística,DHL,
ET-00145,C-000145,,,Pendiente,Propia,,
ET-00147,C-000147,2025-08-19,2025-08-19,Entregado,Logística,UPS,Entregado a tiempo
ET-00150,C-000150,2025-08-17,2025-08-20,Entregado,Propia,,Entregado a tiempo
ET-00153,C-000153,2025-07-18,2025-07-20,Entregado,Propia,,Entregado a tiempo
ET-00157,C-000157,,,Pendiente,Propia,,
ET-00158,C-000158,,,Pendiente,Logística,SEUR,
ET-00161,C-000161,2025-08-20,2025-08-24,Entregado,Logística,Amazon Logistics,Retrasado
ET-00162,C-000162,2025-08-15,2025-08-15,Entregado,Logística,UPS,Entregado a tiempo
ET-00163,C-000163,2025-08-16,2025-08-18,Entregado,Propia,,Entregado a tiempo
ET-00164,C-000164,,,Pendiente,Propia,,
ET-00165,C-000165,2025-07-10,2025-07-10,Entregado,Logística,FedEx,Entregado a tiempo
ET-00166,C-000166,2025-08-06,2025-08-07,Entregado,Propia,,Entregado a tiempo
ET-00167,C-000167,2025-06-21,2025-06-21,Entregado,Logística,DHL,Entregado a tiempo
ET-00169,C-000169,2025-06-19,2025-06-21,Entregado,Logística,MRW,Entregado a tiempo
ET-00170,C-000170,2025-07-16,2025-07-20,Entregado,Logística,FedEx,Retrasado
ET-00171,C-000171,2025-07-30,,Enviado,Logística,DHL,
ET-00172,C-000172,2025-08-23,,Enviado,Logística,UPS,
ET-00174,C-000174,2025-06-20,2025-06-22,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00175,C-000175,2025-06-13,2025-06-16,Entregado,Propia,,Entregado a tiempo
ET-00177,C-000177,2025-08-15,2025-08-18,Entregado,Logística,UPS,Entregado a tiempo
ET-00178,C-000178,2025-07-10,,Enviado,Propia,,
ET-00179,C-000179,2025-07-28,2025-08-01,Entregado,Propia,,Retrasado
ET-00181,C-000181,2025-06-24,,Enviado,Logística,Correos Express,
ET-00182,C-000182,,,Pendiente,Propia,,
ET-00183,C-000183,2025-05-31,,Enviado,Propia,,
ET-00184,C-000184,2025-07-08,,Cancelado,Logística,UPS,
ET-00186,C-000186,2025-07-21,,Enviado,Propia,,
ET-00187,C-000187,2025-06-18,,Enviado,Logística,Correos Express,
ET-00188,C-000188,2025-08-24,,Enviado,Propia,,
ET-00192,C-000192,2025-06-20,,Enviado,Logística,DHL,
ET-00193,C-000193,2025-05-31,,Enviado,Propia,,
ET-00195,C-000195,2025-08-29,2025-08-29,Entregado,Propia,,Entregado a tiempo
ET-00197,C-000197,2025-06-13,,Cancelado,Logística,MRW,
ET-00199,C-000199,2025-06-22,2025-06-22,Entregado,Logística,MRW,Entregado a tiempo
ET-00200,C-000200,2025-08-16,,Enviado,Propia,,
ET-00202,C-000202,2025-07-22,2025-07-22,Entregado,Propia,,Entregado a tiempo
ET-00204,C-000204,2025-07-01,2025-07-02,Entregado,Logística,FedEx,Entregado a tiempo
ET-00205,C-000205,2025-06-12,,Enviado,Propia,,
ET-00206,C-000206,,,Pendiente,Propia,,
ET-00207,C-000207,2025-08-07,,Enviado,Logística,SEUR,
ET-00209,C-000209,2025-06-23,2025-06-26,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00210,C-000210,2025-07-13,2025-07-13,Entregado,Logística,UPS,Entregado a tiempo
ET-00212,C-000212,,,Pendiente,Logística,FedEx,
ET-00218,C-000218,2025-06-16,,Enviado,Propia,,
ET-00220,C-000220,,,Pendiente,Propia,,
ET-00221,C-000221,2025-07-02,2025-07-02,Entregado,Logística,FedEx,Entregado a tiempo
ET-00222,C-000222,2025-08-20,2025-08-22,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00223,C-000223,2025-08-23,2025-08-24,Entregado,Propia,,Entregado a tiempo
ET-00224,C-000224,2025-07-01,2025-07-04,Entregado,Logística,FedEx,Entregado a tiempo
ET-00226,C-000226,2025-07-17,2025-07-20,Entregado,Logística,MRW,Entregado a tiempo
ET-00227,C-000227,2025-06-21,2025-06-21,Entregado,Logística,FedEx,Entregado a tiempo
ET-00229,C-000229,2025-06-01,,Enviado,Logística,FedEx,
ET-00230,C-000230,2025-07-13,2025-07-13,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00231,C-000231,2025-07-14,,Enviado,Logística,MRW,
ET-00232,C-000232,2025-08-06,,Cancelado,Propia,,
ET-00233,C-000233,,,Pendiente,Propia,,
ET-00235,C-000235,2025-06-07,,Cancelado,Propia,,
ET-00236,C-000236,2025-07-14,2025-07-14,Entregado,Logística,DHL,Entregado a tiempo
ET-00237,C-000237,2025-08-07,2025-08-11,Entregado,Logística,UPS,Retrasado
ET-00238,C-000238,,,Pendiente,Propia,,
ET-00240,C-000240,2025-08-18,2025-08-22,Entregado,Logística,SEUR,Retrasado
ET-00241,C-000241,2025-07-01,,Enviado,Propia,,
ET-00243,C-000243,2025-08-15,2025-08-17,Entregado,Logística,DHL,Entregado a tiempo
ET-00244,C-000244,2025-07-19,,Enviado,Logística,FedEx,
ET-00247,C-000247,2025-07-30,2025-08-01,Entregado,Propia,,Entregado a tiempo
ET-00248,C-000248,2025-08-05,2025-08-09,Entregado,Propia,,Retrasado
ET-00250,C-000250,2025-06-28,,Enviado,Logística,Correos Express,
ET-00252,C-000252,2025-07-22,,Enviado,Logística,SEUR,
ET-00254,C-000254,,,Pendiente,Logística,UPS,
ET-00255,C-000255,2025-06-15,2025-06-15,Entregado,Propia,,Entregado a tiempo
ET-00256,C-000256,2025-08-19,2025-08-22,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00257,C-000257,2025-07-07,2025-07-08,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00261,C-000261,2025-06-08,,Enviado,Propia,,
ET-00264,C-000264,2025-06-24,,Cancelado,Propia,,
ET-00266,C-000266,2025-07-03,,Cancelado,Propia,,
ET-00267,C-000267,2025-08-07,,Enviado,Logística,DHL,
ET-00270,C-000270,2025-08-10,,Enviado,Logística,FedEx,
ET-00272,C-000272,2025-07-31,,Enviado,Propia,,
ET-00274,C-000274,2025-08-23,,Enviado,Propia,,
ET-00275,C-000275,2025-06-08,2025-06-12,Entregado,Propia,,Retrasado
ET-00276,C-000276,2025-06-28,2025-06-28,Entregado,Propia,,Entregado a tiempo
ET-00277,C-000277,2025-07-31,,Cancelado,Propia,,
ET-00278,C-000278,2025-06-09,2025-06-11,Entregado,Logística,FedEx,Entregado a tiempo
ET-00279,C-000279,2025-08-17,2025-08-18,Entregado,Propia,,Entregado a tiempo
ET-00283,C-000283,2025-06-30,2025-06-30,Entregado,Propia,,Entregado a tiempo
ET-00284,C-000284,2025-06-15,,Enviado,Propia,,
ET-00286,C-000286,2025-08-19,2025-08-20,Entregado,Propia,,Entregado a tiempo
ET-00287,C-000287,2025-07-02,2025-07-02,Entregado,Logística,SEUR,Entregado a tiempo
ET-00289,C-000289,2025-07-06,2025-07-10,Entregado,Logística,MRW,Retrasado
ET-00290,C-000290,,,Pendiente,Logística,FedEx,
ET-00292,C-000292,2025-06-17,2025-06-19,Entregado,Logística,SEUR,Entregado a tiempo
ET-00293,C-000293,2025-08-17,2025-08-19,Entregado,Propia,,Entregado a tiempo
ET-00294,C-000294,2025-08-27,2025-08-27,Entregado,Propia,,Entregado a tiempo
ET-00295,C-000295,2025-06-02,2025-06-06,Entregado,Propia,,Retrasado
ET-00296,C-000296,2025-06-11,,Enviado,Propia,,
ET-00297,C-000297,2025-06-20,,Enviado,Propia,,
ET-00300,C-000300,2025-07-01,2025-07-02,Entregado,Propia,,Entregado a tiempo
ET-00301,C-000301,2025-08-18,2025-08-20,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00302,C-000302,2025-06-13,,Enviado,Propia,,
ET-00303,C-000303,2025-06-11,2025-06-15,Entregado,Logística,MRW,Retrasado
ET-00304,C-000304,2025-06-15,2025-06-17,Entregado,Propia,,Entregado a tiempo
ET-00307,C-000307,2025-07-07,2025-07-07,Entregado,Logística,UPS,Entregado a tiempo
ET-00311,C-000311,2025-06-21,2025-06-21,Entregado,Logística,FedEx,Entregado a tiempo
ET-00312,C-000312,2025-08-08,,Enviado,Propia,,
ET-00313,C-000313,2025-07-30,2025-08-01,Entregado,Logística,FedEx,Entregado a tiempo
ET-00314,C-000314,2025-07-29,2025-08-01,Entregado,Logística,UPS,Entregado a tiempo
ET-00315,C-000315,2025-06-07,2025-06-09,Entregado,Propia,,Entregado a tiempo
ET-00316,C-000316,2025-08-10,,Cancelado,Propia,,
ET-00319,C-000319,,,Pendiente,Propia,,
ET-00325,C-000325,,,Pendiente,Propia,,
ET-00327,C-000327,2025-08-07,,Enviado,Logística,FedEx,
ET-00329,C-000329,2025-07-20,2025-07-20,Entregado,Propia,,Entregado a tiempo
ET-00332,C-000332,2025-07-19,2025-07-21,Entregado,Propia,,Entregado a tiempo
ET-00333,C-000333,2025-07-02,2025-07-04,Entregado,Propia,,Entregado a tiempo
ET-00334,C-000334,2025-07-10,2025-07-10,Entregado,Propia,,Entregado a tiempo
ET-00335,C-000335,2025-07-01,2025-07-01,Entregado,Propia,,Entregado a tiempo
ET-00336,C-000336,2025-07-20,2025-07-23,Entregado,Logística,SEUR,Entregado a tiempo
ET-00337,C-000337,2025-08-14,,Enviado,Propia,,
ET-00339,C-000339,2025-08-08,,Enviado,Propia,,
ET-00340,C-000340,2025-08-06,,Enviado,Propia,,
ET-00342,C-000342,2025-06-15,2025-06-17,Entregado,Propia,,Entregado a tiempo
ET-00343,C-000343,2025-07-06,,Enviado,Propia,,
ET-00344,C-000344,,,Pendiente,Propia,,
ET-00346,C-000346,2025-06-17,2025-06-20,Entregado,Propia,,Entregado a tiempo
ET-00348,C-000348,2025-08-17,2025-08-18,Entregado,Propia,,Entregado a tiempo
ET-00350,C-000350,2025-07-03,2025-07-03,Entregado,Logística,DHL,Entregado a tiempo
ET-00351,C-000351,2025-06-09,2025-06-11,Entregado,Logística,FedEx,Entregado a tiempo
ET-00353,C-000353,2025-08-06,,Enviado,Propia,,
ET-00354,C-000354,2025-06-22,,Enviado,Propia,,
ET-00355,C-000355,,,Pendiente,Propia,,
ET-00357,C-000357,2025-07-17,2025-07-21,Entregado,Propia,,Retrasado
ET-00358,C-000358,2025-07-10,2025-07-13,Entregado,Propia,,Entregado a tiempo
ET-00359,C-000359,2025-07-11,2025-07-14,Entregado,Propia,,Entregado a tiempo
ET-00360,C-000360,2025-07-05,,Cancelado,Propia,,
ET-00364,C-000364,2025-07-03,,Enviado,Propia,,
ET-00366,C-000366,,,Pendiente,Logística,MRW,
ET-00367,C-000367,2025-06-04,2025-06-06,Entregado,Propia,,Entregado a tiempo
ET-00370,C-000370,2025-06-20,,Enviado,Propia,,
ET-00372,C-000372,2025-07-12,,Enviado,Logística,DHL,
ET-00373,C-000373,2025-07-20,2025-07-23,Entregado,Propia,,Entregado a tiempo
ET-00374,C-000374,2025-08-07,,Enviado,Propia,,
ET-00375,C-000375,2025-06-03,,Enviado,Logística,DHL,
ET-00376,C-000376,2025-08-25,,Enviado,Logística,FedEx,
ET-00379,C-000379,2025-08-23,2025-08-23,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00381,C-000381,2025-07-09,,Cancelado,Propia,,
ET-00382,C-000382,2025-08-31,,Enviado,Logística,MRW,
ET-00383,C-000383,2025-07-07,2025-07-07,Entregado,Propia,,Entregado a tiempo
ET-00384,C-000384,2025-06-04,2025-06-06,Entregado,Logística,MRW,Entregado a tiempo
ET-00385,C-000385,2025-08-08,2025-08-11,Entregado,Propia,,Entregado a tiempo
ET-00386,C-000386,,,Pendiente,Logística,FedEx,
ET-00387,C-000387,,,Pendiente,Propia,,
ET-00388,C-000388,2025-06-25,,Enviado,Logística,Correos Express,
ET-00389,C-000389,2025-07-06,2025-07-06,Entregado,Logística,FedEx,Entregado a tiempo
ET-00390,C-000390,2025-06-25,2025-06-28,Entregado,Propia,,Entregado a tiempo
ET-00392,C-000392,,,Pendiente,Propia,,
ET-00393,C-000393,,,Pendiente,Logística,UPS,
ET-00396,C-000396,2025-07-05,,Cancelado,Logística,SEUR,
ET-00399,C-000399,2025-08-23,,Cancelado,Logística,SEUR,
ET-00400,C-000400,2025-06-15,2025-06-16,Entregado,Logística,DHL,Entregado a tiempo
ET-00401,C-000401,2025-08-27,2025-08-28,Entregado,Logística,DHL,Entregado a tiempo
ET-00402,C-000402,,,Pendiente,Logística,Amazon Logistics,
ET-00404,C-000404,2025-06-12,2025-06-14,Entregado,Propia,,Entregado a tiempo
ET-00405,C-000405,2025-08-08,,Enviado,Propia,,
ET-00407,C-000407,2025-08-24,,Cancelado,Logística,Correos Express,
ET-00408,C-000408,2025-08-19,2025-08-21,Entregado,Propia,,Entregado a tiempo
ET-00409,C-000409,2025-08-17,2025-08-20,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00410,C-000410,2025-07-26,2025-07-26,Entregado,Propia,,Entregado a tiempo
ET-00411,C-000411,2025-06-29,2025-07-01,Entregado,Propia,,Entregado a tiempo
ET-00412,C-000412,2025-06-02,,Cancelado,Logística,SEUR,
ET-00413,C-000413,2025-07-15,2025-07-15,Entregado,Propia,,Entregado a tiempo
ET-00414,C-000414,2025-07-15,2025-07-19,Entregado,Logística,DHL,Retrasado
ET-00415,C-000415,2025-07-17,2025-07-17,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00416,C-000416,2025-06-15,,Enviado,Propia,,
ET-00417,C-000417,2025-07-08,2025-07-09,Entregado,Logística,SEUR,Entregado a tiempo
ET-00418,C-000418,2025-06-26,2025-06-30,Entregado,Logística,SEUR,Retrasado
ET-00420,C-000420,2025-06-14,,Enviado,Propia,,
ET-00421,C-000421,2025-08-18,2025-08-19,Entregado,Logística,MRW,Entregado a tiempo
ET-00422,C-000422,2025-08-15,,Enviado,Propia,,
ET-00423,C-000423,2025-07-31,2025-07-31,Entregado,Logística,SEUR,Entregado a tiempo
ET-00427,C-000427,2025-07-23,2025-07-23,Entregado,Logística,SEUR,Entregado a tiempo
ET-00429,C-000429,2025-08-29,,Cancelado,Propia,,
ET-00430,C-000430,2025-06-28,,Cancelado,Logística,FedEx,
ET-00433,C-000433,2025-07-16,2025-07-16,Entregado,Logística,SEUR,Entregado a tiempo
ET-00434,C-000434,2025-06-28,2025-07-01,Entregado,Propia,,Entregado a tiempo
ET-00435,C-000435,2025-07-05,2025-07-07,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00437,C-000437,2025-06-29,2025-07-01,Entregado,Logística,SEUR,Entregado a tiempo
ET-00438,C-000438,2025-07-17,,Enviado,Propia,,
ET-00439,C-000439,2025-07-29,,Enviado,Propia,,
ET-00440,C-000440,2025-08-03,2025-08-07,Entregado,Logística,Correos Express,Retrasado
ET-00442,C-000442,2025-06-30,2025-07-04,Entregado,Logística,SEUR,Retrasado
ET-00444,C-000444,2025-08-11,,Enviado,Logística,DHL,
ET-00448,C-000448,,,Pendiente,Logística,FedEx,
ET-00450,C-000450,2025-06-21,2025-06-22,Entregado,Propia,,Entregado a tiempo
ET-00451,C-000451,2025-06-19,2025-06-21,Entregado,Logística,MRW,Entregado a tiempo
ET-00453,C-000453,2025-08-01,,Enviado,Propia,,
ET-00455,C-000455,2025-08-19,2025-08-22,Entregado,Logística,UPS,Entregado a tiempo
ET-00456,C-000456,2025-08-24,2025-08-25,Entregado,Propia,,Entregado a tiempo
ET-00458,C-000458,2025-08-24,2025-08-25,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00459,C-000459,,,Pendiente,Logística,Amazon Logistics,
ET-00460,C-000460,2025-07-15,,Enviado,Logística,DHL,
ET-00461,C-000461,2025-08-28,2025-09-01,Entregado,Propia,,Retrasado
ET-00469,C-000469,2025-06-06,,Cancelado,Logística,DHL,
ET-00470,C-000470,2025-07-18,2025-07-19,Entregado,Logística,FedEx,Entregado a tiempo
ET-00471,C-000471,2025-07-23,2025-07-26,Entregado,Logística,UPS,Entregado a tiempo
ET-00472,C-000472,2025-07-06,,Cancelado,Propia,,
ET-00474,C-000474,2025-07-31,2025-08-03,Entregado,Logística,FedEx,Entregado a tiempo
ET-00478,C-000478,2025-08-23,2025-08-27,Entregado,Logística,Amazon Logistics,Retrasado
ET-00479,C-000479,2025-06-10,2025-06-11,Entregado,Logística,MRW,Entregado a tiempo
ET-00480,C-000480,2025-06-24,,Enviado,Logística,DHL,
ET-00482,C-000482,2025-08-30,2025-09-02,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00483,C-000483,2025-08-01,,Cancelado,Logística,Correos Express,
ET-00484,C-000484,2025-06-14,2025-06-16,Entregado,Logística,MRW,Entregado a tiempo
ET-00485,C-000485,2025-07-05,,Enviado,Logística,MRW,
ET-00486,C-000486,2025-06-04,,Enviado,Propia,,
ET-00487,C-000487,2025-08-19,2025-08-23,Entregado,Logística,SEUR,Retrasado
ET-00488,C-000488,,,Pendiente,Logística,MRW,
ET-00489,C-000489,2025-06-02,2025-06-06,Entregado,Propia,,Retrasado
ET-00491,C-000491,,,Pendiente,Propia,,
ET-00495,C-000495,2025-06-14,2025-06-15,Entregado,Logística,FedEx,Entregado a tiempo
ET-00496,C-000496,2025-07-27,2025-07-27,Entregado,Propia,,Entregado a tiempo
ET-00498,C-000498,2025-08-04,,Enviado,Propia,,
ET-00500,C-000500,2025-06-10,2025-06-13,Entregado,Propia,,Entregado a tiempo
ET-00501,C-000501,,,Pendiente,Propia,,
ET-00502,C-000502,2025-08-22,,Enviado,Propia,,
ET-00504,C-000504,2025-08-23,,Enviado,Propia,,
ET-00506,C-000506,2025-08-28,,Enviado,Propia,,
ET-00507,C-000507,2025-07-28,2025-07-28,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00508,C-000508,2025-08-10,,Enviado,Propia,,
ET-00510,C-000510,2025-08-06,,Enviado,Logística,UPS,
ET-00512,C-000512,2025-07-28,2025-07-28,Entregado,Propia,,Entregado a tiempo
ET-00513,C-000513,2025-06-26,,Enviado,Propia,,
ET-00514,C-000514,2025-07-25,2025-07-25,Entregado,Logística,DHL,Entregado a tiempo
ET-00515,C-000515,2025-07-13,,Enviado,Propia,,
ET-00516,C-000516,,,Pendiente,Logística,Correos Express,
ET-00517,C-000517,2025-05-31,,Cancelado,Logística,SEUR,
ET-00520,C-000520,2025-06-13,,Enviado,Propia,,
ET-00521,C-000521,2025-08-09,2025-08-11,Entregado,Propia,,Entregado a tiempo
ET-00523,C-000523,2025-07-21,2025-07-23,Entregado,Propia,,Entregado a tiempo
ET-00526,C-000526,2025-06-09,,Enviado,Propia,,
ET-00527,C-000527,2025-07-25,,Cancelado,Propia,,
ET-00528,C-000528,2025-06-28,2025-06-29,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00530,C-000530,2025-06-04,2025-06-07,Entregado,Propia,,Entregado a tiempo
ET-00532,C-000532,2025-06-27,,Enviado,Logística,Correos Express,
ET-00534,C-000534,2025-06-17,,Enviado,Logística,SEUR,
ET-00535,C-000535,2025-06-05,2025-06-05,Entregado,Propia,,Entregado a tiempo
ET-00536,C-000536,2025-06-30,2025-07-01,Entregado,Logística,MRW,Entregado a tiempo
ET-00537,C-000537,2025-08-05,,Enviado,Propia,,
ET-00538,C-000538,,,Pendiente,Propia,,
ET-00539,C-000539,2025-08-21,2025-08-24,Entregado,Propia,,Entregado a tiempo
ET-00540,C-000540,2025-08-05,2025-08-06,Entregado,Propia,,Entregado a tiempo
ET-00542,C-000542,2025-06-21,,Enviado,Logística,MRW,
ET-00543,C-000543,2025-05-31,2025-05-31,Entregado,Propia,,Entregado a tiempo
ET-00544,C-000544,2025-06-13,2025-06-17,Entregado,Logística,DHL,Retrasado
ET-00548,C-000548,2025-06-22,2025-06-25,Entregado,Logística,Correos Express,Entregado a tiempo
ET-00549,C-000549,2025-07-11,2025-07-14,Entregado,Propia,,Entregado a tiempo
ET-00550,C-000550,2025-07-24,2025-07-24,Entregado,Propia,,Entregado a tiempo
ET-00551,C-000551,2025-08-13,,Enviado,Logística,Correos Express,
ET-00552,C-000552,2025-08-20,,Cancelado,Logística,DHL,
ET-00555,C-000555,2025-08-02,2025-08-03,Entregado,Logística,MRW,Entregado a tiempo
ET-00556,C-000556,2025-06-23,,Enviado,Logística,SEUR,
ET-00557,C-000557,2025-08-13,2025-08-13,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-00560,C-000560,2025-06-19,,Cancelado,Propia,,
ET-00561,C-000561,2025-06-25,2025-06-26,Entregado,Logística,FedEx,Entregado a tiempo
ET-00563,C-000563,2025-06-06,,Cancelado,Propia,,
ET-00565,C-000565,2025-08-07,,Enviado,Propia,,
ET-00566,C-000566,2025-07-19,2025-07-21,Entregado,Logística,DHL,Entregado a tiempo
ET-00567,C-000567,2025-07-31,2025-08-01,Entregado,Propia,,Entregado a tiempo
ET-00568,C-000568,2025-07-20,,Enviado,Propia,,
