alerta_id,branch_id,product_id,stock_actual,stock_minimo,fecha_actualizacion,fecha_alerta,prioridad,provider_id,provider_name
AL-00066,BR-00002,P-000418,0,19,2025-03-25,2025-08-29,Alta,PR-00005,Soluciones Torre S.Coop.
AL-00067,BR-00002,P-000430,1,10,2025-07-22,2025-08-29,Media,PR-00776,Nieves Hurtado Fiol S.Com.
AL-00068,BR-00002,P-000432,2,8,2025-06-16,2025-08-29,Media,PR-00776,Nieves Hurtado Fiol S.Com.
AL-00069,BR-00002,P-000434,14,18,2025-07-22,2025-08-29,Baja,PR-00023,Distribuciones Inteligentes S.Com.
AL-00070,BR-00002,P-000443,3,6,2025-07-01,2025-08-29,Baja,PR-01239,Roura y asociados S.Coop.
AL-00071,BR-00002,P-000458,5,10,2025-07-10,2025-08-29,Baja,PR-00628,Sanmiguel y Escrivá S.Coop.
AL-00072,BR-00002,P-000465,13,20,2025-06-29,2025-08-29,Baja,PR-00028,Alimentación Internacionales S.A.
AL-00073,BR-00002,P-000469,4,17,2025-07-17,2025-08-29,Media,PR-01197,Zaragoza & Asociados S.Coop.
AL-00074,BR-00002,P-000470,0,8,2025-08-18,2025-08-29,Alta,PR-01197,Zaragoza & Asociados S.Coop.
AL-00075,BR-00002,P-000477,14,17,2025-08-19,2025-08-29,Baja,PR-01425,Talleres del Mediterráneo S.L.
AL-00076,BR-00002,P-000484,11,19,2025-04-29,2025-08-29,Baja,PR-00904,Soluciones SS S.A.
AL-00077,BR-00002,P-000487,20,20,2025-06-09,2025-08-29,Baja,PR-00904,Soluciones SS S.A.
AL-00078,BR-00003,P-000491,8,16,2025-06-16,2025-08-29,Baja,PR-00043,Perelló y Lorenzo S.L.
AL-00079,BR-00003,P-000505,9,18,2025-04-22,2025-08-29,Baja,PR-00045,Desarrollo Pedrero & Asociados S.L.U.
AL-00080,BR-00003,P-000511,0,19,2025-05-27,2025-08-29,Alta,PR-01342,Soluciones Ibéricos S.L.L.
AL-00081,BR-00003,P-000519,1,20,2025-07-13,2025-08-29,Media,PR-00033,Despacho LDRM S.A.
AL-00082,BR-00003,P-000520,6,18,2025-08-27,2025-08-29,Media,PR-00708,Tecnologías Ibéricos S.Coop.
AL-00083,BR-00003,P-000523,7,20,2025-07-03,2025-08-29,Media,PR-00034,Blanes y Cañizares S.A.
AL-00084,BR-00003,P-000526,6,9,2025-08-11,2025-08-29,Baja,PR-00035,Banca Privada Salvador S.Com.
AL-00085,BR-00003,P-000527,5,6,2025-06-30,2025-08-29,Baja,PR-00035,Banca Privada Salvador S.Com.
AL-00086,BR-00003,P-000537,11,16,2025-07-09,2025-08-29,Baja,PR-00037,María José Bellido Serna S.A.
AL-00087,BR-00003,P-000542,12,14,2025-07-08,2025-08-29,Baja,PR-00006,Consultoría Teruel y asociados S.A.
AL-00088,BR-00003,P-000549,13,14,2025-04-10,2025-08-29,Baja,PR-00007,Hermanos Corbacho S.A.
AL-00089,BR-00003,P-000557,4,13,2025-06-29,2025-08-29,Media,PR-00738,Suministros Heredia S.L.
AL-00090,BR-00003,P-000565,10,14,2025-07-30,2025-08-29,Baja,PR-01156,Despacho Españolas S.Com.
AL-00091,BR-00003,P-000572,16,18,2025-05-31,2025-08-29,Baja,PR-01245,Suministros Arenas S.L.
AL-00092,BR-00003,P-000582,5,6,2025-08-16,2025-08-29,Baja,PR-00013,Industrias del Noroeste S.L.N.E
AL-00093,BR-00003,P-000601,0,8,2025-06-24,2025-08-29,Alta,PR-01432,Familia Garzón S.L.
AL-00094,BR-00003,P-000612,13,13,2025-06-08,2025-08-29,Baja,PR-01383,Familia Falcón S.L.L.
AL-00095,BR-00003,P-000624,6,17,2025-08-17,2025-08-29,Media,PR-00645,Hnos Barriga S.L.L.
AL-00096,BR-00003,P-000631,13,14,2025-08-27,2025-08-29,Baja,PR-00017,Samper y Cabanillas S.Coop.
AL-00097,BR-00004,P-000660,2,16,2025-08-13,2025-08-29,Media,PR-00044,Hnos Nebot S.L.N.E
AL-00098,BR-00004,P-000662,1,13,2025-05-24,2025-08-29,Media,PR-00868,Hermanos Fernández S.Com.
AL-00099,BR-00004,P-000663,6,17,2025-04-22,2025-08-29,Media,PR-00045,Desarrollo Pedrero & Asociados S.L.U.
AL-00100,BR-00004,P-000669,13,15,2025-06-26,2025-08-29,Baja,PR-00047,Logística Bermudez S.L.
AL-00101,BR-00004,P-000674,10,12,2025-08-01,2025-08-29,Baja,PR-00708,Tecnologías Ibéricos S.Coop.
AL-00102,BR-00004,P-000680,17,19,2025-07-26,2025-08-29,Baja,PR-01064,Distribuciones Saura S.A.
AL-00103,BR-00004,P-000685,10,20,2025-07-03,2025-08-29,Baja,PR-00035,Banca Privada Salvador S.Com.
AL-00104,BR-00004,P-000687,11,13,2025-08-18,2025-08-29,Baja,PR-00036,Infraestructuras Niño S.Coop.
AL-00105,BR-00004,P-000691,0,18,2025-07-23,2025-08-29,Alta,PR-00036,Infraestructuras Niño S.Coop.
AL-00106,BR-00004,P-000704,13,17,2025-07-22,2025-08-29,Baja,PR-00699,Cano y asociados S.L.
AL-00107,BR-00004,P-000706,15,20,2025-07-03,2025-08-29,Baja,PR-00943,Grupo Fernández S.L.
AL-00108,BR-00004,P-000721,12,15,2025-05-27,2025-08-29,Baja,PR-01156,Despacho Españolas S.Com.
AL-00109,BR-00004,P-000745,4,12,2025-06-13,2025-08-29,Media,PR-00794,Construcción NZMQ S.L.N.E
AL-00110,BR-00004,P-000755,9,15,2025-08-10,2025-08-29,Baja,PR-01437,Construcción Montes y asociados S.Com.
AL-00111,BR-00004,P-000756,7,19,2025-03-12,2025-08-29,Media,PR-01383,Familia Falcón S.L.L.
AL-00112,BR-00004,P-000759,6,11,2025-07-07,2025-08-29,Baja,PR-01437,Construcción Montes y asociados S.Com.
AL-00113,BR-00004,P-000761,14,16,2025-06-18,2025-08-29,Baja,PR-01383,Familia Falcón S.L.L.
AL-00114,BR-00004,P-000769,4,12,2025-06-06,2025-08-29,Media,PR-00042,Compañía Moya y asociados S.Coop.
AL-00115,BR-00004,P-000776,2,5,2025-05-31,2025-08-29,Media,PR-00645,Hnos Barriga S.L.L.
AL-00116,BR-00004,P-000786,6,17,2025-06-12,2025-08-29,Media,PR-00018,Servicios Flor & Asociados S.L.U.
AL-00117,BR-00004,P-000792,2,9,2025-08-16,2025-08-29,Media,PR-01101,Corominas & Asociados S.L.
AL-00118,BR-00004,P-000793,4,16,2025-07-16,2025-08-29,Media,PR-01101,Corominas & Asociados S.L.
AL-00119,BR-00005,P-000799,6,11,2025-06-30,2025-08-29,Baja,PR-00043,Perelló y Lorenzo S.L.
AL-00120,BR-00005,P-000805,7,13,2025-07-22,2025-08-29,Baja,PR-00868,Hermanos Fernández S.Com.
AL-00121,BR-00005,P-000815,0,20,2025-06-23,2025-08-29,Alta,PR-01116,Grupo Morán S.A.
AL-00122,BR-00005,P-000825,1,13,2025-06-29,2025-08-29,Media,PR-00033,Despacho LDRM S.A.
AL-00123,BR-00005,P-000830,12,18,2025-06-29,2025-08-29,Baja,PR-01042,Hnos Moll S.Coop.
AL-00124,BR-00005,P-000859,20,20,2025-06-30,2025-08-29,Baja,PR-00738,Suministros Heredia S.L.
AL-00125,BR-00005,P-000868,8,16,2025-08-23,2025-08-29,Baja,PR-01156,Despacho Españolas S.Com.
AL-00126,BR-00005,P-000872,2,14,2025-06-11,2025-08-29,Media,PR-00011,Buendía y Oller S.L.
AL-00127,BR-00005,P-000876,0,6,2025-07-12,2025-08-29,Alta,PR-00012,Grupo Mascaró S.Coop.
AL-00128,BR-00005,P-000879,12,20,2025-07-18,2025-08-29,Baja,PR-00012,Grupo Mascaró S.Coop.
AL-00129,BR-00005,P-000882,1,5,2025-04-17,2025-08-29,Media,PR-00761,Finanzas TH S.A.
AL-00130,BR-00005,P-000899,14,15,2025-07-18,2025-08-29,Baja,PR-00627,Infraestructuras WXJ S.L.
AL-00131,BR-00005,P-000905,13,13,2025-07-30,2025-08-29,Baja,PR-01432,Familia Garzón S.L.
AL-00132,BR-00005,P-000908,2,8,2025-08-20,2025-08-29,Media,PR-01432,Familia Garzón S.L.
AL-00133,BR-00005,P-000929,12,16,2025-07-14,2025-08-29,Baja,PR-01394,Transportes HKAN S.Com.
AL-00134,BR-00005,P-000933,0,18,2025-08-13,2025-08-29,Alta,PR-01350,Luciana Álvarez Belmonte S.A.
AL-00135,BR-00005,P-000935,9,11,2025-07-26,2025-08-29,Baja,PR-00017,Samper y Cabanillas S.Coop.
AL-00136,BR-00005,P-000937,2,19,2025-07-02,2025-08-29,Media,PR-01487,Minería Pagès y asociados S.L.
AL-00137,BR-00005,P-000938,2,20,2025-06-24,2025-08-29,Media,PR-00018,Servicios Flor & Asociados S.L.U.
AL-00138,BR-00005,P-000940,4,16,2025-05-07,2025-08-29,Media,PR-01487,Minería Pagès y asociados S.L.
AL-00139,BR-00005,P-000944,14,18,2025-08-06,2025-08-29,Baja,PR-00648,Josefa Rodriguez Machado S.A.T.
AL-00140,BR-00005,P-000947,11,14,2025-08-08,2025-08-29,Baja,PR-00020,Goñi & Asociados S.L.L.
AL-00141,BR-00006,P-000977,10,12,2025-08-21,2025-08-29,Baja,PR-00047,Logística Bermudez S.L.
AL-00142,BR-00006,P-000981,5,17,2025-08-27,2025-08-29,Media,PR-00047,Logística Bermudez S.L.
AL-00143,BR-00006,P-000985,8,18,2025-04-06,2025-08-29,Media,PR-00708,Tecnologías Ibéricos S.Coop.
AL-00144,BR-00006,P-000987,17,17,2025-06-04,2025-08-29,Baja,PR-00033,Despacho LDRM S.A.
AL-00145,BR-00006,P-000990,1,15,2025-06-09,2025-08-29,Media,PR-01042,Hnos Moll S.Coop.
AL-00146,BR-00006,P-001002,17,20,2025-07-28,2025-08-29,Baja,PR-01456,Comercial RN S.A.
AL-00147,BR-00006,P-001003,7,10,2025-06-12,2025-08-29,Baja,PR-00036,Infraestructuras Niño S.Coop.
AL-00148,BR-00006,P-001010,13,16,2025-07-25,2025-08-29,Baja,PR-00037,María José Bellido Serna S.A.
AL-00149,BR-00006,P-001013,6,20,2025-06-16,2025-08-29,Media,PR-01097,Albano Cervantes Palacio S.L.
AL-00150,BR-00006,P-001014,3,17,2025-07-29,2025-08-29,Media,PR-00006,Consultoría Teruel y asociados S.A.
AL-00151,BR-00006,P-001019,11,17,2025-08-20,2025-08-29,Baja,PR-00007,Hermanos Corbacho S.A.
AL-00152,BR-00006,P-001024,16,20,2025-04-13,2025-08-29,Baja,PR-00943,Grupo Fernández S.L.
AL-00153,BR-00006,P-001025,9,15,2025-06-24,2025-08-29,Baja,PR-00773,Ángel Merino Escribano S.Coop.
AL-00154,BR-00006,P-001031,7,17,2025-08-13,2025-08-29,Media,PR-00009,Sotelo y asociados S.A.T.
AL-00155,BR-00006,P-001044,18,19,2025-07-27,2025-08-29,Baja,PR-00012,Grupo Mascaró S.Coop.
AL-00156,BR-00006,P-001060,1,11,2025-08-20,2025-08-29,Media,PR-00968,Pascual Lladó Soria S.Coop.
AL-00157,BR-00006,P-001070,5,11,2025-07-02,2025-08-29,Media,PR-00038,Talleres QPJJ S.A.
AL-00158,BR-00006,P-001079,13,15,2025-08-08,2025-08-29,Baja,PR-01383,Familia Falcón S.L.L.
AL-00159,BR-00006,P-001085,0,6,2025-05-21,2025-08-29,Alta,PR-01437,Construcción Montes y asociados S.Com.
AL-00160,BR-00006,P-001089,3,19,2025-04-30,2025-08-29,Media,PR-00041,Familia Vaquero S.Coop.
AL-00161,BR-00006,P-001094,18,20,2025-08-19,2025-08-29,Baja,PR-00676,Minería Sacristán y asociados S.Com.
AL-00162,BR-00006,P-001097,13,20,2025-06-24,2025-08-29,Baja,PR-00016,Manufacturas Palacios S.L.
AL-00163,BR-00006,P-001101,15,20,2025-08-01,2025-08-29,Baja,PR-00017,Samper y Cabanillas S.Coop.
AL-00164,BR-00006,P-001110,2,18,2025-07-22,2025-08-29,Media,PR-00648,Josefa Rodriguez Machado S.A.T.
AL-00165,BR-00006,P-001120,11,20,2025-06-14,2025-08-29,Baja,PR-00020,Goñi & Asociados S.L.L.
AL-00166,BR-00007,P-001123,11,17,2025-06-25,2025-08-29,Baja,PR-01096,Banca Privada Salamanca y asociados S.L.
AL-00167,BR-00007,P-001129,18,18,2025-07-12,2025-08-29,Baja,PR-01418,Hnos Gaya S.A.
AL-00168,BR-00007,P-001134,11,12,2025-06-30,2025-08-29,Baja,PR-00868,Hermanos Fernández S.Com.
AL-00169,BR-00007,P-001140,1,8,2025-07-13,2025-08-29,Media,PR-00047,Logística Bermudez S.L.
AL-00170,BR-00007,P-001155,10,18,2025-08-20,2025-08-29,Baja,PR-00034,Blanes y Cañizares S.A.
AL-00171,BR-00007,P-001156,5,15,2025-08-28,2025-08-29,Media,PR-01042,Hnos Moll S.Coop.
AL-00172,BR-00007,P-001157,11,20,2025-04-11,2025-08-29,Baja,PR-01064,Distribuciones Saura S.A.
AL-00173,BR-00007,P-001164,6,6,2025-07-24,2025-08-29,Baja,PR-00035,Banca Privada Salvador S.Com.
AL-00174,BR-00007,P-001178,9,10,2025-06-11,2025-08-29,Baja,PR-00006,Consultoría Teruel y asociados S.A.
AL-00175,BR-00007,P-001180,0,12,2025-08-20,2025-08-29,Alta,PR-00006,Consultoría Teruel y asociados S.A.
AL-00176,BR-00007,P-001182,10,20,2025-08-26,2025-08-29,Baja,PR-00007,Hermanos Corbacho S.A.
AL-00177,BR-00007,P-001184,8,19,2025-06-05,2025-08-29,Media,PR-00008,Industrias Jaume y asociados S.L.
AL-00178,BR-00007,P-001187,7,7,2025-08-06,2025-08-29,Baja,PR-01178,Iniesta & Asociados S.A.T.
AL-00179,BR-00007,P-001219,12,16,2025-04-18,2025-08-29,Baja,PR-00015,Plinio Paniagua Folch S.L.
AL-00180,BR-00007,P-001236,9,18,2025-08-21,2025-08-29,Baja,PR-00041,Familia Vaquero S.Coop.
AL-00181,BR-00007,P-001244,7,20,2025-06-18,2025-08-29,Media,PR-00042,Compañía Moya y asociados S.Coop.
AL-00182,BR-00007,P-001245,1,20,2025-08-05,2025-08-29,Media,PR-00042,Compañía Moya y asociados S.Coop.
AL-00183,BR-00007,P-001250,19,19,2025-06-23,2025-08-29,Baja,PR-00016,Manufacturas Palacios S.L.
AL-00184,BR-00007,P-001263,2,19,2025-05-16,2025-08-29,Media,PR-01487,Minería Pagès y asociados S.L.
AL-00185,BR-00007,P-001267,2,17,2025-08-04,2025-08-29,Media,PR-00020,Goñi & Asociados S.L.L.
AL-00186,BR-00008,P-001284,13,19,2025-06-29,2025-08-29,Baja,PR-00868,Hermanos Fernández S.Com.
AL-00187,BR-00008,P-001307,4,15,2025-05-20,2025-08-29,Media,PR-00035,Banca Privada Salvador S.Com.
AL-00188,BR-00008,P-001321,13,14,2025-07-08,2025-08-29,Baja,PR-01097,Albano Cervantes Palacio S.L.
AL-00189,BR-00008,P-001322,1,16,2025-06-13,2025-08-29,Media,PR-00037,María José Bellido Serna S.A.
AL-00190,BR-00008,P-001331,9,11,2025-03-09,2025-08-29,Baja,PR-00956,Desarrollo Integrales S.L.
AL-00191,BR-00008,P-001342,13,20,2025-07-04,2025-08-29,Baja,PR-01062,Suministros Montes S.Com.
AL-00192,BR-00008,P-001360,17,18,2025-06-14,2025-08-29,Baja,PR-00994,Supermercados Yuste S.Coop.
AL-00193,BR-00008,P-001361,8,14,2025-08-17,2025-08-29,Baja,PR-00014,Linares y Macías S.L.L.
AL-00194,BR-00008,P-001371,9,20,2025-06-24,2025-08-29,Media,PR-00039,Manu Chico Beltrán S.A.U
AL-00195,BR-00008,P-001374,9,13,2025-06-25,2025-08-29,Baja,PR-00039,Manu Chico Beltrán S.A.U
AL-00196,BR-00008,P-001384,0,5,2025-07-16,2025-08-29,Alta,PR-00041,Familia Vaquero S.Coop.
AL-00197,BR-00008,P-001407,3,5,2025-06-25,2025-08-29,Baja,PR-01101,Corominas & Asociados S.L.
AL-00198,BR-00008,P-001410,1,20,2025-08-17,2025-08-29,Media,PR-00020,Goñi & Asociados S.L.L.
AL-00199,BR-00009,P-001413,9,11,2025-03-19,2025-08-29,Baja,PR-00043,Perelló y Lorenzo S.L.
AL-00200,BR-00009,P-001417,3,20,2025-08-04,2025-08-29,Media,PR-01418,Hnos Gaya S.A.
AL-00201,BR-00009,P-001422,8,12,2025-07-29,2025-08-29,Baja,PR-00045,Desarrollo Pedrero & Asociados S.L.U.
AL-00202,BR-00009,P-001425,2,7,2025-05-21,2025-08-29,Media,PR-01342,Soluciones Ibéricos S.L.L.
AL-00203,BR-00009,P-001426,8,12,2025-08-19,2025-08-29,Baja,PR-00046,Priscila Pujadas Navarrete S.A.T.
AL-00204,BR-00009,P-001446,15,15,2025-06-14,2025-08-29,Baja,PR-01456,Comercial RN S.A.
AL-00205,BR-00009,P-001448,3,7,2025-08-27,2025-08-29,Media,PR-01456,Comercial RN S.A.
AL-00206,BR-00009,P-001449,4,14,2025-05-21,2025-08-29,Media,PR-00036,Infraestructuras Niño S.Coop.
AL-00207,BR-00009,P-001454,5,8,2025-05-24,2025-08-29,Baja,PR-01097,Albano Cervantes Palacio S.L.
AL-00208,BR-00009,P-001458,7,7,2025-04-29,2025-08-29,Baja,PR-00006,Consultoría Teruel y asociados S.A.
AL-00209,BR-00009,P-001473,8,15,2025-07-30,2025-08-29,Baja,PR-00009,Sotelo y asociados S.A.T.
AL-00210,BR-00009,P-001474,2,19,2025-06-15,2025-08-29,Media,PR-01119,Familia Roldan S.L.
AL-00211,BR-00009,P-001477,3,13,2025-08-14,2025-08-29,Media,PR-01156,Despacho Españolas S.Com.
AL-00212,BR-00009,P-001487,19,20,2025-05-25,2025-08-29,Baja,PR-00013,Industrias del Noroeste S.L.N.E
AL-00213,BR-00009,P-001502,14,16,2025-06-29,2025-08-29,Baja,PR-00794,Construcción NZMQ S.L.N.E
AL-00214,BR-00009,P-001509,6,6,2025-08-12,2025-08-29,Baja,PR-00038,Talleres QPJJ S.A.
AL-00215,BR-00009,P-001517,15,19,2025-06-09,2025-08-29,Baja,PR-01437,Construcción Montes y asociados S.Com.
AL-00216,BR-00009,P-001518,11,20,2025-05-03,2025-08-29,Baja,PR-00040,Promociones Española S.Coop.
AL-00217,BR-00009,P-001519,11,11,2025-08-17,2025-08-29,Baja,PR-00041,Familia Vaquero S.Coop.
AL-00218,BR-00009,P-001526,13,20,2025-08-23,2025-08-29,Baja,PR-00042,Compañía Moya y asociados S.Coop.
AL-00219,BR-00009,P-001533,1,14,2025-08-10,2025-08-29,Media,PR-00024,Manufacturas DVS S.A.
AL-00220,BR-00009,P-001535,4,5,2025-06-18,2025-08-29,Baja,PR-01261,Virgilio Prieto Marti S.L.N.E
AL-00221,BR-00009,P-001539,0,12,2025-08-16,2025-08-29,Alta,PR-00735,Infraestructuras CZIU S.Coop.
AL-00222,BR-00009,P-001547,12,16,2025-08-24,2025-08-29,Baja,PR-00019,Valencia y asociados S.L.
AL-00223,BR-00010,P-001559,3,10,2025-08-12,2025-08-29,Media,PR-00043,Perelló y Lorenzo S.L.
AL-00224,BR-00010,P-001560,3,10,2025-07-11,2025-08-29,Media,PR-00919,Mesa y Izaguirre S.Coop.
AL-00225,BR-00010,P-001564,7,12,2025-08-23,2025-08-29,Baja,PR-00045,Desarrollo Pedrero & Asociados S.L.U.
AL-00226,BR-00010,P-001566,3,13,2025-06-06,2025-08-29,Media,PR-00868,Hermanos Fernández S.Com.
AL-00227,BR-00010,P-001569,5,20,2025-04-03,2025-08-29,Media,PR-01116,Grupo Morán S.A.
AL-00228,BR-00010,P-001575,3,18,2025-07-31,2025-08-29,Media,PR-00047,Logística Bermudez S.L.
AL-00229,BR-00010,P-001584,7,9,2025-08-16,2025-08-29,Baja,PR-00033,Despacho LDRM S.A.
AL-00230,BR-00010,P-001586,5,10,2025-07-17,2025-08-29,Baja,PR-00033,Despacho LDRM S.A.
