devolucion_id,venta_id,client_id,entrega_id,product_id,provider_id,branch_id,employee_id,fecha_devolucion,motivo,estado
DV-00016,C-001801,CL-09336,ET-01801,P-049728,PR-01255,BR-00455,E-011841,2025-07-12,Producto incompleto,Pendiente
DV-00017,C-001126,CL-06936,ET-01126,P-045021,PR-00877,BR-00409,E-010792,2025-03-21,No coincide con la descripción,Rechazada
DV-00018,C-003143,CL-09026,ET-03143,P-019634,PR-00222,BR-00175,E-004797,2025-04-16,Cambio de opinión,Procesada
DV-00019,C-003293,CL-01750,ET-03293,P-044781,PR-01405,BR-00406,E-010768,2025-06-19,Retraso en la entrega,Pendiente
DV-00020,C-003503,CL-09717,ET-03503,P-028324,PR-00841,BR-00256,E-006841,2025-04-27,No funciona correctamente,Pendiente
DV-00021,C-000238,CL-06275,ET-00238,P-036935,PR-00382,BR-00279,E-007587,2025-06-01,Producto incompleto,Rechazada
DV-00022,C-000376,CL-04079,ET-00376,P-014393,PR-01185,BR-00126,E-003619,2025-06-21,Cambio de opinión,Procesada
DV-00023,C-003351,CL-08970,ET-03351,P-002960,PR-01370,BR-00023,E-000867,2025-05-31,Producto defectuoso,Procesada
DV-00024,C-002541,CL-05632,ET-02541,P-047740,PR-01424,BR-00432,E-011566,2025-04-13,Cambio de opinión,Rechazada
DV-00025,C-003352,CL-01505,ET-03352,P-040546,PR-01065,BR-00333,E-008825,2025-06-09,Cliente no lo reconoce,Rechazada
DV-00026,C-001013,CL-04877,ET-01013,P-034396,PR-00388,BR-00381,E-009930,2025-04-09,Error en el pedido,Pendiente
DV-00027,C-000157,CL-07340,ET-00157,P-033733,PR-00795,BR-00307,E-008172,2025-08-04,No funciona correctamente,Procesada
DV-00028,C-001691,CL-07337,ET-01691,P-040516,PR-00739,BR-00346,E-009229,2025-04-12,Problema con el embalaje,Pendiente
DV-00029,C-001757,CL-07619,ET-01757,P-046965,PR-00560,BR-00426,E-011397,2025-07-06,Retraso en la entrega,Procesada
DV-00030,C-002175,CL-07804,ET-02175,P-035447,PR-00421,BR-00133,E-003731,2025-04-27,Problema con el embalaje,Procesada
DV-00031,C-004736,CL-06718,ET-04736,P-008746,PR-01322,BR-00078,E-002144,2025-03-23,Calidad inferior a lo esperado,Rechazada
DV-00032,C-003179,CL-02096,ET-03179,P-017733,PR-00226,BR-00311,E-008369,2025-05-16,Producto incompleto,Rechazada
DV-00033,C-000807,CL-04298,ET-00807,P-022594,PR-01137,BR-00400,E-010662,2025-04-16,Problema con el embalaje,Rechazada
DV-00034,C-003976,CL-07828,ET-03976,P-010358,PR-00137,BR-00040,E-001228,2025-07-10,Error en el pedido,Pendiente
DV-00035,C-001980,CL-08839,ET-01980,P-046929,PR-00557,BR-00425,E-011351,2025-06-28,No funciona correctamente,Rechazada
DV-00036,C-000914,CL-01300,ET-00914,P-043549,PR-00483,BR-00446,E-011782,2025-03-21,Producto defectuoso,Rechazada
DV-00037,C-004644,CL-01411,ET-04644,P-003397,PR-00035,BR-00472,E-012599,2025-03-24,Calidad inferior a lo esperado,Procesada
DV-00038,C-000589,CL-02992,ET-00589,P-035740,PR-01085,BR-00234,E-006361,2025-04-10,No coincide con la descripción,Rechazada
DV-00039,C-003662,CL-02571,ET-03662,P-031034,PR-00337,BR-00464,E-012395,2025-08-03,Llegó dañado,Rechazada
DV-00040,C-001980,CL-08839,ET-01980,P-046929,PR-00557,BR-00425,E-011351,2025-05-19,Producto defectuoso,Pendiente
DV-00041,C-003300,CL-05714,ET-03300,P-020475,PR-01467,BR-00131,E-003711,2025-06-25,Problema con el embalaje,Procesada
DV-00042,C-002116,CL-07194,ET-02116,P-049470,PR-01366,BR-00420,E-011093,2025-03-24,Error en el pedido,Rechazada
DV-00043,C-000453,CL-04376,ET-00453,P-026958,PR-01231,BR-00241,E-006615,2025-07-22,Producto incompleto,Pendiente
DV-00044,C-000687,CL-02816,ET-00687,P-019508,PR-00940,BR-00174,E-004788,2025-06-02,Vencido o caducado,Procesada
DV-00045,C-001319,CL-06435,ET-01319,P-045799,PR-00525,BR-00419,E-010941,2025-05-15,Cliente no lo reconoce,Procesada
DV-00046,C-002954,CL-08865,ET-02954,P-016783,PR-01498,BR-00027,E-000924,2025-08-15,Cambio de opinión,Pendiente
DV-00047,C-000075,CL-07123,ET-00075,P-015519,PR-01252,BR-00137,E-003800,2025-06-19,Cambio de opinión,Procesada
DV-00048,C-002185,CL-00012,ET-02185,P-040790,PR-00467,BR-00463,E-012346,2025-08-21,Calidad inferior a lo esperado,Procesada
DV-00049,C-001705,CL-07453,ET-01705,P-043269,PR-00763,BR-00391,E-010513,2025-08-04,Cliente no lo reconoce,Pendiente
DV-00050,C-000812,CL-05034,ET-00812,P-018472,PR-00203,BR-00163,E-004586,2025-06-16,Problema con el embalaje,Rechazada
DV-00051,C-001867,CL-05478,ET-01867,P-024179,PR-00268,BR-00218,E-005829,2025-07-06,Cambio de opinión,Procesada
DV-00052,C-002717,CL-02867,ET-02717,P-032154,PR-00343,BR-00343,E-008908,2025-07-03,Llegó dañado,Pendiente
DV-00053,C-000741,CL-09780,ET-00741,P-016714,PR-00940,BR-00058,E-001793,2025-06-05,Producto defectuoso,Pendiente
DV-00054,C-004330,CL-06446,ET-04330,P-041425,PR-00456,BR-00005,E-000385,2025-06-24,Llegó dañado,Procesada
DV-00055,C-000750,CL-09872,ET-00750,P-042440,PR-01204,BR-00343,E-008947,2025-07-31,Cliente no lo reconoce,Pendiente
DV-00056,C-000266,CL-09618,ET-00266,P-016321,PR-00147,BR-00147,E-003904,2025-04-23,Llegó dañado,Procesada
DV-00057,C-000285,CL-07964,ET-00285,P-018298,PR-01498,BR-00318,E-008604,2025-04-06,No funciona correctamente,Procesada
DV-00058,C-000858,CL-07125,ET-00858,P-004524,PR-00056,BR-00040,E-001237,2025-08-09,Problema con el embalaje,Pendiente
DV-00059,C-000654,CL-04532,ET-00654,P-016226,PR-01184,BR-00146,E-003897,2025-04-18,Retraso en la entrega,Procesada
DV-00060,C-004921,CL-03590,ET-04921,P-014660,PR-00176,BR-00129,E-003675,2025-07-10,Llegó dañado,Rechazada
DV-00061,C-004770,CL-05807,ET-04770,P-043919,PR-00477,BR-00295,E-007820,2025-06-23,Vencido o caducado,Procesada
DV-00062,C-003143,CL-09026,ET-03143,P-019634,PR-00222,BR-00175,E-004797,2025-04-30,Pedido duplicado,Procesada
DV-00063,C-003869,CL-06402,ET-03869,P-030320,PR-00372,BR-00047,E-001579,2025-06-14,Recibí otro artículo,Rechazada
DV-00064,C-003698,CL-05456,ET-03698,P-006122,PR-00053,BR-00051,E-001674,2025-04-05,Cliente no lo reconoce,Pendiente
DV-00065,C-000376,CL-04079,ET-00376,P-014393,PR-01185,BR-00126,E-003619,2025-06-13,Vencido o caducado,Pendiente
DV-00066,C-004630,CL-07621,ET-04630,P-010527,PR-00102,BR-00182,E-004869,2025-06-09,Pedido duplicado,Pendiente
DV-00067,C-003110,CL-08030,ET-03110,P-023971,PR-00242,BR-00215,E-005804,2025-07-03,Calidad inferior a lo esperado,Procesada
DV-00068,C-000150,CL-06015,ET-00150,P-047733,PR-01336,BR-00161,E-004513,2025-08-21,No funciona correctamente,Pendiente
DV-00069,C-003143,CL-09026,ET-03143,P-021513,PR-00268,BR-00175,E-004797,2025-03-06,Error en el pedido,Rechazada
DV-00070,C-004219,CL-08479,ET-04219,P-025906,PR-00325,BR-00234,E-006360,2025-04-23,Llegó dañado,Rechazada
DV-00071,C-001889,CL-00079,ET-01889,P-038957,PR-00459,BR-00352,E-009481,2025-04-02,Error en el pedido,Procesada
DV-00072,C-004278,CL-06063,ET-04278,P-026522,PR-00325,BR-00059,E-001825,2025-03-17,Calidad inferior a lo esperado,Pendiente
DV-00073,C-002524,CL-05203,ET-02524,P-050693,PR-00950,BR-00461,E-012249,2025-06-12,Cliente no lo reconoce,Rechazada
DV-00074,C-001797,CL-09261,ET-01797,P-002940,PR-00034,BR-00414,E-010823,2025-03-06,No coincide con la descripción,Procesada
DV-00075,C-000654,CL-04532,ET-00654,P-016226,PR-01184,BR-00146,E-003897,2025-04-25,Producto incompleto,Pendiente
DV-00076,C-002740,CL-03208,ET-02740,P-026759,PR-00295,BR-00387,E-010315,2025-07-31,Vencido o caducado,Rechazada
DV-00077,C-004577,CL-05876,ET-04577,P-028016,PR-00939,BR-00252,E-006804,2025-04-17,Error en el pedido,Rechazada
DV-00078,C-004034,CL-07199,ET-04034,P-015804,PR-00828,BR-00267,E-006958,2025-03-01,Producto defectuoso,Pendiente
DV-00079,C-000002,CL-07365,ET-00002,P-014118,PR-00148,BR-00160,E-004468,2025-03-15,Problema con el embalaje,Pendiente
DV-00080,C-004939,CL-03376,ET-04939,P-040594,PR-01357,BR-00368,E-009770,2025-07-03,Pedido duplicado,Procesada
DV-00081,C-001764,CL-05836,ET-01764,P-018153,PR-01498,BR-00161,E-004497,2025-07-20,No funciona correctamente,Pendiente
DV-00082,C-000827,CL-04351,ET-00827,P-042356,PR-00505,BR-00385,E-010255,2025-04-24,No coincide con la descripción,Pendiente
DV-00083,C-002526,CL-00313,ET-02526,P-037109,PR-00422,BR-00118,E-003292,2025-04-04,Calidad inferior a lo esperado,Rechazada
DV-00084,C-002391,CL-07006,ET-02391,P-020496,PR-01006,BR-00185,E-004887,2025-03-14,Producto defectuoso,Rechazada
DV-00085,C-004438,CL-09378,ET-04438,P-022577,PR-00268,BR-00322,E-008669,2025-05-10,Vencido o caducado,Pendiente
DV-00086,C-004884,CL-09278,ET-04884,P-045410,PR-01392,BR-00287,E-007719,2025-05-09,Error en el pedido,Pendiente
DV-00087,C-000511,CL-02514,ET-00511,P-046137,PR-00519,BR-00420,E-011102,2025-03-06,Retraso en la entrega,Rechazada
DV-00088,C-004703,CL-08251,ET-04703,P-050969,PR-00608,BR-00463,E-012339,2025-06-16,Producto defectuoso,Pendiente
DV-00089,C-001796,CL-04760,ET-01796,P-032989,PR-01044,BR-00359,E-009611,2025-05-11,Error en el pedido,Procesada
DV-00090,C-004144,CL-01422,ET-04144,P-034860,PR-01085,BR-00310,E-008310,2025-08-07,No funciona correctamente,Procesada
DV-00091,C-001652,CL-08446,ET-01652,P-013653,PR-00708,BR-00121,E-003454,2025-05-30,Retraso en la entrega,Procesada
DV-00092,C-003157,CL-05573,ET-03157,P-010751,PR-00105,BR-00093,E-002729,2025-06-17,Calidad inferior a lo esperado,Pendiente
DV-00093,C-003358,CL-03574,ET-03358,P-034571,PR-00415,BR-00312,E-008430,2025-03-15,Problema con el embalaje,Procesada
DV-00094,C-001203,CL-09002,ET-01203,P-022176,PR-00797,BR-00198,E-005447,2025-03-16,Producto defectuoso,Procesada
DV-00095,C-000298,CL-02498,ET-00298,P-046767,PR-00555,BR-00424,E-011312,2025-08-13,No funciona correctamente,Pendiente
DV-00096,C-001957,CL-03032,ET-01957,P-051504,PR-00791,BR-00466,E-012469,2025-03-26,Calidad inferior a lo esperado,Procesada
DV-00097,C-003484,CL-09963,ET-03484,P-020349,PR-00195,BR-00105,E-002897,2025-03-22,Retraso en la entrega,Rechazada
DV-00098,C-003177,CL-09191,ET-03177,P-047622,PR-00845,BR-00431,E-011533,2025-04-06,Producto defectuoso,Pendiente
DV-00099,C-002495,CL-02019,ET-02495,P-032095,PR-01023,BR-00326,E-008729,2025-07-12,Recibí otro artículo,Procesada
DV-00100,C-002453,CL-06225,ET-02453,P-025327,PR-00321,BR-00285,E-007691,2025-07-24,Pedido duplicado,Procesada
