inventory_id,branch_id,product_id,stock_actual,stock_minimo,fecha_ingreso,fecha_actualizacion,estado
I-000042,BR-00001,P-000042,70,19,2025-04-01,2025-05-16,Disponible
I-000043,BR-00001,P-000043,25,8,2025-03-19,2025-05-19,Disponible
I-000044,BR-00001,P-000044,48,11,2025-06-18,2025-07-12,Disponible
I-000045,BR-00001,P-000045,66,20,2025-03-07,2025-06-15,Disponible
I-000046,BR-00001,P-000046,2,16,2025-04-24,2025-06-25,Bajo stock
I-000047,BR-00001,P-000047,54,19,2025-04-20,2025-05-09,Disponible
I-000048,BR-00001,P-000048,64,5,2025-05-31,2025-06-26,Disponible
I-000049,BR-00001,P-000049,93,6,2025-04-20,2025-05-20,Disponible
I-000050,BR-00001,P-000050,20,12,2025-06-05,2025-07-28,Disponible
I-000051,BR-00001,P-000051,41,15,2025-03-02,2025-06-07,Disponible
I-000052,BR-00001,P-000052,21,9,2025-07-10,2025-08-16,Disponible
I-000053,BR-00001,P-000053,92,13,2025-05-13,2025-08-18,Disponible
I-000054,BR-00001,P-000054,67,12,2025-04-20,2025-07-05,Disponible
I-000055,BR-00001,P-000055,93,16,2025-04-15,2025-06-10,Disponible
I-000056,BR-00001,P-000056,64,17,2025-07-23,2025-08-09,Disponible
I-000057,BR-00001,P-000057,41,13,2025-05-22,2025-05-27,Disponible
I-000058,BR-00001,P-000058,14,15,2025-03-08,2025-07-02,Bajo stock
I-000059,BR-00001,P-000059,33,17,2025-05-15,2025-06-19,Disponible
I-000060,BR-00001,P-000060,47,18,2025-04-10,2025-04-24,Disponible
I-000061,BR-00001,P-000061,64,11,2025-07-06,2025-08-19,Disponible
I-000062,BR-00001,P-000062,18,18,2025-04-06,2025-05-10,Bajo stock
I-000063,BR-00001,P-000063,13,20,2025-04-18,2025-06-06,Bajo stock
I-000064,BR-00001,P-000064,25,10,2025-05-03,2025-06-27,Disponible
I-000065,BR-00001,P-000065,37,12,2025-06-23,2025-07-23,Disponible
I-000066,BR-00001,P-000066,56,18,2025-04-08,2025-04-25,Disponible
I-000067,BR-00001,P-000067,41,13,2025-04-24,2025-05-19,Disponible
I-000068,BR-00001,P-000068,8,18,2025-03-14,2025-06-07,Bajo stock
I-000069,BR-00001,P-000069,29,20,2025-07-19,2025-08-09,Disponible
I-000070,BR-00001,P-000070,38,15,2025-06-29,2025-07-08,Disponible
I-000071,BR-00001,P-000071,40,12,2025-03-18,2025-04-19,Disponible
I-000072,BR-00001,P-000072,88,12,2025-04-15,2025-06-12,Disponible
I-000073,BR-00001,P-000073,61,12,2025-05-22,2025-07-09,Disponible
I-000074,BR-00001,P-000074,27,6,2025-03-14,2025-06-30,Disponible
I-000075,BR-00001,P-000075,55,11,2025-04-29,2025-06-26,Disponible
I-000076,BR-00001,P-000076,47,19,2025-02-26,2025-06-13,Disponible
I-000077,BR-00001,P-000077,37,6,2025-06-18,2025-06-27,Disponible
I-000078,BR-00001,P-000078,1,17,2025-07-18,2025-07-23,Bajo stock
I-000079,BR-00001,P-000079,12,15,2025-03-23,2025-06-10,Bajo stock
I-000080,BR-00001,P-000080,40,15,2025-04-17,2025-05-24,Disponible
I-000081,BR-00001,P-000081,29,10,2025-06-28,2025-08-07,Disponible
I-000082,BR-00001,P-000082,81,10,2025-03-02,2025-06-10,Disponible
I-000083,BR-00001,P-000083,59,6,2025-06-15,2025-07-20,Disponible
I-000084,BR-00001,P-000084,28,12,2025-06-30,2025-08-08,Disponible
I-000085,BR-00001,P-000085,85,19,2025-05-01,2025-06-29,Disponible
I-000086,BR-00001,P-000086,36,11,2025-07-02,2025-08-03,Disponible
I-000087,BR-00001,P-000087,59,8,2025-07-19,2025-08-22,Disponible
I-000088,BR-00001,P-000088,26,11,2025-03-17,2025-07-09,Disponible
I-000089,BR-00001,P-000089,88,10,2025-07-09,2025-07-23,Disponible
I-000090,BR-00001,P-000090,77,5,2025-02-28,2025-04-08,Disponible
I-000091,BR-00001,P-000091,79,17,2025-02-27,2025-08-17,Disponible
I-000092,BR-00001,P-000092,50,19,2025-03-11,2025-06-29,Disponible
I-000093,BR-00001,P-000093,88,5,2025-04-22,2025-08-12,Disponible
I-000094,BR-00001,P-000094,85,12,2025-04-16,2025-08-18,Disponible
I-000095,BR-00001,P-000095,80,5,2025-04-04,2025-07-15,Disponible
I-000096,BR-00001,P-000096,94,17,2025-05-13,2025-05-22,Disponible
I-000097,BR-00001,P-000097,6,19,2025-07-22,2025-08-04,Bajo stock
I-000098,BR-00001,P-000098,15,7,2025-07-21,2025-08-07,Disponible
I-000099,BR-00001,P-000099,97,20,2025-05-20,2025-08-17,Disponible
I-000100,BR-00001,P-000100,4,18,2025-07-21,2025-08-21,Bajo stock
I-000101,BR-00001,P-000101,93,8,2025-05-05,2025-06-25,Disponible
I-000102,BR-00001,P-000102,80,14,2025-05-12,2025-07-21,Disponible
I-000103,BR-00001,P-000103,8,15,2025-05-25,2025-08-16,Bajo stock
I-000104,BR-00001,P-000104,87,11,2025-07-18,2025-08-23,Disponible
I-000105,BR-00001,P-000105,97,20,2025-06-01,2025-06-27,Disponible
I-000106,BR-00001,P-000106,91,10,2025-04-16,2025-04-18,Disponible
I-000107,BR-00001,P-000107,64,14,2025-07-09,2025-08-23,Disponible
I-000108,BR-00001,P-000108,93,10,2025-03-27,2025-05-26,Disponible
I-000109,BR-00001,P-000109,59,11,2025-06-01,2025-06-18,Disponible
I-000110,BR-00001,P-000110,55,7,2025-03-23,2025-07-31,Disponible
I-000111,BR-00001,P-000111,17,6,2025-05-19,2025-08-03,Disponible
I-000112,BR-00001,P-000112,31,9,2025-04-22,2025-08-23,Disponible
I-000113,BR-00001,P-000113,92,15,2025-07-15,2025-07-30,Disponible
I-000114,BR-00001,P-000114,63,18,2025-05-30,2025-06-20,Disponible
I-000115,BR-00001,P-000115,38,16,2025-06-30,2025-08-05,Disponible
I-000116,BR-00001,P-000116,47,5,2025-04-16,2025-05-24,Disponible
I-000117,BR-00001,P-000117,93,5,2025-07-13,2025-07-13,Disponible
I-000118,BR-00001,P-000118,56,9,2025-06-15,2025-07-22,Disponible
I-000119,BR-00001,P-000119,86,14,2025-06-12,2025-08-24,Disponible
I-000120,BR-00001,P-000120,90,5,2025-07-18,2025-08-04,Disponible
I-000121,BR-00001,P-000121,81,6,2025-03-31,2025-04-09,Disponible
I-000122,BR-00001,P-000122,53,15,2025-05-14,2025-07-03,Disponible
I-000123,BR-00001,P-000123,88,20,2025-03-31,2025-06-23,Disponible
I-000124,BR-00001,P-000124,1,20,2025-05-28,2025-06-08,Bajo stock
I-000125,BR-00001,P-000125,95,14,2025-03-17,2025-05-14,Disponible
I-000126,BR-00001,P-000126,22,19,2025-03-27,2025-03-27,Disponible
I-000127,BR-00001,P-000127,70,11,2025-07-11,2025-08-12,Disponible
I-000128,BR-00001,P-000128,26,11,2025-05-28,2025-06-11,Disponible
I-000129,BR-00001,P-000129,63,15,2025-07-03,2025-08-23,Disponible
I-000130,BR-00001,P-000130,83,6,2025-07-09,2025-08-22,Disponible
I-000131,BR-00001,P-000131,90,7,2025-06-20,2025-07-11,Disponible
I-000132,BR-00001,P-000132,18,17,2025-04-18,2025-05-14,Disponible
I-000133,BR-00001,P-000133,68,12,2025-07-16,2025-07-29,Disponible
I-000134,BR-00001,P-000134,63,14,2025-06-02,2025-08-22,Disponible
I-000135,BR-00001,P-000135,62,13,2025-03-24,2025-05-06,Disponible
I-000136,BR-00001,P-000136,49,14,2025-07-15,2025-08-09,Disponible
I-000137,BR-00001,P-000137,36,10,2025-05-18,2025-08-17,Disponible
I-000138,BR-00001,P-000138,25,9,2025-05-16,2025-07-11,Disponible
I-000139,BR-00001,P-000139,4,18,2025-05-22,2025-08-20,Bajo stock
I-000140,BR-00001,P-000140,3,10,2025-07-01,2025-08-06,Bajo stock
I-000141,BR-00001,P-000141,65,7,2025-03-28,2025-08-19,Disponible
I-000142,BR-00001,P-000142,76,6,2025-05-09,2025-08-05,Disponible
I-000143,BR-00001,P-000143,66,8,2025-03-17,2025-06-04,Disponible
I-000144,BR-00001,P-000144,36,13,2025-04-28,2025-06-15,Disponible
I-000145,BR-00001,P-000145,17,8,2025-04-19,2025-07-14,Disponible
I-000146,BR-00001,P-000146,65,17,2025-06-26,2025-07-31,Disponible
I-000147,BR-00001,P-000147,39,12,2025-06-24,2025-08-15,Disponible
I-000148,BR-00001,P-000148,28,6,2025-03-09,2025-07-05,Disponible
I-000149,BR-00001,P-000149,79,17,2025-03-31,2025-05-25,Disponible
I-000150,BR-00001,P-000150,32,11,2025-03-03,2025-06-29,Disponible
I-000151,BR-00001,P-000151,37,13,2025-06-09,2025-08-19,Disponible
I-000152,BR-00001,P-000152,75,20,2025-05-26,2025-06-06,Disponible
I-000153,BR-00001,P-000153,22,18,2025-03-30,2025-06-29,Disponible
I-000154,BR-00001,P-000154,40,6,2025-06-23,2025-08-19,Disponible
I-000155,BR-00001,P-000155,78,16,2025-04-27,2025-08-03,Disponible
I-000156,BR-00001,P-000156,48,7,2025-06-19,2025-07-26,Disponible
I-000157,BR-00001,P-000157,95,14,2025-04-14,2025-06-12,Disponible
I-000158,BR-00001,P-000158,53,10,2025-05-29,2025-06-04,Disponible
I-000159,BR-00001,P-000159,43,19,2025-04-04,2025-04-04,Disponible
I-000160,BR-00001,P-000160,73,6,2025-06-28,2025-08-09,Disponible
I-000161,BR-00001,P-000161,96,6,2025-06-05,2025-07-01,Disponible
I-000162,BR-00001,P-000162,99,9,2025-03-20,2025-06-30,Disponible
I-000163,BR-00001,P-000163,50,8,2025-05-30,2025-08-13,Disponible
I-000164,BR-00001,P-000164,69,8,2025-04-01,2025-07-29,Disponible
I-000165,BR-00001,P-000165,61,11,2025-06-23,2025-07-17,Disponible
I-000166,BR-00001,P-000166,67,20,2025-05-04,2025-08-22,Disponible
I-000167,BR-00001,P-000167,45,15,2025-07-23,2025-08-05,Disponible
I-000168,BR-00001,P-000168,87,5,2025-03-25,2025-07-19,Disponible
I-000169,BR-00001,P-000169,43,15,2025-04-12,2025-08-13,Disponible
I-000170,BR-00001,P-000170,22,11,2025-05-29,2025-07-15,Disponible
I-000171,BR-00001,P-000171,56,16,2025-07-17,2025-08-19,Disponible
I-000172,BR-00001,P-000172,18,11,2025-04-09,2025-06-09,Disponible
I-000173,BR-00001,P-000173,3,20,2025-04-30,2025-05-19,Bajo stock
I-000174,BR-00001,P-000174,72,19,2025-05-23,2025-07-15,Disponible
I-000175,BR-00001,P-000175,29,10,2025-07-23,2025-07-26,Disponible
I-000176,BR-00001,P-000176,4,17,2025-06-14,2025-08-05,Bajo stock
I-000177,BR-00001,P-000177,12,11,2025-06-14,2025-07-19,Disponible
I-000178,BR-00001,P-000178,21,13,2025-03-18,2025-04-19,Disponible
I-000179,BR-00001,P-000179,63,7,2025-05-25,2025-06-24,Disponible
I-000180,BR-00001,P-000180,21,11,2025-04-07,2025-06-17,Disponible
I-000181,BR-00001,P-000181,98,12,2025-06-06,2025-08-15,Disponible
I-000182,BR-00001,P-000182,27,9,2025-04-30,2025-08-14,Disponible
I-000183,BR-00001,P-000183,52,12,2025-02-28,2025-03-22,Disponible
I-000184,BR-00001,P-000184,81,9,2025-03-25,2025-07-09,Disponible
I-000185,BR-00001,P-000185,26,9,2025-06-30,2025-07-23,Disponible
I-000186,BR-00001,P-000186,58,8,2025-06-11,2025-07-05,Disponible
I-000187,BR-00001,P-000187,21,20,2025-05-08,2025-05-09,Disponible
I-000188,BR-00001,P-000188,29,10,2025-07-17,2025-08-22,Disponible
I-000189,BR-00001,P-000189,0,10,2025-05-06,2025-06-30,Agotado
I-000190,BR-00001,P-000190,66,11,2025-05-05,2025-06-27,Disponible
I-000191,BR-00001,P-000191,61,9,2025-06-04,2025-06-05,Disponible
I-000192,BR-00001,P-000192,75,6,2025-06-02,2025-07-08,Disponible
I-000193,BR-00001,P-000193,83,5,2025-07-21,2025-08-12,Disponible
I-000194,BR-00001,P-000194,39,12,2025-03-28,2025-06-06,Disponible
I-000195,BR-00001,P-000195,2,16,2025-06-29,2025-07-27,Bajo stock
I-000196,BR-00001,P-000196,42,16,2025-03-27,2025-03-28,Disponible
I-000197,BR-00001,P-000197,21,7,2025-03-07,2025-06-28,Disponible
I-000198,BR-00001,P-000198,59,16,2025-03-23,2025-05-31,Disponible
I-000199,BR-00001,P-000199,41,7,2025-05-31,2025-07-18,Disponible
I-000200,BR-00001,P-000200,39,14,2025-06-28,2025-08-11,Disponible
I-000201,BR-00001,P-000201,51,15,2025-04-10,2025-06-12,Disponible
I-000202,BR-00001,P-000202,62,18,2025-06-15,2025-08-20,Disponible
I-000203,BR-00001,P-000203,51,8,2025-06-26,2025-07-01,Disponible
I-000204,BR-00001,P-000204,47,14,2025-06-11,2025-07-23,Disponible
I-000205,BR-00001,P-000205,37,6,2025-06-24,2025-08-09,Disponible
I-000206,BR-00001,P-000206,2,12,2025-03-30,2025-05-13,Bajo stock
I-000207,BR-00001,P-000207,1,11,2025-05-13,2025-08-09,Bajo stock
I-000208,BR-00001,P-000208,17,7,2025-06-05,2025-06-16,Disponible
I-000209,BR-00001,P-000209,61,14,2025-05-23,2025-06-05,Disponible
I-000210,BR-00001,P-000210,49,14,2025-07-05,2025-08-21,Disponible
I-000211,BR-00001,P-000211,84,20,2025-03-25,2025-04-06,Disponible
I-000212,BR-00001,P-000212,30,11,2025-03-04,2025-08-24,Disponible
I-000213,BR-00001,P-000213,64,15,2025-07-18,2025-08-23,Disponible
I-000214,BR-00001,P-000214,24,9,2025-02-27,2025-07-30,Disponible
I-000215,BR-00001,P-000215,27,12,2025-04-02,2025-07-29,Disponible
I-000216,BR-00001,P-000216,0,10,2025-06-08,2025-08-19,Agotado
I-000217,BR-00001,P-000217,69,19,2025-04-09,2025-07-02,Disponible
I-000218,BR-00001,P-000218,31,12,2025-04-17,2025-08-09,Disponible
I-000219,BR-00001,P-000219,2,14,2025-06-05,2025-07-23,Bajo stock
I-000220,BR-00001,P-000220,42,11,2025-04-04,2025-06-15,Disponible
I-000221,BR-00001,P-000221,42,14,2025-05-14,2025-07-03,Disponible
I-000222,BR-00001,P-000222,24,13,2025-04-26,2025-07-23,Disponible
I-000223,BR-00001,P-000223,10,6,2025-06-19,2025-06-29,Disponible
I-000224,BR-00001,P-000224,82,14,2025-05-08,2025-06-05,Disponible
I-000225,BR-00001,P-000225,36,14,2025-05-30,2025-08-10,Disponible
I-000226,BR-00001,P-000226,23,18,2025-06-17,2025-08-19,Disponible
I-000227,BR-00001,P-000227,92,20,2025-05-21,2025-06-18,Disponible
I-000228,BR-00001,P-000228,6,19,2025-07-21,2025-08-21,Bajo stock
I-000229,BR-00001,P-000229,69,12,2025-03-08,2025-05-19,Disponible
I-000230,BR-00001,P-000230,21,5,2025-02-27,2025-03-25,Disponible
I-000231,BR-00001,P-000231,52,8,2025-06-10,2025-07-21,Disponible
I-000232,BR-00001,P-000232,16,13,2025-03-24,2025-08-03,Disponible
I-000233,BR-00001,P-000233,96,19,2025-05-14,2025-08-12,Disponible
I-000234,BR-00001,P-000234,6,11,2025-05-04,2025-05-19,Bajo stock
I-000235,BR-00001,P-000235,99,11,2025-04-19,2025-08-21,Disponible
I-000236,BR-00002,P-000236,48,10,2025-05-31,2025-06-10,Disponible
I-000237,BR-00002,P-000237,88,13,2025-06-26,2025-07-13,Disponible
I-000238,BR-00002,P-000238,98,18,2025-03-28,2025-06-30,Disponible
I-000239,BR-00002,P-000239,85,5,2025-05-24,2025-07-25,Disponible
I-000240,BR-00002,P-000240,92,8,2025-07-18,2025-07-26,Disponible
I-000241,BR-00002,P-000241,99,12,2025-03-25,2025-06-18,Disponible
I-000242,BR-00002,P-000242,90,6,2025-05-28,2025-07-21,Disponible
I-000243,BR-00002,P-000243,3,18,2025-06-18,2025-07-25,Bajo stock
I-000244,BR-00002,P-000244,11,5,2025-03-08,2025-03-13,Disponible
I-000245,BR-00002,P-000245,45,17,2025-04-13,2025-06-10,Disponible
I-000246,BR-00002,P-000246,16,9,2025-07-11,2025-07-30,Disponible
I-000247,BR-00002,P-000247,42,12,2025-05-22,2025-07-28,Disponible
I-000248,BR-00002,P-000248,23,16,2025-07-25,2025-07-25,Disponible
I-000249,BR-00002,P-000249,92,17,2025-04-28,2025-07-10,Disponible
I-000250,BR-00002,P-000250,34,10,2025-05-06,2025-06-10,Disponible
I-000251,BR-00002,P-000251,47,7,2025-06-06,2025-07-26,Disponible
I-000252,BR-00002,P-000252,32,6,2025-04-08,2025-07-01,Disponible
I-000253,BR-00002,P-000253,74,17,2025-05-12,2025-08-11,Disponible
I-000254,BR-00002,P-000254,61,12,2025-07-06,2025-07-21,Disponible
I-000255,BR-00002,P-000255,43,19,2025-03-18,2025-04-05,Disponible
I-000256,BR-00002,P-000256,84,19,2025-03-07,2025-07-28,Disponible
I-000257,BR-00002,P-000257,0,13,2025-05-13,2025-08-21,Agotado
I-000258,BR-00002,P-000258,97,16,2025-04-29,2025-08-01,Disponible
I-000259,BR-00002,P-000259,72,15,2025-03-04,2025-03-25,Disponible
I-000260,BR-00002,P-000260,7,7,2025-07-10,2025-08-20,Bajo stock
I-000261,BR-00002,P-000261,33,5,2025-04-10,2025-05-22,Disponible
I-000262,BR-00002,P-000262,100,14,2025-06-23,2025-07-26,Disponible
I-000263,BR-00002,P-000263,6,8,2025-06-27,2025-08-04,Bajo stock
I-000264,BR-00002,P-000264,49,10,2025-04-28,2025-08-04,Disponible
I-000265,BR-00002,P-000265,10,11,2025-03-01,2025-06-21,Bajo stock
I-000266,BR-00002,P-000266,61,6,2025-07-02,2025-07-03,Disponible
I-000267,BR-00002,P-000267,50,18,2025-06-29,2025-07-25,Disponible
I-000268,BR-00002,P-000268,3,14,2025-04-02,2025-05-18,Bajo stock
I-000269,BR-00002,P-000269,28,16,2025-06-29,2025-07-15,Disponible
I-000270,BR-00002,P-000270,17,11,2025-05-03,2025-08-06,Disponible
I-000271,BR-00002,P-000271,49,20,2025-07-05,2025-07-08,Disponible
I-000272,BR-00002,P-000272,22,19,2025-06-28,2025-07-27,Disponible
I-000273,BR-00002,P-000273,5,5,2025-04-07,2025-07-18,Bajo stock
I-000274,BR-00002,P-000274,65,7,2025-03-08,2025-03-28,Disponible
I-000275,BR-00002,P-000275,46,19,2025-07-06,2025-07-09,Disponible
I-000276,BR-00002,P-000276,91,13,2025-07-03,2025-08-24,Disponible
I-000277,BR-00002,P-000277,33,18,2025-06-02,2025-06-17,Disponible
I-000278,BR-00002,P-000278,24,14,2025-07-12,2025-07-19,Disponible
I-000279,BR-00002,P-000279,61,8,2025-07-25,2025-08-17,Disponible
I-000280,BR-00002,P-000280,57,18,2025-04-10,2025-07-13,Disponible
I-000281,BR-00002,P-000281,72,15,2025-07-24,2025-07-30,Disponible
I-000282,BR-00002,P-000282,17,11,2025-05-05,2025-08-11,Disponible
I-000283,BR-00002,P-000283,89,5,2025-07-02,2025-07-24,Disponible
I-000284,BR-00002,P-000284,86,15,2025-02-28,2025-05-05,Disponible
I-000285,BR-00002,P-000285,3,8,2025-03-23,2025-04-13,Bajo stock
I-000286,BR-00002,P-000286,81,17,2025-07-03,2025-08-05,Disponible
I-000287,BR-00002,P-000287,93,17,2025-06-06,2025-07-07,Disponible
I-000288,BR-00002,P-000288,81,14,2025-06-02,2025-06-07,Disponible
I-000289,BR-00002,P-000289,42,17,2025-06-13,2025-07-08,Disponible
I-000290,BR-00002,P-000290,34,5,2025-03-18,2025-06-16,Disponible
I-000291,BR-00002,P-000291,30,13,2025-07-06,2025-08-23,Disponible
I-000292,BR-00002,P-000292,98,16,2025-07-17,2025-08-21,Disponible
I-000293,BR-00002,P-000293,97,11,2025-03-22,2025-04-06,Disponible
I-000294,BR-00002,P-000294,100,15,2025-07-09,2025-08-04,Disponible
I-000295,BR-00002,P-000295,4,12,2025-07-09,2025-07-25,Bajo stock
I-000296,BR-00002,P-000296,45,11,2025-04-24,2025-05-23,Disponible
I-000297,BR-00002,P-000297,74,8,2025-06-23,2025-07-06,Disponible
I-000298,BR-00002,P-000298,69,6,2025-06-04,2025-08-20,Disponible
I-000299,BR-00002,P-000299,94,9,2025-05-03,2025-08-20,Disponible
I-000300,BR-00002,P-000300,31,18,2025-07-21,2025-08-03,Disponible
I-000301,BR-00002,P-000301,0,5,2025-06-07,2025-08-24,Agotado
I-000302,BR-00002,P-000302,24,9,2025-03-14,2025-05-23,Disponible
I-000303,BR-00002,P-000303,36,18,2025-07-11,2025-08-06,Disponible
I-000304,BR-00002,P-000304,1,8,2025-04-02,2025-04-13,Bajo stock
I-000305,BR-00002,P-000305,47,15,2025-06-06,2025-07-10,Disponible
I-000306,BR-00002,P-000306,43,12,2025-04-14,2025-07-21,Disponible
I-000307,BR-00002,P-000307,51,15,2025-07-22,2025-08-08,Disponible
I-000308,BR-00002,P-000308,96,9,2025-03-25,2025-07-07,Disponible
I-000309,BR-00002,P-000309,44,8,2025-05-27,2025-05-28,Disponible
I-000310,BR-00002,P-000310,41,15,2025-06-25,2025-06-26,Disponible
I-000311,BR-00002,P-000311,100,17,2025-05-17,2025-08-13,Disponible
I-000312,BR-00002,P-000312,1,5,2025-04-29,2025-06-04,Bajo stock
I-000313,BR-00002,P-000313,74,19,2025-06-09,2025-06-19,Disponible
I-000314,BR-00002,P-000314,62,17,2025-03-12,2025-08-02,Disponible
I-000315,BR-00002,P-000315,10,6,2025-04-19,2025-07-13,Disponible
I-000316,BR-00002,P-000316,32,10,2025-05-10,2025-06-12,Disponible
I-000317,BR-00002,P-000317,97,19,2025-04-05,2025-05-16,Disponible
I-000318,BR-00002,P-000318,59,9,2025-03-20,2025-04-20,Disponible
I-000319,BR-00002,P-000319,4,7,2025-04-22,2025-07-15,Bajo stock
I-000320,BR-00002,P-000320,90,19,2025-06-10,2025-07-10,Disponible
I-000321,BR-00002,P-000321,60,9,2025-06-01,2025-06-05,Disponible
I-000322,BR-00002,P-000322,4,12,2025-03-06,2025-08-20,Bajo stock
I-000323,BR-00002,P-000323,32,11,2025-04-18,2025-08-22,Disponible
I-000324,BR-00002,P-000324,97,11,2025-07-09,2025-07-30,Disponible
I-000325,BR-00002,P-000325,13,19,2025-03-28,2025-06-22,Bajo stock
I-000326,BR-00002,P-000326,24,12,2025-04-06,2025-07-14,Disponible
I-000327,BR-00002,P-000327,7,10,2025-07-19,2025-08-20,Bajo stock
I-000328,BR-00002,P-000328,45,18,2025-02-26,2025-05-22,Disponible
I-000329,BR-00002,P-000329,89,17,2025-04-09,2025-07-22,Disponible
I-000330,BR-00002,P-000330,12,18,2025-07-12,2025-07-21,Bajo stock
I-000331,BR-00002,P-000331,66,16,2025-07-14,2025-07-16,Disponible
I-000332,BR-00002,P-000332,21,13,2025-06-27,2025-07-22,Disponible
I-000333,BR-00002,P-000333,93,13,2025-06-15,2025-07-21,Disponible
I-000334,BR-00002,P-000334,6,7,2025-04-15,2025-07-23,Bajo stock
I-000335,BR-00002,P-000335,74,11,2025-07-19,2025-08-17,Disponible
I-000336,BR-00002,P-000336,40,7,2025-07-07,2025-08-18,Disponible
I-000337,BR-00002,P-000337,25,19,2025-05-21,2025-07-25,Disponible
I-000338,BR-00002,P-000338,61,14,2025-05-02,2025-07-29,Disponible
I-000339,BR-00002,P-000339,3,6,2025-04-04,2025-05-09,Bajo stock
I-000340,BR-00002,P-000340,96,20,2025-06-01,2025-08-12,Disponible
I-000341,BR-00002,P-000341,10,19,2025-06-20,2025-07-12,Bajo stock
I-000342,BR-00002,P-000342,14,16,2025-03-20,2025-06-13,Bajo stock
I-000343,BR-00002,P-000343,47,18,2025-03-02,2025-04-09,Disponible
I-000344,BR-00002,P-000344,27,18,2025-03-17,2025-08-03,Disponible
I-000345,BR-00002,P-000345,39,19,2025-05-10,2025-05-12,Disponible
I-000346,BR-00002,P-000346,55,20,2025-04-13,2025-07-31,Disponible
I-000347,BR-00002,P-000347,14,7,2025-04-14,2025-07-24,Disponible
I-000348,BR-00002,P-000348,66,15,2025-06-06,2025-06-21,Disponible
I-000349,BR-00002,P-000349,6,18,2025-03-24,2025-04-23,Bajo stock
I-000350,BR-00002,P-000350,76,7,2025-07-08,2025-07-25,Disponible
I-000351,BR-00002,P-000351,49,5,2025-07-09,2025-07-28,Disponible
I-000352,BR-00002,P-000352,79,12,2025-03-22,2025-07-06,Disponible
I-000353,BR-00002,P-000353,61,11,2025-04-15,2025-07-14,Disponible
I-000354,BR-00002,P-000354,97,17,2025-04-11,2025-05-25,Disponible
