purchase_id,branch_id,client_id,fecha,canal,metodo_pago,employee_id,total
C-000030,BR-00090,CL-05337,2025-06-13,Amazon,Amazon Pay,E-002658,1186.31
C-000031,BR-00457,CL-03586,2025-06-29,Distribuidor,Transferencia,E-011882,46.51
C-000032,BR-00080,CL-07311,2025-07-29,Instagram,Transferencia,E-002281,26.88
C-000033,BR-00398,CL-06047,2025-07-21,Distribuidor,Transferencia,E-010625,140.7
C-000034,BR-00385,CL-08657,2025-07-09,Página Web,PayPal,E-010264,755.14
C-000035,BR-00230,CL-02302,2025-08-13,Instagram,Transferencia,E-006101,687.94
C-000036,BR-00182,CL-03103,2025-05-26,Página Web,PayPal,E-004845,434.35
C-000037,BR-00300,CL-03341,2025-07-02,Página Web,PayPal,E-007843,1206.83
C-000038,BR-00160,CL-00781,2025-08-09,Página Web,PayPal,E-004423,295.55
C-000039,BR-00462,CL-00991,2025-06-30,Instagram,Bizum,E-012287,198.3
C-000040,BR-00247,CL-00049,2025-06-21,Amazon,Amazon Pay,E-006702,707.42
C-000041,BR-00489,CL-00996,2025-06-23,Distribuidor,Transferencia,E-012771,761.1
C-000042,BR-00160,CL-06110,2025-06-22,Amazon,Amazon Pay,E-004427,763.43
C-000043,BR-00018,CL-08678,2025-06-28,Página Web,PayPal,E-000755,1054.81
C-000044,BR-00424,CL-04441,2025-06-01,Página Web,Tarjeta,E-011253,1086.91
C-000045,BR-00328,CL-09782,2025-08-19,Instagram,Transferencia,E-008771,762.63
C-000046,BR-00446,CL-09771,2025-07-12,Distribuidor,Transferencia,E-011753,503.39
C-000047,BR-00258,CL-09094,2025-08-18,Amazon,Amazon Pay,E-006841,839.5
C-000048,BR-00047,CL-05593,2025-06-24,Amazon,Tarjeta,E-001555,694.13
C-000049,BR-00196,CL-03850,2025-08-11,Instagram,Bizum,E-005364,431.02
C-000050,BR-00219,CL-01247,2025-06-08,Amazon,Amazon Pay,E-005853,219.53
C-000051,BR-00039,CL-00289,2025-07-09,Distribuidor,Transferencia,E-001050,795.61
C-000052,BR-00079,CL-04890,2025-07-02,Distribuidor,Transferencia,E-002258,174.37
C-000053,BR-00326,CL-01368,2025-05-27,Amazon,Tarjeta,E-008735,304.5
C-000054,BR-00206,CL-05325,2025-07-02,Distribuidor,Transferencia,E-005666,132.62
C-000055,BR-00007,CL-02681,2025-06-07,Amazon,Amazon Pay,E-000483,1700.28
C-000056,BR-00019,CL-05087,2025-07-30,Amazon,Tarjeta,E-000774,646.89
C-000057,BR-00478,CL-00567,2025-06-14,Presencial,Tarjeta,E-012660,942.54
C-000058,BR-00152,CL-00369,2025-05-27,Presencial,Tarjeta,E-003929,1737.02
C-000059,BR-00123,CL-07887,2025-06-04,Amazon,Amazon Pay,E-003505,633.38
C-000060,BR-00039,CL-08716,2025-07-01,Página Web,PayPal,E-001064,306.59
C-000061,BR-00218,CL-04955,2025-06-25,Instagram,Transferencia,E-005843,785.35
C-000062,BR-00324,CL-07277,2025-08-21,Presencial,Efectivo,E-008705,277.43
C-000063,BR-00255,CL-00571,2025-07-22,Página Web,Tarjeta,E-006817,949.3
C-000064,BR-00016,CL-08016,2025-07-03,Instagram,Bizum,E-000713,1184.95
C-000065,BR-00040,CL-04418,2025-07-17,Amazon,Tarjeta,E-001189,156.28
C-000066,BR-00416,CL-01947,2025-05-30,Amazon,Amazon Pay,E-010834,954.42
C-000067,BR-00003,CL-03366,2025-06-17,Presencial,Efectivo,E-000295,812.18
C-000068,BR-00131,CL-07648,2025-07-01,Presencial,Efectivo,E-003696,250.8
C-000069,BR-00229,CL-04809,2025-07-03,Distribuidor,Transferencia,E-006052,268.89
C-000070,BR-00119,CL-00669,2025-08-02,Presencial,Efectivo,E-003340,764.32
C-000071,BR-00268,CL-06104,2025-06-08,Amazon,Amazon Pay,E-007110,513.34
C-000072,BR-00438,CL-05214,2025-07-14,Instagram,Bizum,E-011656,503.8
C-000073,BR-00440,CL-09067,2025-06-24,Página Web,Tarjeta,E-011684,148.3
C-000074,BR-00197,CL-00002,2025-06-23,Distribuidor,Transferencia,E-005419,123.52
C-000075,BR-00492,CL-05819,2025-06-22,Presencial,Efectivo,E-012796,240.84
C-000076,BR-00464,CL-04335,2025-07-27,Amazon,Tarjeta,E-012361,722.59
C-000077,BR-00273,CL-05571,2025-06-13,Amazon,Amazon Pay,E-007390,295.91
C-000078,BR-00213,CL-03133,2025-06-15,Presencial,Efectivo,E-005783,527.45
C-000079,BR-00101,CL-06437,2025-08-21,Página Web,Tarjeta,E-002845,805.68
C-000080,BR-00056,CL-02429,2025-08-18,Amazon,Amazon Pay,E-001738,439.84
C-000081,BR-00001,CL-03985,2025-07-21,Distribuidor,Transferencia,E-000090,56.45
C-000082,BR-00124,CL-03243,2025-06-28,Distribuidor,Transferencia,E-003553,909.26
C-000083,BR-00272,CL-05362,2025-06-05,Presencial,Efectivo,E-007358,943.54
C-000084,BR-00088,CL-08580,2025-07-17,Distribuidor,Transferencia,E-002629,739.91
C-000085,BR-00078,CL-01236,2025-07-31,Instagram,Transferencia,E-002093,2121.53
C-000086,BR-00193,CL-08284,2025-08-11,Presencial,Tarjeta,E-005219,734.46
C-000087,BR-00208,CL-04083,2025-06-18,Página Web,Tarjeta,E-005701,1239.38
C-000088,BR-00458,CL-03774,2025-08-13,Presencial,Efectivo,E-012037,302.76
C-000089,BR-00144,CL-09995,2025-06-23,Instagram,Bizum,E-003873,240.28
C-000090,BR-00128,CL-02049,2025-06-24,Amazon,Tarjeta,E-003649,569.82
C-000091,BR-00077,CL-01559,2025-06-11,Instagram,Transferencia,E-002087,83.03
C-000092,BR-00106,CL-06084,2025-07-02,Instagram,Transferencia,E-002885,303.08
C-000093,BR-00427,CL-01198,2025-07-22,Instagram,Transferencia,E-011401,837.75
C-000094,BR-00018,CL-00131,2025-08-05,Amazon,Amazon Pay,E-000740,65.58
C-000095,BR-00127,CL-04876,2025-07-08,Distribuidor,Transferencia,E-003630,223.72
C-000096,BR-00321,CL-05898,2025-06-07,Distribuidor,Transferencia,E-008639,1400.22
C-000097,BR-00140,CL-03556,2025-07-12,Distribuidor,Transferencia,E-003847,425.28
C-000098,BR-00437,CL-05282,2025-06-07,Presencial,Efectivo,E-011625,147.18
C-000099,BR-00367,CL-00692,2025-06-01,Instagram,Bizum,E-009788,558.45
C-000100,BR-00353,CL-08939,2025-07-24,Distribuidor,Transferencia,E-009546,1058.12
C-000101,BR-00160,CL-00337,2025-07-13,Instagram,Transferencia,E-004448,541.2
C-000102,BR-00034,CL-01817,2025-06-08,Instagram,Bizum,E-000944,966.54
C-000103,BR-00477,CL-09779,2025-05-28,Distribuidor,Transferencia,E-012656,631.2
C-000104,BR-00205,CL-09961,2025-08-22,Instagram,Bizum,E-005638,313.86
C-000105,BR-00363,CL-00647,2025-08-06,Amazon,Amazon Pay,E-009717,370.72
C-000106,BR-00421,CL-05371,2025-06-23,Instagram,Transferencia,E-011156,511.33
C-000107,BR-00005,CL-07527,2025-08-20,Presencial,Tarjeta,E-000372,1500.85
C-000108,BR-00450,CL-08062,2025-07-06,Página Web,PayPal,E-011780,1009.44
C-000109,BR-00181,CL-06857,2025-07-06,Amazon,Tarjeta,E-004844,480.44
C-000110,BR-00211,CL-09263,2025-06-27,Distribuidor,Transferencia,E-005758,326.86
C-000111,BR-00274,CL-05427,2025-06-12,Distribuidor,Transferencia,E-007432,495.72
C-000112,BR-00205,CL-06856,2025-06-21,Distribuidor,Transferencia,E-005633,1433.43
C-000113,BR-00389,CL-02777,2025-08-19,Instagram,Bizum,E-010440,64.97
C-000114,BR-00023,CL-05665,2025-07-04,Página Web,PayPal,E-000831,94.04
C-000115,BR-00389,CL-01826,2025-08-13,Página Web,PayPal,E-010437,655.06
C-000116,BR-00115,CL-09736,2025-07-25,Distribuidor,Transferencia,E-003077,178.81
C-000117,BR-00467,CL-02909,2025-08-13,Presencial,Tarjeta,E-012483,39.88
C-000118,BR-00166,CL-08379,2025-07-18,Página Web,Tarjeta,E-004612,1099.21
C-000119,BR-00253,CL-08272,2025-07-19,Distribuidor,Transferencia,E-006801,485.32
C-000120,BR-00276,CL-05851,2025-07-20,Distribuidor,Transferencia,E-007518,277.1
C-000121,BR-00105,CL-02947,2025-08-22,Instagram,Bizum,E-002882,711.61
C-000122,BR-00282,CL-04776,2025-07-18,Distribuidor,Transferencia,E-007635,726.18
C-000123,BR-00028,CL-05694,2025-06-09,Instagram,Transferencia,E-000906,145.53
C-000124,BR-00112,CL-07638,2025-06-23,Página Web,Tarjeta,E-002923,627.84
C-000125,BR-00021,CL-00605,2025-08-02,Amazon,Amazon Pay,E-000806,741.75
C-000126,BR-00217,CL-09548,2025-06-02,Amazon,Tarjeta,E-005841,121.36
C-000127,BR-00446,CL-03295,2025-07-04,Presencial,Tarjeta,E-011751,1143.18
C-000128,BR-00123,CL-05115,2025-08-17,Página Web,PayPal,E-003538,512.49
C-000129,BR-00315,CL-08658,2025-08-14,Presencial,Efectivo,E-008540,184.89
C-000130,BR-00306,CL-07588,2025-06-18,Amazon,Amazon Pay,E-008142,395.74
C-000131,BR-00318,CL-03612,2025-08-01,Instagram,Bizum,E-008584,887.25
C-000132,BR-00227,CL-03668,2025-06-27,Distribuidor,Transferencia,E-005908,559.74
C-000133,BR-00409,CL-07617,2025-06-25,Amazon,Tarjeta,E-010785,1211.89
C-000134,BR-00124,CL-00700,2025-06-30,Distribuidor,Transferencia,E-003556,239.24
C-000135,BR-00116,CL-01585,2025-06-19,Presencial,Tarjeta,E-003118,535.34
C-000136,BR-00228,CL-07740,2025-08-19,Amazon,Amazon Pay,E-005910,1547.38
C-000137,BR-00369,CL-02022,2025-08-02,Instagram,Bizum,E-009797,1003.69
C-000138,BR-00241,CL-09660,2025-07-18,Presencial,Tarjeta,E-006597,355.46
C-000139,BR-00211,CL-05432,2025-06-29,Amazon,Tarjeta,E-005747,1303.03
C-000140,BR-00406,CL-02373,2025-07-29,Instagram,Bizum,E-010769,939.91
C-000141,BR-00211,CL-08166,2025-07-23,Instagram,Transferencia,E-005757,723.12
C-000142,BR-00019,CL-05103,2025-05-30,Presencial,Efectivo,E-000766,155.95
C-000143,BR-00153,CL-07712,2025-05-31,Presencial,Efectivo,E-003964,925.76
C-000144,BR-00057,CL-02731,2025-07-03,Instagram,Transferencia,E-001750,1160.07
C-000145,BR-00305,CL-08680,2025-07-26,Amazon,Tarjeta,E-007977,306.93
C-000146,BR-00156,CL-06582,2025-06-18,Amazon,Amazon Pay,E-004244,906.98
C-000147,BR-00043,CL-00189,2025-07-13,Distribuidor,Transferencia,E-001332,798.28
C-000148,BR-00243,CL-01695,2025-07-20,Presencial,Tarjeta,E-006621,740.52
C-000149,BR-00005,CL-01382,2025-05-30,Distribuidor,Transferencia,E-000366,292.88
C-000150,BR-00208,CL-08178,2025-05-26,Instagram,Bizum,E-005698,603.52
C-000151,BR-00177,CL-04619,2025-07-27,Instagram,Transferencia,E-004815,532.18
C-000152,BR-00328,CL-00655,2025-05-26,Página Web,PayPal,E-008766,163.59
C-000153,BR-00231,CL-01828,2025-06-19,Amazon,Tarjeta,E-006231,906.05
C-000154,BR-00246,CL-01080,2025-08-02,Instagram,Transferencia,E-006679,737.95
C-000155,BR-00488,CL-06858,2025-08-10,Presencial,Tarjeta,E-012769,162.33
C-000156,BR-00173,CL-05033,2025-08-15,Instagram,Bizum,E-004731,388.79
C-000157,BR-00226,CL-06357,2025-07-12,Instagram,Bizum,E-005896,1197.06
C-000158,BR-00150,CL-05971,2025-06-29,Página Web,Tarjeta,E-003916,768.56
C-000159,BR-00023,CL-07039,2025-06-29,Amazon,Tarjeta,E-000828,254.78
C-000160,BR-00276,CL-01296,2025-07-27,Presencial,Efectivo,E-007521,461.09
C-000161,BR-00305,CL-02205,2025-06-15,Presencial,Efectivo,E-007960,613.78
C-000162,BR-00407,CL-08947,2025-07-12,Página Web,Tarjeta,E-010776,111.88
C-000163,BR-00203,CL-01416,2025-06-17,Distribuidor,Transferencia,E-005609,907.13
C-000164,BR-00131,CL-00866,2025-08-04,Distribuidor,Transferencia,E-003688,970.3
C-000165,BR-00231,CL-08889,2025-06-27,Amazon,Amazon Pay,E-006215,1206.64
C-000166,BR-00470,CL-02808,2025-06-09,Presencial,Tarjeta,E-012535,95.4
C-000167,BR-00043,CL-01692,2025-08-05,Página Web,PayPal,E-001349,304.85
C-000168,BR-00293,CL-04639,2025-08-23,Página Web,Tarjeta,E-007797,665.7
C-000169,BR-00355,CL-06483,2025-06-24,Presencial,Tarjeta,E-009579,262.9
C-000170,BR-00156,CL-05373,2025-06-02,Distribuidor,Transferencia,E-004268,405.43
C-000171,BR-00398,CL-09091,2025-08-03,Amazon,Amazon Pay,E-010636,294.19
C-000172,BR-00381,CL-00041,2025-08-20,Distribuidor,Transferencia,E-009970,10.53
C-000173,BR-00341,CL-05311,2025-07-25,Distribuidor,Transferencia,E-008873,28.77
C-000174,BR-00268,CL-07791,2025-07-24,Amazon,Amazon Pay,E-007123,89.2
C-000175,BR-00159,CL-00496,2025-07-03,Amazon,Amazon Pay,E-004414,161.94
C-000176,BR-00381,CL-00492,2025-06-28,Página Web,Tarjeta,E-009909,32.46
C-000177,BR-00195,CL-02823,2025-06-20,Página Web,PayPal,E-005292,514.89
C-000178,BR-00217,CL-00078,2025-06-23,Amazon,Amazon Pay,E-005837,1004.13
C-000179,BR-00048,CL-01070,2025-06-03,Amazon,Amazon Pay,E-001589,980.83
C-000180,BR-00217,CL-05659,2025-08-09,Amazon,Tarjeta,E-005839,924.44
C-000181,BR-00039,CL-04961,2025-08-11,Amazon,Amazon Pay,E-001098,774.87
C-000182,BR-00341,CL-00513,2025-07-15,Amazon,Tarjeta,E-008874,113.37
C-000183,BR-00343,CL-02917,2025-06-25,Amazon,Amazon Pay,E-009020,411.95
C-000184,BR-00346,CL-07546,2025-07-15,Distribuidor,Transferencia,E-009218,446.99
C-000185,BR-00040,CL-01760,2025-06-11,Amazon,Amazon Pay,E-001226,43.66
C-000186,BR-00347,CL-07005,2025-06-20,Amazon,Tarjeta,E-009275,1263.95
C-000187,BR-00351,CL-09969,2025-07-02,Amazon,Amazon Pay,E-009446,414.54
C-000188,BR-00491,CL-09983,2025-06-15,Distribuidor,Transferencia,E-012784,421.76
C-000189,BR-00081,CL-09232,2025-06-23,Instagram,Transferencia,E-002316,479.75
C-000190,BR-00216,CL-00517,2025-07-28,Instagram,Transferencia,E-005833,439.5
C-000191,BR-00468,CL-02894,2025-08-22,Amazon,Amazon Pay,E-012491,1557.17
C-000192,BR-00409,CL-03790,2025-07-12,Presencial,Tarjeta,E-010787,694.58
C-000193,BR-00311,CL-07563,2025-07-12,Página Web,PayPal,E-008387,146.68
C-000194,BR-00327,CL-02292,2025-07-28,Amazon,Tarjeta,E-008751,1750.69
C-000195,BR-00164,CL-02595,2025-07-22,Instagram,Bizum,E-004569,118.91
C-000196,BR-00224,CL-01975,2025-07-09,Página Web,PayPal,E-005882,264.4
C-000197,BR-00009,CL-01304,2025-08-08,Distribuidor,Transferencia,E-000575,117.35
C-000198,BR-00469,CL-09985,2025-06-08,Página Web,PayPal,E-012509,231.32
C-000199,BR-00144,CL-01039,2025-05-28,Instagram,Transferencia,E-003871,1510.94
C-000200,BR-00445,CL-06050,2025-06-19,Amazon,Amazon Pay,E-011749,1199.81
C-000201,BR-00007,CL-09164,2025-08-21,Presencial,Efectivo,E-000442,264.46
C-000202,BR-00080,CL-05666,2025-07-11,Presencial,Efectivo,E-002297,753.65
C-000203,BR-00325,CL-02630,2025-07-19,Presencial,Tarjeta,E-008723,147.94
C-000204,BR-00460,CL-00857,2025-08-03,Presencial,Tarjeta,E-012152,1042.44
C-000205,BR-00120,CL-08500,2025-07-15,Distribuidor,Transferencia,E-003381,694.77
C-000206,BR-00124,CL-08686,2025-05-26,Presencial,Efectivo,E-003546,751.19
C-000207,BR-00074,CL-09312,2025-08-22,Amazon,Tarjeta,E-001931,1517.63
C-000208,BR-00302,CL-03954,2025-05-30,Presencial,Tarjeta,E-007852,833.01
C-000209,BR-00102,CL-08265,2025-06-28,Presencial,Tarjeta,E-002858,1603.59
C-000210,BR-00218,CL-09569,2025-06-11,Amazon,Amazon Pay,E-005844,911.35
C-000211,BR-00088,CL-02254,2025-08-21,Instagram,Transferencia,E-002618,123.2
C-000212,BR-00348,CL-08624,2025-06-10,Presencial,Tarjeta,E-009309,15.74
C-000213,BR-00212,CL-09005,2025-08-08,Instagram,Bizum,E-005775,1000.01
C-000214,BR-00010,CL-01666,2025-07-29,Página Web,PayPal,E-000614,620.22
C-000215,BR-00282,CL-07809,2025-08-15,Presencial,Efectivo,E-007643,754.97
C-000216,BR-00146,CL-03828,2025-07-13,Presencial,Efectivo,E-003889,518.34
C-000217,BR-00010,CL-04938,2025-08-08,Amazon,Tarjeta,E-000608,560.08
C-000218,BR-00425,CL-04701,2025-08-06,Presencial,Efectivo,E-011333,525.9
C-000219,BR-00010,CL-00451,2025-06-29,Página Web,Tarjeta,E-000591,624.46
C-000220,BR-00034,CL-09905,2025-06-14,Presencial,Tarjeta,E-000942,15.79
C-000221,BR-00290,CL-07064,2025-07-02,Amazon,Amazon Pay,E-007766,426.27
C-000222,BR-00179,CL-08131,2025-07-22,Presencial,Tarjeta,E-004827,43.06
C-000223,BR-00350,CL-03548,2025-06-22,Amazon,Amazon Pay,E-009434,1707.92
C-000224,BR-00137,CL-07641,2025-06-21,Página Web,PayPal,E-003805,1064.73
C-000225,BR-00041,CL-02790,2025-07-16,Página Web,PayPal,E-001254,744.59
C-000226,BR-00273,CL-08803,2025-08-05,Amazon,Amazon Pay,E-007384,1692.65
C-000227,BR-00155,CL-09060,2025-08-11,Página Web,PayPal,E-004192,1113.13
C-000228,BR-00392,CL-06922,2025-08-18,Instagram,Bizum,E-010531,82.62
C-000229,BR-00441,CL-03651,2025-07-17,Presencial,Efectivo,E-011702,2173.1
C-000230,BR-00161,CL-05900,2025-07-25,Página Web,Tarjeta,E-004488,940.02
C-000231,BR-00229,CL-06599,2025-07-11,Amazon,Tarjeta,E-005962,1088.5
C-000232,BR-00233,CL-05440,2025-08-04,Instagram,Transferencia,E-006308,448.9
C-000233,BR-00029,CL-02177,2025-06-23,Instagram,Bizum,E-000909,1193.97
C-000234,BR-00257,CL-00945,2025-07-13,Presencial,Tarjeta,E-006834,909.36
C-000235,BR-00464,CL-08004,2025-07-22,Distribuidor,Transferencia,E-012355,890.39
C-000236,BR-00388,CL-00093,2025-06-01,Distribuidor,Transferencia,E-010362,252.34
C-000237,BR-00120,CL-07715,2025-05-27,Amazon,Amazon Pay,E-003360,1255.36
C-000238,BR-00074,CL-06832,2025-07-04,Distribuidor,Transferencia,E-001934,203.84
C-000239,BR-00078,CL-07371,2025-06-16,Presencial,Efectivo,E-002136,534.96
C-000240,BR-00155,CL-01124,2025-07-08,Instagram,Transferencia,E-004195,833.6
C-000241,BR-00304,CL-07669,2025-05-29,Amazon,Tarjeta,E-007866,405.02
C-000242,BR-00268,CL-05816,2025-08-14,Distribuidor,Transferencia,E-007166,430.49
C-000243,BR-00333,CL-08059,2025-08-04,Distribuidor,Transferencia,E-008820,512.84
C-000244,BR-00016,CL-03247,2025-06-15,Amazon,Amazon Pay,E-000707,122.47
C-000245,BR-00233,CL-08984,2025-06-10,Amazon,Amazon Pay,E-006325,1396.71
C-000246,BR-00169,CL-08329,2025-07-16,Instagram,Bizum,E-004659,476.64
C-000247,BR-00048,CL-02355,2025-07-17,Instagram,Bizum,E-001594,746.75
C-000248,BR-00470,CL-01978,2025-05-29,Amazon,Amazon Pay,E-012532,740.45
C-000249,BR-00034,CL-05030,2025-06-04,Presencial,Efectivo,E-000942,914.57
C-000250,BR-00460,CL-06968,2025-07-19,Amazon,Tarjeta,E-012179,902.8
C-000251,BR-00075,CL-06508,2025-06-16,Amazon,Amazon Pay,E-001940,301.97
C-000252,BR-00248,CL-00948,2025-06-23,Amazon,Amazon Pay,E-006707,606.36
C-000253,BR-00160,CL-01449,2025-07-03,Presencial,Tarjeta,E-004441,757.69
C-000254,BR-00234,CL-07536,2025-06-14,Página Web,Tarjeta,E-006364,581.75
C-000255,BR-00233,CL-01419,2025-08-16,Amazon,Amazon Pay,E-006298,128.97
C-000256,BR-00353,CL-06251,2025-07-21,Distribuidor,Transferencia,E-009539,138.64
C-000257,BR-00468,CL-09026,2025-08-12,Presencial,Efectivo,E-012500,450.57
C-000258,BR-00116,CL-04445,2025-06-08,Distribuidor,Transferencia,E-003113,184.55
C-000259,BR-00067,CL-06857,2025-08-08,Distribuidor,Transferencia,E-001885,249.85
C-000260,BR-00177,CL-09381,2025-08-16,Distribuidor,Transferencia,E-004807,551.6
C-000261,BR-00362,CL-04251,2025-06-21,Página Web,Tarjeta,E-009693,550.04
C-000262,BR-00286,CL-07341,2025-06-19,Instagram,Bizum,E-007698,374.25
C-000263,BR-00369,CL-05499,2025-06-16,Presencial,Efectivo,E-009799,230.16
C-000264,BR-00476,CL-09941,2025-06-04,Amazon,Amazon Pay,E-012630,1049.27
C-000265,BR-00199,CL-01745,2025-07-11,Presencial,Efectivo,E-005482,1071.28
C-000266,BR-00344,CL-03008,2025-05-31,Instagram,Bizum,E-009142,977.7
C-000267,BR-00104,CL-01730,2025-07-18,Amazon,Amazon Pay,E-002873,774.65
C-000268,BR-00460,CL-01071,2025-08-02,Distribuidor,Transferencia,E-012152,1123.51
C-000269,BR-00178,CL-04499,2025-07-12,Amazon,Tarjeta,E-004816,1046.27
C-000270,BR-00343,CL-00060,2025-08-14,Página Web,PayPal,E-008962,285.84
C-000271,BR-00434,CL-08096,2025-06-10,Amazon,Amazon Pay,E-011576,545.64
C-000272,BR-00333,CL-04688,2025-07-07,Instagram,Transferencia,E-008818,246.3
C-000273,BR-00228,CL-02335,2025-06-18,Presencial,Tarjeta,E-005913,679.42
C-000274,BR-00265,CL-04566,2025-05-31,Presencial,Efectivo,E-006887,1742.41
C-000275,BR-00287,CL-07397,2025-08-04,Página Web,PayPal,E-007723,116.97
C-000276,BR-00271,CL-00229,2025-08-11,Distribuidor,Transferencia,E-007295,625.31
C-000277,BR-00436,CL-02287,2025-07-11,Distribuidor,Transferencia,E-011617,843.44
C-000278,BR-00138,CL-00447,2025-07-02,Página Web,Tarjeta,E-003816,34.7
C-000279,BR-00233,CL-04924,2025-06-29,Amazon,Amazon Pay,E-006304,600.36
C-000280,BR-00025,CL-06105,2025-07-11,Página Web,PayPal,E-000883,42.4
C-000281,BR-00093,CL-03067,2025-06-20,Presencial,Efectivo,E-002710,509.76
C-000282,BR-00347,CL-01888,2025-06-27,Página Web,Tarjeta,E-009276,265.52
C-000283,BR-00219,CL-09756,2025-08-01,Presencial,Efectivo,E-005848,333.45
C-000284,BR-00177,CL-06798,2025-07-25,Presencial,Tarjeta,E-004811,291.05
C-000285,BR-00449,CL-07986,2025-07-24,Presencial,Tarjeta,E-011778,969.36
C-000286,BR-00443,CL-04611,2025-08-01,Presencial,Efectivo,E-011724,115.65
C-000287,BR-00484,CL-07624,2025-06-13,Presencial,Tarjeta,E-012748,402.28
C-000288,BR-00020,CL-03297,2025-08-19,Instagram,Bizum,E-000792,1002.32
C-000289,BR-00238,CL-05257,2025-06-07,Amazon,Amazon Pay,E-006537,247.66
C-000290,BR-00336,CL-06943,2025-06-22,Amazon,Amazon Pay,E-008842,365.56
C-000291,BR-00131,CL-08620,2025-06-29,Presencial,Tarjeta,E-003693,390.66
C-000292,BR-00426,CL-00275,2025-06-21,Instagram,Bizum,E-011341,533.22
C-000293,BR-00273,CL-03799,2025-08-01,Presencial,Efectivo,E-007377,331.21
C-000294,BR-00262,CL-09768,2025-06-02,Presencial,Tarjeta,E-006869,701.64
C-000295,BR-00078,CL-07009,2025-07-16,Distribuidor,Transferencia,E-002218,245.74
C-000296,BR-00215,CL-03927,2025-08-14,Página Web,Tarjeta,E-005823,243.59
C-000297,BR-00343,CL-01501,2025-08-17,Presencial,Tarjeta,E-008984,295.32
C-000298,BR-00251,CL-02992,2025-07-01,Amazon,Tarjeta,E-006766,1021.53
C-000299,BR-00240,CL-04953,2025-06-25,Página Web,Tarjeta,E-006579,190.92
C-000300,BR-00325,CL-08708,2025-07-09,Instagram,Transferencia,E-008718,817.12
C-000301,BR-00192,CL-09816,2025-06-09,Distribuidor,Transferencia,E-005137,114.42
C-000302,BR-00117,CL-02464,2025-06-14,Amazon,Amazon Pay,E-003210,758.97
C-000303,BR-00471,CL-03832,2025-08-17,Presencial,Tarjeta,E-012543,293.11
C-000304,BR-00408,CL-09722,2025-08-14,Página Web,PayPal,E-010782,1576.43
C-000305,BR-00305,CL-06108,2025-08-18,Instagram,Transferencia,E-007910,420.03
C-000306,BR-00124,CL-05632,2025-06-15,Página Web,PayPal,E-003546,755.72
C-000307,BR-00099,CL-09004,2025-08-04,Distribuidor,Transferencia,E-002820,77.32
C-000308,BR-00195,CL-09897,2025-08-06,Amazon,Tarjeta,E-005307,865.09
C-000309,BR-00276,CL-05582,2025-07-07,Distribuidor,Transferencia,E-007524,753.27
