provider_id,name,nif,email,phone,country,city,address,category,subcategory,condicion_pago
PR-00011,Infraestructuras Villegas S.L.,A11833579,afuente@example.com,+1-809 662146671,Dominican Republic,Punta Cana,"Camino de Adriana Morales 684 Apt. 63 , Girona, 34199",Ropa,Moda Hombre,60 días
PR-00012,Infraestructuras ZXSZ S.C.P,A92279850,cintia47@example.org,+1-809 611894870,Dominican Republic,Punta Cana,"Paseo Marc Calvet 77 Puerta 5 , Burgos, 07874",Ropa,Moda Mujer,90 días
PR-00013,Bejarano y Monreal S.Com.,S26483623,arnalherberto@example.org,+1-809 611991911,Dominican Republic,Punta Cana,"Acceso de Matías Grande 10, Murcia, 25514",Ropa,Infantil,60 días
PR-00014,Minería Palma S.Coop.,V15914269,toledoaraceli@example.org,+1-809 622668228,Dominican Republic,Punta Cana,"Rambla Gabino Sánchez 36, Zamora, 37306",Ropa,Deportivo,90 días
PR-00015,Lastra y Alonso S.Coop.,R70369068,kmendizabal@example.com,+1-809 619383513,Dominican Republic,Punta Cana,"Callejón de Mariano Ochoa 98, León, 47127",Ropa,Accesorios,90 días
PR-00016,Compañía Beltran y asociados S.L.N.E,R60027724,lauraanguita@example.com,+1-809 698672900,Dominican Republic,Punta Cana,"Acceso de Edelmiro Giralt 85, Ceuta, 05732",Electrónica,Electrodomésticos,30 días
PR-00017,Solana y Arjona S.L.,U69710271,fabregasamando@example.org,+1-809 629050490,Dominican Republic,Punta Cana,"Cuesta de Celso Chaparro 32 Puerta 8 , Segovia, 39028",Electrónica,Audio y Video,60 días
PR-00018,Manufacturas Inteligentes S.Com.,D17438461,blobo@example.com,+1-809 639956670,Dominican Republic,Punta Cana,"Pasadizo de Abel Rey 328 Piso 8 , Teruel, 27816",Electrónica,Telefonía,Contado
PR-00019,Compañía Barroso y asociados S.L.,J97042850,marcelino61@example.net,+1-809 680533391,Dominican Republic,Punta Cana,"Callejón Cintia Guzman 92, Guipúzcoa, 50634",Electrónica,Computación,60 días
PR-00020,Villalonga & Asociados S.L.L.,R31673123,uriartehaydee@example.org,+1-809 630228436,Dominican Republic,Punta Cana,"Cuesta Leonel Amo 82 Piso 0 , Zaragoza, 41121",Electrónica,Gadgets,30 días
PR-00021,Soluciones del Sur S.L.N.E,C74959838,qsanz@example.net,+1-809 693559415,Dominican Republic,Punta Cana,"Pasadizo de Miguela Peralta 21 Puerta 2 , Palencia, 08203",Servicios,Instalación,90 días
PR-00022,Hermanos Salvador S.A.,A88111258,ruben02@example.org,+1-809 631328325,Dominican Republic,Punta Cana,"Cañada de Bernabé Alberdi 2 Piso 4 , León, 30863",Servicios,Reparación,30 días
PR-00023,Restauración Arenas S.Com.,E95694832,ponscandelas@example.net,+1-809 690112178,Dominican Republic,Punta Cana,"Plaza Conrado Barbero 8, Pontevedra, 06572",Accesorios y Repuestos,Automotrices,90 días
PR-00024,Alcolea y Granados S.L.N.E,S73937867,castellobonifacio@example.com,+1-809 613906883,Dominican Republic,Punta Cana,"Vial de Pascual Cerdá 8 Piso 2 , Málaga, 12832",Accesorios y Repuestos,Electrodomésticos,60 días
PR-00025,Hotel Pol y asociados S.Com.,Q76465869,tonobosch@example.net,+1-809 679575376,Dominican Republic,Punta Cana,"Glorieta de Pili Mendez 4 Puerta 0 , Cáceres, 38610",Accesorios y Repuestos,Tecnológicos,90 días
PR-00026,Banco Castellana S.A.,N49325762,armandotolosa@example.net,+1-809 661277727,Dominican Republic,Punta Cana,"Via de Leandro Pintor 52, Navarra, 03267",Accesorios y Repuestos,Industriales,30 días
PR-00027,Iborra y Uría S.Com.,H93984878,nicolasfrancisco-jose@example.org,+1-809 662217359,Dominican Republic,Punta Cana,"Plaza Natalia Becerra 8 Apt. 23 , Cádiz, 32361",Accesorios y Repuestos,Mecánicos,Contado
PR-00028,Hnos Cerdá S.A.,S62663699,nsimo@example.net,+1-809 660629024,Dominican Republic,Punta Cana,"Cañada Nico Feliu 33 Puerta 7 , Girona, 42235",Construcción,Materiales,Contado
PR-00029,Bellido y Vazquez S.A.T.,S74967021,juan-pablo11@example.net,+1-809 695033828,Dominican Republic,Punta Cana,"Urbanización de Alexandra Gras 42 Apt. 65 , Huelva, 03096",Construcción,Maquinaria,60 días
PR-00030,María Fernández Calvo S.C.P,V88877982,americoespana@example.net,+1-809 624728109,Dominican Republic,Punta Cana,"Calle Abril Nevado 11, Zaragoza, 34839",Construcción,Herramientas,60 días
PR-00031,Tecnologías Escamilla S.Coop.,G26051312,felixanton@example.net,+1-809 642262409,Dominican Republic,Punta Cana,"Urbanización Asunción Barbero 28, Las Palmas, 26228",Construcción,Arquitectura,30 días
PR-00032,Oller & Asociados S.A.,F65112216,donosocalixta@example.com,+1-809 618326548,Dominican Republic,Punta Cana,"Glorieta de Ángela Tello 88, Barcelona, 25923",Construcción,Ingeniería,30 días
PR-00033,Instalaciones Almagro & Asociados S.L.,V90572006,valbuenadaniela@example.org,+1-809 642360273,Dominican Republic,Punta Cana,"Pasaje Ximena Solís 41, Cantabria, 11046",Cuidado Personal,Cosméticos,Contado
PR-00034,Reyes Cid Guijarro S.L.,S69123499,bellomoreno@example.org,+1-809 659407103,Dominican Republic,Punta Cana,"Plaza de Flavio Ibañez 87, Cantabria, 09271",Cuidado Personal,Farmacéuticos,90 días
PR-00035,Lledó y Bernal S.Com.,C35676072,fbejarano@example.org,+1-809 604010235,Dominican Republic,Punta Cana,"Avenida de Dalila Haro 475, Zaragoza, 38272",Cuidado Personal,Higiene,30 días
PR-00036,Arteaga & Asociados S.A.,D76837181,cbarrera@example.org,+1-809 648713794,Dominican Republic,Punta Cana,"Glorieta de Amaro Castejón 45, Cuenca, 50369",Cuidado Personal,Spa,90 días
PR-00037,Caro y asociados S.L.,F25381395,infantejuan-luis@example.net,+1-809 649813786,Dominican Republic,Punta Cana,"Cuesta Blanca Solé 1 Apt. 98 , Madrid, 28934",Cuidado Personal,Nutrición,60 días
PR-00038,Inversiones Ibéricos S.Coop.,E48850742,tejeroeduardo@example.org,+1-809 679995652,Dominican Republic,Punta Cana,"Via Sergio Frutos 29, Valladolid, 05399",Hogar y Decoración,Muebles,30 días
PR-00039,Carbó y asociados S.Com.,N95300993,dimascontreras@example.org,+1-809 617109719,Dominican Republic,Punta Cana,"Vial Lina Huguet 340 Puerta 8 , Huesca, 26699",Hogar y Decoración,Iluminación,90 días
PR-00040,Familia Baró S.A.,V80360361,alemanyirene@example.net,+1-809 609687820,Dominican Republic,Punta Cana,"Plaza de Custodio Samper 35, Salamanca, 25515",Hogar y Decoración,Textiles,Contado
PR-00041,Ibáñez y Garcia S.Coop.,J36035017,elodia25@example.com,+1-809 601728240,Dominican Republic,Punta Cana,"Via de Rosenda Acevedo 34 Apt. 41 , Valladolid, 20738",Hogar y Decoración,Organización,Contado
PR-00042,Bustos y Gonzalez S.A.,N75300352,fabiola21@example.org,+1-809 654579030,Dominican Republic,Punta Cana,"Ronda Leoncio Uriarte 15 Puerta 7 , Vizcaya, 35205",Hogar y Decoración,Arte decorativo,60 días
PR-00043,Colom y asociados S.L.,C51056472,ildefonso72@example.net,+1-809 681368556,Dominican Republic,Punta Cana,"Paseo de Custodio Jimenez 46 Puerta 7 , Cuenca, 36207",Productos de Limpieza,Desinfectantes,90 días
PR-00044,Jorge Bermejo Oliva S.A.,E20230437,nicolasa95@example.com,+1-809 685986318,Dominican Republic,Punta Cana,"Camino Marcia Montserrat 89, Cáceres, 17628",Productos de Limpieza,Detergentes,60 días
PR-00045,Evaristo Ramis Olivares S.Com.,H16640681,atiliomiguel@example.org,+1-809 638507655,Dominican Republic,Punta Cana,"Rambla Plinio Figuerola 128 Piso 5 , Zamora, 33537",Productos de Limpieza,Ambientadores,60 días
PR-00046,Infraestructuras Avanzadas S.Com.,N80078706,angelica33@example.net,+1-809 693586569,Dominican Republic,Punta Cana,"Camino Lucho Tamayo 23 Puerta 4 , Toledo, 51731",Productos de Limpieza,Limpiadores multiusos,90 días
PR-00047,Familia Echevarría S.L.N.E,G87144629,isaurabou@example.org,+1-809 697676475,Dominican Republic,Punta Cana,"Avenida Plácido Rubio 37, Guipúzcoa, 21406",Productos de Limpieza,Escobas y utensilios,60 días
PR-00048,Industrias Soler S.C.P,N28896336,ribasjose-antonio@example.com,+34 643905045,España,Barcelona,"Glorieta de Jesús Perera 4, Tarragona, 49376",Tecnología,Software,60 días
PR-00049,Armida Araujo Coronado S.L.,B94659245,osoriotristan@example.com,+34 652987392,España,Barcelona,"Via Saturnino Ros 8 Piso 1 , Jaén, 05363",Tecnología,Hardware,Contado
PR-00050,Román y Tirado S.Coop.,N65953677,jjulia@example.org,+34 624110465,España,Barcelona,"Glorieta Alma Álamo 49 Apt. 57 , Valencia, 12194",Tecnología,Redes,30 días
PR-00051,Terrón & Asociados S.L.U.,J77806818,zoraida60@example.org,+34 667465723,España,Barcelona,"Pasadizo de Graciano Baena 61 Puerta 3 , Sevilla, 36430",Tecnología,Ciberseguridad,90 días
PR-00052,Supermercados YZBS S.A.T.,V17349969,uibanez@example.net,+34 681547677,España,Barcelona,"Alameda de Angelino Tirado 58, Badajoz, 33690",Tecnología,IoT,90 días
PR-00053,Morata & Asociados S.A.,W19209230,victorhurtado@example.net,+34 667102480,España,Barcelona,"Camino Hipólito Borrás 655, Tarragona, 30587",Alimentos,Frutas y Verduras,90 días
PR-00054,Pulido & Asociados S.L.,R12863681,albablasco@example.com,+34 645926613,España,Barcelona,"Avenida Enrique Ripoll 1 Piso 2 , La Coruña, 32059",Alimentos,Carnes y Embutidos,60 días
PR-00055,Farmaceútica Bolaños y asociados S.A.,H84947393,xminguez@example.net,+34 686605086,España,Barcelona,"Alameda Gala Barral 31, Álava, 16070",Alimentos,Bebidas,30 días
PR-00056,Comercial Losada & Asociados S.L.,D14157589,eulalia30@example.org,+34 617968581,España,Barcelona,"Ronda Íñigo Sureda 5, Albacete, 05406",Alimentos,Panadería,60 días
PR-00057,Narciso Iglesias Cabanillas S.A.,E35636057,tomasaribera@example.org,+34 698491511,España,Barcelona,"C. Édgar Marcos 7 Apt. 65 , Cáceres, 49193",Alimentos,Comida Congelada,30 días
PR-00058,Inversiones CEUK S.L.N.E,U45092286,alejandro65@example.org,+34 676558458,España,Barcelona,"Avenida Buenaventura Zabala 65 Piso 4 , Madrid, 42997",Ropa,Moda Hombre,60 días
PR-00059,Grupo Madrid S.L.,A37324779,maria-josearteaga@example.org,+34 677025372,España,Barcelona,"Callejón de Paloma Egea 96 Puerta 1 , Albacete, 18861",Ropa,Moda Mujer,90 días
PR-00060,Familia Madrid S.Coop.,R93406915,cmena@example.com,+34 635884832,España,Barcelona,"Camino Feliciana Lerma 17, León, 49496",Ropa,Infantil,30 días
PR-00061,Pol y asociados S.L.U.,W13165661,oterosandra@example.net,+34 608520169,España,Barcelona,"Cañada de Regina Morales 65 Puerta 8 , Córdoba, 21028",Ropa,Deportivo,60 días
PR-00062,Jara y Lluch S.L.L.,U73730353,anguloguiomar@example.org,+34 699902579,España,Barcelona,"Glorieta Íñigo Calvet 7, Sevilla, 50446",Ropa,Accesorios,90 días
PR-00063,Dan Sierra Pazos S.L.,R15775144,gilberto51@example.com,+34 697823971,España,Barcelona,"Plaza de Camila Rivera 69 Apt. 33 , Málaga, 34055",Electrónica,Electrodomésticos,90 días
PR-00064,Supermercados Manjón S.Com.,Q43935837,bayllon@example.org,+34 683971362,España,Barcelona,"Calle Aristides Macías 37, Barcelona, 36443",Electrónica,Audio y Video,90 días
PR-00065,Encarnación Murcia Benavides S.A.,D17682337,herranzeutropio@example.net,+34 623107069,España,Barcelona,"Pasadizo de Erasmo Pellicer 75, Segovia, 43946",Electrónica,Telefonía,90 días
PR-00066,Hermanos Vilalta S.Coop.,C75293822,paranda@example.org,+34 675840251,España,Barcelona,"Avenida de Elvira Robles 11, Castellón, 06346",Electrónica,Computación,90 días
PR-00067,Reina y Cárdenas S.C.P,S42682596,dfabra@example.org,+34 675425116,España,Barcelona,"Paseo de Jordi Beltran 28 Apt. 66 , Castellón, 09248",Electrónica,Gadgets,90 días
PR-00068,Compañía Santos S.L.N.E,V35434116,eleuterio76@example.org,+34 663053058,España,Barcelona,"Cuesta Daniela Company 860, Soria, 27699",Servicios,Instalación,60 días
PR-00069,Soluciones Inteligentes S.Com.,H36955254,jose-ramonmiro@example.org,+34 630880569,España,Barcelona,"Cuesta Sonia Guardia 732 Puerta 8 , Santa Cruz de Tenerife, 37014",Servicios,Reparación,30 días
PR-00070,Nuñez y Vicens S.C.P,J33114774,dimas01@example.com,+34 661950488,España,Barcelona,"Vial Haroldo Fortuny 947 Apt. 14 , Granada, 02513",Accesorios y Repuestos,Automotrices,90 días
PR-00071,Alimentación ZB S.A.,N66844065,bernabecaceres@example.net,+34 694045515,España,Barcelona,"Callejón de Cecilio Bustos 3, Girona, 03547",Accesorios y Repuestos,Electrodomésticos,90 días
PR-00072,Ámbar Madrid Vilaplana S.Coop.,Q10977706,trinidadcornejo@example.com,+34 628689091,España,Barcelona,"Pasaje Cristina Mesa 83 Piso 0 , Asturias, 20791",Accesorios y Repuestos,Tecnológicos,60 días
PR-00073,Carmona y asociados S.A.,A51362573,angelceferino@example.com,+34 689934852,España,Barcelona,"Glorieta Paula Colomer 2 Puerta 6 , Jaén, 46365",Accesorios y Repuestos,Industriales,30 días
PR-00074,Hernández & Asociados S.L.L.,N50768089,hilario25@example.org,+34 611383710,España,Barcelona,"Plaza Andrés Felipe Aragonés 19, Zamora, 32743",Accesorios y Repuestos,Mecánicos,90 días
PR-00075,Inmobiliaria Carpio & Asociados S.Coop.,W90894579,pascualnarcisa@example.org,+34 639438307,España,Barcelona,"Urbanización de Esteban Fernandez 67, Álava, 43051",Construcción,Materiales,Contado
PR-00076,Suministros Salinas & Asociados S.Com.,S93241188,ramirezramon@example.com,+34 663289025,España,Barcelona,"Avenida Nuria Agustín 1 Puerta 8 , Vizcaya, 32561",Construcción,Maquinaria,90 días
PR-00077,Industrias Vall & Asociados S.L.N.E,U30468641,anita78@example.com,+34 668910047,España,Barcelona,"C. Herminio Domingo 43, Cádiz, 18112",Construcción,Herramientas,90 días
PR-00078,Banca Privada Puga y asociados S.A.,J50187583,brigidacamacho@example.net,+34 670817710,España,Barcelona,"Calle Cayetana Dueñas 12, Barcelona, 07002",Construcción,Arquitectura,30 días
PR-00079,Bou y Peña S.Com.,H81142801,felipelamas@example.com,+34 697719190,España,Barcelona,"Calle Xavier Balaguer 68 Apt. 41 , La Rioja, 06849",Construcción,Ingeniería,90 días
PR-00080,Hermanos Alcalá S.A.,J57350138,csolana@example.net,+34 662910537,España,Barcelona,"Cuesta Agapito Hernández 54, Málaga, 09402",Cuidado Personal,Cosméticos,60 días
PR-00081,Familia Palma S.L.,G23294732,iiglesias@example.org,+34 678604242,España,Barcelona,"Vial de Belén Sureda 93, Pontevedra, 24252",Cuidado Personal,Farmacéuticos,90 días
PR-00082,Despacho Tomás y asociados S.Com.,F49376777,maria-del-carmen08@example.com,+34 617843129,España,Barcelona,"Plaza Cosme Carreño 22, Murcia, 27942",Cuidado Personal,Higiene,90 días
PR-00083,Ignacia Arranz Oliva S.Com.,J14918446,hclemente@example.net,+34 692120884,España,Barcelona,"Vial de Guadalupe Morata 2 Piso 3 , La Coruña, 50056",Cuidado Personal,Spa,60 días
PR-00084,Cabo y asociados S.L.U.,S69985335,inmaculadagimeno@example.net,+34 693335023,España,Barcelona,"Cuesta de Teobaldo Balaguer 2, Badajoz, 43382",Cuidado Personal,Nutrición,90 días
PR-00085,Finanzas Cañete y asociados S.Coop.,A97408180,espiridion57@example.net,+34 642361204,España,Barcelona,"Cuesta Anacleto Gomis 1, León, 11861",Hogar y Decoración,Muebles,60 días
PR-00086,Farmaceútica KK S.C.P,Q80497646,lpiquer@example.com,+34 604830711,España,Barcelona,"Pasadizo Fidel Sales 5, Jaén, 29191",Hogar y Decoración,Iluminación,90 días
PR-00087,Salgado y Hierro S.Coop.,C16818928,gbanos@example.org,+34 652876100,España,Barcelona,"Acceso de Juan Manuel Farré 38, Granada, 08331",Hogar y Decoración,Textiles,30 días
PR-00088,Suministros Capdevila & Asociados S.Coop.,B13638423,teodorareal@example.com,+34 670359606,España,Barcelona,"Cañada de Áurea Arenas 61, Pontevedra, 04467",Hogar y Decoración,Organización,90 días
PR-00089,Zamorano y asociados S.L.,S95597755,fcanizares@example.org,+34 627732989,España,Barcelona,"Calle de Edgardo Pacheco 65 Apt. 73 , Teruel, 25032",Hogar y Decoración,Arte decorativo,Contado
PR-00090,Compañía Valcárcel S.L.,W15087430,jbenavent@example.net,+34 661325868,España,Barcelona,"Alameda Lino Salvador 80 Apt. 12 , Cáceres, 28996",Productos de Limpieza,Desinfectantes,90 días
PR-00091,Soluciones MVR S.A.,N89076462,vilma44@example.org,+34 672381598,España,Barcelona,"Acceso de Hipólito Castillo 87 Piso 3 , Salamanca, 23639",Productos de Limpieza,Detergentes,30 días
PR-00092,Farmaceútica Gomila S.A.,H63071716,gmaestre@example.com,+34 621592046,España,Barcelona,"Avenida de Catalina Piquer 42, Las Palmas, 03580",Productos de Limpieza,Ambientadores,60 días
PR-00093,Manufacturas ZLB S.A.,D92635248,aurelia32@example.net,+34 600491026,España,Barcelona,"Camino Mirta Valdés 25, Zamora, 13346",Productos de Limpieza,Limpiadores multiusos,30 días
PR-00094,Banca Privada Arnaiz S.A.,R34591397,cpuerta@example.net,+34 675135778,España,Barcelona,"Vial Eric Milla 3, Madrid, 14746",Productos de Limpieza,Escobas y utensilios,90 días
PR-00095,"Proyectos Lucio, Granados y Santacruz",G65963053,ubalderas@example.com,+52 608210375,México,Monterrey,"Callejón Hidalgo 527 Edif. 233 , Depto. 690, San María Luisa los bajos, NAY 79778",Tecnología,Software,Contado
PR-00096,"Cervántez, Caldera y Ocampo",N26169329,pinazeferino@example.org,+52 696902084,México,Monterrey,"Calzada Baja California 221 564, San Carlota los bajos, QRO 64199",Tecnología,Hardware,90 días
PR-00097,Industrias Téllez-Carvajal,S82079194,zcarrero@example.com,+52 614636678,México,Monterrey,"Periférico Letonia 982 Interior 588, San Andrés los altos, TAB 36669-4633",Tecnología,Redes,Contado
PR-00098,Alejandro-Posada,H92558390,alejandra02@example.net,+52 603183281,México,Monterrey,"Cerrada Sonora 249 Edif. 578 , Depto. 202, San Octavio los altos, DGO 22153",Tecnología,Ciberseguridad,90 días
PR-00099,Proyectos Montes y Alcántar,Q33430331,angela47@example.org,+52 667766511,México,Monterrey,"Retorno Sinaloa 534 Edif. 140 , Depto. 678, San Arturo los altos, SON 05428",Tecnología,IoT,60 días
PR-00100,Caraballo-Arce,N49886075,lucasalvarado@example.com,+52 679323525,México,Monterrey,"Circunvalación Liberia 706 Edif. 818 , Depto. 219, Nueva Bahrein, GRO 98842",Alimentos,Frutas y Verduras,30 días
PR-00101,"Despacho Holguín, Gaytán y Baeza",D31661642,gilberto27@example.org,+52 675714434,México,Monterrey,"Boulevard Bueno 881 Interior 013, Nueva Singapur, DGO 89844-7304",Alimentos,Carnes y Embutidos,60 días
PR-00102,Olivares S.A. de C.V.,Q22890451,timoteo87@example.com,+52 671555485,México,Monterrey,"Continuación Sur Vanegas 744 Edif. 261 , Depto. 144, Nueva Maldivas, BCS 31118-7302",Alimentos,Bebidas,60 días
PR-00103,"Almanza, Jurado y Almaraz",J66292385,evelioabrego@example.net,+52 642684159,México,Monterrey,"Privada Martínez 979 960, San Julia los bajos, BCS 43054-6667",Alimentos,Panadería,90 días
PR-00104,Villalobos y Cisneros S.A. de C.V.,F57278663,csaenz@example.org,+52 692650078,México,Monterrey,"Avenida Serna 129 785, San Lorenzo los bajos, TAMPS 82586-0053",Alimentos,Comida Congelada,Contado
PR-00105,"Aguayo, Longoria y Mota",R78232364,miguel76@example.org,+52 661967341,México,Monterrey,"Eje vial México 827 338, San María Teresa los bajos, BC 82650-3499",Ropa,Moda Hombre,30 días
PR-00106,Proyectos Sauceda-Zapata,J67456497,aarchuleta@example.net,+52 659463348,México,Monterrey,"Viaducto Ybarra 522 202, San Jacobo los altos, COAH 18506",Ropa,Moda Mujer,90 días
PR-00107,Industrias Tovar-Mejía,G98445751,rodolfolemus@example.com,+52 681986223,México,Monterrey,"Peatonal Sur Mendoza 846 Interior 071, San Mariana de la Montaña, OAX 94087",Ropa,Infantil,60 días
PR-00108,Razo-Reséndez,J90775740,mayorgaguillermina@example.net,+52 682318494,México,Monterrey,"Ampliación Federación de Rusia 868 Edif. 044 , Depto. 405, Nueva Paraguay, HGO 06052-9276",Ropa,Deportivo,90 días
PR-00109,"Reyna, Rincón y Abreu",W88306910,torooswaldo@example.org,+52 657866619,México,Monterrey,"Avenida Norte Hinojosa 566 419, San Cristina los bajos, QRO 10670-8255",Ropa,Accesorios,30 días
PR-00110,Girón y Saldaña y Asociados,U23507330,wvallejo@example.org,+52 698546980,México,Monterrey,"Callejón Vallejo 093 Edif. 129 , Depto. 776, San Rufino los altos, Q. ROO 43060",Electrónica,Electrodomésticos,60 días
PR-00111,Zarate S.C.,G36108697,gilbertocalvillo@example.com,+52 627272536,México,Monterrey,"Ampliación San Luis Potosí 195 Interior 729, San Ana los bajos, DGO 69910-5195",Electrónica,Audio y Video,60 días
PR-00112,Industrias Rocha-Guajardo,H15946021,luz83@example.com,+52 675474798,México,Monterrey,"Circuito España 751 Edif. 113 , Depto. 230, San Abraham los bajos, OAX 40895-5424",Electrónica,Telefonía,30 días
PR-00113,Jaramillo-Rosario,S26572179,nserna@example.com,+52 694804535,México,Monterrey,"Privada Mónaco 525 Edif. 228 , Depto. 644, Nueva Nauru, DF 88292-1581",Electrónica,Computación,90 días
PR-00114,Carbajal S.A.,A30314784,reynosojonas@example.net,+52 635473347,México,Monterrey,"Avenida Alemania 762 Edif. 971 , Depto. 629, San Homero los altos, CHIS 51836-0433",Electrónica,Gadgets,60 días
PR-00115,Moya-Granado S.A.,C39336631,franciscasauceda@example.com,+52 628426738,México,Monterrey,"Andador Quintana Roo 321 Interior 388, Nueva Croacia, NL 75120-3925",Servicios,Instalación,90 días
PR-00116,"Proyectos Gaitán, Benavídez y Montalvo",J75626113,gdel-rio@example.com,+52 660819462,México,Monterrey,"Peatonal Sri Lanka 174 Interior 754, Vieja Congo, OAX 86830",Servicios,Reparación,60 días
PR-00117,Industrias Olivárez y Mora,F45614778,micaelatamez@example.net,+52 635005832,México,Monterrey,"Prolongación Tailandia 371 Interior 375, Vieja Andorra, OAX 93423",Accesorios y Repuestos,Automotrices,Contado
PR-00118,Laboratorios Cisneros y Bétancourt,G86395163,gutierrezeric@example.com,+52 672190102,México,Monterrey,"Prolongación Norte Rivero 059 333, Vieja Samoa, MICH 32818",Accesorios y Repuestos,Electrodomésticos,90 días
PR-00119,"Quintana, Feliciano y Rodríguez",G64557003,beatrizchavarria@example.com,+52 694196587,México,Monterrey,"Pasaje Tamaulipas 713 Edif. 574 , Depto. 663, Vieja Suecia, TAB 79283-8816",Accesorios y Repuestos,Tecnológicos,90 días
PR-00120,Despacho Galarza y Navarrete,N75659779,sanchezhomero@example.net,+52 676343932,México,Monterrey,"Peatonal Norte Amador 259 Interior 638, Vieja Armenia, JAL 88764",Accesorios y Repuestos,Industriales,90 días
PR-00121,Fernández-Ramos,A56202310,arroyoenrique@example.org,+52 644134330,México,Monterrey,"Calzada Nayarit 587 Interior 423, Vieja Tonga, TAB 64839",Accesorios y Repuestos,Mecánicos,90 días
PR-00122,de Jesús S.A. de C.V.,N38766096,obetancourt@example.net,+52 652414477,México,Monterrey,"Continuación Estonia 589 Edif. 674 , Depto. 153, Vieja Sudán del Sur, AGS 78017-7876",Construcción,Materiales,90 días
PR-00123,Benavides-Ríos,C61587267,fcalvillo@example.org,+52 660959453,México,Monterrey,"Diagonal Baja California 976 Interior 554, Nueva Angola, GTO 28287-5121",Construcción,Maquinaria,60 días
PR-00124,Rael-Castro y Asociados,N54208921,sarmendariz@example.org,+52 668090489,México,Monterrey,"Cerrada Colima 770 291, Vieja Fiji, YUC 09941",Construcción,Herramientas,30 días
PR-00125,Despacho Caballero y Tamayo,C41527858,cvillarreal@example.com,+52 632139851,México,Monterrey,"Pasaje Sur Hernandes 768 Interior 471, San Abraham los bajos, QRO 10959-6307",Construcción,Arquitectura,60 días
PR-00126,"Aguayo, Saldaña y Delgado",B99313660,almanzanatalia@example.org,+52 614325425,México,Monterrey,"Diagonal Ávalos 082 221, San Laura de la Montaña, Q. ROO 95848",Construcción,Ingeniería,30 días
PR-00127,Acuña y Esquivel S.A. de C.V.,S12438200,rzarate@example.com,+52 605309622,México,Monterrey,"Avenida Querétaro 598 627, San Ricardo los altos, GRO 17908",Cuidado Personal,Cosméticos,Contado
PR-00128,Industrias Delgado y Roybal,W62914903,gzelaya@example.com,+52 608054886,México,Monterrey,"Privada Sur Concepción 576 380, San Violeta los altos, PUE 58603",Cuidado Personal,Farmacéuticos,Contado
PR-00129,Despacho Murillo y Pizarro,F14334229,mayaclara@example.net,+52 659258707,México,Monterrey,"Circunvalación México 620 Interior 161, Nueva Bélgica, NL 39297-1816",Cuidado Personal,Higiene,Contado
PR-00130,Laboratorios Quiñónez-Alcaraz,W36276195,zzambrano@example.net,+52 689138070,México,Monterrey,"Privada Tamaulipas 559 Interior 114, San Angélica los altos, NL 67638-9881",Cuidado Personal,Spa,90 días
PR-00131,Industrias Valladares-Pulido,H56815200,camilasuarez@example.com,+52 681988920,México,Monterrey,"Andador Lebrón 878 Edif. 887 , Depto. 075, Vieja Paraguay, COAH 32761-1462",Cuidado Personal,Nutrición,60 días
