order_id,branch_id,product_id,provider_id,provider_name,fecha_orden,cantidad,precio_unitario,total,estado
O-000039,BR-00002,P-000356,PR-01360,Eliseo Ochoa Piña S.L.N.E,2025-08-01,80,40.72,3257.6,En tránsito
O-000040,BR-00002,P-000359,PR-01360,Eliseo Ochoa Piña S.L.N.E,2025-07-02,73,145.08,10590.84,Recibido
O-000041,BR-00002,P-000361,PR-01360,Eliseo Ochoa Piña S.L.N.E,2025-07-13,68,64.2,4365.6,Pendiente
O-000042,BR-00002,P-000364,PR-00819,Compañía Amor & Asociados S.A.,2025-07-07,26,70.21,1825.46,Recibido
O-000043,BR-00002,P-000365,PR-00041,Ibáñez y Garcia S.Coop.,2025-08-08,56,105.39,5901.84,Pendiente
O-000044,BR-00002,P-000370,PR-00042,Bustos y Gonzalez S.A.,2025-07-15,74,91.87,6798.38,En tránsito
O-000045,BR-00002,P-000378,PR-01363,Distribuciones Segura S.L.,2025-07-30,100,36.72,3672.0,Recibido
O-000046,BR-00002,P-000385,PR-00018,Manufacturas Inteligentes S.Com.,2025-07-12,99,124.27,12302.73,En tránsito
O-000047,BR-00002,P-000390,PR-00019,Compañía Barroso y asociados S.L.,2025-07-15,73,77.46,5654.58,Recibido
O-000048,BR-00002,P-000404,PR-00002,Comercializadora Santamaría y asociados S.Com.,2025-07-25,70,37.1,2597.0,Pendiente
O-000049,BR-00002,P-000415,PR-00005,Hotel Rosales y asociados S.Com.,2025-07-13,87,14.27,1241.49,Pendiente
O-000050,BR-00002,P-000419,PR-00005,Hotel Rosales y asociados S.Com.,2025-07-20,24,70.25,1686.0,Pendiente
O-000051,BR-00002,P-000420,PR-01088,Hnos Bas S.Com.,2025-08-17,42,119.77,5030.34,En tránsito
O-000052,BR-00002,P-000427,PR-00778,Manufacturas Cobos y asociados S.Coop.,2025-07-25,80,7.38,590.4,En tránsito
O-000053,BR-00002,P-000442,PR-00024,Alcolea y Granados S.L.N.E,2025-08-19,47,31.1,1461.7,Pendiente
O-000054,BR-00002,P-000450,PR-01277,Fábrica Trujillo & Asociados S.L.L.,2025-08-20,34,60.54,2058.36,Pendiente
O-000055,BR-00002,P-000451,PR-01277,Fábrica Trujillo & Asociados S.L.L.,2025-07-28,57,130.88,7460.16,Pendiente
O-000056,BR-00002,P-000467,PR-00029,Bellido y Vazquez S.A.T.,2025-07-21,63,88.79,5593.77,En tránsito
O-000057,BR-00002,P-000471,PR-00030,María Fernández Calvo S.C.P,2025-06-26,74,98.36,7278.64,Pendiente
O-000058,BR-00002,P-000476,PR-00810,Comercializadora Solé S.Com.,2025-08-06,37,9.16,338.92,Pendiente
O-000059,BR-00003,P-000496,PR-00043,Colom y asociados S.L.,2025-08-15,79,93.23,7365.17,Pendiente
O-000060,BR-00003,P-000503,PR-00044,Jorge Bermejo Oliva S.A.,2025-07-22,42,119.23,5007.66,Recibido
O-000061,BR-00003,P-000516,PR-00047,Familia Echevarría S.L.N.E,2025-08-15,28,94.54,2647.12,Pendiente
O-000062,BR-00003,P-000526,PR-01296,Giner & Asociados S.L.N.E,2025-07-28,68,69.19,4704.92,Recibido
O-000063,BR-00003,P-000538,PR-00622,Servicios Adadia S.A.,2025-08-11,56,32.58,1824.48,Recibido
O-000064,BR-00003,P-000540,PR-00997,Hermanos Boix S.Coop.,2025-06-29,63,73.92,4656.96,En tránsito
O-000065,BR-00003,P-000541,PR-00037,Caro y asociados S.L.,2025-08-02,40,67.47,2698.8,Pendiente
O-000066,BR-00003,P-000549,PR-00853,Ballesteros y Soler S.L.U.,2025-06-28,95,115.42,10964.9,En tránsito
O-000067,BR-00003,P-000552,PR-00853,Ballesteros y Soler S.L.U.,2025-07-30,29,55.5,1609.5,Pendiente
O-000068,BR-00003,P-000558,PR-00008,Suministros Solano S.L.N.E,2025-08-18,36,128.29,4618.44,Recibido
O-000069,BR-00003,P-000565,PR-00860,Arregui & Asociados S.Com.,2025-08-17,92,119.19,10965.48,Pendiente
O-000070,BR-00003,P-000570,PR-00010,Familia Abad S.L.N.E,2025-08-04,38,11.37,432.06,Pendiente
O-000071,BR-00003,P-000574,PR-00011,Infraestructuras Villegas S.L.,2025-07-27,39,76.48,2982.72,En tránsito
O-000072,BR-00003,P-000583,PR-00013,Bejarano y Monreal S.Com.,2025-07-01,45,29.62,1332.9,Pendiente
O-000073,BR-00003,P-000595,PR-00015,Lastra y Alonso S.Coop.,2025-08-09,24,124.9,2997.6,Pendiente
O-000074,BR-00003,P-000598,PR-00038,Inversiones Ibéricos S.Coop.,2025-07-24,60,148.99,8939.4,En tránsito
O-000075,BR-00003,P-000600,PR-00814,Navas & Asociados S.A.,2025-06-25,32,99.22,3175.04,En tránsito
O-000076,BR-00003,P-000605,PR-01121,Antonio Tormo Castelló S.A.,2025-08-22,24,73.35,1760.4,Pendiente
O-000077,BR-00003,P-000620,PR-00042,Bustos y Gonzalez S.A.,2025-07-31,72,98.26,7074.72,En tránsito
O-000078,BR-00003,P-000623,PR-00024,Alcolea y Granados S.L.N.E,2025-07-03,76,41.33,3141.08,Pendiente
O-000079,BR-00003,P-000624,PR-00024,Alcolea y Granados S.L.N.E,2025-08-09,40,108.82,4352.8,Recibido
O-000080,BR-00003,P-000625,PR-00024,Alcolea y Granados S.L.N.E,2025-08-11,81,67.25,5447.25,En tránsito
O-000081,BR-00003,P-000643,PR-00019,Compañía Barroso y asociados S.L.,2025-08-21,36,64.32,2315.52,Pendiente
O-000082,BR-00003,P-000644,PR-00020,Villalonga & Asociados S.L.L.,2025-07-29,27,125.94,3400.38,Pendiente
O-000083,BR-00003,P-000648,PR-00942,Transportes Pozuelo S.L.,2025-08-09,93,97.63,9079.59,En tránsito
O-000084,BR-00004,P-000669,PR-01351,Industrias Sanmartín y asociados S.A.,2025-07-18,80,59.34,4747.2,Recibido
O-000085,BR-00004,P-000677,PR-01021,Banca Privada del Mediterráneo S.Com.,2025-08-12,91,29.51,2685.41,Recibido
O-000086,BR-00004,P-000678,PR-01477,Hoz & Asociados S.L.,2025-06-25,54,40.86,2206.44,En tránsito
O-000087,BR-00004,P-000683,PR-00035,Lledó y Bernal S.Com.,2025-08-17,92,67.31,6192.52,Pendiente
O-000088,BR-00004,P-000687,PR-00036,Arteaga & Asociados S.A.,2025-07-24,46,31.68,1457.28,En tránsito
O-000089,BR-00004,P-000693,PR-00036,Arteaga & Asociados S.A.,2025-07-29,44,56.82,2500.08,En tránsito
O-000090,BR-00004,P-000705,PR-00007,Restauración Martínez & Asociados S.L.,2025-07-01,37,19.7,728.9,En tránsito
O-000091,BR-00004,P-000707,PR-01442,Consultoría Integrales S.L.,2025-07-26,20,24.75,495.0,Pendiente
O-000092,BR-00004,P-000725,PR-00011,Infraestructuras Villegas S.L.,2025-08-18,47,63.87,3001.89,Pendiente
O-000093,BR-00004,P-000735,PR-00013,Bejarano y Monreal S.Com.,2025-06-29,65,109.41,7111.65,Pendiente
O-000094,BR-00004,P-000736,PR-00626,Familia Moya S.L.,2025-08-17,63,83.15,5238.45,En tránsito
O-000095,BR-00004,P-000747,PR-01045,Logística EIK S.A.,2025-07-10,39,69.62,2715.18,Recibido
O-000096,BR-00004,P-000752,PR-00039,Carbó y asociados S.Com.,2025-06-25,67,132.49,8876.83,En tránsito
O-000097,BR-00004,P-000755,PR-00904,Logística XLUB S.L.N.E,2025-07-08,64,30.19,1932.16,En tránsito
O-000098,BR-00004,P-000766,PR-00041,Ibáñez y Garcia S.Coop.,2025-07-01,97,76.62,7432.14,En tránsito
O-000099,BR-00004,P-000781,PR-01137,Montoya y asociados S.A.,2025-07-29,35,54.05,1891.75,Pendiente
O-000100,BR-00004,P-000782,PR-01363,Distribuciones Segura S.L.,2025-06-30,76,67.46,5126.96,Recibido
O-000101,BR-00004,P-000788,PR-00019,Compañía Barroso y asociados S.L.,2025-07-05,73,106.39,7766.47,En tránsito
O-000102,BR-00004,P-000789,PR-00019,Compañía Barroso y asociados S.L.,2025-08-03,26,123.61,3213.86,En tránsito
O-000103,BR-00004,P-000790,PR-00019,Compañía Barroso y asociados S.L.,2025-08-01,25,68.03,1700.75,En tránsito
O-000104,BR-00004,P-000793,PR-01333,Grupo Arteaga S.Com.,2025-08-08,51,103.46,5276.46,Recibido
O-000105,BR-00005,P-000797,PR-00639,Desarrollo OYJB S.A.,2025-08-10,23,96.64,2222.72,En tránsito
O-000106,BR-00005,P-000803,PR-00044,Jorge Bermejo Oliva S.A.,2025-08-02,34,118.55,4030.7,Pendiente
O-000107,BR-00005,P-000804,PR-01244,Transportes Alcántara & Asociados S.A.,2025-08-03,26,40.73,1058.98,En tránsito
O-000108,BR-00005,P-000810,PR-01077,Hermanos Arana S.L.N.E,2025-08-03,60,7.38,442.8,Pendiente
O-000109,BR-00005,P-000820,PR-00033,Instalaciones Almagro & Asociados S.L.,2025-08-18,24,144.82,3475.68,En tránsito
O-000110,BR-00005,P-000835,PR-01296,Giner & Asociados S.L.N.E,2025-07-03,83,11.83,981.89,Recibido
O-000111,BR-00005,P-000838,PR-00036,Arteaga & Asociados S.A.,2025-07-17,59,14.43,851.37,Recibido
O-000112,BR-00005,P-000840,PR-00036,Arteaga & Asociados S.A.,2025-08-04,47,87.88,4130.36,En tránsito
O-000113,BR-00005,P-000851,PR-00853,Ballesteros y Soler S.L.U.,2025-06-30,45,32.6,1467.0,En tránsito
O-000114,BR-00005,P-000865,PR-00782,Fábrica del Noroeste S.L.,2025-06-30,61,89.53,5461.33,Recibido
O-000115,BR-00005,P-000874,PR-00011,Infraestructuras Villegas S.L.,2025-08-09,75,118.4,8880.0,En tránsito
O-000116,BR-00005,P-000880,PR-01396,Cabo y Jaén S.A.,2025-07-27,42,61.69,2590.98,En tránsito
O-000117,BR-00005,P-000883,PR-00013,Bejarano y Monreal S.Com.,2025-07-16,76,28.67,2178.92,Recibido
O-000118,BR-00005,P-000890,PR-00015,Lastra y Alonso S.Coop.,2025-07-03,75,30.42,2281.5,Pendiente
O-000119,BR-00005,P-000913,PR-01360,Eliseo Ochoa Piña S.L.N.E,2025-07-28,80,70.75,5660.0,Recibido
O-000120,BR-00005,P-000929,PR-01137,Montoya y asociados S.A.,2025-08-22,57,63.49,3618.93,Pendiente
O-000121,BR-00005,P-000934,PR-01137,Montoya y asociados S.A.,2025-07-21,53,87.19,4621.07,Recibido
O-000122,BR-00005,P-000938,PR-01268,Tecnologías Castelló & Asociados S.Com.,2025-08-23,66,54.24,3579.84,Pendiente
O-000123,BR-00005,P-000946,PR-01333,Grupo Arteaga S.Com.,2025-08-19,47,83.59,3928.73,Recibido
O-000124,BR-00005,P-000948,PR-01333,Grupo Arteaga S.Com.,2025-08-20,24,53.78,1290.72,Recibido
O-000125,BR-00006,P-000960,PR-00044,Jorge Bermejo Oliva S.A.,2025-08-20,56,14.57,815.92,Pendiente
O-000126,BR-00006,P-000964,PR-01077,Hermanos Arana S.L.N.E,2025-07-30,80,18.41,1472.8,Pendiente
O-000127,BR-00006,P-000980,PR-01351,Industrias Sanmartín y asociados S.A.,2025-08-23,69,70.96,4896.24,Pendiente
O-000128,BR-00006,P-000982,PR-01097,Geraldo Verdejo Ávila S.C.P,2025-07-09,58,34.51,2001.58,Recibido
O-000129,BR-00006,P-000995,PR-01296,Giner & Asociados S.L.N.E,2025-08-07,28,22.56,631.68,Recibido
O-000130,BR-00006,P-000998,PR-01296,Giner & Asociados S.L.N.E,2025-08-17,36,125.78,4528.08,Recibido
O-000131,BR-00006,P-000999,PR-01296,Giner & Asociados S.L.N.E,2025-08-08,90,140.74,12666.6,Recibido
O-000132,BR-00006,P-001000,PR-00035,Lledó y Bernal S.Com.,2025-07-10,31,19.45,602.95,En tránsito
O-000133,BR-00006,P-001010,PR-00622,Servicios Adadia S.A.,2025-07-01,50,107.28,5364.0,Pendiente
O-000134,BR-00006,P-001019,PR-00007,Restauración Martínez & Asociados S.L.,2025-08-11,91,139.5,12694.5,Recibido
O-000135,BR-00006,P-001027,PR-00009,Distribuciones HF S.L.,2025-07-16,35,79.62,2786.7,Recibido
O-000136,BR-00006,P-001034,PR-00860,Arregui & Asociados S.Com.,2025-08-08,97,87.43,8480.71,Pendiente
O-000137,BR-00006,P-001035,PR-00860,Arregui & Asociados S.Com.,2025-07-05,65,96.52,6273.8,En tránsito
O-000138,BR-00006,P-001043,PR-01396,Cabo y Jaén S.A.,2025-06-27,97,144.05,13972.85,En tránsito
O-000139,BR-00006,P-001059,PR-00014,Minería Palma S.Coop.,2025-08-05,57,75.13,4282.41,Pendiente
O-000140,BR-00006,P-001082,PR-00927,Promociones EX S.A.,2025-08-13,35,106.88,3740.8,Recibido
O-000141,BR-00006,P-001092,PR-00042,Bustos y Gonzalez S.A.,2025-08-02,96,119.7,11491.2,En tránsito
O-000142,BR-00006,P-001094,PR-00024,Alcolea y Granados S.L.N.E,2025-07-09,63,146.22,9211.86,Recibido
O-000143,BR-00006,P-001109,PR-00019,Compañía Barroso y asociados S.L.,2025-06-30,84,42.01,3528.84,En tránsito
O-000144,BR-00006,P-001113,PR-00019,Compañía Barroso y asociados S.L.,2025-07-02,78,98.42,7676.76,Pendiente
O-000145,BR-00006,P-001116,PR-00020,Villalonga & Asociados S.L.L.,2025-08-03,78,137.73,10742.94,Recibido
O-000146,BR-00006,P-001118,PR-00020,Villalonga & Asociados S.L.L.,2025-08-03,85,32.53,2765.05,Recibido
O-000147,BR-00007,P-001128,PR-01244,Transportes Alcántara & Asociados S.A.,2025-06-30,28,18.18,509.04,En tránsito
O-000148,BR-00007,P-001130,PR-00045,Evaristo Ramis Olivares S.Com.,2025-08-16,41,76.55,3138.55,En tránsito
O-000149,BR-00007,P-001141,PR-01097,Geraldo Verdejo Ávila S.C.P,2025-08-22,67,71.26,4774.42,Recibido
O-000150,BR-00007,P-001151,PR-00033,Instalaciones Almagro & Asociados S.L.,2025-08-19,59,11.02,650.18,En tránsito
O-000151,BR-00007,P-001161,PR-01296,Giner & Asociados S.L.N.E,2025-07-02,81,145.41,11778.21,En tránsito
O-000152,BR-00007,P-001166,PR-00036,Arteaga & Asociados S.A.,2025-07-04,20,66.46,1329.2,Recibido
O-000153,BR-00007,P-001168,PR-00036,Arteaga & Asociados S.A.,2025-06-28,73,148.57,10845.61,En tránsito
O-000154,BR-00007,P-001179,PR-00723,Talleres XL S.Com.,2025-07-31,81,104.32,8449.92,Pendiente
O-000155,BR-00007,P-001184,PR-00008,Suministros Solano S.L.N.E,2025-07-03,79,142.97,11294.63,Pendiente
O-000156,BR-00007,P-001201,PR-00011,Infraestructuras Villegas S.L.,2025-06-29,64,117.06,7491.84,Recibido
O-000157,BR-00007,P-001218,PR-00015,Lastra y Alonso S.Coop.,2025-08-21,23,61.24,1408.52,En tránsito
O-000158,BR-00007,P-001219,PR-00015,Lastra y Alonso S.Coop.,2025-08-20,28,54.17,1516.76,Recibido
O-000159,BR-00007,P-001226,PR-00729,Finanzas Quirós & Asociados S.L.,2025-08-23,77,66.87,5148.99,En tránsito
O-000160,BR-00007,P-001228,PR-00039,Carbó y asociados S.Com.,2025-07-25,96,35.54,3411.84,Pendiente
O-000161,BR-00007,P-001235,PR-01360,Eliseo Ochoa Piña S.L.N.E,2025-08-11,91,79.81,7262.71,En tránsito
O-000162,BR-00007,P-001238,PR-00041,Ibáñez y Garcia S.Coop.,2025-07-06,61,146.62,8943.82,Recibido
O-000163,BR-00007,P-001243,PR-00042,Bustos y Gonzalez S.A.,2025-07-16,94,7.3,686.2,Pendiente
O-000164,BR-00007,P-001249,PR-00024,Alcolea y Granados S.L.N.E,2025-08-14,21,129.73,2724.33,Recibido
O-000165,BR-00007,P-001250,PR-00024,Alcolea y Granados S.L.N.E,2025-07-16,28,67.78,1897.84,Recibido
O-000166,BR-00007,P-001252,PR-00016,Compañía Beltran y asociados S.L.N.E,2025-07-06,47,54.82,2576.54,En tránsito
O-000167,BR-00007,P-001258,PR-01137,Montoya y asociados S.A.,2025-07-26,22,56.7,1247.4,Pendiente
O-000168,BR-00007,P-001263,PR-01268,Tecnologías Castelló & Asociados S.Com.,2025-07-03,49,4.87,238.63,Pendiente
O-000169,BR-00007,P-001271,PR-00020,Villalonga & Asociados S.L.L.,2025-08-19,81,30.69,2485.89,Pendiente
O-000170,BR-00008,P-001284,PR-00045,Evaristo Ramis Olivares S.Com.,2025-07-04,21,141.86,2979.06,Recibido
O-000171,BR-00008,P-001288,PR-00046,Infraestructuras Avanzadas S.Com.,2025-07-30,54,15.59,841.86,Recibido
O-000172,BR-00008,P-001295,PR-00033,Instalaciones Almagro & Asociados S.L.,2025-07-14,81,57.12,4626.72,Recibido
O-000173,BR-00008,P-001309,PR-01296,Giner & Asociados S.L.N.E,2025-07-09,93,130.91,12174.63,Recibido
O-000174,BR-00008,P-001310,PR-01296,Giner & Asociados S.L.N.E,2025-07-28,40,140.85,5634.0,En tránsito
O-000175,BR-00008,P-001317,PR-00790,Ribas y Andrade S.Coop.,2025-08-03,64,70.93,4539.52,Pendiente
O-000176,BR-00008,P-001332,PR-00853,Ballesteros y Soler S.L.U.,2025-08-07,88,146.36,12879.68,En tránsito
O-000177,BR-00008,P-001341,PR-00010,Familia Abad S.L.N.E,2025-08-17,57,122.82,7000.74,En tránsito
O-000178,BR-00008,P-001347,PR-00011,Infraestructuras Villegas S.L.,2025-07-04,51,49.28,2513.28,En tránsito
O-000179,BR-00008,P-001350,PR-00012,Infraestructuras ZXSZ S.C.P,2025-08-22,21,119.02,2499.42,Pendiente
O-000180,BR-00008,P-001354,PR-00013,Bejarano y Monreal S.Com.,2025-07-20,73,145.73,10638.29,Recibido
O-000181,BR-00008,P-001363,PR-00015,Lastra y Alonso S.Coop.,2025-07-13,35,51.4,1799.0,En tránsito
O-000182,BR-00008,P-001365,PR-00015,Lastra y Alonso S.Coop.,2025-08-14,85,147.5,12537.5,Pendiente
O-000183,BR-00008,P-001367,PR-01045,Logística EIK S.A.,2025-08-16,25,64.6,1615.0,Recibido
O-000184,BR-00008,P-001374,PR-01121,Antonio Tormo Castelló S.A.,2025-08-05,78,134.91,10522.98,Pendiente
O-000185,BR-00008,P-001382,PR-00041,Ibáñez y Garcia S.Coop.,2025-08-19,41,88.98,3648.18,Recibido
O-000186,BR-00008,P-001385,PR-00042,Bustos y Gonzalez S.A.,2025-08-16,32,148.01,4736.32,Recibido
O-000187,BR-00008,P-001401,PR-01264,Juliana Iñiguez Gallardo S.Com.,2025-06-27,36,114.65,4127.4,Recibido
O-000188,BR-00008,P-001409,PR-00020,Villalonga & Asociados S.L.L.,2025-07-12,83,9.75,809.25,Recibido
O-000189,BR-00008,P-001410,PR-01333,Grupo Arteaga S.Com.,2025-07-04,30,91.8,2754.0,Pendiente
O-000190,BR-00009,P-001417,PR-00044,Jorge Bermejo Oliva S.A.,2025-07-10,33,27.31,901.23,En tránsito
O-000191,BR-00009,P-001421,PR-00045,Evaristo Ramis Olivares S.Com.,2025-07-07,24,43.58,1045.92,En tránsito
O-000192,BR-00009,P-001428,PR-00918,Hnos Santamaria S.L.N.E,2025-07-26,35,35.55,1244.25,En tránsito
O-000193,BR-00009,P-001437,PR-00033,Instalaciones Almagro & Asociados S.L.,2025-08-01,72,103.68,7464.96,Recibido
O-000194,BR-00009,P-001445,PR-00035,Lledó y Bernal S.Com.,2025-08-22,75,46.58,3493.5,Recibido
O-000195,BR-00009,P-001462,PR-01442,Consultoría Integrales S.L.,2025-08-19,95,88.94,8449.3,En tránsito
O-000196,BR-00009,P-001470,PR-00782,Fábrica del Noroeste S.L.,2025-07-23,85,111.42,9470.7,Recibido
O-000197,BR-00009,P-001486,PR-00013,Bejarano y Monreal S.Com.,2025-08-14,20,112.85,2257.0,En tránsito
O-000198,BR-00009,P-001490,PR-00013,Bejarano y Monreal S.Com.,2025-08-22,67,111.66,7481.22,Recibido
O-000199,BR-00009,P-001502,PR-00015,Lastra y Alonso S.Coop.,2025-08-05,99,83.9,8306.1,Recibido
O-000200,BR-00009,P-001513,PR-01121,Antonio Tormo Castelló S.A.,2025-08-19,23,136.37,3136.51,En tránsito
O-000201,BR-00009,P-001522,PR-00041,Ibáñez y Garcia S.Coop.,2025-07-16,83,32.35,2685.05,Pendiente
O-000202,BR-00009,P-001531,PR-00024,Alcolea y Granados S.L.N.E,2025-08-03,23,20.9,480.7,Recibido
O-000203,BR-00009,P-001538,PR-01137,Montoya y asociados S.A.,2025-08-21,41,106.8,4378.8,Recibido
O-000204,BR-00009,P-001550,PR-01333,Grupo Arteaga S.Com.,2025-07-18,36,11.91,428.76,Pendiente
O-000205,BR-00010,P-001558,PR-00639,Desarrollo OYJB S.A.,2025-08-20,35,99.06,3467.1,Pendiente
O-000206,BR-00010,P-001559,PR-00617,Clotilde Mercader Marcos S.L.,2025-07-12,37,9.72,359.64,Pendiente
O-000207,BR-00010,P-001573,PR-00918,Hnos Santamaria S.L.N.E,2025-07-22,87,27.66,2406.42,Pendiente
O-000208,BR-00010,P-001579,PR-00047,Familia Echevarría S.L.N.E,2025-07-03,76,103.81,7889.56,Pendiente
O-000209,BR-00010,P-001586,PR-01021,Banca Privada del Mediterráneo S.Com.,2025-07-16,74,30.81,2279.94,Recibido
O-000210,BR-00010,P-001598,PR-00036,Arteaga & Asociados S.A.,2025-08-16,93,99.79,9280.47,En tránsito
O-000211,BR-00010,P-001603,PR-00006,Inmobiliaria Antúnez & Asociados S.Coop.,2025-07-24,38,97.76,3714.88,Recibido
O-000212,BR-00010,P-001617,PR-00008,Suministros Solano S.L.N.E,2025-08-11,33,51.34,1694.22,Recibido
O-000213,BR-00010,P-001626,PR-00010,Familia Abad S.L.N.E,2025-07-13,38,129.09,4905.42,Pendiente
O-000214,BR-00010,P-001627,PR-00860,Arregui & Asociados S.Com.,2025-08-22,71,30.62,2174.02,Recibido
O-000215,BR-00010,P-001633,PR-00011,Infraestructuras Villegas S.L.,2025-08-10,58,71.05,4120.9,Recibido
O-000216,BR-00010,P-001646,PR-00626,Familia Moya S.L.,2025-07-02,98,85.16,8345.68,Pendiente
O-000217,BR-00010,P-001650,PR-00015,Lastra y Alonso S.Coop.,2025-07-30,50,145.33,7266.5,Pendiente
O-000218,BR-00010,P-001658,PR-00038,Inversiones Ibéricos S.Coop.,2025-08-19,94,73.71,6928.74,Recibido
O-000219,BR-00010,P-001678,PR-00819,Compañía Amor & Asociados S.A.,2025-08-16,52,56.32,2928.64,Recibido
O-000220,BR-00010,P-001688,PR-01363,Distribuciones Segura S.L.,2025-07-16,44,99.92,4396.48,Recibido
O-000221,BR-00010,P-001694,PR-00017,Solana y Arjona S.L.,2025-07-01,65,5.42,352.3,Pendiente
O-000222,BR-00010,P-001699,PR-01264,Juliana Iñiguez Gallardo S.Com.,2025-08-07,100,18.04,1804.0,Pendiente
O-000223,BR-00011,P-001740,PR-00033,Instalaciones Almagro & Asociados S.L.,2025-08-21,29,142.89,4143.81,En tránsito
O-000224,BR-00011,P-001746,PR-00035,Lledó y Bernal S.Com.,2025-07-10,83,73.52,6102.16,En tránsito
