devolucion_id,venta_id,client_id,entrega_id,product_id,provider_id,branch_id,employee_id,fecha_devolucion,motivo,estado
DV-00019,C-004787,CL-01896,ET-04787,P-043259,PR-00751,BR-00391,E-010536,2025-04-09,Cambio de opinión,Rechazada
DV-00020,C-002831,CL-06272,ET-02831,P-012265,PR-01232,BR-00111,E-002964,2025-04-22,Cambio de opinión,Procesada
DV-00021,C-001225,CL-03414,ET-01225,P-007044,PR-00060,BR-00060,E-001847,2025-03-15,Llegó dañado,Rechazada
DV-00022,C-000961,CL-07320,ET-00961,P-010072,PR-00128,BR-00084,E-002527,2025-05-06,Vencido o caducado,Rechazada
DV-00023,C-002511,CL-05803,ET-02511,P-046648,PR-01436,BR-00017,E-000754,2025-03-11,Cambio de opinión,Pendiente
DV-00024,C-004655,CL-04633,ET-04655,P-040862,PR-00433,BR-00400,E-010695,2025-08-07,Tamaño incorrecto,Pendiente
DV-00025,C-002302,CL-07564,ET-02302,P-044469,PR-01230,BR-00419,E-010900,2025-04-07,No funciona correctamente,Procesada
DV-00026,C-000999,CL-01435,ET-00999,P-011812,PR-00138,BR-00105,E-002921,2025-07-24,Cambio de opinión,Pendiente
DV-00027,C-002193,CL-04062,ET-02193,P-025550,PR-01397,BR-00471,E-012577,2025-03-25,Calidad inferior a lo esperado,Rechazada
DV-00028,C-003054,CL-05640,ET-03054,P-003540,PR-00033,BR-00030,E-000937,2025-07-25,Cliente no lo reconoce,Rechazada
DV-00029,C-000567,CL-04806,ET-00567,P-013384,PR-00152,BR-00101,E-002892,2025-07-03,Vencido o caducado,Procesada
DV-00030,C-001820,CL-05041,ET-01820,P-014918,PR-00155,BR-00131,E-003748,2025-06-22,Producto defectuoso,Pendiente
DV-00031,C-002090,CL-06295,ET-02090,P-014563,PR-00178,BR-00128,E-003690,2025-06-30,Retraso en la entrega,Procesada
DV-00032,C-001107,CL-00801,ET-01107,P-001381,PR-00040,BR-00353,E-009592,2025-03-02,Llegó dañado,Rechazada
DV-00033,C-001056,CL-05167,ET-01056,P-030389,PR-00339,BR-00054,E-001738,2025-03-30,Calidad inferior a lo esperado,Procesada
DV-00034,C-002395,CL-06737,ET-02395,P-046699,PR-01380,BR-00242,E-006688,2025-04-09,No funciona correctamente,Rechazada
DV-00035,C-004482,CL-04448,ET-04482,P-017832,PR-00821,BR-00441,E-011716,2025-03-10,Llegó dañado,Procesada
DV-00036,C-002616,CL-06635,ET-02616,P-027548,PR-00292,BR-00247,E-006781,2025-05-19,No funciona correctamente,Pendiente
DV-00037,C-004145,CL-08966,ET-04145,P-003421,PR-01442,BR-00028,E-000921,2025-03-19,Calidad inferior a lo esperado,Procesada
DV-00038,C-003331,CL-01541,ET-03331,P-033052,PR-00363,BR-00302,E-007928,2025-03-06,No funciona correctamente,Rechazada
DV-00039,C-001638,CL-08571,ET-01638,P-013236,PR-00147,BR-00021,E-000830,2025-06-29,Pedido duplicado,Procesada
DV-00040,C-002033,CL-03428,ET-02033,P-035102,PR-00385,BR-00316,E-008610,2025-08-12,Retraso en la entrega,Rechazada
DV-00041,C-003102,CL-06372,ET-03102,P-009753,PR-01232,BR-00085,E-002543,2025-03-29,Pedido duplicado,Rechazada
DV-00042,C-000690,CL-05711,ET-00690,P-007118,PR-01311,BR-00154,E-004178,2025-08-22,Pedido duplicado,Rechazada
DV-00043,C-003760,CL-00042,ET-03760,P-003574,PR-01442,BR-00030,E-000939,2025-06-14,Cliente no lo reconoce,Procesada
DV-00044,C-004189,CL-08670,ET-04189,P-001927,PR-01021,BR-00470,E-012548,2025-07-23,Producto incompleto,Rechazada
DV-00045,C-000086,CL-03121,ET-00086,P-035728,PR-01030,BR-00087,E-002638,2025-07-30,Producto incompleto,Procesada
DV-00046,C-001454,CL-07888,ET-01454,P-017123,PR-01327,BR-00086,E-002619,2025-04-22,No coincide con la descripción,Pendiente
DV-00047,C-003700,CL-00160,ET-03700,P-022822,PR-00245,BR-00239,E-006641,2025-05-16,Tamaño incorrecto,Pendiente
DV-00048,C-003286,CL-05578,ET-03286,P-009196,PR-00101,BR-00271,E-007330,2025-04-21,Llegó dañado,Pendiente
DV-00049,C-002905,CL-06544,ET-02905,P-014121,PR-00895,BR-00124,E-003624,2025-07-18,Problema con el embalaje,Procesada
DV-00050,C-001137,CL-03425,ET-01137,P-016265,PR-00710,BR-00240,E-006664,2025-08-06,Error en el pedido,Rechazada
DV-00051,C-004892,CL-01791,ET-04892,P-039436,PR-00433,BR-00356,E-009627,2025-08-04,Vencido o caducado,Pendiente
DV-00052,C-000859,CL-08489,ET-00859,P-037918,PR-01008,BR-00017,E-000762,2025-08-01,Cambio de opinión,Pendiente
DV-00053,C-002411,CL-02405,ET-02411,P-008274,PR-00092,BR-00053,E-001724,2025-07-02,Vencido o caducado,Procesada
DV-00054,C-001104,CL-07040,ET-01104,P-049386,PR-00524,BR-00450,E-011814,2025-03-04,Producto defectuoso,Rechazada
DV-00055,C-001001,CL-05707,ET-01001,P-000375,PR-00016,BR-00002,E-000159,2025-07-24,Cambio de opinión,Pendiente
DV-00056,C-002123,CL-09842,ET-02123,P-024871,PR-01139,BR-00227,E-005991,2025-03-29,Cliente no lo reconoce,Pendiente
DV-00057,C-002293,CL-01334,ET-02293,P-036998,PR-00413,BR-00337,E-008896,2025-06-22,No coincide con la descripción,Pendiente
DV-00058,C-000876,CL-00621,ET-00876,P-047779,PR-00527,BR-00234,E-006410,2025-07-31,Producto defectuoso,Procesada
DV-00059,C-000418,CL-01554,ET-00418,P-003110,PR-01351,BR-00025,E-000903,2025-05-29,Pedido duplicado,Procesada
DV-00060,C-003956,CL-00473,ET-03956,P-009402,PR-00133,BR-00420,E-011113,2025-02-26,Problema con el embalaje,Rechazada
DV-00061,C-003155,CL-06299,ET-03155,P-019562,PR-00196,BR-00457,E-011976,2025-06-29,Recibí otro artículo,Rechazada
DV-00062,C-002672,CL-03725,ET-02672,P-051251,PR-00584,BR-00123,E-003572,2025-03-08,Tamaño incorrecto,Procesada
DV-00063,C-002625,CL-03437,ET-02625,P-046433,PR-01406,BR-00422,E-011195,2025-03-05,No funciona correctamente,Rechazada
DV-00064,C-001384,CL-04649,ET-01384,P-011562,PR-00730,BR-00101,E-002894,2025-08-20,Producto defectuoso,Pendiente
DV-00065,C-004164,CL-01100,ET-04164,P-048379,PR-01406,BR-00409,E-010817,2025-07-24,Cambio de opinión,Procesada
DV-00066,C-000069,CL-08497,ET-00069,P-026963,PR-01009,BR-00116,E-003207,2025-08-20,Producto defectuoso,Procesada
DV-00067,C-004016,CL-09378,ET-04016,P-002085,PR-00013,BR-00014,E-000701,2025-07-08,Retraso en la entrega,Pendiente
DV-00068,C-001195,CL-07293,ET-01195,P-042881,PR-01196,BR-00192,E-005165,2025-04-17,Calidad inferior a lo esperado,Procesada
DV-00069,C-004627,CL-01779,ET-04627,P-025546,PR-01397,BR-00231,E-006302,2025-07-12,Cambio de opinión,Pendiente
DV-00070,C-001536,CL-05119,ET-01536,P-026510,PR-00301,BR-00127,E-003665,2025-04-06,Retraso en la entrega,Procesada
DV-00071,C-004289,CL-06963,ET-04289,P-016808,PR-00725,BR-00153,E-004112,2025-04-10,Producto defectuoso,Rechazada
DV-00072,C-000177,CL-03226,ET-00177,P-010066,PR-01423,BR-00087,E-002648,2025-07-20,No coincide con la descripción,Procesada
DV-00073,C-000120,CL-08436,ET-00120,P-035852,PR-00420,BR-00324,E-008749,2025-03-05,Cambio de opinión,Rechazada
DV-00074,C-002484,CL-06891,ET-02484,P-017497,PR-01240,BR-00465,E-012416,2025-07-27,Calidad inferior a lo esperado,Pendiente
DV-00075,C-003181,CL-01231,ET-03181,P-025301,PR-00294,BR-00230,E-006164,2025-07-18,Cliente no lo reconoce,Rechazada
DV-00076,C-001856,CL-06461,ET-01856,P-052744,PR-00571,BR-00479,E-012710,2025-05-29,Tamaño incorrecto,Rechazada
DV-00077,C-002965,CL-09907,ET-02965,P-019921,PR-00233,BR-00178,E-004915,2025-08-17,Cambio de opinión,Pendiente
DV-00078,C-004077,CL-00303,ET-04077,P-018073,PR-00232,BR-00005,E-000383,2025-05-26,Pedido duplicado,Procesada
DV-00079,C-001469,CL-05359,ET-01469,P-016888,PR-01327,BR-00010,E-000625,2025-08-13,Cambio de opinión,Pendiente
DV-00080,C-000503,CL-01310,ET-00503,P-027964,PR-00326,BR-00252,E-006858,2025-06-20,Error en el pedido,Procesada
DV-00081,C-000003,CL-09553,ET-00003,P-029124,PR-00292,BR-00266,E-006965,2025-03-03,No coincide con la descripción,Rechazada
DV-00082,C-004366,CL-00111,ET-04366,P-033630,PR-00380,BR-00306,E-008194,2025-07-13,No funciona correctamente,Pendiente
DV-00083,C-003791,CL-04013,ET-03791,P-018677,PR-00203,BR-00165,E-004691,2025-07-23,Tamaño incorrecto,Procesada
DV-00084,C-003863,CL-02909,ET-03863,P-028056,PR-01438,BR-00253,E-006877,2025-05-22,Pedido duplicado,Procesada
DV-00085,C-002968,CL-06538,ET-02968,P-005922,PR-00084,BR-00039,E-001074,2025-04-20,Recibí otro artículo,Procesada
DV-00086,C-001741,CL-09856,ET-01741,P-028359,PR-00292,BR-00256,E-006902,2025-08-10,Llegó dañado,Pendiente
DV-00087,C-001107,CL-00801,ET-01107,P-039099,PR-00880,BR-00353,E-009592,2025-03-26,Cliente no lo reconoce,Rechazada
DV-00088,C-002494,CL-03721,ET-02494,P-025256,PR-00315,BR-00044,E-001431,2025-04-03,Cambio de opinión,Rechazada
DV-00089,C-002895,CL-02424,ET-02895,P-038233,PR-00435,BR-00160,E-004530,2025-07-14,Vencido o caducado,Pendiente
DV-00090,C-004153,CL-06281,ET-04153,P-051764,PR-00597,BR-00469,E-012543,2025-07-22,Tamaño incorrecto,Rechazada
DV-00091,C-000663,CL-08795,ET-00663,P-046630,PR-00849,BR-00423,E-011240,2025-03-03,Pedido duplicado,Rechazada
DV-00092,C-000844,CL-02402,ET-00844,P-017064,PR-01040,BR-00154,E-004241,2025-03-31,No coincide con la descripción,Rechazada
DV-00093,C-002805,CL-08220,ET-02805,P-035839,PR-00390,BR-00323,E-008719,2025-03-27,Producto defectuoso,Rechazada
DV-00094,C-001901,CL-05043,ET-01901,P-026738,PR-01001,BR-00239,E-006644,2025-06-25,Problema con el embalaje,Pendiente
DV-00095,C-002873,CL-08074,ET-02873,P-023508,PR-00247,BR-00004,E-000341,2025-03-06,Cliente no lo reconoce,Procesada
DV-00096,C-001141,CL-06525,ET-01141,P-016531,PR-00178,BR-00150,E-003966,2025-06-06,Cambio de opinión,Pendiente
DV-00097,C-001084,CL-08967,ET-01084,P-007773,PR-01243,BR-00069,E-001942,2025-04-01,Cambio de opinión,Pendiente
DV-00098,C-001409,CL-07439,ET-01409,P-008230,PR-00834,BR-00486,E-012782,2025-04-14,Problema con el embalaje,Pendiente
DV-00099,C-002411,CL-02405,ET-02411,P-008274,PR-00092,BR-00053,E-001724,2025-03-27,Producto incompleto,Procesada
DV-00100,C-001627,CL-05850,ET-01627,P-028175,PR-00329,BR-00127,E-003665,2025-03-04,Error en el pedido,Rechazada
