inventory_id,branch_id,product_id,stock_actual,stock_minimo,fecha_ingreso,fecha_actualizacion,estado
I-000122,BR-00001,P-000122,48,19,2025-03-30,2025-08-07,Disponible
I-000123,BR-00001,P-000123,4,14,2025-02-24,2025-06-02,Bajo stock
I-000124,BR-00001,P-000124,66,20,2025-05-17,2025-07-22,Disponible
I-000125,BR-00001,P-000125,10,19,2025-03-22,2025-05-25,Bajo stock
I-000126,BR-00001,P-000126,3,13,2025-04-16,2025-07-10,Bajo stock
I-000127,BR-00001,P-000127,54,20,2025-04-30,2025-05-24,Disponible
I-000128,BR-00001,P-000128,93,16,2025-03-06,2025-06-28,Disponible
I-000129,BR-00001,P-000129,57,11,2025-03-19,2025-05-16,Disponible
I-000130,BR-00001,P-000130,77,6,2025-06-23,2025-07-27,Disponible
I-000131,BR-00001,P-000131,65,6,2025-07-02,2025-07-15,Disponible
I-000132,BR-00001,P-000132,82,8,2025-05-18,2025-07-27,Disponible
I-000133,BR-00001,P-000133,91,13,2025-03-23,2025-05-21,Disponible
I-000134,BR-00001,P-000134,52,6,2025-05-21,2025-07-08,Disponible
I-000135,BR-00001,P-000135,83,14,2025-06-20,2025-08-04,Disponible
I-000136,BR-00001,P-000136,39,11,2025-07-22,2025-07-26,Disponible
I-000137,BR-00001,P-000137,3,17,2025-06-08,2025-08-03,Bajo stock
I-000138,BR-00001,P-000138,49,13,2025-03-25,2025-06-09,Disponible
I-000139,BR-00001,P-000139,8,14,2025-04-17,2025-04-19,Bajo stock
I-000140,BR-00001,P-000140,15,6,2025-03-24,2025-07-23,Disponible
I-000141,BR-00001,P-000141,11,16,2025-07-21,2025-08-09,Bajo stock
I-000142,BR-00001,P-000142,80,11,2025-04-03,2025-05-06,Disponible
I-000143,BR-00001,P-000143,31,13,2025-04-28,2025-08-16,Disponible
I-000144,BR-00001,P-000144,54,10,2025-07-07,2025-07-14,Disponible
I-000145,BR-00001,P-000145,48,5,2025-03-22,2025-06-05,Disponible
I-000146,BR-00001,P-000146,90,12,2025-05-15,2025-05-26,Disponible
I-000147,BR-00001,P-000147,64,20,2025-04-11,2025-07-27,Disponible
I-000148,BR-00001,P-000148,93,19,2025-06-28,2025-07-10,Disponible
I-000149,BR-00001,P-000149,78,9,2025-03-07,2025-07-30,Disponible
I-000150,BR-00001,P-000150,29,20,2025-03-23,2025-08-02,Disponible
I-000151,BR-00001,P-000151,3,20,2025-05-09,2025-07-07,Bajo stock
I-000152,BR-00001,P-000152,97,18,2025-06-19,2025-07-09,Disponible
I-000153,BR-00001,P-000153,97,11,2025-03-02,2025-06-20,Disponible
I-000154,BR-00001,P-000154,48,9,2025-03-30,2025-07-17,Disponible
I-000155,BR-00001,P-000155,30,16,2025-06-26,2025-08-02,Disponible
I-000156,BR-00001,P-000156,8,10,2025-04-08,2025-06-23,Bajo stock
I-000157,BR-00001,P-000157,42,20,2025-07-02,2025-08-04,Disponible
I-000158,BR-00001,P-000158,20,17,2025-03-13,2025-08-19,Disponible
I-000159,BR-00001,P-000159,3,5,2025-04-03,2025-04-05,Bajo stock
I-000160,BR-00001,P-000160,9,15,2025-03-06,2025-03-19,Bajo stock
I-000161,BR-00001,P-000161,35,10,2025-05-23,2025-08-12,Disponible
I-000162,BR-00001,P-000162,47,13,2025-04-10,2025-08-02,Disponible
I-000163,BR-00001,P-000163,13,15,2025-03-08,2025-08-13,Bajo stock
I-000164,BR-00001,P-000164,92,7,2025-05-06,2025-08-10,Disponible
I-000165,BR-00001,P-000165,82,16,2025-03-28,2025-04-04,Disponible
I-000166,BR-00001,P-000166,80,7,2025-05-11,2025-06-04,Disponible
I-000167,BR-00001,P-000167,39,14,2025-03-03,2025-05-21,Disponible
I-000168,BR-00001,P-000168,15,6,2025-05-29,2025-07-25,Disponible
I-000169,BR-00001,P-000169,79,13,2025-04-17,2025-07-29,Disponible
I-000170,BR-00001,P-000170,46,10,2025-05-30,2025-06-30,Disponible
I-000171,BR-00001,P-000171,93,12,2025-03-19,2025-06-07,Disponible
I-000172,BR-00001,P-000172,10,17,2025-02-26,2025-03-18,Bajo stock
I-000173,BR-00001,P-000173,31,9,2025-05-21,2025-07-01,Disponible
I-000174,BR-00001,P-000174,98,12,2025-04-24,2025-05-31,Disponible
I-000175,BR-00001,P-000175,15,6,2025-03-22,2025-07-23,Disponible
I-000176,BR-00001,P-000176,41,14,2025-06-19,2025-08-10,Disponible
I-000177,BR-00001,P-000177,54,7,2025-03-13,2025-05-21,Disponible
I-000178,BR-00001,P-000178,24,17,2025-06-09,2025-06-10,Disponible
I-000179,BR-00001,P-000179,52,14,2025-03-13,2025-06-25,Disponible
I-000180,BR-00001,P-000180,47,7,2025-07-23,2025-07-26,Disponible
I-000181,BR-00001,P-000181,16,18,2025-06-07,2025-07-08,Bajo stock
I-000182,BR-00001,P-000182,14,15,2025-03-12,2025-04-04,Bajo stock
I-000183,BR-00001,P-000183,18,6,2025-03-16,2025-08-16,Disponible
I-000184,BR-00001,P-000184,17,13,2025-03-23,2025-03-29,Disponible
I-000185,BR-00001,P-000185,54,6,2025-04-25,2025-06-23,Disponible
I-000186,BR-00001,P-000186,27,16,2025-06-20,2025-08-17,Disponible
I-000187,BR-00001,P-000187,57,5,2025-03-12,2025-06-15,Disponible
I-000188,BR-00001,P-000188,24,10,2025-06-04,2025-06-14,Disponible
I-000189,BR-00001,P-000189,62,6,2025-05-09,2025-05-15,Disponible
I-000190,BR-00001,P-000190,40,11,2025-06-07,2025-06-10,Disponible
I-000191,BR-00001,P-000191,41,6,2025-05-06,2025-07-11,Disponible
I-000192,BR-00001,P-000192,66,15,2025-06-08,2025-06-18,Disponible
I-000193,BR-00001,P-000193,16,10,2025-05-09,2025-05-21,Disponible
I-000194,BR-00001,P-000194,21,20,2025-07-19,2025-08-10,Disponible
I-000195,BR-00001,P-000195,90,6,2025-04-02,2025-08-07,Disponible
I-000196,BR-00001,P-000196,92,17,2025-07-17,2025-07-26,Disponible
I-000197,BR-00001,P-000197,26,13,2025-07-19,2025-07-21,Disponible
I-000198,BR-00001,P-000198,49,17,2025-04-26,2025-06-09,Disponible
I-000199,BR-00001,P-000199,82,19,2025-07-19,2025-07-24,Disponible
I-000200,BR-00001,P-000200,9,17,2025-04-16,2025-05-03,Bajo stock
I-000201,BR-00001,P-000201,56,13,2025-06-16,2025-07-26,Disponible
I-000202,BR-00001,P-000202,6,12,2025-04-01,2025-04-09,Bajo stock
I-000203,BR-00001,P-000203,97,16,2025-04-10,2025-07-30,Disponible
I-000204,BR-00001,P-000204,57,19,2025-05-09,2025-05-22,Disponible
I-000205,BR-00001,P-000205,11,20,2025-04-16,2025-04-21,Bajo stock
I-000206,BR-00001,P-000206,83,17,2025-04-03,2025-05-03,Disponible
I-000207,BR-00001,P-000207,46,5,2025-07-20,2025-08-09,Disponible
I-000208,BR-00001,P-000208,50,19,2025-06-26,2025-07-29,Disponible
I-000209,BR-00001,P-000209,0,14,2025-06-21,2025-06-28,Agotado
I-000210,BR-00001,P-000210,61,18,2025-07-02,2025-07-25,Disponible
I-000211,BR-00001,P-000211,57,15,2025-05-06,2025-05-24,Disponible
I-000212,BR-00001,P-000212,90,16,2025-07-05,2025-07-30,Disponible
I-000213,BR-00001,P-000213,16,12,2025-07-16,2025-07-17,Disponible
I-000214,BR-00001,P-000214,23,16,2025-04-30,2025-07-31,Disponible
I-000215,BR-00001,P-000215,39,10,2025-06-08,2025-08-19,Disponible
I-000216,BR-00001,P-000216,91,9,2025-05-09,2025-07-21,Disponible
I-000217,BR-00001,P-000217,69,11,2025-04-03,2025-06-05,Disponible
I-000218,BR-00001,P-000218,72,16,2025-04-16,2025-06-15,Disponible
I-000219,BR-00001,P-000219,30,8,2025-06-30,2025-07-09,Disponible
I-000220,BR-00001,P-000220,24,10,2025-04-08,2025-07-30,Disponible
I-000221,BR-00001,P-000221,51,15,2025-03-28,2025-05-16,Disponible
I-000222,BR-00001,P-000222,45,20,2025-07-10,2025-08-05,Disponible
I-000223,BR-00001,P-000223,65,10,2025-07-09,2025-07-11,Disponible
I-000224,BR-00001,P-000224,64,17,2025-03-30,2025-05-11,Disponible
I-000225,BR-00001,P-000225,97,11,2025-05-25,2025-07-26,Disponible
I-000226,BR-00001,P-000226,63,6,2025-06-29,2025-07-26,Disponible
I-000227,BR-00001,P-000227,38,13,2025-07-22,2025-08-20,Disponible
I-000228,BR-00001,P-000228,87,6,2025-03-17,2025-07-22,Disponible
I-000229,BR-00001,P-000229,68,18,2025-03-16,2025-07-10,Disponible
I-000230,BR-00001,P-000230,0,9,2025-04-23,2025-07-12,Agotado
I-000231,BR-00001,P-000231,33,14,2025-06-10,2025-08-09,Disponible
I-000232,BR-00001,P-000232,56,20,2025-03-23,2025-05-16,Disponible
I-000233,BR-00001,P-000233,17,13,2025-07-18,2025-08-08,Disponible
I-000234,BR-00001,P-000234,17,17,2025-05-18,2025-07-07,Bajo stock
I-000235,BR-00001,P-000235,27,15,2025-04-07,2025-05-29,Disponible
I-000236,BR-00002,P-000236,20,18,2025-03-20,2025-03-22,Disponible
I-000237,BR-00002,P-000237,74,6,2025-04-12,2025-04-15,Disponible
I-000238,BR-00002,P-000238,2,8,2025-02-26,2025-07-26,Bajo stock
I-000239,BR-00002,P-000239,93,6,2025-05-11,2025-05-17,Disponible
I-000240,BR-00002,P-000240,44,9,2025-03-24,2025-06-03,Disponible
I-000241,BR-00002,P-000241,69,11,2025-06-16,2025-06-21,Disponible
I-000242,BR-00002,P-000242,97,17,2025-04-03,2025-07-30,Disponible
I-000243,BR-00002,P-000243,7,18,2025-06-27,2025-07-10,Bajo stock
I-000244,BR-00002,P-000244,58,9,2025-03-22,2025-07-16,Disponible
I-000245,BR-00002,P-000245,62,10,2025-03-27,2025-07-23,Disponible
I-000246,BR-00002,P-000246,65,8,2025-07-06,2025-07-21,Disponible
I-000247,BR-00002,P-000247,47,13,2025-05-23,2025-07-16,Disponible
I-000248,BR-00002,P-000248,83,13,2025-05-29,2025-08-13,Disponible
I-000249,BR-00002,P-000249,100,17,2025-07-14,2025-07-14,Disponible
I-000250,BR-00002,P-000250,29,7,2025-04-27,2025-04-27,Disponible
I-000251,BR-00002,P-000251,47,17,2025-06-27,2025-07-20,Disponible
I-000252,BR-00002,P-000252,70,15,2025-06-24,2025-07-09,Disponible
I-000253,BR-00002,P-000253,14,9,2025-07-05,2025-07-31,Disponible
I-000254,BR-00002,P-000254,13,6,2025-06-18,2025-06-27,Disponible
I-000255,BR-00002,P-000255,65,8,2025-03-26,2025-08-16,Disponible
I-000256,BR-00002,P-000256,68,7,2025-04-02,2025-05-07,Disponible
I-000257,BR-00002,P-000257,4,10,2025-03-12,2025-06-24,Bajo stock
I-000258,BR-00002,P-000258,97,10,2025-05-23,2025-06-17,Disponible
I-000259,BR-00002,P-000259,84,5,2025-05-01,2025-07-10,Disponible
I-000260,BR-00002,P-000260,59,11,2025-04-12,2025-07-25,Disponible
I-000261,BR-00002,P-000261,15,5,2025-02-28,2025-05-08,Disponible
I-000262,BR-00002,P-000262,78,15,2025-05-10,2025-05-11,Disponible
I-000263,BR-00002,P-000263,62,9,2025-06-19,2025-06-27,Disponible
I-000264,BR-00002,P-000264,2,7,2025-05-12,2025-08-09,Bajo stock
I-000265,BR-00002,P-000265,42,10,2025-07-07,2025-07-24,Disponible
I-000266,BR-00002,P-000266,85,11,2025-04-14,2025-06-05,Disponible
I-000267,BR-00002,P-000267,5,20,2025-05-10,2025-05-27,Bajo stock
I-000268,BR-00002,P-000268,62,11,2025-05-06,2025-07-22,Disponible
I-000269,BR-00002,P-000269,4,15,2025-05-05,2025-06-26,Bajo stock
I-000270,BR-00002,P-000270,76,15,2025-06-16,2025-06-23,Disponible
I-000271,BR-00002,P-000271,93,16,2025-05-28,2025-08-08,Disponible
I-000272,BR-00002,P-000272,77,15,2025-05-29,2025-07-20,Disponible
I-000273,BR-00002,P-000273,37,5,2025-06-30,2025-06-30,Disponible
I-000274,BR-00002,P-000274,8,18,2025-02-26,2025-04-07,Bajo stock
I-000275,BR-00002,P-000275,63,17,2025-06-02,2025-06-18,Disponible
I-000276,BR-00002,P-000276,43,17,2025-07-14,2025-07-25,Disponible
I-000277,BR-00002,P-000277,6,17,2025-07-04,2025-08-22,Bajo stock
I-000278,BR-00002,P-000278,57,10,2025-05-14,2025-08-12,Disponible
I-000279,BR-00002,P-000279,4,11,2025-06-05,2025-08-04,Bajo stock
I-000280,BR-00002,P-000280,57,16,2025-03-10,2025-08-17,Disponible
I-000281,BR-00002,P-000281,90,5,2025-06-13,2025-08-16,Disponible
I-000282,BR-00002,P-000282,12,5,2025-07-12,2025-07-17,Disponible
I-000283,BR-00002,P-000283,6,10,2025-05-23,2025-08-10,Bajo stock
I-000284,BR-00002,P-000284,75,9,2025-07-02,2025-08-03,Disponible
I-000285,BR-00002,P-000285,40,11,2025-03-15,2025-04-04,Disponible
I-000286,BR-00002,P-000286,39,15,2025-06-08,2025-07-18,Disponible
I-000287,BR-00002,P-000287,89,14,2025-06-22,2025-07-25,Disponible
I-000288,BR-00002,P-000288,35,14,2025-06-03,2025-06-20,Disponible
I-000289,BR-00002,P-000289,82,15,2025-04-06,2025-04-18,Disponible
I-000290,BR-00002,P-000290,9,5,2025-06-08,2025-06-11,Disponible
I-000291,BR-00002,P-000291,13,8,2025-05-25,2025-08-10,Disponible
I-000292,BR-00002,P-000292,82,16,2025-03-30,2025-06-12,Disponible
I-000293,BR-00002,P-000293,59,15,2025-04-07,2025-08-13,Disponible
I-000294,BR-00002,P-000294,43,19,2025-04-07,2025-06-18,Disponible
I-000295,BR-00002,P-000295,70,17,2025-03-02,2025-04-11,Disponible
I-000296,BR-00002,P-000296,73,19,2025-05-09,2025-06-09,Disponible
I-000297,BR-00002,P-000297,11,11,2025-04-30,2025-06-26,Bajo stock
I-000298,BR-00002,P-000298,31,10,2025-06-17,2025-07-16,Disponible
I-000299,BR-00002,P-000299,60,12,2025-04-08,2025-05-20,Disponible
I-000300,BR-00002,P-000300,44,9,2025-03-28,2025-05-19,Disponible
I-000301,BR-00002,P-000301,66,18,2025-07-02,2025-07-29,Disponible
I-000302,BR-00002,P-000302,76,12,2025-07-08,2025-08-10,Disponible
I-000303,BR-00002,P-000303,16,16,2025-06-03,2025-06-08,Bajo stock
I-000304,BR-00002,P-000304,21,6,2025-03-30,2025-06-26,Disponible
I-000305,BR-00002,P-000305,46,6,2025-02-24,2025-04-30,Disponible
I-000306,BR-00002,P-000306,72,14,2025-03-31,2025-05-16,Disponible
I-000307,BR-00002,P-000307,98,12,2025-02-24,2025-07-16,Disponible
I-000308,BR-00002,P-000308,76,16,2025-02-27,2025-03-08,Disponible
I-000309,BR-00002,P-000309,39,5,2025-04-21,2025-05-20,Disponible
I-000310,BR-00002,P-000310,21,5,2025-06-26,2025-08-19,Disponible
I-000311,BR-00002,P-000311,92,8,2025-05-27,2025-08-01,Disponible
I-000312,BR-00002,P-000312,11,16,2025-05-13,2025-06-18,Bajo stock
I-000313,BR-00002,P-000313,55,7,2025-05-10,2025-05-18,Disponible
I-000314,BR-00002,P-000314,76,12,2025-05-18,2025-08-19,Disponible
I-000315,BR-00002,P-000315,61,19,2025-05-21,2025-06-29,Disponible
I-000316,BR-00002,P-000316,61,7,2025-05-01,2025-07-29,Disponible
I-000317,BR-00002,P-000317,58,16,2025-03-15,2025-07-24,Disponible
I-000318,BR-00002,P-000318,87,15,2025-03-01,2025-05-27,Disponible
I-000319,BR-00002,P-000319,51,18,2025-03-27,2025-07-21,Disponible
I-000320,BR-00002,P-000320,35,18,2025-05-27,2025-06-19,Disponible
I-000321,BR-00002,P-000321,78,11,2025-07-02,2025-07-29,Disponible
I-000322,BR-00002,P-000322,90,8,2025-07-06,2025-08-17,Disponible
I-000323,BR-00002,P-000323,29,17,2025-05-26,2025-06-10,Disponible
I-000324,BR-00002,P-000324,93,19,2025-05-12,2025-07-16,Disponible
I-000325,BR-00002,P-000325,28,16,2025-03-11,2025-03-20,Disponible
I-000326,BR-00002,P-000326,98,16,2025-03-04,2025-05-15,Disponible
I-000327,BR-00002,P-000327,17,16,2025-05-16,2025-07-12,Disponible
I-000328,BR-00002,P-000328,99,12,2025-05-13,2025-06-06,Disponible
I-000329,BR-00002,P-000329,68,11,2025-07-13,2025-07-16,Disponible
I-000330,BR-00002,P-000330,68,18,2025-04-28,2025-06-20,Disponible
I-000331,BR-00002,P-000331,92,15,2025-06-25,2025-07-03,Disponible
I-000332,BR-00002,P-000332,37,16,2025-03-03,2025-03-09,Disponible
I-000333,BR-00002,P-000333,69,14,2025-04-20,2025-06-04,Disponible
I-000334,BR-00002,P-000334,39,19,2025-05-24,2025-08-17,Disponible
I-000335,BR-00002,P-000335,31,12,2025-03-16,2025-06-20,Disponible
I-000336,BR-00002,P-000336,92,18,2025-05-15,2025-06-22,Disponible
I-000337,BR-00002,P-000337,30,20,2025-02-28,2025-04-26,Disponible
I-000338,BR-00002,P-000338,11,7,2025-06-10,2025-06-27,Disponible
I-000339,BR-00002,P-000339,74,10,2025-04-16,2025-04-30,Disponible
I-000340,BR-00002,P-000340,77,20,2025-07-16,2025-07-18,Disponible
I-000341,BR-00002,P-000341,29,14,2025-04-23,2025-08-05,Disponible
I-000342,BR-00002,P-000342,1,14,2025-07-09,2025-07-20,Bajo stock
I-000343,BR-00002,P-000343,56,15,2025-03-02,2025-06-11,Disponible
I-000344,BR-00002,P-000344,34,13,2025-07-11,2025-07-21,Disponible
I-000345,BR-00002,P-000345,22,8,2025-05-25,2025-08-04,Disponible
I-000346,BR-00002,P-000346,64,16,2025-03-20,2025-06-30,Disponible
I-000347,BR-00002,P-000347,53,11,2025-07-08,2025-08-11,Disponible
I-000348,BR-00002,P-000348,83,19,2025-03-22,2025-04-21,Disponible
I-000349,BR-00002,P-000349,28,16,2025-05-08,2025-07-04,Disponible
I-000350,BR-00002,P-000350,73,6,2025-04-27,2025-07-28,Disponible
I-000351,BR-00002,P-000351,29,6,2025-03-21,2025-08-21,Disponible
I-000352,BR-00002,P-000352,54,12,2025-05-02,2025-06-24,Disponible
I-000353,BR-00002,P-000353,87,17,2025-03-14,2025-04-11,Disponible
