alerta_id,branch_id,product_id,stock_actual,stock_minimo,fecha_actualizacion,fecha_alerta,prioridad,provider_id,provider_name
AL-00031,BR-00001,P-000172,10,17,2025-03-18,2025-08-23,Baja,PR-00885,Manufacturas Mayol S.A.
AL-00032,BR-00001,P-000181,16,18,2025-07-08,2025-08-23,Baja,PR-01348,Fábrica Abad S.L.L.
AL-00033,BR-00001,P-000182,14,15,2025-04-04,2025-08-23,Baja,PR-00021,Tecnologías ZKZ S.A.
AL-00034,BR-00001,P-000200,9,17,2025-05-03,2025-08-23,Baja,PR-00982,Industrias WBZF S.A.
AL-00035,BR-00001,P-000202,6,12,2025-04-09,2025-08-23,Baja,PR-00026,Comercializadora AJA S.Com.
AL-00036,BR-00001,P-000205,11,20,2025-04-21,2025-08-23,Baja,PR-00026,Comercializadora AJA S.Com.
AL-00037,BR-00001,P-000209,0,14,2025-06-28,2025-08-23,Alta,PR-00027,Hermanos Uriarte S.A.T.
AL-00038,BR-00001,P-000230,0,9,2025-07-12,2025-08-23,Alta,PR-01178,Fábrica del Mediterráneo S.Com.
AL-00039,BR-00001,P-000234,17,17,2025-07-07,2025-08-23,Baja,PR-01178,Fábrica del Mediterráneo S.Com.
AL-00040,BR-00002,P-000238,2,8,2025-07-26,2025-08-23,Media,PR-00043,Anastasia Pou Lucas S.L.
AL-00041,BR-00002,P-000243,7,18,2025-07-10,2025-08-23,Media,PR-00044,Hnos Ramón S.Com.
AL-00042,BR-00002,P-000257,4,10,2025-06-24,2025-08-23,Media,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00043,BR-00002,P-000264,2,7,2025-08-09,2025-08-23,Media,PR-00033,Comercial Cisneros y asociados S.A.
AL-00044,BR-00002,P-000267,5,20,2025-05-27,2025-08-23,Media,PR-01134,Vilanova & Asociados S.Com.
AL-00045,BR-00002,P-000269,4,15,2025-06-26,2025-08-23,Media,PR-00034,Banca Privada Española S.A.
AL-00046,BR-00002,P-000274,8,18,2025-04-07,2025-08-23,Media,PR-00035,Narváez & Asociados S.Com.
AL-00047,BR-00002,P-000277,6,17,2025-08-22,2025-08-23,Media,PR-00635,Anna Figueras Cano S.L.N.E
AL-00048,BR-00002,P-000279,4,11,2025-08-04,2025-08-23,Media,PR-00635,Anna Figueras Cano S.L.N.E
AL-00049,BR-00002,P-000283,6,10,2025-08-10,2025-08-23,Baja,PR-00622,Consultoría MPN S.A.
AL-00050,BR-00002,P-000297,11,11,2025-06-26,2025-08-23,Baja,PR-00958,Alimentación Roldán & Asociados S.A.
AL-00051,BR-00002,P-000303,16,16,2025-06-08,2025-08-23,Baja,PR-00008,Suministros Mancebo y asociados S.C.P
AL-00052,BR-00002,P-000312,11,16,2025-06-18,2025-08-23,Baja,PR-00010,Eduardo Manso Soler S.L.U.
AL-00053,BR-00002,P-000342,1,14,2025-07-20,2025-08-23,Media,PR-00038,Marín y Figuerola S.Coop.
AL-00054,BR-00002,P-000361,8,20,2025-08-22,2025-08-23,Media,PR-00040,Familia Cánovas S.L.
AL-00055,BR-00002,P-000369,3,16,2025-07-30,2025-08-23,Media,PR-01460,Tecnologías Pinilla & Asociados S.L.N.E
AL-00056,BR-00002,P-000383,1,9,2025-08-07,2025-08-23,Media,PR-01237,Barón y Baena S.A.
AL-00057,BR-00002,P-000390,9,13,2025-06-18,2025-08-23,Baja,PR-00987,Hotel Botella & Asociados S.Coop.
AL-00058,BR-00002,P-000396,4,12,2025-07-19,2025-08-23,Media,PR-01427,Nadal y asociados S.A.U
AL-00059,BR-00002,P-000406,2,6,2025-06-18,2025-08-23,Media,PR-01112,Industrias Niño & Asociados S.L.
AL-00060,BR-00002,P-000416,14,17,2025-08-11,2025-08-23,Baja,PR-00885,Manufacturas Mayol S.A.
AL-00061,BR-00002,P-000419,10,11,2025-06-18,2025-08-23,Baja,PR-00005,Banca Privada SU S.L.
AL-00062,BR-00002,P-000425,8,11,2025-08-02,2025-08-23,Baja,PR-01135,Néstor Paz Jerez S.L.L.
AL-00063,BR-00002,P-000432,10,20,2025-07-26,2025-08-23,Baja,PR-01105,Farmaceútica Ibéricos S.L.N.E
AL-00064,BR-00002,P-000433,19,20,2025-03-02,2025-08-23,Baja,PR-00023,Eva Anguita Flores S.Coop.
AL-00065,BR-00002,P-000435,1,18,2025-05-16,2025-08-23,Media,PR-00916,Instalaciones Gonzalo S.A.
AL-00066,BR-00002,P-000439,9,17,2025-08-08,2025-08-23,Baja,PR-00016,Servicios Bustos & Asociados S.L.
AL-00067,BR-00002,P-000441,1,14,2025-08-22,2025-08-23,Media,PR-01161,Ródenas y Fernandez S.Com.
AL-00068,BR-00002,P-000456,13,20,2025-05-28,2025-08-23,Baja,PR-00773,Pavón & Asociados S.L.
AL-00069,BR-00002,P-000468,4,16,2025-06-27,2025-08-23,Media,PR-01333,Anglada y asociados S.Coop.
AL-00070,BR-00002,P-000476,10,10,2025-08-11,2025-08-23,Baja,PR-00030,Salmerón y Ruano S.A.
AL-00071,BR-00002,P-000477,3,7,2025-07-14,2025-08-23,Media,PR-00614,Inmobiliaria Álamo & Asociados S.L.
AL-00072,BR-00002,P-000481,2,20,2025-07-25,2025-08-23,Media,PR-01142,Alimentación Arenas S.A.
AL-00073,BR-00003,P-000525,7,11,2025-07-27,2025-08-23,Baja,PR-00034,Banca Privada Española S.A.
AL-00074,BR-00003,P-000530,2,17,2025-03-31,2025-08-23,Media,PR-00035,Narváez & Asociados S.Com.
AL-00075,BR-00003,P-000531,5,20,2025-05-15,2025-08-23,Media,PR-00035,Narváez & Asociados S.Com.
AL-00076,BR-00003,P-000539,8,10,2025-05-16,2025-08-23,Baja,PR-00037,Hnos Romeu S.Com.
AL-00077,BR-00003,P-000540,11,14,2025-06-29,2025-08-23,Baja,PR-00037,Hnos Romeu S.Com.
AL-00078,BR-00003,P-000553,14,15,2025-08-15,2025-08-23,Baja,PR-00007,Farmaceútica Iberia S.Coop.
AL-00079,BR-00003,P-000554,5,13,2025-07-11,2025-08-23,Media,PR-00958,Alimentación Roldán & Asociados S.A.
AL-00080,BR-00003,P-000593,4,8,2025-08-19,2025-08-23,Baja,PR-00716,Distribuciones XZBK S.A.
AL-00081,BR-00003,P-000599,10,12,2025-07-20,2025-08-23,Baja,PR-00038,Marín y Figuerola S.Coop.
AL-00082,BR-00003,P-000609,3,6,2025-08-20,2025-08-23,Baja,PR-00040,Familia Cánovas S.L.
AL-00083,BR-00003,P-000617,7,17,2025-07-25,2025-08-23,Media,PR-00041,Chelo Piquer Cisneros S.Coop.
AL-00084,BR-00003,P-000619,5,10,2025-08-21,2025-08-23,Baja,PR-00042,Familia Cuervo S.L.
AL-00085,BR-00003,P-000631,2,13,2025-06-04,2025-08-23,Media,PR-01109,Soluciones Jódar y asociados S.A.
AL-00086,BR-00003,P-000647,1,7,2025-06-09,2025-08-23,Media,PR-01496,Talavera y Quintana S.L.
AL-00087,BR-00004,P-000664,2,7,2025-05-23,2025-08-23,Media,PR-00981,Zamora y Cadenas S.A.
AL-00088,BR-00004,P-000671,13,20,2025-08-10,2025-08-23,Baja,PR-00047,Familia Mateo S.L.U.
AL-00089,BR-00004,P-000680,2,17,2025-08-03,2025-08-23,Media,PR-01220,Duilio Castañeda Abad S.L.N.E
AL-00090,BR-00004,P-000685,11,17,2025-05-17,2025-08-23,Baja,PR-00035,Narváez & Asociados S.Com.
AL-00091,BR-00004,P-000690,7,13,2025-08-18,2025-08-23,Baja,PR-00036,Mohamed Cuesta Torrents S.Coop.
AL-00092,BR-00004,P-000702,9,17,2025-06-27,2025-08-23,Baja,PR-00647,Cabrera & Asociados S.Coop.
AL-00093,BR-00004,P-000719,0,18,2025-07-19,2025-08-23,Alta,PR-00010,Eduardo Manso Soler S.L.U.
AL-00094,BR-00004,P-000726,5,9,2025-06-13,2025-08-23,Baja,PR-00012,Grupo Cabezas S.A.
AL-00095,BR-00004,P-000732,12,18,2025-03-26,2025-08-23,Baja,PR-00012,Grupo Cabezas S.A.
AL-00096,BR-00004,P-000745,6,8,2025-08-10,2025-08-23,Baja,PR-01076,Poza & Asociados S.A.
AL-00097,BR-00004,P-000757,10,17,2025-04-21,2025-08-23,Baja,PR-00040,Familia Cánovas S.L.
AL-00098,BR-00004,P-000785,16,17,2025-08-06,2025-08-23,Baja,PR-00018,Banca Privada FONM S.L.
AL-00099,BR-00005,P-000799,4,13,2025-08-05,2025-08-23,Media,PR-00043,Anastasia Pou Lucas S.L.
AL-00100,BR-00005,P-000801,8,13,2025-08-22,2025-08-23,Baja,PR-00044,Hnos Ramón S.Com.
AL-00101,BR-00005,P-000805,1,6,2025-07-25,2025-08-23,Media,PR-00045,Marco y Saez S.L.L.
AL-00102,BR-00005,P-000824,7,11,2025-06-15,2025-08-23,Baja,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00103,BR-00005,P-000827,17,17,2025-05-02,2025-08-23,Baja,PR-00844,Desarrollo Ibérica S.A.
AL-00104,BR-00005,P-000828,5,10,2025-08-16,2025-08-23,Baja,PR-00844,Desarrollo Ibérica S.A.
AL-00105,BR-00005,P-000866,9,10,2025-06-17,2025-08-23,Baja,PR-01031,Infraestructuras Aramburu & Asociados S.Com.
AL-00106,BR-00005,P-000873,4,15,2025-05-06,2025-08-23,Media,PR-00011,Instalaciones YY S.Coop.
AL-00107,BR-00005,P-000874,5,11,2025-06-04,2025-08-23,Media,PR-00011,Instalaciones YY S.Coop.
AL-00108,BR-00005,P-000901,13,16,2025-04-30,2025-08-23,Baja,PR-00038,Marín y Figuerola S.Coop.
AL-00109,BR-00005,P-000930,7,13,2025-04-13,2025-08-23,Baja,PR-01109,Soluciones Jódar y asociados S.A.
AL-00110,BR-00005,P-000934,3,19,2025-04-12,2025-08-23,Media,PR-00017,Sureda y Montalbán S.C.P
AL-00111,BR-00005,P-000938,4,6,2025-07-15,2025-08-23,Baja,PR-01430,Hoyos y Bastida S.A.U
AL-00112,BR-00005,P-000939,1,6,2025-07-30,2025-08-23,Media,PR-01430,Hoyos y Bastida S.A.U
AL-00113,BR-00005,P-000948,6,6,2025-08-03,2025-08-23,Baja,PR-00020,Familia Lillo S.Coop.
AL-00114,BR-00006,P-000954,1,19,2025-08-18,2025-08-23,Media,PR-00043,Anastasia Pou Lucas S.L.
AL-00115,BR-00006,P-000960,1,9,2025-07-01,2025-08-23,Media,PR-00044,Hnos Ramón S.Com.
AL-00116,BR-00006,P-000972,1,11,2025-07-29,2025-08-23,Media,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00117,BR-00006,P-000973,5,9,2025-05-28,2025-08-23,Baja,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00118,BR-00006,P-000974,8,13,2025-06-18,2025-08-23,Baja,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00119,BR-00006,P-000993,2,8,2025-07-28,2025-08-23,Media,PR-00844,Desarrollo Ibérica S.A.
AL-00120,BR-00006,P-000994,4,14,2025-03-13,2025-08-23,Media,PR-00635,Anna Figueras Cano S.L.N.E
AL-00121,BR-00006,P-001024,12,18,2025-08-18,2025-08-23,Baja,PR-00651,Desarrollo LH S.Coop.
AL-00122,BR-00006,P-001026,8,12,2025-08-15,2025-08-23,Baja,PR-01031,Infraestructuras Aramburu & Asociados S.Com.
AL-00123,BR-00006,P-001031,1,20,2025-07-23,2025-08-23,Media,PR-01031,Infraestructuras Aramburu & Asociados S.Com.
AL-00124,BR-00006,P-001035,2,9,2025-05-27,2025-08-23,Media,PR-00010,Eduardo Manso Soler S.L.U.
AL-00125,BR-00006,P-001042,9,14,2025-06-06,2025-08-23,Baja,PR-00011,Instalaciones YY S.Coop.
AL-00126,BR-00006,P-001043,8,8,2025-05-20,2025-08-23,Baja,PR-00012,Grupo Cabezas S.A.
AL-00127,BR-00006,P-001048,13,16,2025-05-10,2025-08-23,Baja,PR-00012,Grupo Cabezas S.A.
AL-00128,BR-00006,P-001053,14,15,2025-08-08,2025-08-23,Baja,PR-00973,Logística Sandoval & Asociados S.Com.
AL-00129,BR-00006,P-001054,7,10,2025-07-27,2025-08-23,Baja,PR-01170,Enrique Adadia Perera S.Coop.
AL-00130,BR-00006,P-001058,5,5,2025-07-28,2025-08-23,Baja,PR-00716,Distribuciones XZBK S.A.
AL-00131,BR-00006,P-001064,14,16,2025-06-13,2025-08-23,Baja,PR-00015,Servicios Sanmartín S.L.N.E
AL-00132,BR-00006,P-001071,3,20,2025-08-12,2025-08-23,Media,PR-00038,Marín y Figuerola S.Coop.
AL-00133,BR-00006,P-001075,7,15,2025-03-22,2025-08-23,Media,PR-00039,Fábrica QLS S.Coop.
AL-00134,BR-00006,P-001079,2,12,2025-07-05,2025-08-23,Media,PR-00040,Familia Cánovas S.L.
AL-00135,BR-00006,P-001106,11,17,2025-06-29,2025-08-23,Baja,PR-01237,Barón y Baena S.A.
AL-00136,BR-00006,P-001109,5,16,2025-03-29,2025-08-23,Media,PR-00019,Construcción Baró S.Com.
AL-00137,BR-00006,P-001115,0,20,2025-07-29,2025-08-23,Alta,PR-01496,Talavera y Quintana S.L.
AL-00138,BR-00006,P-001121,1,10,2025-07-10,2025-08-23,Media,PR-00020,Familia Lillo S.Coop.
AL-00139,BR-00007,P-001123,10,11,2025-06-16,2025-08-23,Baja,PR-00043,Anastasia Pou Lucas S.L.
AL-00140,BR-00007,P-001141,4,13,2025-07-13,2025-08-23,Media,PR-00047,Familia Mateo S.L.U.
AL-00141,BR-00007,P-001149,10,19,2025-04-07,2025-08-23,Baja,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00142,BR-00007,P-001153,16,20,2025-08-20,2025-08-23,Baja,PR-01134,Vilanova & Asociados S.Com.
AL-00143,BR-00007,P-001157,7,10,2025-08-14,2025-08-23,Baja,PR-00844,Desarrollo Ibérica S.A.
AL-00144,BR-00007,P-001165,5,12,2025-06-15,2025-08-23,Media,PR-00622,Consultoría MPN S.A.
AL-00145,BR-00007,P-001184,6,18,2025-08-13,2025-08-23,Media,PR-00651,Desarrollo LH S.Coop.
AL-00146,BR-00007,P-001206,7,16,2025-07-09,2025-08-23,Media,PR-00012,Grupo Cabezas S.A.
AL-00147,BR-00007,P-001214,0,19,2025-06-21,2025-08-23,Alta,PR-00716,Distribuciones XZBK S.A.
AL-00148,BR-00007,P-001222,18,20,2025-05-30,2025-08-23,Baja,PR-00038,Marín y Figuerola S.Coop.
AL-00149,BR-00007,P-001223,5,15,2025-06-16,2025-08-23,Media,PR-00038,Marín y Figuerola S.Coop.
AL-00150,BR-00007,P-001224,5,12,2025-08-13,2025-08-23,Media,PR-00038,Marín y Figuerola S.Coop.
AL-00151,BR-00007,P-001227,10,13,2025-05-24,2025-08-23,Baja,PR-00039,Fábrica QLS S.Coop.
AL-00152,BR-00007,P-001230,18,20,2025-06-01,2025-08-23,Baja,PR-00039,Fábrica QLS S.Coop.
AL-00153,BR-00007,P-001248,3,9,2025-06-22,2025-08-23,Media,PR-01003,Farmaceútica Avanzadas S.L.
AL-00154,BR-00007,P-001250,17,18,2025-08-09,2025-08-23,Baja,PR-01003,Farmaceútica Avanzadas S.L.
AL-00155,BR-00007,P-001260,5,9,2025-07-14,2025-08-23,Baja,PR-01430,Hoyos y Bastida S.A.U
AL-00156,BR-00007,P-001265,1,9,2025-08-21,2025-08-23,Media,PR-00019,Construcción Baró S.Com.
AL-00157,BR-00007,P-001268,12,20,2025-06-08,2025-08-23,Baja,PR-00020,Familia Lillo S.Coop.
AL-00158,BR-00007,P-001272,1,5,2025-06-06,2025-08-23,Media,PR-00020,Familia Lillo S.Coop.
AL-00159,BR-00008,P-001282,5,8,2025-07-16,2025-08-23,Baja,PR-00044,Hnos Ramón S.Com.
AL-00160,BR-00008,P-001295,7,20,2025-06-25,2025-08-23,Media,PR-00033,Comercial Cisneros y asociados S.A.
AL-00161,BR-00008,P-001296,9,19,2025-07-19,2025-08-23,Media,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00162,BR-00008,P-001298,0,17,2025-05-05,2025-08-23,Alta,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00163,BR-00008,P-001305,1,9,2025-08-04,2025-08-23,Media,PR-01134,Vilanova & Asociados S.Com.
AL-00164,BR-00008,P-001316,7,7,2025-08-02,2025-08-23,Baja,PR-00037,Hnos Romeu S.Com.
AL-00165,BR-00008,P-001327,0,10,2025-06-20,2025-08-23,Alta,PR-00006,Alma Fiol Pedrosa S.Com.
AL-00166,BR-00008,P-001328,15,18,2025-06-22,2025-08-23,Baja,PR-00958,Alimentación Roldán & Asociados S.A.
AL-00167,BR-00008,P-001334,12,19,2025-08-16,2025-08-23,Baja,PR-00651,Desarrollo LH S.Coop.
AL-00168,BR-00008,P-001350,10,20,2025-07-29,2025-08-23,Baja,PR-00012,Grupo Cabezas S.A.
AL-00169,BR-00008,P-001354,4,11,2025-06-02,2025-08-23,Media,PR-01026,Consultoría Lopez y asociados S.L.
AL-00170,BR-00008,P-001355,4,20,2025-08-22,2025-08-23,Media,PR-00013,Minería Globales S.A.
AL-00171,BR-00008,P-001360,18,18,2025-07-14,2025-08-23,Baja,PR-00716,Distribuciones XZBK S.A.
AL-00172,BR-00008,P-001362,17,20,2025-04-13,2025-08-23,Baja,PR-00014,Comercial Hierro S.L.
AL-00173,BR-00008,P-001366,8,16,2025-06-30,2025-08-23,Baja,PR-01076,Poza & Asociados S.A.
AL-00174,BR-00008,P-001375,8,15,2025-05-24,2025-08-23,Baja,PR-00040,Familia Cánovas S.L.
AL-00175,BR-00008,P-001386,7,14,2025-08-09,2025-08-23,Baja,PR-00042,Familia Cuervo S.L.
AL-00176,BR-00008,P-001387,8,10,2025-08-14,2025-08-23,Baja,PR-01460,Tecnologías Pinilla & Asociados S.L.N.E
AL-00177,BR-00008,P-001395,1,12,2025-06-15,2025-08-23,Media,PR-00017,Sureda y Montalbán S.C.P
AL-00178,BR-00008,P-001397,3,5,2025-08-18,2025-08-23,Baja,PR-00018,Banca Privada FONM S.L.
AL-00179,BR-00008,P-001406,2,8,2025-06-23,2025-08-23,Media,PR-00019,Construcción Baró S.Com.
AL-00180,BR-00008,P-001409,10,15,2025-08-20,2025-08-23,Baja,PR-00020,Familia Lillo S.Coop.
AL-00181,BR-00008,P-001410,2,6,2025-06-30,2025-08-23,Media,PR-01496,Talavera y Quintana S.L.
AL-00182,BR-00009,P-001414,1,7,2025-08-14,2025-08-23,Media,PR-00043,Anastasia Pou Lucas S.L.
AL-00183,BR-00009,P-001416,13,16,2025-07-04,2025-08-23,Baja,PR-00044,Hnos Ramón S.Com.
AL-00184,BR-00009,P-001429,14,18,2025-08-11,2025-08-23,Baja,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00185,BR-00009,P-001435,1,6,2025-06-12,2025-08-23,Media,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00186,BR-00009,P-001437,14,17,2025-07-13,2025-08-23,Baja,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00187,BR-00009,P-001443,5,9,2025-06-24,2025-08-23,Baja,PR-00035,Narváez & Asociados S.Com.
AL-00188,BR-00009,P-001448,7,11,2025-07-23,2025-08-23,Baja,PR-00036,Mohamed Cuesta Torrents S.Coop.
AL-00189,BR-00009,P-001457,17,17,2025-04-27,2025-08-23,Baja,PR-00006,Alma Fiol Pedrosa S.Com.
AL-00190,BR-00009,P-001477,6,19,2025-07-06,2025-08-23,Media,PR-00010,Eduardo Manso Soler S.L.U.
AL-00191,BR-00009,P-001483,12,13,2025-06-19,2025-08-23,Baja,PR-00012,Grupo Cabezas S.A.
AL-00192,BR-00009,P-001490,13,16,2025-07-08,2025-08-23,Baja,PR-00013,Minería Globales S.A.
AL-00193,BR-00009,P-001495,9,12,2025-06-16,2025-08-23,Baja,PR-00014,Comercial Hierro S.L.
AL-00194,BR-00009,P-001502,7,8,2025-05-28,2025-08-23,Baja,PR-01076,Poza & Asociados S.A.
AL-00195,BR-00009,P-001504,17,18,2025-07-17,2025-08-23,Baja,PR-00038,Marín y Figuerola S.Coop.
AL-00196,BR-00009,P-001509,5,10,2025-08-16,2025-08-23,Baja,PR-00038,Marín y Figuerola S.Coop.
AL-00197,BR-00009,P-001529,8,20,2025-07-13,2025-08-23,Media,PR-01460,Tecnologías Pinilla & Asociados S.L.N.E
AL-00198,BR-00009,P-001536,14,19,2025-08-15,2025-08-23,Baja,PR-01109,Soluciones Jódar y asociados S.A.
AL-00199,BR-00009,P-001539,12,14,2025-05-29,2025-08-23,Baja,PR-00017,Sureda y Montalbán S.C.P
AL-00200,BR-00009,P-001542,0,16,2025-07-26,2025-08-23,Alta,PR-01430,Hoyos y Bastida S.A.U
AL-00201,BR-00009,P-001546,8,9,2025-05-08,2025-08-23,Baja,PR-00019,Construcción Baró S.Com.
AL-00202,BR-00010,P-001572,11,16,2025-06-17,2025-08-23,Baja,PR-00046,Amílcar Aznar Ramirez S.Com.
AL-00203,BR-00010,P-001578,17,17,2025-08-04,2025-08-23,Baja,PR-01267,Alimentación Internacionales S.Com.
AL-00204,BR-00010,P-001581,2,8,2025-04-28,2025-08-23,Media,PR-00664,Inversiones Echeverría & Asociados S.L.N.E
AL-00205,BR-00010,P-001587,9,14,2025-07-03,2025-08-23,Baja,PR-01134,Vilanova & Asociados S.Com.
AL-00206,BR-00010,P-001597,9,18,2025-05-08,2025-08-23,Baja,PR-00036,Mohamed Cuesta Torrents S.Coop.
AL-00207,BR-00010,P-001598,0,11,2025-07-30,2025-08-23,Alta,PR-00036,Mohamed Cuesta Torrents S.Coop.
AL-00208,BR-00010,P-001611,5,7,2025-05-04,2025-08-23,Baja,PR-00007,Farmaceútica Iberia S.Coop.
AL-00209,BR-00010,P-001618,16,17,2025-04-12,2025-08-23,Baja,PR-00651,Desarrollo LH S.Coop.
AL-00210,BR-00010,P-001619,3,16,2025-05-14,2025-08-23,Media,PR-01031,Infraestructuras Aramburu & Asociados S.Com.
AL-00211,BR-00010,P-001624,7,16,2025-08-07,2025-08-23,Media,PR-01031,Infraestructuras Aramburu & Asociados S.Com.
AL-00212,BR-00010,P-001628,9,9,2025-05-18,2025-08-23,Baja,PR-00010,Eduardo Manso Soler S.L.U.
AL-00213,BR-00010,P-001643,8,13,2025-08-16,2025-08-23,Baja,PR-00013,Minería Globales S.A.
AL-00214,BR-00010,P-001651,2,10,2025-07-16,2025-08-23,Media,PR-00015,Servicios Sanmartín S.L.N.E
AL-00215,BR-00010,P-001653,11,14,2025-07-09,2025-08-23,Baja,PR-00015,Servicios Sanmartín S.L.N.E
AL-00216,BR-00010,P-001656,0,19,2025-08-10,2025-08-23,Alta,PR-01076,Poza & Asociados S.A.
AL-00217,BR-00010,P-001664,19,19,2025-06-17,2025-08-23,Baja,PR-00039,Fábrica QLS S.Coop.
AL-00218,BR-00010,P-001666,12,13,2025-07-18,2025-08-23,Baja,PR-00039,Fábrica QLS S.Coop.
AL-00219,BR-00010,P-001671,3,9,2025-08-16,2025-08-23,Media,PR-00040,Familia Cánovas S.L.
AL-00220,BR-00010,P-001684,4,13,2025-06-10,2025-08-23,Media,PR-01336,Hnos Tejada S.L.
AL-00221,BR-00010,P-001691,7,20,2025-06-12,2025-08-23,Media,PR-00017,Sureda y Montalbán S.C.P
AL-00222,BR-00010,P-001692,14,17,2025-08-18,2025-08-23,Baja,PR-01109,Soluciones Jódar y asociados S.A.
AL-00223,BR-00010,P-001700,3,13,2025-08-16,2025-08-23,Media,PR-00987,Hotel Botella & Asociados S.Coop.
AL-00224,BR-00010,P-001701,13,15,2025-07-31,2025-08-23,Baja,PR-00987,Hotel Botella & Asociados S.Coop.
AL-00225,BR-00010,P-001706,5,19,2025-03-28,2025-08-23,Media,PR-01496,Talavera y Quintana S.L.
AL-00226,BR-00011,P-001717,9,10,2025-07-29,2025-08-23,Baja,PR-00044,Hnos Ramón S.Com.
AL-00227,BR-00011,P-001718,6,9,2025-06-05,2025-08-23,Baja,PR-00045,Marco y Saez S.L.L.
