pago_id,order_id,provider_id,provider_name,fecha_orden,condicion_pago,fecha_vencimiento,fecha_pago,monto_total,estado_pago
PP-000040,O-000040,PR-00614,Inmobiliaria Álamo & Asociados S.L.,2025-07-26,30 días,2025-08-25,,5053.1,Pendiente
PP-000041,O-000041,PR-01142,Alimentación Arenas S.A.,2025-07-31,Contado,2025-07-31,2025-07-31,8588.8,Pagado
PP-000042,O-000042,PR-00032,Soluciones Arco & Asociados S.Coop.,2025-07-26,30 días,2025-08-25,2025-08-15,4917.12,Pagado
PP-000043,O-000043,PR-00043,Anastasia Pou Lucas S.L.,2025-07-27,30 días,2025-08-26,2025-08-07,5760.69,Pagado
PP-000044,O-000044,PR-00043,Anastasia Pou Lucas S.L.,2025-06-27,30 días,2025-07-27,2025-07-14,1688.57,Pagado
PP-000045,O-000045,PR-00044,Hnos Ramón S.Com.,2025-07-11,60 días,2025-09-09,,10207.08,Pendiente
PP-000046,O-000046,PR-00044,Hnos Ramón S.Com.,2025-08-10,60 días,2025-10-09,,1224.08,Pendiente
PP-000047,O-000047,PR-00044,Hnos Ramón S.Com.,2025-08-13,60 días,2025-10-12,2025-09-18,4412.23,Pagado
PP-000048,O-000048,PR-00981,Zamora y Cadenas S.A.,2025-07-24,90 días,2025-10-22,,557.0,Pendiente
PP-000049,O-000049,PR-00981,Zamora y Cadenas S.A.,2025-07-03,90 días,2025-10-01,,1825.56,Pendiente
PP-000050,O-000050,PR-00981,Zamora y Cadenas S.A.,2025-06-27,90 días,2025-09-25,,2554.3,Pendiente
PP-000051,O-000051,PR-00045,Marco y Saez S.L.L.,2025-06-23,90 días,2025-09-21,2025-07-28,2974.13,Pagado
PP-000052,O-000052,PR-00981,Zamora y Cadenas S.A.,2025-08-03,90 días,2025-11-01,,211.2,Pendiente
PP-000053,O-000053,PR-00033,Comercial Cisneros y asociados S.A.,2025-08-17,90 días,2025-11-15,2025-09-19,6748.29,Pagado
PP-000054,O-000054,PR-01134,Vilanova & Asociados S.Com.,2025-08-01,30 días,2025-08-31,2025-08-06,9958.85,Pagado
PP-000055,O-000055,PR-00844,Desarrollo Ibérica S.A.,2025-07-13,60 días,2025-09-11,,277.64,Pendiente
PP-000056,O-000056,PR-00622,Consultoría MPN S.A.,2025-07-26,90 días,2025-10-24,2025-09-21,2627.27,Pagado
PP-000057,O-000057,PR-00647,Cabrera & Asociados S.Coop.,2025-08-16,90 días,2025-11-14,,1849.46,Pendiente
PP-000058,O-000058,PR-00988,Hotel BE S.Com.,2025-07-07,90 días,2025-10-05,,700.0,Pendiente
PP-000059,O-000059,PR-00651,Desarrollo LH S.Coop.,2025-08-17,Contado,2025-08-17,2025-08-17,2073.3,Pagado
PP-000060,O-000060,PR-00008,Suministros Mancebo y asociados S.C.P,2025-08-05,90 días,2025-11-03,,12813.14,Pendiente
PP-000061,O-000061,PR-00012,Grupo Cabezas S.A.,2025-08-19,60 días,2025-10-18,2025-09-13,2822.85,Pagado
PP-000062,O-000062,PR-01026,Consultoría Lopez y asociados S.L.,2025-07-07,30 días,2025-08-06,2025-08-05,10449.7,Pagado
PP-000063,O-000063,PR-00716,Distribuciones XZBK S.A.,2025-07-28,90 días,2025-10-26,2025-09-22,7581.66,Pagado
PP-000064,O-000064,PR-00038,Marín y Figuerola S.Coop.,2025-07-05,30 días,2025-08-04,2025-07-28,2951.04,Pagado
PP-000065,O-000065,PR-00040,Familia Cánovas S.L.,2025-08-10,90 días,2025-11-08,2025-09-16,10881.0,Pagado
PP-000066,O-000066,PR-00626,Mariño & Asociados S.A.,2025-08-08,60 días,2025-10-07,2025-09-21,3370.08,Pagado
PP-000067,O-000067,PR-01109,Soluciones Jódar y asociados S.A.,2025-07-18,60 días,2025-09-16,2025-08-17,5191.9,Pagado
PP-000068,O-000068,PR-00987,Hotel Botella & Asociados S.Coop.,2025-08-02,60 días,2025-10-01,2025-08-19,865.8,Pagado
PP-000069,O-000069,PR-01427,Nadal y asociados S.A.U,2025-08-07,30 días,2025-09-06,,3803.04,Pendiente
PP-000070,O-000070,PR-00001,Fábrica del Norte S.Coop.,2025-07-22,90 días,2025-10-20,,10354.4,Pendiente
PP-000071,O-000071,PR-00001,Fábrica del Norte S.Coop.,2025-08-13,90 días,2025-11-11,2025-09-10,5139.44,Pagado
PP-000072,O-000072,PR-00004,Comercializadora Pereira y asociados S.C.P,2025-08-16,60 días,2025-10-15,2025-09-18,5520.24,Pagado
PP-000073,O-000073,PR-00005,Banca Privada SU S.L.,2025-07-05,60 días,2025-09-03,2025-08-10,4144.75,Pagado
PP-000074,O-000074,PR-01135,Néstor Paz Jerez S.L.L.,2025-08-07,90 días,2025-11-05,,3799.6,Pendiente
PP-000075,O-000075,PR-00021,Tecnologías ZKZ S.A.,2025-07-18,90 días,2025-10-16,,2933.14,Pendiente
PP-000076,O-000076,PR-00022,Infraestructuras Internacionales S.Com.,2025-06-30,90 días,2025-09-28,2025-07-17,2170.0,Pagado
PP-000077,O-000077,PR-01181,Beatriz Angulo Viana S.Com.,2025-08-06,30 días,2025-09-05,2025-08-08,3604.0,Pagado
PP-000078,O-000078,PR-00026,Comercializadora AJA S.Com.,2025-08-11,30 días,2025-09-10,2025-09-06,10601.28,Pagado
PP-000079,O-000079,PR-00026,Comercializadora AJA S.Com.,2025-06-25,30 días,2025-07-25,2025-07-22,772.48,Pagado
PP-000080,O-000080,PR-00028,Familia Salom S.L.,2025-07-19,Contado,2025-07-19,2025-07-19,9829.26,Pagado
PP-000081,O-000081,PR-00030,Salmerón y Ruano S.A.,2025-08-14,90 días,2025-11-12,,2913.9,Pendiente
PP-000082,O-000082,PR-00030,Salmerón y Ruano S.A.,2025-07-21,90 días,2025-10-19,2025-09-03,7739.63,Pagado
PP-000083,O-000083,PR-00043,Anastasia Pou Lucas S.L.,2025-07-20,30 días,2025-08-19,2025-07-28,1004.8,Pagado
PP-000084,O-000084,PR-01267,Alimentación Internacionales S.Com.,2025-07-02,60 días,2025-08-31,,10728.52,Pendiente
PP-000085,O-000085,PR-00651,Desarrollo LH S.Coop.,2025-07-23,Contado,2025-07-23,2025-07-23,8387.9,Pagado
PP-000086,O-000086,PR-00009,Distribuciones Hernández y asociados S.L.L.,2025-07-27,60 días,2025-09-25,2025-09-01,1079.67,Pagado
PP-000087,O-000087,PR-00011,Instalaciones YY S.Coop.,2025-07-14,90 días,2025-10-12,,7932.12,Pendiente
PP-000088,O-000088,PR-01026,Consultoría Lopez y asociados S.L.,2025-07-31,30 días,2025-08-30,,9425.4,Pendiente
PP-000089,O-000089,PR-00014,Comercial Hierro S.L.,2025-07-17,30 días,2025-08-16,2025-07-31,2739.04,Pagado
PP-000090,O-000090,PR-00014,Comercial Hierro S.L.,2025-07-13,30 días,2025-08-12,2025-07-27,9038.7,Pagado
PP-000091,O-000091,PR-00015,Servicios Sanmartín S.L.N.E,2025-07-17,90 días,2025-10-15,2025-08-08,1096.2,Pagado
PP-000092,O-000092,PR-00039,Fábrica QLS S.Coop.,2025-07-24,60 días,2025-09-22,,6572.53,Pendiente
PP-000093,O-000093,PR-00040,Familia Cánovas S.L.,2025-08-13,90 días,2025-11-11,2025-09-04,155.1,Pagado
PP-000094,O-000094,PR-01460,Tecnologías Pinilla & Asociados S.L.N.E,2025-07-05,90 días,2025-10-03,,551.12,Pendiente
PP-000095,O-000095,PR-00017,Sureda y Montalbán S.C.P,2025-07-16,30 días,2025-08-15,2025-07-25,8686.04,Pagado
PP-000096,O-000096,PR-00987,Hotel Botella & Asociados S.Coop.,2025-07-18,60 días,2025-09-16,,11390.4,Pendiente
PP-000097,O-000097,PR-00044,Hnos Ramón S.Com.,2025-06-27,60 días,2025-08-26,2025-07-25,1619.84,Pagado
PP-000098,O-000098,PR-00044,Hnos Ramón S.Com.,2025-08-12,60 días,2025-10-11,2025-09-26,951.19,Pagado
PP-000099,O-000099,PR-00044,Hnos Ramón S.Com.,2025-06-26,60 días,2025-08-25,,6614.24,Pendiente
PP-000100,O-000100,PR-00046,Amílcar Aznar Ramirez S.Com.,2025-07-04,90 días,2025-10-02,2025-08-01,1427.66,Pagado
PP-000101,O-000101,PR-01267,Alimentación Internacionales S.Com.,2025-07-07,60 días,2025-09-05,2025-08-05,2254.92,Pagado
PP-000102,O-000102,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-08-10,90 días,2025-11-08,2025-09-29,801.8,Pagado
PP-000103,O-000103,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-08-20,90 días,2025-11-18,2025-09-08,1918.15,Pagado
PP-000104,O-000104,PR-00035,Narváez & Asociados S.Com.,2025-08-14,90 días,2025-11-12,2025-09-18,991.58,Pagado
PP-000105,O-000105,PR-00815,Industrias del Sur S.L.N.E,2025-08-05,60 días,2025-10-04,2025-08-12,1646.48,Pagado
PP-000106,O-000106,PR-00008,Suministros Mancebo y asociados S.C.P,2025-06-24,90 días,2025-09-22,,3680.82,Pendiente
PP-000107,O-000107,PR-00009,Distribuciones Hernández y asociados S.L.L.,2025-06-23,60 días,2025-08-22,2025-07-20,13726.8,Pagado
PP-000108,O-000108,PR-00012,Grupo Cabezas S.A.,2025-08-14,60 días,2025-10-13,,1124.07,Pendiente
PP-000109,O-000109,PR-00012,Grupo Cabezas S.A.,2025-08-08,60 días,2025-10-07,,8686.26,Pendiente
PP-000110,O-000110,PR-00716,Distribuciones XZBK S.A.,2025-07-01,90 días,2025-09-29,2025-07-27,1219.89,Pagado
PP-000111,O-000111,PR-00038,Marín y Figuerola S.Coop.,2025-07-30,30 días,2025-08-29,2025-08-24,5067.9,Pagado
PP-000112,O-000112,PR-00039,Fábrica QLS S.Coop.,2025-07-18,60 días,2025-09-16,,7833.7,Pendiente
PP-000113,O-000113,PR-00039,Fábrica QLS S.Coop.,2025-08-13,60 días,2025-10-12,2025-09-07,6886.36,Pagado
PP-000114,O-000114,PR-00041,Chelo Piquer Cisneros S.Coop.,2025-08-11,60 días,2025-10-10,,7125.66,Pendiente
PP-000115,O-000115,PR-00042,Familia Cuervo S.L.,2025-07-01,60 días,2025-08-30,,8616.88,Pendiente
PP-000116,O-000116,PR-00935,Infante y asociados S.L.,2025-07-18,90 días,2025-10-16,,396.72,Pendiente
PP-000117,O-000117,PR-00016,Servicios Bustos & Asociados S.L.,2025-07-09,30 días,2025-08-08,2025-07-24,4125.85,Pagado
PP-000118,O-000118,PR-01257,Transportes NY S.Com.,2025-07-01,30 días,2025-07-31,,1525.44,Retrasado
PP-000119,O-000119,PR-00044,Hnos Ramón S.Com.,2025-07-16,60 días,2025-09-14,,447.12,Pendiente
PP-000120,O-000120,PR-00044,Hnos Ramón S.Com.,2025-08-06,60 días,2025-10-05,,1262.63,Pendiente
PP-000121,O-000121,PR-00046,Amílcar Aznar Ramirez S.Com.,2025-07-13,90 días,2025-10-11,2025-09-18,5075.4,Pagado
PP-000122,O-000122,PR-00047,Familia Mateo S.L.U.,2025-07-26,90 días,2025-10-24,2025-09-18,1513.05,Pagado
PP-000123,O-000123,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-08-01,90 días,2025-10-30,,8978.84,Pendiente
PP-000124,O-000124,PR-00844,Desarrollo Ibérica S.A.,2025-07-20,60 días,2025-09-18,2025-08-18,14052.39,Pagado
PP-000125,O-000125,PR-00844,Desarrollo Ibérica S.A.,2025-07-07,60 días,2025-09-05,,2200.65,Pendiente
PP-000126,O-000126,PR-00622,Consultoría MPN S.A.,2025-07-18,90 días,2025-10-16,2025-08-11,1298.7,Pagado
PP-000127,O-000127,PR-00958,Alimentación Roldán & Asociados S.A.,2025-07-06,60 días,2025-09-04,2025-07-08,2314.6,Pagado
PP-000128,O-000128,PR-00012,Grupo Cabezas S.A.,2025-08-12,60 días,2025-10-11,,3021.76,Pendiente
PP-000129,O-000129,PR-00040,Familia Cánovas S.L.,2025-07-18,90 días,2025-10-16,2025-08-14,5136.6,Pagado
PP-000130,O-000130,PR-00987,Hotel Botella & Asociados S.Coop.,2025-08-15,60 días,2025-10-14,,4804.8,Pendiente
PP-000131,O-000131,PR-01496,Talavera y Quintana S.L.,2025-08-11,90 días,2025-11-09,,2252.73,Pendiente
PP-000132,O-000132,PR-00981,Zamora y Cadenas S.A.,2025-07-23,90 días,2025-10-21,2025-10-15,1251.88,Pagado
PP-000133,O-000133,PR-00046,Amílcar Aznar Ramirez S.Com.,2025-08-02,90 días,2025-10-31,2025-09-11,3836.04,Pagado
PP-000134,O-000134,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-07-08,90 días,2025-10-06,2025-08-24,2882.22,Pagado
PP-000135,O-000135,PR-00033,Comercial Cisneros y asociados S.A.,2025-06-26,90 días,2025-09-24,,3883.6,Pendiente
PP-000136,O-000136,PR-00844,Desarrollo Ibérica S.A.,2025-07-23,60 días,2025-09-21,2025-09-07,1415.2,Pagado
PP-000137,O-000137,PR-00035,Narváez & Asociados S.Com.,2025-08-02,90 días,2025-10-31,,2165.76,Pendiente
PP-000138,O-000138,PR-00035,Narváez & Asociados S.Com.,2025-07-08,90 días,2025-10-06,,836.35,Pendiente
PP-000139,O-000139,PR-00036,Mohamed Cuesta Torrents S.Coop.,2025-07-18,90 días,2025-10-16,2025-10-01,514.3,Pagado
PP-000140,O-000140,PR-00037,Hnos Romeu S.Com.,2025-07-31,90 días,2025-10-29,,5260.8,Pendiente
PP-000141,O-000141,PR-00006,Alma Fiol Pedrosa S.Com.,2025-08-04,90 días,2025-11-02,,6530.88,Pendiente
PP-000142,O-000142,PR-00651,Desarrollo LH S.Coop.,2025-06-30,Contado,2025-06-30,2025-06-30,5632.0,Pagado
PP-000143,O-000143,PR-00973,Logística Sandoval & Asociados S.Com.,2025-07-23,90 días,2025-10-21,2025-08-17,6741.96,Pagado
PP-000144,O-000144,PR-00038,Marín y Figuerola S.Coop.,2025-08-19,30 días,2025-09-18,2025-08-31,3789.02,Pagado
PP-000145,O-000145,PR-00039,Fábrica QLS S.Coop.,2025-07-31,60 días,2025-09-29,,153.72,Pendiente
PP-000146,O-000146,PR-00040,Familia Cánovas S.L.,2025-07-01,90 días,2025-09-29,2025-08-16,6080.71,Pagado
PP-000147,O-000147,PR-00041,Chelo Piquer Cisneros S.Coop.,2025-07-17,60 días,2025-09-15,,1950.2,Pendiente
PP-000148,O-000148,PR-01237,Barón y Baena S.A.,2025-07-23,Contado,2025-07-23,2025-07-23,5455.84,Pagado
PP-000149,O-000149,PR-00987,Hotel Botella & Asociados S.Coop.,2025-07-15,60 días,2025-09-13,,8942.01,Pendiente
PP-000150,O-000150,PR-00020,Familia Lillo S.Coop.,2025-08-14,Contado,2025-08-14,2025-08-14,5853.6,Pagado
PP-000151,O-000151,PR-00043,Anastasia Pou Lucas S.L.,2025-06-25,30 días,2025-07-25,,4871.16,Retrasado
PP-000152,O-000152,PR-00044,Hnos Ramón S.Com.,2025-07-14,60 días,2025-09-12,2025-08-07,7082.46,Pagado
PP-000153,O-000153,PR-00044,Hnos Ramón S.Com.,2025-07-04,60 días,2025-09-02,2025-07-15,872.64,Pagado
PP-000154,O-000154,PR-00044,Hnos Ramón S.Com.,2025-07-09,60 días,2025-09-07,,12114.2,Pendiente
PP-000155,O-000155,PR-00045,Marco y Saez S.L.L.,2025-08-21,90 días,2025-11-19,,10682.93,Pendiente
PP-000156,O-000156,PR-00046,Amílcar Aznar Ramirez S.Com.,2025-07-05,90 días,2025-10-03,,6814.64,Pendiente
PP-000157,O-000157,PR-01267,Alimentación Internacionales S.Com.,2025-08-06,60 días,2025-10-05,,4476.8,Pendiente
PP-000158,O-000158,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-07-12,90 días,2025-10-10,,9521.28,Pendiente
PP-000159,O-000159,PR-00035,Narváez & Asociados S.Com.,2025-07-01,90 días,2025-09-29,,9367.29,Pendiente
PP-000160,O-000160,PR-00635,Anna Figueras Cano S.L.N.E,2025-08-19,30 días,2025-09-18,,4226.24,Pendiente
PP-000161,O-000161,PR-00622,Consultoría MPN S.A.,2025-08-01,90 días,2025-10-30,2025-09-28,7570.52,Pagado
PP-000162,O-000162,PR-00815,Industrias del Sur S.L.N.E,2025-07-11,60 días,2025-09-09,,7531.6,Pendiente
PP-000163,O-000163,PR-00647,Cabrera & Asociados S.Coop.,2025-08-07,90 días,2025-11-05,2025-08-23,8658.56,Pagado
PP-000164,O-000164,PR-00010,Eduardo Manso Soler S.L.U.,2025-08-09,90 días,2025-11-07,,2426.19,Pendiente
PP-000165,O-000165,PR-00010,Eduardo Manso Soler S.L.U.,2025-07-12,90 días,2025-10-10,2025-09-18,3819.3,Pagado
PP-000166,O-000166,PR-00012,Grupo Cabezas S.A.,2025-07-11,60 días,2025-09-09,,1326.96,Pendiente
PP-000167,O-000167,PR-00012,Grupo Cabezas S.A.,2025-07-14,60 días,2025-09-12,2025-08-24,269.62,Pagado
PP-000168,O-000168,PR-00038,Marín y Figuerola S.Coop.,2025-06-30,30 días,2025-07-30,2025-07-22,7077.5,Pagado
PP-000169,O-000169,PR-00038,Marín y Figuerola S.Coop.,2025-07-01,30 días,2025-07-31,,3007.18,Retrasado
PP-000170,O-000170,PR-00039,Fábrica QLS S.Coop.,2025-08-20,60 días,2025-10-19,2025-10-02,2701.04,Pagado
PP-000171,O-000171,PR-01003,Farmaceútica Avanzadas S.L.,2025-07-23,30 días,2025-08-22,,2635.88,Retrasado
PP-000172,O-000172,PR-00017,Sureda y Montalbán S.C.P,2025-08-20,30 días,2025-09-19,2025-09-14,4819.5,Pagado
PP-000173,O-000173,PR-00020,Familia Lillo S.Coop.,2025-07-20,Contado,2025-07-20,2025-07-20,1687.95,Pagado
PP-000174,O-000174,PR-00044,Hnos Ramón S.Com.,2025-07-17,60 días,2025-09-15,,296.1,Pendiente
PP-000175,O-000175,PR-00044,Hnos Ramón S.Com.,2025-08-08,60 días,2025-10-07,,1191.33,Pendiente
PP-000176,O-000176,PR-00981,Zamora y Cadenas S.A.,2025-08-14,90 días,2025-11-12,2025-09-17,2837.45,Pagado
PP-000177,O-000177,PR-00046,Amílcar Aznar Ramirez S.Com.,2025-08-13,90 días,2025-11-11,,4769.12,Pendiente
PP-000178,O-000178,PR-00047,Familia Mateo S.L.U.,2025-08-05,90 días,2025-11-03,2025-08-05,5142.15,Pagado
PP-000179,O-000179,PR-00664,Inversiones Echeverría & Asociados S.L.N.E,2025-07-30,90 días,2025-10-28,,10541.0,Pendiente
PP-000180,O-000180,PR-00033,Comercial Cisneros y asociados S.A.,2025-07-31,90 días,2025-10-29,,3130.06,Pendiente
PP-000181,O-000181,PR-01134,Vilanova & Asociados S.Com.,2025-07-15,30 días,2025-08-14,2025-07-29,6947.16,Pagado
PP-000182,O-000182,PR-00036,Mohamed Cuesta Torrents S.Coop.,2025-08-21,90 días,2025-11-19,2025-11-09,178.92,Pagado
PP-000183,O-000183,PR-00037,Hnos Romeu S.Com.,2025-08-04,90 días,2025-11-02,2025-09-20,3262.78,Pagado
PP-000184,O-000184,PR-00949,Farmaceútica MP S.Com.,2025-06-30,90 días,2025-09-28,2025-09-20,9257.25,Pagado
PP-000185,O-000185,PR-00647,Cabrera & Asociados S.Coop.,2025-08-03,90 días,2025-11-01,2025-09-15,5454.4,Pagado
PP-000186,O-000186,PR-00006,Alma Fiol Pedrosa S.Com.,2025-07-06,90 días,2025-10-04,,4316.2,Pendiente
PP-000187,O-000187,PR-00958,Alimentación Roldán & Asociados S.A.,2025-08-17,60 días,2025-10-16,,3173.05,Pendiente
PP-000188,O-000188,PR-00007,Farmaceútica Iberia S.Coop.,2025-07-16,90 días,2025-10-14,2025-08-27,11416.08,Pagado
PP-000189,O-000189,PR-00008,Suministros Mancebo y asociados S.C.P,2025-06-29,90 días,2025-09-27,2025-08-31,3865.92,Pagado
PP-000190,O-000190,PR-00011,Instalaciones YY S.Coop.,2025-08-05,90 días,2025-11-03,2025-09-26,1724.8,Pagado
PP-000191,O-000191,PR-00011,Instalaciones YY S.Coop.,2025-08-16,90 días,2025-11-14,,3539.74,Pendiente
PP-000192,O-000192,PR-01026,Consultoría Lopez y asociados S.L.,2025-08-09,30 días,2025-09-08,,1732.5,Pendiente
PP-000193,O-000193,PR-00014,Comercial Hierro S.L.,2025-07-18,30 días,2025-08-17,,11269.8,Pendiente
PP-000194,O-000194,PR-00015,Servicios Sanmartín S.L.N.E,2025-08-02,90 días,2025-10-31,,6097.78,Pendiente
PP-000195,O-000195,PR-00015,Servicios Sanmartín S.L.N.E,2025-07-26,90 días,2025-10-24,,12832.5,Pendiente
PP-000196,O-000196,PR-00038,Marín y Figuerola S.Coop.,2025-08-04,30 días,2025-09-03,2025-08-29,7494.93,Pagado
PP-000197,O-000197,PR-00039,Fábrica QLS S.Coop.,2025-08-16,60 días,2025-10-15,2025-09-27,429.08,Pagado
PP-000198,O-000198,PR-00040,Familia Cánovas S.L.,2025-07-25,90 días,2025-10-23,,2710.4,Pendiente
PP-000199,O-000199,PR-00041,Chelo Piquer Cisneros S.Coop.,2025-08-02,60 días,2025-10-01,,208.52,Pendiente
PP-000200,O-000200,PR-00024,Tania Ripoll Sans S.L.L.,2025-08-05,30 días,2025-09-04,2025-08-22,5824.98,Pagado
PP-000201,O-000201,PR-00017,Sureda y Montalbán S.C.P,2025-08-05,30 días,2025-09-04,,7494.0,Pendiente
PP-000202,O-000202,PR-00018,Banca Privada FONM S.L.,2025-07-18,30 días,2025-08-17,2025-08-04,7328.16,Pagado
PP-000203,O-000203,PR-00020,Familia Lillo S.Coop.,2025-07-25,Contado,2025-07-25,2025-07-25,546.0,Pagado
PP-000204,O-000204,PR-01496,Talavera y Quintana S.L.,2025-07-30,90 días,2025-10-28,,4498.2,Pendiente
PP-000205,O-000205,PR-00043,Anastasia Pou Lucas S.L.,2025-06-24,30 días,2025-07-24,2025-07-16,4970.16,Pagado
PP-000206,O-000206,PR-00046,Amílcar Aznar Ramirez S.Com.,2025-07-12,90 días,2025-10-10,,9130.11,Pendiente
PP-000207,O-000207,PR-00037,Hnos Romeu S.Com.,2025-08-10,90 días,2025-11-08,2025-10-12,830.1,Pagado
PP-000208,O-000208,PR-00949,Farmaceútica MP S.Com.,2025-07-31,90 días,2025-10-29,2025-08-10,9248.25,Pagado
PP-000209,O-000209,PR-00009,Distribuciones Hernández y asociados S.L.L.,2025-07-17,60 días,2025-09-15,2025-08-07,11165.25,Pagado
PP-000210,O-000210,PR-00010,Eduardo Manso Soler S.L.U.,2025-08-06,90 días,2025-11-04,2025-08-27,1438.4,Pagado
