pago_id,venta_id,fecha_cobro,monto_total,metodo_pago,estado_pago
PG-000036,C-4161,2025-08-06,140.52,Tarjeta,Fallido
PG-000037,C-5830,2025-08-02,1213.59,Tarjeta,Fallido
PG-000038,C-5014,2025-07-12,1263.55,Amazon Pay,Pendiente
pg_000039,C-3354,2025-08-10,1927.49,Amazon Pay,Fallido
PG-000040,C-2786,2025-07-26,1819.1,Amazon Pay,En proceso
PG-000041,C-8073,2025-08-03,1619.07,Efectivo,Fallido
PG-000042,C-717,2025-07-26,682.15,Tarjeta,Completado
PG-000043,C-1289,2025-08-27,781.66,Tarjeta,Pendiente
pg_000044,C-9957,2025-07-21,750.64,Transferencia,Fallido
pg_000045,C-7164,2025-08-11,1127.75,Tarjeta,Fallido
PG-000046,C-2046,2025-07-13,1542.29,Bizum,Pendiente
pg_000047,C-5226,2025-08-25,250.93,PayPal,Completado
pg_000048,C-8091,2025-08-09,1258.05,Amazon Pay,Completado
pg_000049,C-787,2025-08-22,1847.93,Efectivo,Fallido
,C-9219,2025-07-05,1829.55,Cheque,Fallido
PG-000051,C-7812,2025-07-06,1104.91,PayPal,Completado
pg_000052,C-4075,2025-08-22,214.68,Transferencia,Fallido
PG-000053,C-5769,2025-07-14,1766.25,Transferencia,Fallido
pg_000054,C-3021,2025-07-06,1512.23,Efectivo,Fallido
PG-000055,C-1779,2025-06-30,1542.46,Efectivo,Completado
pg_000056,C-8790,2025-08-04,1949.67,Tarjeta,Completado
PG-000057,C-6183,2025-07-24,1382.34,Bizum,Completado
pg_000058,C-4110,2025-07-16,1257.53,Bizum,Pendiente
PG-000059,C-7956,2025-07-25,423.89,Amazon Pay,Fallido
pg_000060,C-2438,2026-01-01,505.75,Efectivo,Completado
PG-000061,C-4455,2025-07-24,588.46,Bizum,Completado
PG-000062,C-9896,2025-07-08,1353.54,Amazon Pay,Pendiente
PG-000063,C-1337,2025-07-22,1133.05,Bizum,Fallido
PG-000064,C-3769,2025-07-15,1049.67,Amazon Pay,Pendiente
pg_000065,C-1640,2025-08-16,931.23,Bizum,Completado
pg_000066,C-2965,2025-07-30,1449.98,Amazon Pay,Pendiente
pg_000067,C-4441,2025-07-29,1609.0,Efectivo,Fallido
PG-000068,C-8938,2025-08-16,74.98,Bizum,Fallido
PG-000069,C-3593,2025-08-16,897.13,Tarjeta,Completado
PG-000070,C-2187,2025-08-02,-26.87769542147451,Tarjeta,Pendiente
PG-000071,C-9809,2025-07-10,856.66,Efectivo,Completado
pg_000072,C-9023,2025-08-15,51.23,Tarjeta,Pendiente
PG-000073,C-8250,2025-08-14,279.26,Bizum,Pendiente
pg_000074,C-7318,2025-08-01,1971.78,Transferencia,Fallido
PG-000075,C-6288,2025-08-01,1191.61,Bizum,Fallido
PG-000076,C-9178,2025-07-28,134.34,Transferencia,Pendiente
pg_000077,C-8868,2025-07-05,885.03,Transferencia,Completado
pg_000078,C-5582,2025-08-18,941.41,Efectivo,Fallido
pg_000079,C-9913,2025-08-21,957.84,Amazon Pay,Fallido
PG-000080,,2025-07-25,1019.95,Bizum,✔ Pagado
PG-000081,C-733,2025-08-20,63.18,Efectivo,Fallido
pg_000082,C-8836,2025-07-05,749.78,Amazon Pay,Pendiente
PG-000083,C-8916,2025-07-04,274.69,Tarjeta,Completado
PG-000084,C-8975,2025-07-19,151.36,Amazon Pay,Pendiente
PG-000085,C-9995,2025-07-13,456.49,Bizum,Completado
PG-000086,C-9386,2025-08-21,298.44,Amazon Pay,Completado
pg_000087,C-3538,2025-07-25,140.04,PayPal,Pendiente
PG-000088,C-1727,2025-08-01,1315.63,Amazon Pay,Pendiente
PG-000089,C-497,2025-08-23,1898.24,Bizum,Fallido
pg_000090,C-7351,2026-01-01,996.47,Efectivo,Pendiente
PG-000091,C-8125,2025-08-04,533.49,Amazon Pay,Completado
PG-000092,C-3073,2025-08-09,955.74,Transferencia,Completado
pg_000093,C-3610,2025-08-08,1410.73,Transferencia,Completado
PG-000094,C-6132,2025-07-29,170.61,Transferencia,Completado
pg_000095,C-2084,2025-08-12,1109.07,Efectivo,Pendiente
pg_000096,C-5555,2025-08-11,1784.22,Transferencia,Completado
PG-000097,C-7389,2025-07-02,1568.41,Bizum,Completado
PG-000098,C-6425,2025-08-17,404.44,PayPal,Pendiente
pg_000099,C-4065,2025-07-13,1079.14,PayPal,Pendiente
,C-6433,2025-08-25,71.64,Bizum,✔ Pagado
PG-000101,C-1933,2025-07-18,1959.53,Tarjeta,Completado
PG-000102,C-5229,2025-08-05,1537.8,Tarjeta,Fallido
pg_000103,C-2509,2025-08-28,789.31,Tarjeta,Completado
PG-000104,C-2886,2025-07-05,322.91,Transferencia,Pendiente
pg_000105,C-6852,2025-07-05,-124.21479437725282,Amazon Pay,Pendiente
PG-000106,C-1707,2025-07-22,986.07,Bizum,Pendiente
PG-000107,C-1110,2025-07-29,285.75,Bizum,Pendiente
pg_000108,C-2904,2025-07-23,585.62,Bizum,Completado
pg_000109,C-6248,2025-08-19,662.37,PayPal,Completado
PG-000110,C-4120,2025-08-12,845.38,Transferencia,Pendiente
pg_000111,C-2253,2025-08-13,1041.09,Tarjeta,Fallido
PG-000112,C-5148,2025-07-31,1658.63,Transferencia,Completado
pg_000113,C-3909,2025-08-22,1258.9,Tarjeta,Completado
PG-000114,C-3213,2025-08-17,723.02,Tarjeta,Pendiente
PG-000115,C-7652,2025-08-17,1982.05,Tarjeta,Completado
pg_000116,C-8352,2025-07-23,1068.36,Transferencia,Fallido
PG-000117,C-8166,2025-08-01,1244.15,Tarjeta,Pendiente
PG-000118,C-6607,2025-08-07,1393.77,Efectivo,Fallido
PG-000119,C-1717,2025-08-27,293.86,Tarjeta,Completado
pg_000120,C-6217,2026-01-01,1742.84,Efectivo,Pendiente
PG-000121,C-9728,2025-07-01,1295.99,Amazon Pay,Fallido
PG-000122,C-499,2025-08-03,361.59,Tarjeta,Fallido
PG-000123,C-6822,2025-08-06,1854.76,Amazon Pay,Pendiente
PG-000124,C-3686,2025-07-18,1687.51,Transferencia,Pendiente
PG-000125,C-8940,2025-07-08,749.0,,Fallido
pg_000126,C-577,2025-08-06,362.75,Bizum,Pendiente
PG-000127,C-7736,2025-07-16,1295.74,Tarjeta,Completado
PG-000128,C-4122,2025-08-07,1581.1,Transferencia,Fallido
PG-000129,C-2261,2025-07-11,382.15,Amazon Pay,Fallido
PG-000130,C-9821,2025-07-02,1519.31,Bizum,Pendiente
PG-000131,C-9364,2025-08-17,192.98,Tarjeta,Fallido
PG-000132,C-9604,2025-07-03,108.87,Tarjeta,Completado
PG-000133,C-1941,2025-08-20,1776.51,Amazon Pay,Pendiente
pg_000134,C-3411,2025-07-10,681.92,PayPal,Pendiente
PG-000135,C-462,2025-08-06,1670.52,Efectivo,Completado
PG-000136,C-719,2025-07-28,1951.31,Efectivo,Completado
PG-000137,C-8279,2025-07-07,169.36,Efectivo,Pendiente
PG-000138,C-5665,2025-07-26,579.09,Transferencia,Pendiente
PG-000139,C-6271,2025-07-20,534.31,PayPal,Completado
pg_000140,C-708,2025-07-17,-210.52924297373897,Tarjeta,✔ Pagado
pg_000141,C-4927,2025-07-05,1390.16,Amazon Pay,Completado
PG-000142,C-2930,2025-07-07,1364.09,Transferencia,Completado
PG-000143,C-158,2025-08-16,108.9,Bizum,Completado
PG-000144,C-9230,2025-07-06,1828.78,Transferencia,Fallido
PG-000145,C-715,2025-07-17,930.67,Amazon Pay,Pendiente
PG-000146,C-3196,2025-08-12,1899.42,Transferencia,Pendiente
pg_000147,C-4713,2025-07-14,1389.77,Efectivo,Fallido
PG-000148,C-6669,2025-07-21,608.5,Tarjeta,Pendiente
PG-000149,C-88,2025-07-07,56.42,Transferencia,Pendiente
,C-3015,,875.39,Transferencia,Pendiente
PG-000151,C-8929,2025-07-14,75.33,Tarjeta,Fallido
pg_000152,C-4542,2025-07-10,1805.25,Tarjeta,Completado
PG-000153,C-7171,2025-07-03,1677.83,Efectivo,Pendiente
PG-000154,C-8728,2025-07-06,312.63,Efectivo,Pendiente
PG-000155,C-764,2025-07-28,1424.99,Bizum,Completado
PG-000156,C-9615,2025-08-05,1529.11,Bizum,Completado
pg_000157,C-3895,2025-07-12,1490.26,Amazon Pay,Pendiente
PG-000158,C-7274,2025-08-01,720.33,Transferencia,Pendiente
pg_000159,C-7666,2025-07-29,243.38,Efectivo,Completado
pg_000160,,2025-07-16,259.04,Amazon Pay,En proceso
pg_000161,C-7415,2025-07-25,919.22,Amazon Pay,Completado
pg_000162,C-502,2025-07-10,835.41,Amazon Pay,Pendiente
pg_000163,C-6804,2025-07-05,1800.11,PayPal,Completado
pg_000164,C-2771,2025-07-03,122.15,Tarjeta,Completado
PG-000165,C-6296,2025-08-09,531.28,Efectivo,Pendiente
PG-000166,C-8648,2025-08-04,1429.77,Bizum,Completado
pg_000167,C-9983,2025-08-05,1664.24,PayPal,Pendiente
PG-000168,C-6468,2025-07-15,1688.94,Transferencia,Fallido
pg_000169,C-4564,2025-07-23,894.59,PayPal,Pendiente
pg_000170,C-2663,2025-08-28,1374.11,Amazon Pay,Fallido
pg_000171,C-9112,2025-07-15,294.37,Bizum,Fallido
PG-000172,C-2168,2025-07-02,413.92,Amazon Pay,Fallido
pg_000173,C-6970,2025-08-04,1480.37,Transferencia,Pendiente
pg_000174,C-9658,2025-08-21,346.91,Amazon Pay,Fallido
pg_000175,C-6382,2025-07-12,,Tarjeta,Completado
PG-000176,C-2730,2025-07-05,430.37,Amazon Pay,Fallido
pg_000177,C-1029,2025-08-22,751.36,Efectivo,Pendiente
PG-000178,C-1885,2025-08-28,1026.07,Efectivo,Pendiente
PG-000179,C-3874,2025-07-14,280.71,Efectivo,Fallido
PG-000180,C-9929,2025-07-09,1677.41,PayPal,Pendiente
pg_000181,C-2697,2025-07-27,859.62,PayPal,Completado
pg_000182,C-1898,2025-07-21,1287.07,Bizum,Pendiente
pg_000183,C-3640,2025-07-24,1349.94,Transferencia,Fallido
PG-000184,C-1512,2025-08-27,1291.86,Tarjeta,Completado
PG-000185,C-9030,2025-07-03,502.31,Transferencia,Fallido
PG-000186,C-2218,2025-08-12,995.91,PayPal,Completado
PG-000187,C-285,2025-08-26,630.18,PayPal,Fallido
pg_000188,C-2341,2025-07-25,839.87,Transferencia,Pendiente
pg_000189,C-5408,2025-08-13,1992.08,Transferencia,Completado
PG-000190,C-6753,2025-07-13,1282.23,Transferencia,Completado
pg_000191,C-6943,2025-08-13,321.67,Efectivo,Pendiente
PG-000192,C-2884,2025-08-27,1003.85,Tarjeta,Pendiente
PG-000193,C-5471,2025-08-22,1729.35,PayPal,Fallido
PG-000194,C-1462,2025-08-06,776.21,Bizum,Fallido
PG-000195,C-1336,2025-08-19,1712.29,Amazon Pay,Fallido
PG-000196,C-2749,2025-08-02,303.8,Transferencia,Fallido
PG-000197,C-1231,2025-08-13,50.21,Tarjeta,Completado
PG-000198,C-628,2025-07-12,536.27,Efectivo,Fallido
pg_000199,C-1927,2025-08-09,1968.16,Tarjeta,Pendiente
,C-6941,2025-08-05,1453.19,Cheque,Pendiente
pg_000201,C-7515,2025-07-24,86.04,Transferencia,Completado
PG-000202,C-5429,2025-08-19,910.08,PayPal,Pendiente
PG-000203,C-4156,2025-07-26,1496.91,Bizum,Fallido
PG-000204,C-2426,2025-08-27,1704.23,Amazon Pay,Fallido
PG-000205,C-1592,2025-07-05,1343.58,Tarjeta,Fallido
pg_000206,C-2370,2025-08-17,1621.29,Bizum,Fallido
pg_000207,C-164,2025-07-13,1109.21,Efectivo,Completado
PG-000208,C-1034,2025-07-27,141.32,Transferencia,Completado
pg_000209,C-4188,2025-08-26,1579.8,Tarjeta,Fallido
PG-000210,C-2568,2026-01-01,,Amazon Pay,Pendiente
PG-000211,C-6570,2025-07-31,950.47,Efectivo,Completado
pg_000212,C-4963,2025-08-23,1652.85,Bizum,Completado
PG-000213,C-2598,2025-08-03,1457.13,Amazon Pay,Completado
PG-000214,C-9456,2025-08-20,752.98,Bizum,Pendiente
PG-000215,C-3377,2025-07-18,350.6,Tarjeta,Fallido
PG-000216,C-6902,2025-08-15,309.24,Amazon Pay,Completado
PG-000217,C-1916,2025-07-12,1623.31,Amazon Pay,Completado
PG-000218,C-2310,2025-08-06,1621.67,Amazon Pay,Fallido
PG-000219,C-9344,2025-08-28,1350.54,Amazon Pay,Completado
PG-000220,C-4052,2025-08-05,204.21,Tarjeta,Fallido
PG-000221,C-3781,2025-08-01,1506.88,Tarjeta,Fallido
PG-000222,C-49,2025-07-16,1822.91,Transferencia,Completado
pg_000223,C-2225,2025-07-08,366.47,Efectivo,Fallido
PG-000224,C-2085,2025-08-21,1061.98,Amazon Pay,Completado
PG-000225,C-9524,2025-08-02,579.3,Cheque,Pendiente
PG-000226,C-9831,2025-08-26,1607.33,Efectivo,Completado
PG-000227,C-7338,2025-07-18,1722.33,Efectivo,Completado
PG-000228,C-7149,2025-08-11,679.65,Amazon Pay,Completado
PG-000229,C-1995,2025-08-26,634.82,Efectivo,Completado
pg_000230,C-8787,2025-07-26,1452.7,Efectivo,Fallido
PG-000231,C-6346,2025-08-12,1099.46,Amazon Pay,Pendiente
PG-000232,C-1470,2025-07-10,528.19,Efectivo,Fallido
PG-000233,C-657,2025-07-21,881.18,Amazon Pay,Pendiente
PG-000234,C-4,2025-08-14,177.12,Bizum,Pendiente
pg_000235,C-442,2025-07-19,1182.93,Efectivo,Fallido
pg_000236,C-1971,2025-08-02,61.04,Efectivo,Fallido
PG-000237,C-7326,2025-07-02,1907.71,Bizum,Completado
pg_000238,C-5966,2025-08-05,1266.85,Efectivo,Completado
PG-000239,C-8583,2025-07-12,194.45,Amazon Pay,Fallido
PG-000240,C-2029,2026-01-01,1788.02,Efectivo,Completado
PG-000241,C-1561,2025-07-30,1222.02,PayPal,Completado
PG-000242,C-5690,2025-07-20,1583.48,Efectivo,Pendiente
pg_000243,C-5512,2025-08-03,469.7,Transferencia,Fallido
PG-000244,C-8322,2025-08-11,1198.29,PayPal,Completado
pg_000245,C-7465,2025-07-09,,Transferencia,Fallido
PG-000246,C-8158,2025-08-07,1587.49,Efectivo,Completado
pg_000247,C-2834,2025-07-26,706.92,PayPal,Pendiente
PG-000248,C-5624,2025-07-29,825.65,Amazon Pay,Completado
PG-000249,C-3717,2025-08-21,1214.49,Tarjeta,Fallido
,C-150,2025-07-18,555.1,Cheque,Pendiente
PG-000251,C-5943,2025-08-11,1179.73,Transferencia,Completado
PG-000252,C-807,2025-07-22,119.11,Amazon Pay,Completado
pg_000253,C-9655,2025-08-24,105.31,Tarjeta,Pendiente
PG-000254,C-5357,2025-07-28,1487.29,Tarjeta,Pendiente
pg_000255,C-7747,2025-07-15,122.66,Amazon Pay,Pendiente
PG-000256,C-3990,2025-08-16,1965.03,PayPal,Pendiente
PG-000257,C-8425,2025-07-30,1379.98,Transferencia,Pendiente
PG-000258,C-9825,2025-08-02,1198.74,Amazon Pay,Completado
PG-000259,C-8340,2025-07-06,436.3,Transferencia,Fallido
PG-000260,C-3618,2025-08-20,1299.65,Amazon Pay,Completado
pg_000261,C-5049,2025-07-23,329.69,Efectivo,Completado
PG-000262,C-4495,2025-07-12,778.28,Efectivo,Completado
PG-000263,C-655,2025-08-22,1287.92,Bizum,Completado
PG-000264,C-7477,2025-07-14,1566.63,Efectivo,Fallido
PG-000265,C-9381,2025-08-25,1624.77,Tarjeta,Completado
PG-000266,C-3310,2025-06-30,1203.49,Efectivo,Pendiente
PG-000267,C-9528,2025-07-27,969.0,Bizum,Fallido
PG-000268,C-2760,2025-08-01,223.64,Tarjeta,Completado
pg_000269,C-6769,2025-07-26,442.68,Bizum,Fallido
pg_000270,C-6908,,149.57,Amazon Pay,Completado
PG-000271,C-9557,2025-06-30,1972.24,PayPal,Completado
pg_000272,C-5761,2025-07-12,90.21,Amazon Pay,Completado
pg_000273,C-7717,2025-08-11,1197.02,Bizum,Fallido
pg_000274,C-4460,2025-08-25,1520.17,PayPal,Completado
pg_000275,C-5687,2025-08-06,607.89,Amazon Pay,Fallido
pg_000276,C-6242,2025-08-08,1370.2,Efectivo,Pendiente
PG-000277,C-8275,2025-07-11,1228.19,Tarjeta,Fallido
PG-000278,C-5263,2025-07-14,1687.64,PayPal,Fallido
PG-000279,C-9413,2025-07-29,1540.23,Bizum,Pendiente
pg_000280,C-8305,2025-08-14,-83.95466943101468,PayPal,Completado
PG-000281,C-9915,2025-07-09,1647.41,Transferencia,Pendiente
PG-000282,C-5749,2025-08-06,1638.12,PayPal,Completado
pg_000283,C-8437,2025-07-19,1018.45,Amazon Pay,Pendiente
PG-000284,C-463,2025-08-23,678.53,Bizum,Fallido
PG-000285,C-9246,2025-08-16,1684.75,PayPal,Completado
PG-000286,C-2486,2025-07-28,403.11,Tarjeta,Pendiente
PG-000287,C-9930,2025-07-11,642.94,Transferencia,Completado
PG-000288,C-263,2025-08-24,447.68,Transferencia,Pendiente
PG-000289,C-1788,2025-08-13,1058.99,PayPal,Completado
PG-000290,C-2959,2025-07-28,863.88,Transferencia,Completado
PG-000291,C-9229,2025-07-03,1126.79,Amazon Pay,Pendiente
PG-000292,C-8814,2025-08-09,549.18,Tarjeta,Fallido
PG-000293,C-6418,2025-07-07,1143.65,Bizum,Pendiente
pg_000294,C-9355,2025-07-31,241.35,Efectivo,Completado
pg_000295,C-8752,2025-07-04,346.78,PayPal,Fallido
PG-000296,C-2819,2025-07-12,801.84,Tarjeta,Fallido
PG-000297,C-1060,2025-08-22,190.91,Efectivo,Completado
pg_000298,C-2890,2025-07-05,1332.57,Tarjeta,Completado
pg_000299,C-9367,2025-08-14,549.6,Amazon Pay,Pendiente
,C-6516,2025-07-06,897.46,PayPal,✔ Pagado
pg_000301,C-2179,2025-08-06,282.98,PayPal,Pendiente
PG-000302,C-3824,2025-07-16,643.63,Bizum,Fallido
PG-000303,C-9834,2025-08-09,1451.54,PayPal,Completado
PG-000304,C-454,2025-07-31,1295.3,PayPal,Pendiente
pg_000305,C-8557,2025-07-25,888.65,Efectivo,Fallido
PG-000306,C-4078,2025-08-16,481.02,Bizum,Fallido
PG-000307,C-7820,2025-08-28,836.45,Tarjeta,Completado
pg_000308,C-4366,2025-08-04,1104.37,Bizum,Pendiente
PG-000309,C-176,2025-07-26,746.55,Bizum,Pendiente
pg_000310,C-7205,2025-07-13,845.08,Tarjeta,Pendiente
PG-000311,C-5,2025-07-24,1249.86,Bizum,Fallido
PG-000312,C-1842,2025-07-11,1538.59,Tarjeta,Completado
PG-000313,C-1589,2025-08-11,1825.31,Bizum,Pendiente
PG-000314,C-1878,2025-07-18,1558.15,Tarjeta,Pendiente
pg_000315,C-4453,2025-08-08,-239.4893658027453,Tarjeta,Completado
PG-000316,C-6385,2025-08-01,1211.61,Tarjeta,Fallido
PG-000317,C-644,2025-08-28,1837.86,Bizum,Fallido
PG-000318,C-8105,2025-07-22,346.14,PayPal,Completado
PG-000319,C-4841,2025-07-27,1801.35,PayPal,Pendiente
pg_000320,C-1359,2025-07-10,783.31,Tarjeta,✔ Pagado
pg_000321,C-6515,2025-08-24,1957.59,Transferencia,Pendiente
pg_000322,C-1597,2025-07-18,1174.05,PayPal,Completado
PG-000323,C-9565,2025-08-14,1842.07,Amazon Pay,Fallido
pg_000324,C-4984,2025-08-03,1931.84,Bizum,Pendiente
PG-000325,C-5398,2025-07-14,427.22,,Fallido
PG-000326,C-526,2025-07-30,501.45,Amazon Pay,Fallido
pg_000327,C-8159,2025-08-15,653.89,Tarjeta,Fallido
pg_000328,C-4133,2025-07-07,316.34,Efectivo,Completado
PG-000329,C-1953,2025-06-30,694.92,Efectivo,Completado
PG-000330,C-3911,2026-01-01,1549.94,Amazon Pay,Completado
PG-000331,C-6128,2025-07-21,452.72,Tarjeta,Completado
PG-000332,C-6549,2025-08-20,1718.23,Efectivo,Pendiente
pg_000333,C-6632,2025-07-04,1387.72,Amazon Pay,Pendiente
PG-000334,C-5320,2025-07-08,827.1,Efectivo,Pendiente
pg_000335,C-9166,2025-08-14,1364.23,Amazon Pay,Fallido
PG-000336,C-8816,2025-07-27,1815.89,Transferencia,Pendiente
PG-000337,C-5526,2025-07-24,144.99,Amazon Pay,Pendiente
PG-000338,C-7218,2025-08-28,1296.08,Amazon Pay,Pendiente
PG-000339,C-8103,2025-07-21,734.17,Transferencia,Pendiente
PG-000340,C-6208,2025-08-04,1122.91,Amazon Pay,Completado
PG-000341,C-7191,2025-08-03,1217.06,Transferencia,Fallido
PG-000342,C-9356,2025-07-29,601.91,Bizum,Completado
pg_000343,C-2570,2025-07-27,1775.39,Amazon Pay,Fallido
PG-000344,C-1247,2025-08-15,1001.3,Tarjeta,Completado
PG-000345,C-2333,2025-07-14,935.22,Tarjeta,Pendiente
PG-000346,C-5214,2025-08-08,1245.17,Tarjeta,Completado
PG-000347,C-9970,2025-07-22,1427.82,Efectivo,Completado
pg_000348,C-596,2025-08-22,243.62,Amazon Pay,Fallido
pg_000349,C-9094,2025-08-08,966.37,Transferencia,Completado
pg_000350,C-290,2025-08-19,,PayPal,Pendiente
PG-000351,C-9215,2025-08-10,516.53,Transferencia,Fallido
pg_000352,C-8141,2025-07-23,459.45,Tarjeta,Fallido
PG-000353,C-5686,2025-07-02,447.32,PayPal,Fallido
PG-000354,C-2928,2025-08-15,1607.7,Amazon Pay,Completado
PG-000355,C-8497,2025-08-22,1447.48,Amazon Pay,Fallido
pg_000356,C-2313,2025-08-21,621.89,Tarjeta,Pendiente
pg_000357,C-3041,2025-07-29,183.17,Bizum,Completado
PG-000358,C-8102,2025-08-04,375.01,PayPal,Completado
PG-000359,C-4327,2025-08-15,1311.28,Tarjeta,Pendiente
PG-000360,C-1242,,194.78,Bizum,En proceso
PG-000361,C-247,2025-08-14,631.14,Transferencia,Completado
PG-000362,C-2912,2025-08-02,1937.47,Bizum,Completado
pg_000363,C-8890,2025-07-31,794.37,Amazon Pay,Completado
PG-000364,C-4201,2025-07-05,1024.99,Bizum,Pendiente
PG-000365,C-10,2025-07-24,1442.38,Bizum,Completado
PG-000366,C-6715,2025-08-12,1828.2,Efectivo,Fallido
PG-000367,C-342,2025-07-15,1205.72,Amazon Pay,Completado
pg_000368,C-8959,2025-08-21,1980.65,PayPal,Completado
PG-000369,C-5408,2025-08-27,370.6,Efectivo,Completado
PG-000370,C-2598,2025-08-20,1484.02,Bizum,Pendiente
pg_000371,C-6998,2025-08-02,1755.79,Transferencia,Completado
PG-000372,C-4752,2025-08-06,1601.43,Bizum,Completado
PG-000373,C-1699,2025-08-01,629.38,PayPal,Fallido
pg_000374,C-2307,2025-07-24,1529.69,Amazon Pay,Pendiente
PG-000375,C-5296,2025-08-11,175.82,Bizum,Fallido
PG-000376,C-4743,2025-08-03,956.74,Bizum,Fallido
PG-000377,C-4943,2025-06-30,277.38,Tarjeta,Fallido
PG-000378,C-1440,2025-08-08,93.0,Efectivo,Fallido
PG-000379,C-1943,2025-07-20,1682.5,Amazon Pay,Pendiente
PG-000380,C-7414,2025-08-25,257.85,Transferencia,✔ Pagado
PG-000381,C-1368,2025-07-25,570.78,PayPal,Completado
pg_000382,C-2274,2025-07-11,1623.41,Efectivo,Completado
PG-000383,C-2633,2025-07-13,692.72,Tarjeta,Completado
pg_000384,C-9672,2025-07-06,1071.64,Amazon Pay,Completado
PG-000385,C-6917,2025-06-30,,Amazon Pay,Pendiente
pg_000386,C-3013,2025-08-25,1575.93,PayPal,Fallido
pg_000387,C-4522,2025-08-28,643.49,Efectivo,Fallido
pg_000388,C-9649,2025-08-07,1168.51,Tarjeta,Completado
PG-000389,C-510,2025-07-07,1495.11,Transferencia,Completado
pg_000390,C-5582,2026-01-01,675.04,Efectivo,Completado
PG-000391,C-6610,2025-08-06,1559.72,Tarjeta,Fallido
PG-000392,C-7914,2025-07-25,1753.96,Tarjeta,Pendiente
pg_000393,C-9617,2025-07-02,726.66,PayPal,Pendiente
PG-000394,C-912,2025-08-26,1287.96,Tarjeta,Pendiente
PG-000395,C-6365,2025-08-21,1485.04,Amazon Pay,Pendiente
PG-000396,C-1956,2025-08-13,291.66,PayPal,Pendiente
PG-000397,C-5711,2025-07-24,1692.3,Efectivo,Completado
pg_000398,C-9039,2025-08-18,595.77,PayPal,Completado
PG-000399,C-3067,2025-08-13,340.66,Efectivo,Fallido
PG-000400,,2025-08-09,958.82,Amazon Pay,✔ Pagado
PG-000401,C-8391,2025-07-04,1864.7,Bizum,Pendiente
pg_000402,C-3267,2025-07-08,647.98,PayPal,Completado
PG-000403,C-1777,2025-07-03,847.22,Efectivo,Completado
pg_000404,C-3548,2025-08-11,252.89,Transferencia,Pendiente
pg_000405,C-647,2025-07-25,159.22,Tarjeta,Pendiente
PG-000406,C-3002,2025-08-15,172.82,Amazon Pay,Fallido
PG-000407,C-3897,2025-08-07,790.31,Amazon Pay,Fallido
pg_000408,C-8170,2025-07-22,1588.11,Transferencia,Completado
PG-000409,C-8704,2025-08-15,1462.48,Efectivo,Completado
PG-000410,C-3970,2025-07-16,1989.86,Efectivo,Completado
PG-000411,C-2873,2025-07-28,1365.05,Transferencia,Completado
pg_000412,C-543,2025-07-15,906.4,Bizum,Fallido
PG-000413,C-6514,2025-07-08,613.22,Tarjeta,Fallido
pg_000414,C-1552,2025-07-25,591.65,Transferencia,Fallido
pg_000415,C-6090,2025-07-12,179.52,Tarjeta,Pendiente
